cdn1_colo28.ns1714 S3FIFO-0.3500-1.9000 cache size        6, 1288614 req, miss ratio 0.1710, byte miss ratio 0.1710
cdn1_colo28.ns1714 S3FIFO-0.3500-1.9000 cache size       18, 1288614 req, miss ratio 0.0248, byte miss ratio 0.0248
cdn1_colo28.ns1714 S3FIFO-0.3500-1.9000 cache size       62, 1288614 req, miss ratio 0.0032, byte miss ratio 0.0032
cdn1_colo28.ns1714 S3FIFO-0.3500-1.9000 cache size      125, 1288614 req, miss ratio 0.0014, byte miss ratio 0.0014
cdn1_colo28.ns1714 S3FIFO-0.3500-1.9000 cache size      250, 1288614 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_colo28.ns1714 S3FIFO-0.3500-1.9000 cache size      500, 1288614 req, miss ratio 0.0005, byte miss ratio 0.0005
cdn1_colo28.ns1714 S3FIFO-0.6500-1.9000 cache size        6, 1288614 req, miss ratio 0.1843, byte miss ratio 0.1843
cdn1_colo28.ns1714 S3FIFO-0.6500-1.9000 cache size       18, 1288614 req, miss ratio 0.0301, byte miss ratio 0.0301
cdn1_colo28.ns1714 S3FIFO-0.6500-1.9000 cache size       62, 1288614 req, miss ratio 0.0040, byte miss ratio 0.0040
cdn1_colo28.ns1714 S3FIFO-0.6500-1.9000 cache size      125, 1288614 req, miss ratio 0.0017, byte miss ratio 0.0017
cdn1_colo28.ns1714 S3FIFO-0.6500-1.9000 cache size      250, 1288614 req, miss ratio 0.0008, byte miss ratio 0.0008
cdn1_colo28.ns1714 S3FIFO-0.6500-1.9000 cache size      500, 1288614 req, miss ratio 0.0005, byte miss ratio 0.0005
cdn1_colo28.ns1714 S3FIFO-0.1000-0.9000 cache size        6, 1288614 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns1714 S3FIFO-0.1000-0.9000 cache size       18, 1288614 req, miss ratio 0.0201, byte miss ratio 0.0201
cdn1_colo28.ns1714 S3FIFO-0.1000-0.9000 cache size       62, 1288614 req, miss ratio 0.0027, byte miss ratio 0.0027
cdn1_colo28.ns1714 S3FIFO-0.1000-0.9000 cache size      125, 1288614 req, miss ratio 0.0012, byte miss ratio 0.0012
cdn1_colo28.ns1714 S3FIFO-0.1000-0.9000 cache size      250, 1288614 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_colo28.ns1714 S3FIFO-0.1000-0.9000 cache size      500, 1288614 req, miss ratio 0.0005, byte miss ratio 0.0005
cdn1_colo28.ns1714 S3FIFO-0.0100-1.9000 cache size        6, 1288614 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns1714 S3FIFO-0.0100-1.9000 cache size       18, 1288614 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns1714 S3FIFO-0.0100-1.9000 cache size       62, 1288614 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns1714 S3FIFO-0.0100-1.9000 cache size      125, 1288614 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn1_colo28.ns1714 S3FIFO-0.0100-1.9000 cache size      250, 1288614 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_colo28.ns1714 S3FIFO-0.0100-1.9000 cache size      500, 1288614 req, miss ratio 0.0005, byte miss ratio 0.0005
cdn1_colo28.ns1714 S3FIFO-0.7500-1.9000 cache size        6, 1288614 req, miss ratio 0.1964, byte miss ratio 0.1964
cdn1_colo28.ns1714 S3FIFO-0.7500-1.9000 cache size       18, 1288614 req, miss ratio 0.0327, byte miss ratio 0.0327
cdn1_colo28.ns1714 S3FIFO-0.7500-1.9000 cache size       62, 1288614 req, miss ratio 0.0043, byte miss ratio 0.0043
cdn1_colo28.ns1714 S3FIFO-0.7500-1.9000 cache size      125, 1288614 req, miss ratio 0.0018, byte miss ratio 0.0018
cdn1_colo28.ns1714 S3FIFO-0.7500-1.9000 cache size      250, 1288614 req, miss ratio 0.0008, byte miss ratio 0.0008
cdn1_colo28.ns1714 S3FIFO-0.7500-1.9000 cache size      500, 1288614 req, miss ratio 0.0005, byte miss ratio 0.0005
cdn1_colo28.ns1714 S3FIFO-0.8500-0.9000 cache size        6, 1288614 req, miss ratio 0.2102, byte miss ratio 0.2102
cdn1_colo28.ns1714 S3FIFO-0.8500-0.9000 cache size       18, 1288614 req, miss ratio 0.0364, byte miss ratio 0.0364
cdn1_colo28.ns1714 S3FIFO-0.8500-0.9000 cache size       62, 1288614 req, miss ratio 0.0048, byte miss ratio 0.0048
cdn1_colo28.ns1714 S3FIFO-0.8500-0.9000 cache size      125, 1288614 req, miss ratio 0.0019, byte miss ratio 0.0019
cdn1_colo28.ns1714 S3FIFO-0.8500-0.9000 cache size      250, 1288614 req, miss ratio 0.0009, byte miss ratio 0.0009
cdn1_colo28.ns1714 S3FIFO-0.8500-0.9000 cache size      500, 1288614 req, miss ratio 0.0005, byte miss ratio 0.0005
cdn1_colo28.ns1714 S3FIFO-0.6500-0.9000 cache size        6, 1288614 req, miss ratio 0.1828, byte miss ratio 0.1828
cdn1_colo28.ns1714 S3FIFO-0.6500-0.9000 cache size       18, 1288614 req, miss ratio 0.0305, byte miss ratio 0.0305
cdn1_colo28.ns1714 S3FIFO-0.6500-0.9000 cache size       62, 1288614 req, miss ratio 0.0041, byte miss ratio 0.0041
cdn1_colo28.ns1714 S3FIFO-0.6500-0.9000 cache size      125, 1288614 req, miss ratio 0.0017, byte miss ratio 0.0017
