tencentBlock.ns16551 S3FIFO-0.6500-1.9000 cache size       64, 1636000 req, miss ratio 0.3482, byte miss ratio 0.3482
tencentBlock.ns16551 S3FIFO-0.6500-1.9000 cache size      193, 1636000 req, miss ratio 0.2678, byte miss ratio 0.2678
tencentBlock.ns16551 S3FIFO-0.6500-1.9000 cache size      645, 1636000 req, miss ratio 0.2115, byte miss ratio 0.2115
tencentBlock.ns16551 S3FIFO-0.6500-1.9000 cache size     1935, 1636000 req, miss ratio 0.1997, byte miss ratio 0.1997
tencentBlock.ns16551 S3FIFO-0.6500-1.9000 cache size     6452, 1636000 req, miss ratio 0.1445, byte miss ratio 0.1445
tencentBlock.ns16551 S3FIFO-0.6500-1.9000 cache size    12904, 1636000 req, miss ratio 0.1087, byte miss ratio 0.1087
tencentBlock.ns16551 S3FIFO-0.6500-1.9000 cache size    25809, 1636000 req, miss ratio 0.0672, byte miss ratio 0.0672
tencentBlock.ns16551 S3FIFO-0.6500-1.9000 cache size    51618, 1636000 req, miss ratio 0.0458, byte miss ratio 0.0458
tencentBlock.ns16551 S3FIFO-0.0050-1.9000 cache size       64, 1636000 req, miss ratio 1.0000, byte miss ratio 1.0000
tencentBlock.ns16551 S3FIFO-0.0050-1.9000 cache size      193, 1636000 req, miss ratio 1.0000, byte miss ratio 1.0000
tencentBlock.ns16551 S3FIFO-0.0050-1.9000 cache size      645, 1636000 req, miss ratio 0.2165, byte miss ratio 0.2165
tencentBlock.ns16551 S3FIFO-0.0050-1.9000 cache size     1935, 1636000 req, miss ratio 0.1757, byte miss ratio 0.1757
tencentBlock.ns16551 S3FIFO-0.0050-1.9000 cache size     6452, 1636000 req, miss ratio 0.1245, byte miss ratio 0.1245
tencentBlock.ns16551 S3FIFO-0.0050-1.9000 cache size    12904, 1636000 req, miss ratio 0.1007, byte miss ratio 0.1007
tencentBlock.ns16551 S3FIFO-0.0050-1.9000 cache size    25809, 1636000 req, miss ratio 0.0601, byte miss ratio 0.0601
tencentBlock.ns16551 S3FIFO-0.0050-1.9000 cache size    51618, 1636000 req, miss ratio 0.0409, byte miss ratio 0.0409
tencentBlock.ns16551 S3FIFO-0.5500-0.9000 cache size       64, 1636000 req, miss ratio 0.3228, byte miss ratio 0.3228
tencentBlock.ns16551 S3FIFO-0.5500-0.9000 cache size      193, 1636000 req, miss ratio 0.2498, byte miss ratio 0.2498
tencentBlock.ns16551 S3FIFO-0.5500-0.9000 cache size      645, 1636000 req, miss ratio 0.2087, byte miss ratio 0.2087
tencentBlock.ns16551 S3FIFO-0.5500-0.9000 cache size     1935, 1636000 req, miss ratio 0.1913, byte miss ratio 0.1913
tencentBlock.ns16551 S3FIFO-0.5500-0.9000 cache size     6452, 1636000 req, miss ratio 0.1489, byte miss ratio 0.1489
tencentBlock.ns16551 S3FIFO-0.5500-0.9000 cache size    12904, 1636000 req, miss ratio 0.1055, byte miss ratio 0.1055
tencentBlock.ns16551 S3FIFO-0.5500-0.9000 cache size    25809, 1636000 req, miss ratio 0.0655, byte miss ratio 0.0655
tencentBlock.ns16551 S3FIFO-0.5500-0.9000 cache size    51618, 1636000 req, miss ratio 0.0442, byte miss ratio 0.0442
tencentBlock.ns16551 S3FIFO-0.1500-1.9000 cache size       64, 1636000 req, miss ratio 0.2995, byte miss ratio 0.2995
tencentBlock.ns16551 S3FIFO-0.1500-1.9000 cache size      193, 1636000 req, miss ratio 0.2187, byte miss ratio 0.2187
tencentBlock.ns16551 S3FIFO-0.1500-1.9000 cache size      645, 1636000 req, miss ratio 0.2056, byte miss ratio 0.2056
tencentBlock.ns16551 S3FIFO-0.1500-1.9000 cache size     1935, 1636000 req, miss ratio 0.1674, byte miss ratio 0.1674
tencentBlock.ns16551 S3FIFO-0.1500-1.9000 cache size     6452, 1636000 req, miss ratio 0.1255, byte miss ratio 0.1255
tencentBlock.ns16551 S3FIFO-0.1500-1.9000 cache size    12904, 1636000 req, miss ratio 0.1026, byte miss ratio 0.1026
tencentBlock.ns16551 S3FIFO-0.1500-1.9000 cache size    25809, 1636000 req, miss ratio 0.0614, byte miss ratio 0.0614
tencentBlock.ns16551 S3FIFO-0.1500-1.9000 cache size    51618, 1636000 req, miss ratio 0.0409, byte miss ratio 0.0409
tencentBlock.ns16551 S3FIFO-0.3000-1.9000 cache size       64, 1636000 req, miss ratio 0.3000, byte miss ratio 0.3000
tencentBlock.ns16551 S3FIFO-0.3000-1.9000 cache size      193, 1636000 req, miss ratio 0.2193, byte miss ratio 0.2193
tencentBlock.ns16551 S3FIFO-0.3000-1.9000 cache size      645, 1636000 req, miss ratio 0.2064, byte miss ratio 0.2064
tencentBlock.ns16551 S3FIFO-0.3000-1.9000 cache size     1935, 1636000 req, miss ratio 0.1752, byte miss ratio 0.1752
tencentBlock.ns16551 S3FIFO-0.3000-1.9000 cache size     6452, 1636000 req, miss ratio 0.1407, byte miss ratio 0.1407
tencentBlock.ns16551 S3FIFO-0.3000-1.9000 cache size    12904, 1636000 req, miss ratio 0.1071, byte miss ratio 0.1071
tencentBlock.ns16551 S3FIFO-0.3000-1.9000 cache size    25809, 1636000 req, miss ratio 0.0635, byte miss ratio 0.0635
tencentBlock.ns16551 S3FIFO-0.3000-1.9000 cache size    51618, 1636000 req, miss ratio 0.0409, byte miss ratio 0.0409
tencentBlock.ns16551 S3FIFO-0.4500-1.9000 cache size       64, 1636000 req, miss ratio 0.3082, byte miss ratio 0.3082
tencentBlock.ns16551 S3FIFO-0.4500-1.9000 cache size      193, 1636000 req, miss ratio 0.2276, byte miss ratio 0.2276
tencentBlock.ns16551 S3FIFO-0.4500-1.9000 cache size      645, 1636000 req, miss ratio 0.2076, byte miss ratio 0.2076
tencentBlock.ns16551 S3FIFO-0.4500-1.9000 cache size     1935, 1636000 req, miss ratio 0.1877, byte miss ratio 0.1877
tencentBlock.ns16551 S3FIFO-0.4500-1.9000 cache size     6452, 1636000 req, miss ratio 0.1469, byte miss ratio 0.1469
tencentBlock.ns16551 S3FIFO-0.4500-1.9000 cache size    12904, 1636000 req, miss ratio 0.1057, byte miss ratio 0.1057
tencentBlock.ns16551 S3FIFO-0.4500-1.9000 cache size    25809, 1636000 req, miss ratio 0.0639, byte miss ratio 0.0639
tencentBlock.ns16551 S3FIFO-0.4500-1.9000 cache size    51618, 1636000 req, miss ratio 0.0434, byte miss ratio 0.0434
tencentBlock.ns16551 S3FIFO-0.8000-0.9000 cache size       64, 1636000 req, miss ratio 0.3795, byte miss ratio 0.3795
tencentBlock.ns16551 S3FIFO-0.8000-0.9000 cache size      193, 1636000 req, miss ratio 0.2670, byte miss ratio 0.2670
tencentBlock.ns16551 S3FIFO-0.8000-0.9000 cache size      645, 1636000 req, miss ratio 0.2148, byte miss ratio 0.2148
tencentBlock.ns16551 S3FIFO-0.8000-0.9000 cache size     1935, 1636000 req, miss ratio 0.2039, byte miss ratio 0.2039
tencentBlock.ns16551 S3FIFO-0.8000-0.9000 cache size     6452, 1636000 req, miss ratio 0.1498, byte miss ratio 0.1498
tencentBlock.ns16551 S3FIFO-0.8000-0.9000 cache size    12904, 1636000 req, miss ratio 0.1126, byte miss ratio 0.1126
tencentBlock.ns16551 S3FIFO-0.8000-0.9000 cache size    25809, 1636000 req, miss ratio 0.0703, byte miss ratio 0.0703
tencentBlock.ns16551 S3FIFO-0.8000-0.9000 cache size    51618, 1636000 req, miss ratio 0.0488, byte miss ratio 0.0488
tencentBlock.ns16551 S3FIFO-0.2000-0.9000 cache size       64, 1636000 req, miss ratio 0.2978, byte miss ratio 0.2978
tencentBlock.ns16551 S3FIFO-0.2000-0.9000 cache size      193, 1636000 req, miss ratio 0.2190, byte miss ratio 0.2190
tencentBlock.ns16551 S3FIFO-0.2000-0.9000 cache size      645, 1636000 req, miss ratio 0.2064, byte miss ratio 0.2064
