cdn1_colo28.ns1127 S3FIFO-0.1000-0.9000 cache size     1160, 9927482 req, miss ratio 0.1173, byte miss ratio 0.1173
cdn1_colo28.ns1127 S3FIFO-0.1000-0.9000 cache size     3481, 9927482 req, miss ratio 0.1172, byte miss ratio 0.1172
cdn1_colo28.ns1127 S3FIFO-0.1000-0.9000 cache size    11604, 9927482 req, miss ratio 0.1171, byte miss ratio 0.1171
cdn1_colo28.ns1127 S3FIFO-0.1000-0.9000 cache size    34814, 9927482 req, miss ratio 0.1170, byte miss ratio 0.1170
cdn1_colo28.ns1127 S3FIFO-0.1000-0.9000 cache size   116049, 9927482 req, miss ratio 0.1170, byte miss ratio 0.1170
cdn1_colo28.ns1127 S3FIFO-0.1000-0.9000 cache size   232098, 9927482 req, miss ratio 0.1169, byte miss ratio 0.1169
cdn1_colo28.ns1127 S3FIFO-0.1000-0.9000 cache size   464196, 9927482 req, miss ratio 0.1169, byte miss ratio 0.1169
cdn1_colo28.ns1127 S3FIFO-0.1000-0.9000 cache size   928393, 9927482 req, miss ratio 0.1169, byte miss ratio 0.1169
cdn1_colo28.ns1127 S3FIFO-0.7000-1.9000 cache size     1160, 9927482 req, miss ratio 0.1173, byte miss ratio 0.1173
cdn1_colo28.ns1127 S3FIFO-0.7000-1.9000 cache size     3481, 9927482 req, miss ratio 0.1172, byte miss ratio 0.1172
cdn1_colo28.ns1127 S3FIFO-0.7000-1.9000 cache size    11604, 9927482 req, miss ratio 0.1171, byte miss ratio 0.1171
cdn1_colo28.ns1127 S3FIFO-0.7000-1.9000 cache size    34814, 9927482 req, miss ratio 0.1171, byte miss ratio 0.1171
cdn1_colo28.ns1127 S3FIFO-0.7000-1.9000 cache size   116049, 9927482 req, miss ratio 0.1170, byte miss ratio 0.1170
cdn1_colo28.ns1127 S3FIFO-0.7000-1.9000 cache size   232098, 9927482 req, miss ratio 0.1170, byte miss ratio 0.1170
