tencentBlock.ns12557 S3FIFO-0.4500-0.9000 cache size       66, 1508534 req, miss ratio 0.2876, byte miss ratio 0.2876
tencentBlock.ns12557 S3FIFO-0.4500-0.9000 cache size      199, 1508534 req, miss ratio 0.2103, byte miss ratio 0.2103
tencentBlock.ns12557 S3FIFO-0.4500-0.9000 cache size      663, 1508534 req, miss ratio 0.1793, byte miss ratio 0.1793
tencentBlock.ns12557 S3FIFO-0.4500-0.9000 cache size     1991, 1508534 req, miss ratio 0.1704, byte miss ratio 0.1704
tencentBlock.ns12557 S3FIFO-0.4500-0.9000 cache size     6638, 1508534 req, miss ratio 0.1247, byte miss ratio 0.1247
tencentBlock.ns12557 S3FIFO-0.4500-0.9000 cache size    13277, 1508534 req, miss ratio 0.1006, byte miss ratio 0.1006
tencentBlock.ns12557 S3FIFO-0.4500-0.9000 cache size    26554, 1508534 req, miss ratio 0.0657, byte miss ratio 0.0657
tencentBlock.ns12557 S3FIFO-0.4500-0.9000 cache size    53108, 1508534 req, miss ratio 0.0456, byte miss ratio 0.0456
tencentBlock.ns12557 S3FIFO-0.4500-1.9000 cache size       66, 1508534 req, miss ratio 0.2945, byte miss ratio 0.2945
tencentBlock.ns12557 S3FIFO-0.4500-1.9000 cache size      199, 1508534 req, miss ratio 0.2106, byte miss ratio 0.2106
tencentBlock.ns12557 S3FIFO-0.4500-1.9000 cache size      663, 1508534 req, miss ratio 0.1792, byte miss ratio 0.1792
tencentBlock.ns12557 S3FIFO-0.4500-1.9000 cache size     1991, 1508534 req, miss ratio 0.1714, byte miss ratio 0.1714
tencentBlock.ns12557 S3FIFO-0.4500-1.9000 cache size     6638, 1508534 req, miss ratio 0.1244, byte miss ratio 0.1244
tencentBlock.ns12557 S3FIFO-0.4500-1.9000 cache size    13277, 1508534 req, miss ratio 0.1006, byte miss ratio 0.1006
tencentBlock.ns12557 S3FIFO-0.4500-1.9000 cache size    26554, 1508534 req, miss ratio 0.0657, byte miss ratio 0.0657
tencentBlock.ns12557 S3FIFO-0.4500-1.9000 cache size    53108, 1508534 req, miss ratio 0.0456, byte miss ratio 0.0456
tencentBlock.ns12557 S3FIFO-0.8500-0.9000 cache size       66, 1508534 req, miss ratio 0.3677, byte miss ratio 0.3677
tencentBlock.ns12557 S3FIFO-0.8500-0.9000 cache size      199, 1508534 req, miss ratio 0.2389, byte miss ratio 0.2389
tencentBlock.ns12557 S3FIFO-0.8500-0.9000 cache size      663, 1508534 req, miss ratio 0.1907, byte miss ratio 0.1907
tencentBlock.ns12557 S3FIFO-0.8500-0.9000 cache size     1991, 1508534 req, miss ratio 0.1770, byte miss ratio 0.1770
tencentBlock.ns12557 S3FIFO-0.8500-0.9000 cache size     6638, 1508534 req, miss ratio 0.1374, byte miss ratio 0.1374
tencentBlock.ns12557 S3FIFO-0.8500-0.9000 cache size    13277, 1508534 req, miss ratio 0.1061, byte miss ratio 0.1061
tencentBlock.ns12557 S3FIFO-0.8500-0.9000 cache size    26554, 1508534 req, miss ratio 0.0705, byte miss ratio 0.0705
tencentBlock.ns12557 S3FIFO-0.8500-0.9000 cache size    53108, 1508534 req, miss ratio 0.0467, byte miss ratio 0.0467
tencentBlock.ns12557 S3FIFO-0.2500-1.9000 cache size       66, 1508534 req, miss ratio 0.2752, byte miss ratio 0.2752
tencentBlock.ns12557 S3FIFO-0.2500-1.9000 cache size      199, 1508534 req, miss ratio 0.2051, byte miss ratio 0.2051
