cdn1_colo28.ns120 S3FIFO-0.5500-0.9000 cache size       24, 1293928 req, miss ratio 0.1990, byte miss ratio 0.1990
cdn1_colo28.ns120 S3FIFO-0.5500-0.9000 cache size       74, 1293928 req, miss ratio 0.1109, byte miss ratio 0.1109
cdn1_colo28.ns120 S3FIFO-0.5500-0.9000 cache size      248, 1293928 req, miss ratio 0.0606, byte miss ratio 0.0606
cdn1_colo28.ns120 S3FIFO-0.5500-0.9000 cache size      746, 1293928 req, miss ratio 0.0387, byte miss ratio 0.0387
cdn1_colo28.ns120 S3FIFO-0.5500-0.9000 cache size     2486, 1293928 req, miss ratio 0.0279, byte miss ratio 0.0279
cdn1_colo28.ns120 S3FIFO-0.5500-0.9000 cache size     4973, 1293928 req, miss ratio 0.0246, byte miss ratio 0.0246
cdn1_colo28.ns120 S3FIFO-0.5500-0.9000 cache size     9947, 1293928 req, miss ratio 0.0222, byte miss ratio 0.0222
cdn1_colo28.ns120 S3FIFO-0.5500-0.9000 cache size    19895, 1293928 req, miss ratio 0.0194, byte miss ratio 0.0194
cdn1_colo28.ns120 S3FIFO-0.6500-0.9000 cache size       24, 1293928 req, miss ratio 0.2087, byte miss ratio 0.2087
cdn1_colo28.ns120 S3FIFO-0.6500-0.9000 cache size       74, 1293928 req, miss ratio 0.1171, byte miss ratio 0.1171
cdn1_colo28.ns120 S3FIFO-0.6500-0.9000 cache size      248, 1293928 req, miss ratio 0.0637, byte miss ratio 0.0637
cdn1_colo28.ns120 S3FIFO-0.6500-0.9000 cache size      746, 1293928 req, miss ratio 0.0403, byte miss ratio 0.0403
cdn1_colo28.ns120 S3FIFO-0.6500-0.9000 cache size     2486, 1293928 req, miss ratio 0.0285, byte miss ratio 0.0285
cdn1_colo28.ns120 S3FIFO-0.6500-0.9000 cache size     4973, 1293928 req, miss ratio 0.0249, byte miss ratio 0.0249
cdn1_colo28.ns120 S3FIFO-0.6500-0.9000 cache size     9947, 1293928 req, miss ratio 0.0223, byte miss ratio 0.0223
cdn1_colo28.ns120 S3FIFO-0.6500-0.9000 cache size    19895, 1293928 req, miss ratio 0.0194, byte miss ratio 0.0194
cdn1_colo28.ns120 S3FIFO-0.8000-0.9000 cache size       24, 1293928 req, miss ratio 0.2327, byte miss ratio 0.2327
cdn1_colo28.ns120 S3FIFO-0.8000-0.9000 cache size       74, 1293928 req, miss ratio 0.1272, byte miss ratio 0.1272
cdn1_colo28.ns120 S3FIFO-0.8000-0.9000 cache size      248, 1293928 req, miss ratio 0.0694, byte miss ratio 0.0694
cdn1_colo28.ns120 S3FIFO-0.8000-0.9000 cache size      746, 1293928 req, miss ratio 0.0435, byte miss ratio 0.0435
cdn1_colo28.ns120 S3FIFO-0.8000-0.9000 cache size     2486, 1293928 req, miss ratio 0.0301, byte miss ratio 0.0301
cdn1_colo28.ns120 S3FIFO-0.8000-0.9000 cache size     4973, 1293928 req, miss ratio 0.0257, byte miss ratio 0.0257
cdn1_colo28.ns120 S3FIFO-0.8000-0.9000 cache size     9947, 1293928 req, miss ratio 0.0226, byte miss ratio 0.0226
cdn1_colo28.ns120 S3FIFO-0.8000-0.9000 cache size    19895, 1293928 req, miss ratio 0.0195, byte miss ratio 0.0195
cdn1_colo28.ns120 S3FIFO-0.1500-0.9000 cache size       24, 1293928 req, miss ratio 0.1655, byte miss ratio 0.1655
cdn1_colo28.ns120 S3FIFO-0.1500-0.9000 cache size       74, 1293928 req, miss ratio 0.0938, byte miss ratio 0.0938
cdn1_colo28.ns120 S3FIFO-0.1500-0.9000 cache size      248, 1293928 req, miss ratio 0.0523, byte miss ratio 0.0523
