cdn1_colo28.ns36 S3FIFO-0.4500-0.9000 cache size     2293, 11389023 req, miss ratio 0.7692, byte miss ratio 0.7692
cdn1_colo28.ns36 S3FIFO-0.4500-0.9000 cache size     6880, 11389023 req, miss ratio 0.6697, byte miss ratio 0.6697
cdn1_colo28.ns36 S3FIFO-0.4500-0.9000 cache size    22934, 11389023 req, miss ratio 0.5564, byte miss ratio 0.5564
cdn1_colo28.ns36 S3FIFO-0.4500-0.9000 cache size    68803, 11389023 req, miss ratio 0.4498, byte miss ratio 0.4498
cdn1_colo28.ns36 S3FIFO-0.4500-0.9000 cache size   229346, 11389023 req, miss ratio 0.3299, byte miss ratio 0.3299
cdn1_colo28.ns36 S3FIFO-0.4500-0.9000 cache size   458692, 11389023 req, miss ratio 0.2690, byte miss ratio 0.2690
cdn1_colo28.ns36 S3FIFO-0.4500-0.9000 cache size   917385, 11389023 req, miss ratio 0.2251, byte miss ratio 0.2251
cdn1_colo28.ns36 S3FIFO-0.4500-0.9000 cache size  1834770, 11389023 req, miss ratio 0.2031, byte miss ratio 0.2031
cdn1_colo28.ns36 S3FIFO-0.0010-1.9000 cache size     2293, 11389023 req, miss ratio 0.7426, byte miss ratio 0.7426
cdn1_colo28.ns36 S3FIFO-0.0010-1.9000 cache size     6880, 11389023 req, miss ratio 0.6416, byte miss ratio 0.6416
cdn1_colo28.ns36 S3FIFO-0.0010-1.9000 cache size    22934, 11389023 req, miss ratio 0.5307, byte miss ratio 0.5307
cdn1_colo28.ns36 S3FIFO-0.0010-1.9000 cache size    68803, 11389023 req, miss ratio 0.4258, byte miss ratio 0.4258
cdn1_colo28.ns36 S3FIFO-0.0010-1.9000 cache size   229346, 11389023 req, miss ratio 0.3117, byte miss ratio 0.3117
cdn1_colo28.ns36 S3FIFO-0.0010-1.9000 cache size   458692, 11389023 req, miss ratio 0.2616, byte miss ratio 0.2616
cdn1_colo28.ns36 S3FIFO-0.0010-1.9000 cache size   917385, 11389023 req, miss ratio 0.2234, byte miss ratio 0.2234
cdn1_colo28.ns36 S3FIFO-0.0010-1.9000 cache size  1834770, 11389023 req, miss ratio 0.2031, byte miss ratio 0.2031
cdn1_colo28.ns36 S3FIFO-0.6000-1.9000 cache size     2293, 11389023 req, miss ratio 0.7918, byte miss ratio 0.7918
cdn1_colo28.ns36 S3FIFO-0.6000-1.9000 cache size     6880, 11389023 req, miss ratio 0.6957, byte miss ratio 0.6957
cdn1_colo28.ns36 S3FIFO-0.6000-1.9000 cache size    22934, 11389023 req, miss ratio 0.5805, byte miss ratio 0.5805
cdn1_colo28.ns36 S3FIFO-0.6000-1.9000 cache size    68803, 11389023 req, miss ratio 0.4721, byte miss ratio 0.4721
cdn1_colo28.ns36 S3FIFO-0.6000-1.9000 cache size   229346, 11389023 req, miss ratio 0.3490, byte miss ratio 0.3490
cdn1_colo28.ns36 S3FIFO-0.6000-1.9000 cache size   458692, 11389023 req, miss ratio 0.2798, byte miss ratio 0.2798
cdn1_colo28.ns36 S3FIFO-0.6000-1.9000 cache size   917385, 11389023 req, miss ratio 0.2290, byte miss ratio 0.2290
cdn1_colo28.ns36 S3FIFO-0.6000-1.9000 cache size  1834770, 11389023 req, miss ratio 0.2031, byte miss ratio 0.2031
cdn1_colo28.ns36 S3FIFO-0.1000-1.9000 cache size     2293, 11389023 req, miss ratio 0.7414, byte miss ratio 0.7414
cdn1_colo28.ns36 S3FIFO-0.1000-1.9000 cache size     6880, 11389023 req, miss ratio 0.6410, byte miss ratio 0.6410
cdn1_colo28.ns36 S3FIFO-0.1000-1.9000 cache size    22934, 11389023 req, miss ratio 0.5317, byte miss ratio 0.5317
cdn1_colo28.ns36 S3FIFO-0.1000-1.9000 cache size    68803, 11389023 req, miss ratio 0.4269, byte miss ratio 0.4269
cdn1_colo28.ns36 S3FIFO-0.1000-1.9000 cache size   229346, 11389023 req, miss ratio 0.3112, byte miss ratio 0.3112
cdn1_colo28.ns36 S3FIFO-0.1000-1.9000 cache size   458692, 11389023 req, miss ratio 0.2600, byte miss ratio 0.2600
cdn1_colo28.ns36 S3FIFO-0.1000-1.9000 cache size   917385, 11389023 req, miss ratio 0.2234, byte miss ratio 0.2234
cdn1_colo28.ns36 S3FIFO-0.1000-1.9000 cache size  1834770, 11389023 req, miss ratio 0.2031, byte miss ratio 0.2031
cdn1_colo28.ns36 S3FIFO-0.2000-1.9000 cache size     2293, 11389023 req, miss ratio 0.7485, byte miss ratio 0.7485
cdn1_colo28.ns36 S3FIFO-0.2000-1.9000 cache size     6880, 11389023 req, miss ratio 0.6485, byte miss ratio 0.6485
cdn1_colo28.ns36 S3FIFO-0.2000-1.9000 cache size    22934, 11389023 req, miss ratio 0.5383, byte miss ratio 0.5383
cdn1_colo28.ns36 S3FIFO-0.2000-1.9000 cache size    68803, 11389023 req, miss ratio 0.4332, byte miss ratio 0.4332
cdn1_colo28.ns36 S3FIFO-0.2000-1.9000 cache size   229346, 11389023 req, miss ratio 0.3158, byte miss ratio 0.3158
cdn1_colo28.ns36 S3FIFO-0.2000-1.9000 cache size   458692, 11389023 req, miss ratio 0.2617, byte miss ratio 0.2617
cdn1_colo28.ns36 S3FIFO-0.2000-1.9000 cache size   917385, 11389023 req, miss ratio 0.2235, byte miss ratio 0.2235
cdn1_colo28.ns36 S3FIFO-0.2000-1.9000 cache size  1834770, 11389023 req, miss ratio 0.2031, byte miss ratio 0.2031
cdn1_colo28.ns36 S3FIFO-0.2500-1.9000 cache size     2293, 11389023 req, miss ratio 0.7528, byte miss ratio 0.7528
cdn1_colo28.ns36 S3FIFO-0.2500-1.9000 cache size     6880, 11389023 req, miss ratio 0.6528, byte miss ratio 0.6528
cdn1_colo28.ns36 S3FIFO-0.2500-1.9000 cache size    22934, 11389023 req, miss ratio 0.5421, byte miss ratio 0.5421
cdn1_colo28.ns36 S3FIFO-0.2500-1.9000 cache size    68803, 11389023 req, miss ratio 0.4370, byte miss ratio 0.4370
cdn1_colo28.ns36 S3FIFO-0.2500-1.9000 cache size   229346, 11389023 req, miss ratio 0.3187, byte miss ratio 0.3187
cdn1_colo28.ns36 S3FIFO-0.2500-1.9000 cache size   458692, 11389023 req, miss ratio 0.2628, byte miss ratio 0.2628
cdn1_colo28.ns36 S3FIFO-0.2500-1.9000 cache size   917385, 11389023 req, miss ratio 0.2236, byte miss ratio 0.2236
cdn1_colo28.ns36 S3FIFO-0.2500-1.9000 cache size  1834770, 11389023 req, miss ratio 0.2031, byte miss ratio 0.2031
cdn1_colo28.ns36 S3FIFO-0.9900-1.9000 cache size     2293, 11389023 req, miss ratio 0.8629, byte miss ratio 0.8629
cdn1_colo28.ns36 S3FIFO-0.9900-1.9000 cache size     6880, 11389023 req, miss ratio 0.7825, byte miss ratio 0.7825
cdn1_colo28.ns36 S3FIFO-0.9900-1.9000 cache size    22934, 11389023 req, miss ratio 0.6629, byte miss ratio 0.6629
cdn1_colo28.ns36 S3FIFO-0.9900-1.9000 cache size    68803, 11389023 req, miss ratio 0.5407, byte miss ratio 0.5407
cdn1_colo28.ns36 S3FIFO-0.9900-1.9000 cache size   229346, 11389023 req, miss ratio 0.4026, byte miss ratio 0.4026
cdn1_colo28.ns36 S3FIFO-0.9900-1.9000 cache size   458692, 11389023 req, miss ratio 0.3220, byte miss ratio 0.3220
cdn1_colo28.ns36 S3FIFO-0.9900-1.9000 cache size   917385, 11389023 req, miss ratio 0.2573, byte miss ratio 0.2573
cdn1_colo28.ns36 S3FIFO-0.9900-1.9000 cache size  1834770, 11389023 req, miss ratio 0.2140, byte miss ratio 0.2140
cdn1_colo28.ns36 S3FIFO-0.7500-0.9000 cache size     2293, 11389023 req, miss ratio 0.8097, byte miss ratio 0.8097
cdn1_colo28.ns36 S3FIFO-0.7500-0.9000 cache size     6880, 11389023 req, miss ratio 0.7176, byte miss ratio 0.7176
cdn1_colo28.ns36 S3FIFO-0.7500-0.9000 cache size    22934, 11389023 req, miss ratio 0.6004, byte miss ratio 0.6004
cdn1_colo28.ns36 S3FIFO-0.7500-0.9000 cache size    68803, 11389023 req, miss ratio 0.4884, byte miss ratio 0.4884
cdn1_colo28.ns36 S3FIFO-0.7500-0.9000 cache size   229346, 11389023 req, miss ratio 0.3643, byte miss ratio 0.3643
cdn1_colo28.ns36 S3FIFO-0.7500-0.9000 cache size   458692, 11389023 req, miss ratio 0.2912, byte miss ratio 0.2912
cdn1_colo28.ns36 S3FIFO-0.7500-0.9000 cache size   917385, 11389023 req, miss ratio 0.2356, byte miss ratio 0.2356
cdn1_colo28.ns36 S3FIFO-0.7500-0.9000 cache size  1834770, 11389023 req, miss ratio 0.2032, byte miss ratio 0.2032
cdn1_colo28.ns36 S3FIFO-0.0050-0.9000 cache size     2293, 11389023 req, miss ratio 0.7394, byte miss ratio 0.7394
