cdn1_allcolo.ns1114 S3FIFO-0.0500-1.9000 cache size        7, 23514760 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns1114 S3FIFO-0.0500-1.9000 cache size       22, 23514760 req, miss ratio 0.3998, byte miss ratio 0.3998
cdn1_allcolo.ns1114 S3FIFO-0.0500-1.9000 cache size       73, 23514760 req, miss ratio 0.2964, byte miss ratio 0.2964
cdn1_allcolo.ns1114 S3FIFO-0.0500-1.9000 cache size      220, 23514760 req, miss ratio 0.1415, byte miss ratio 0.1415
cdn1_allcolo.ns1114 S3FIFO-0.0500-1.9000 cache size      733, 23514760 req, miss ratio 0.0211, byte miss ratio 0.0211
cdn1_allcolo.ns1114 S3FIFO-0.0500-1.9000 cache size     1467, 23514760 req, miss ratio 0.0057, byte miss ratio 0.0057
cdn1_allcolo.ns1114 S3FIFO-0.0500-1.9000 cache size     2934, 23514760 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns1114 S3FIFO-0.0500-1.9000 cache size     5868, 23514760 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn1_allcolo.ns1114 S3FIFO-0.3500-0.9000 cache size        7, 23514760 req, miss ratio 0.4539, byte miss ratio 0.4539
cdn1_allcolo.ns1114 S3FIFO-0.3500-0.9000 cache size       22, 23514760 req, miss ratio 0.4064, byte miss ratio 0.4064
cdn1_allcolo.ns1114 S3FIFO-0.3500-0.9000 cache size       73, 23514760 req, miss ratio 0.3032, byte miss ratio 0.3032
cdn1_allcolo.ns1114 S3FIFO-0.3500-0.9000 cache size      220, 23514760 req, miss ratio 0.1574, byte miss ratio 0.1574
cdn1_allcolo.ns1114 S3FIFO-0.3500-0.9000 cache size      733, 23514760 req, miss ratio 0.0271, byte miss ratio 0.0271
cdn1_allcolo.ns1114 S3FIFO-0.3500-0.9000 cache size     1467, 23514760 req, miss ratio 0.0071, byte miss ratio 0.0071
cdn1_allcolo.ns1114 S3FIFO-0.3500-0.9000 cache size     2934, 23514760 req, miss ratio 0.0010, byte miss ratio 0.0010
cdn1_allcolo.ns1114 S3FIFO-0.3500-0.9000 cache size     5868, 23514760 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn1_allcolo.ns1114 S3FIFO-0.0050-0.9000 cache size        7, 23514760 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns1114 S3FIFO-0.0050-0.9000 cache size       22, 23514760 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns1114 S3FIFO-0.0050-0.9000 cache size       73, 23514760 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns1114 S3FIFO-0.0050-0.9000 cache size      220, 23514760 req, miss ratio 0.1416, byte miss ratio 0.1416
cdn1_allcolo.ns1114 S3FIFO-0.0050-0.9000 cache size      733, 23514760 req, miss ratio 0.0206, byte miss ratio 0.0206
cdn1_allcolo.ns1114 S3FIFO-0.0050-0.9000 cache size     1467, 23514760 req, miss ratio 0.0056, byte miss ratio 0.0056
cdn1_allcolo.ns1114 S3FIFO-0.0050-0.9000 cache size     2934, 23514760 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns1114 S3FIFO-0.0050-0.9000 cache size     5868, 23514760 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn1_allcolo.ns1114 S3FIFO-0.9900-1.9000 cache size        7, 23514760 req, miss ratio 0.4593, byte miss ratio 0.4593
cdn1_allcolo.ns1114 S3FIFO-0.9900-1.9000 cache size       22, 23514760 req, miss ratio 0.4157, byte miss ratio 0.4157
cdn1_allcolo.ns1114 S3FIFO-0.9900-1.9000 cache size       73, 23514760 req, miss ratio 0.3273, byte miss ratio 0.3273
cdn1_allcolo.ns1114 S3FIFO-0.9900-1.9000 cache size      220, 23514760 req, miss ratio 0.1917, byte miss ratio 0.1917
cdn1_allcolo.ns1114 S3FIFO-0.9900-1.9000 cache size      733, 23514760 req, miss ratio 0.0460, byte miss ratio 0.0460
cdn1_allcolo.ns1114 S3FIFO-0.9900-1.9000 cache size     1467, 23514760 req, miss ratio 0.0126, byte miss ratio 0.0126
cdn1_allcolo.ns1114 S3FIFO-0.9900-1.9000 cache size     2934, 23514760 req, miss ratio 0.0021, byte miss ratio 0.0021
cdn1_allcolo.ns1114 S3FIFO-0.9900-1.9000 cache size     5868, 23514760 req, miss ratio 0.0005, byte miss ratio 0.0005
cdn1_allcolo.ns1114 S3FIFO-0.8000-1.9000 cache size        7, 23514760 req, miss ratio 0.4586, byte miss ratio 0.4586
cdn1_allcolo.ns1114 S3FIFO-0.8000-1.9000 cache size       22, 23514760 req, miss ratio 0.4146, byte miss ratio 0.4146
cdn1_allcolo.ns1114 S3FIFO-0.8000-1.9000 cache size       73, 23514760 req, miss ratio 0.3223, byte miss ratio 0.3223
cdn1_allcolo.ns1114 S3FIFO-0.8000-1.9000 cache size      220, 23514760 req, miss ratio 0.1830, byte miss ratio 0.1830
cdn1_allcolo.ns1114 S3FIFO-0.8000-1.9000 cache size      733, 23514760 req, miss ratio 0.0399, byte miss ratio 0.0399
cdn1_allcolo.ns1114 S3FIFO-0.8000-1.9000 cache size     1467, 23514760 req, miss ratio 0.0105, byte miss ratio 0.0105
cdn1_allcolo.ns1114 S3FIFO-0.8000-1.9000 cache size     2934, 23514760 req, miss ratio 0.0017, byte miss ratio 0.0017
cdn1_allcolo.ns1114 S3FIFO-0.8000-1.9000 cache size     5868, 23514760 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn1_allcolo.ns1114 S3FIFO-0.7000-1.9000 cache size        7, 23514760 req, miss ratio 0.4572, byte miss ratio 0.4572
cdn1_allcolo.ns1114 S3FIFO-0.7000-1.9000 cache size       22, 23514760 req, miss ratio 0.4135, byte miss ratio 0.4135
cdn1_allcolo.ns1114 S3FIFO-0.7000-1.9000 cache size       73, 23514760 req, miss ratio 0.3180, byte miss ratio 0.3180
cdn1_allcolo.ns1114 S3FIFO-0.7000-1.9000 cache size      220, 23514760 req, miss ratio 0.1774, byte miss ratio 0.1774
cdn1_allcolo.ns1114 S3FIFO-0.7000-1.9000 cache size      733, 23514760 req, miss ratio 0.0366, byte miss ratio 0.0366
cdn1_allcolo.ns1114 S3FIFO-0.7000-1.9000 cache size     1467, 23514760 req, miss ratio 0.0095, byte miss ratio 0.0095
cdn1_allcolo.ns1114 S3FIFO-0.7000-1.9000 cache size     2934, 23514760 req, miss ratio 0.0015, byte miss ratio 0.0015
cdn1_allcolo.ns1114 S3FIFO-0.7000-1.9000 cache size     5868, 23514760 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn1_allcolo.ns1114 S3FIFO-0.5000-1.9000 cache size        7, 23514760 req, miss ratio 0.4555, byte miss ratio 0.4555
cdn1_allcolo.ns1114 S3FIFO-0.5000-1.9000 cache size       22, 23514760 req, miss ratio 0.4104, byte miss ratio 0.4104
cdn1_allcolo.ns1114 S3FIFO-0.5000-1.9000 cache size       73, 23514760 req, miss ratio 0.3090, byte miss ratio 0.3090
cdn1_allcolo.ns1114 S3FIFO-0.5000-1.9000 cache size      220, 23514760 req, miss ratio 0.1659, byte miss ratio 0.1659
