tencentBlock.ns7109 S3FIFO-0.7500-0.9000 cache size      173, 1476878 req, miss ratio 0.4835, byte miss ratio 0.4835
tencentBlock.ns7109 S3FIFO-0.7500-0.9000 cache size      521, 1476878 req, miss ratio 0.4698, byte miss ratio 0.4698
tencentBlock.ns7109 S3FIFO-0.7500-0.9000 cache size     1738, 1476878 req, miss ratio 0.4649, byte miss ratio 0.4649
tencentBlock.ns7109 S3FIFO-0.7500-0.9000 cache size     5215, 1476878 req, miss ratio 0.4637, byte miss ratio 0.4637
tencentBlock.ns7109 S3FIFO-0.7500-0.9000 cache size    17385, 1476878 req, miss ratio 0.4507, byte miss ratio 0.4507
tencentBlock.ns7109 S3FIFO-0.7500-0.9000 cache size    34770, 1476878 req, miss ratio 0.3948, byte miss ratio 0.3948
tencentBlock.ns7109 S3FIFO-0.7500-0.9000 cache size    69541, 1476878 req, miss ratio 0.2829, byte miss ratio 0.2829
tencentBlock.ns7109 S3FIFO-0.7500-0.9000 cache size   139083, 1476878 req, miss ratio 0.1616, byte miss ratio 0.1616
tencentBlock.ns7109 S3FIFO-0.9500-1.9000 cache size      173, 1476878 req, miss ratio 0.5291, byte miss ratio 0.5291
tencentBlock.ns7109 S3FIFO-0.9500-1.9000 cache size      521, 1476878 req, miss ratio 0.4826, byte miss ratio 0.4826
tencentBlock.ns7109 S3FIFO-0.9500-1.9000 cache size     1738, 1476878 req, miss ratio 0.4687, byte miss ratio 0.4687
tencentBlock.ns7109 S3FIFO-0.9500-1.9000 cache size     5215, 1476878 req, miss ratio 0.4650, byte miss ratio 0.4650
tencentBlock.ns7109 S3FIFO-0.9500-1.9000 cache size    17385, 1476878 req, miss ratio 0.4329, byte miss ratio 0.4329
tencentBlock.ns7109 S3FIFO-0.9500-1.9000 cache size    34770, 1476878 req, miss ratio 0.3836, byte miss ratio 0.3836
tencentBlock.ns7109 S3FIFO-0.9500-1.9000 cache size    69541, 1476878 req, miss ratio 0.2822, byte miss ratio 0.2822
tencentBlock.ns7109 S3FIFO-0.9500-1.9000 cache size   139083, 1476878 req, miss ratio 0.1670, byte miss ratio 0.1670
tencentBlock.ns7109 S3FIFO-0.6000-1.9000 cache size      173, 1476878 req, miss ratio 0.4771, byte miss ratio 0.4771
tencentBlock.ns7109 S3FIFO-0.6000-1.9000 cache size      521, 1476878 req, miss ratio 0.4678, byte miss ratio 0.4678
tencentBlock.ns7109 S3FIFO-0.6000-1.9000 cache size     1738, 1476878 req, miss ratio 0.4643, byte miss ratio 0.4643
tencentBlock.ns7109 S3FIFO-0.6000-1.9000 cache size     5215, 1476878 req, miss ratio 0.4637, byte miss ratio 0.4637
tencentBlock.ns7109 S3FIFO-0.6000-1.9000 cache size    17385, 1476878 req, miss ratio 0.4468, byte miss ratio 0.4468
tencentBlock.ns7109 S3FIFO-0.6000-1.9000 cache size    34770, 1476878 req, miss ratio 0.3911, byte miss ratio 0.3911
