cdn2_nyc.ns280.oracleGeneral.bin.zst S3FIFO-0.0500-0.9000 cache size  5846945, 25527458 req, miss ratio 0.2863, byte miss ratio 0.2863
cdn2_nyc.ns280.oracleGeneral.bin.zst S3FIFO-0.5000-0.9000 cache size     7308, 25527458 req, miss ratio 0.2868, byte miss ratio 0.2868
cdn2_nyc.ns280.oracleGeneral.bin.zst S3FIFO-0.5000-0.9000 cache size    21926, 25527458 req, miss ratio 0.2864, byte miss ratio 0.2864
cdn2_nyc.ns280.oracleGeneral.bin.zst S3FIFO-0.5000-0.9000 cache size    73086, 25527458 req, miss ratio 0.2864, byte miss ratio 0.2864
cdn2_nyc.ns280.oracleGeneral.bin.zst S3FIFO-0.5000-0.9000 cache size   219260, 25527458 req, miss ratio 0.2863, byte miss ratio 0.2863
cdn2_nyc.ns280.oracleGeneral.bin.zst S3FIFO-0.5000-0.9000 cache size   730868, 25527458 req, miss ratio 0.2863, byte miss ratio 0.2863
cdn2_nyc.ns280.oracleGeneral.bin.zst S3FIFO-0.5000-0.9000 cache size  1461736, 25527458 req, miss ratio 0.2863, byte miss ratio 0.2863
cdn2_nyc.ns280.oracleGeneral.bin.zst S3FIFO-0.5000-0.9000 cache size  2923472, 25527458 req, miss ratio 0.2863, byte miss ratio 0.2863
cdn2_nyc.ns280.oracleGeneral.bin.zst S3FIFO-0.5000-0.9000 cache size  5846945, 25527458 req, miss ratio 0.2863, byte miss ratio 0.2863
cdn2_nyc.ns280.oracleGeneral.bin.zst S3FIFO-0.8500-0.9000 cache size     7308, 25527458 req, miss ratio 0.2867, byte miss ratio 0.2867
cdn2_nyc.ns280.oracleGeneral.bin.zst S3FIFO-0.8500-0.9000 cache size    21926, 25527458 req, miss ratio 0.2864, byte miss ratio 0.2864
cdn2_nyc.ns280.oracleGeneral.bin.zst S3FIFO-0.8500-0.9000 cache size    73086, 25527458 req, miss ratio 0.2864, byte miss ratio 0.2864
cdn2_nyc.ns280.oracleGeneral.bin.zst S3FIFO-0.8500-0.9000 cache size   219260, 25527458 req, miss ratio 0.2863, byte miss ratio 0.2863
cdn2_nyc.ns280.oracleGeneral.bin.zst S3FIFO-0.8500-0.9000 cache size   730868, 25527458 req, miss ratio 0.2863, byte miss ratio 0.2863
cdn2_nyc.ns280.oracleGeneral.bin.zst S3FIFO-0.8500-0.9000 cache size  1461736, 25527458 req, miss ratio 0.2863, byte miss ratio 0.2863
cdn2_nyc.ns280.oracleGeneral.bin.zst S3FIFO-0.8500-0.9000 cache size  2923472, 25527458 req, miss ratio 0.2863, byte miss ratio 0.2863
cdn2_nyc.ns280.oracleGeneral.bin.zst S3FIFO-0.8500-0.9000 cache size  5846945, 25527458 req, miss ratio 0.2863, byte miss ratio 0.2863
