cdn1_allcolo.ns20294 S3FIFO-0.3000-0.9000 cache size       15, 3785047 req, miss ratio 0.0154, byte miss ratio 0.0154
cdn1_allcolo.ns20294 S3FIFO-0.3000-0.9000 cache size       45, 3785047 req, miss ratio 0.0076, byte miss ratio 0.0076
cdn1_allcolo.ns20294 S3FIFO-0.3000-0.9000 cache size      151, 3785047 req, miss ratio 0.0051, byte miss ratio 0.0051
cdn1_allcolo.ns20294 S3FIFO-0.3000-0.9000 cache size      454, 3785047 req, miss ratio 0.0044, byte miss ratio 0.0044
cdn1_allcolo.ns20294 S3FIFO-0.3000-0.9000 cache size     1515, 3785047 req, miss ratio 0.0041, byte miss ratio 0.0041
cdn1_allcolo.ns20294 S3FIFO-0.3000-0.9000 cache size     3030, 3785047 req, miss ratio 0.0040, byte miss ratio 0.0040
cdn1_allcolo.ns20294 S3FIFO-0.3000-0.9000 cache size     6061, 3785047 req, miss ratio 0.0040, byte miss ratio 0.0040
cdn1_allcolo.ns20294 S3FIFO-0.3000-0.9000 cache size    12123, 3785047 req, miss ratio 0.0040, byte miss ratio 0.0040
cdn1_allcolo.ns20294 S3FIFO-0.0100-0.9000 cache size       15, 3785047 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns20294 S3FIFO-0.0100-0.9000 cache size       45, 3785047 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns20294 S3FIFO-0.0100-0.9000 cache size      151, 3785047 req, miss ratio 0.0068, byte miss ratio 0.0068
cdn1_allcolo.ns20294 S3FIFO-0.0100-0.9000 cache size      454, 3785047 req, miss ratio 0.0046, byte miss ratio 0.0046
cdn1_allcolo.ns20294 S3FIFO-0.0100-0.9000 cache size     1515, 3785047 req, miss ratio 0.0041, byte miss ratio 0.0041
cdn1_allcolo.ns20294 S3FIFO-0.0100-0.9000 cache size     3030, 3785047 req, miss ratio 0.0040, byte miss ratio 0.0040
cdn1_allcolo.ns20294 S3FIFO-0.0100-0.9000 cache size     6061, 3785047 req, miss ratio 0.0040, byte miss ratio 0.0040
cdn1_allcolo.ns20294 S3FIFO-0.0100-0.9000 cache size    12123, 3785047 req, miss ratio 0.0040, byte miss ratio 0.0040
cdn1_allcolo.ns20294 S3FIFO-0.3500-0.9000 cache size       15, 3785047 req, miss ratio 0.0157, byte miss ratio 0.0157
cdn1_allcolo.ns20294 S3FIFO-0.3500-0.9000 cache size       45, 3785047 req, miss ratio 0.0076, byte miss ratio 0.0076
cdn1_allcolo.ns20294 S3FIFO-0.3500-0.9000 cache size      151, 3785047 req, miss ratio 0.0052, byte miss ratio 0.0052
cdn1_allcolo.ns20294 S3FIFO-0.3500-0.9000 cache size      454, 3785047 req, miss ratio 0.0044, byte miss ratio 0.0044
cdn1_allcolo.ns20294 S3FIFO-0.3500-0.9000 cache size     1515, 3785047 req, miss ratio 0.0041, byte miss ratio 0.0041
cdn1_allcolo.ns20294 S3FIFO-0.3500-0.9000 cache size     3030, 3785047 req, miss ratio 0.0040, byte miss ratio 0.0040
cdn1_allcolo.ns20294 S3FIFO-0.3500-0.9000 cache size     6061, 3785047 req, miss ratio 0.0040, byte miss ratio 0.0040
cdn1_allcolo.ns20294 S3FIFO-0.3500-0.9000 cache size    12123, 3785047 req, miss ratio 0.0040, byte miss ratio 0.0040
cdn1_allcolo.ns20294 S3FIFO-0.7000-0.9000 cache size       15, 3785047 req, miss ratio 0.0184, byte miss ratio 0.0184
cdn1_allcolo.ns20294 S3FIFO-0.7000-0.9000 cache size       45, 3785047 req, miss ratio 0.0084, byte miss ratio 0.0084
cdn1_allcolo.ns20294 S3FIFO-0.7000-0.9000 cache size      151, 3785047 req, miss ratio 0.0056, byte miss ratio 0.0056
cdn1_allcolo.ns20294 S3FIFO-0.7000-0.9000 cache size      454, 3785047 req, miss ratio 0.0046, byte miss ratio 0.0046
cdn1_allcolo.ns20294 S3FIFO-0.7000-0.9000 cache size     1515, 3785047 req, miss ratio 0.0041, byte miss ratio 0.0041
cdn1_allcolo.ns20294 S3FIFO-0.7000-0.9000 cache size     3030, 3785047 req, miss ratio 0.0040, byte miss ratio 0.0040
cdn1_allcolo.ns20294 S3FIFO-0.7000-0.9000 cache size     6061, 3785047 req, miss ratio 0.0040, byte miss ratio 0.0040
cdn1_allcolo.ns20294 S3FIFO-0.7000-0.9000 cache size    12123, 3785047 req, miss ratio 0.0040, byte miss ratio 0.0040
cdn1_allcolo.ns20294 S3FIFO-0.5000-1.9000 cache size       15, 3785047 req, miss ratio 0.0166, byte miss ratio 0.0166
cdn1_allcolo.ns20294 S3FIFO-0.5000-1.9000 cache size       45, 3785047 req, miss ratio 0.0079, byte miss ratio 0.0079
cdn1_allcolo.ns20294 S3FIFO-0.5000-1.9000 cache size      151, 3785047 req, miss ratio 0.0053, byte miss ratio 0.0053
cdn1_allcolo.ns20294 S3FIFO-0.5000-1.9000 cache size      454, 3785047 req, miss ratio 0.0045, byte miss ratio 0.0045
cdn1_allcolo.ns20294 S3FIFO-0.5000-1.9000 cache size     1515, 3785047 req, miss ratio 0.0041, byte miss ratio 0.0041
cdn1_allcolo.ns20294 S3FIFO-0.5000-1.9000 cache size     3030, 3785047 req, miss ratio 0.0040, byte miss ratio 0.0040
cdn1_allcolo.ns20294 S3FIFO-0.5000-1.9000 cache size     6061, 3785047 req, miss ratio 0.0040, byte miss ratio 0.0040
cdn1_allcolo.ns20294 S3FIFO-0.5000-1.9000 cache size    12123, 3785047 req, miss ratio 0.0040, byte miss ratio 0.0040
cdn1_allcolo.ns20294 S3FIFO-0.0250-1.9000 cache size       15, 3785047 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns20294 S3FIFO-0.0250-1.9000 cache size       45, 3785047 req, miss ratio 0.0092, byte miss ratio 0.0092
cdn1_allcolo.ns20294 S3FIFO-0.0250-1.9000 cache size      151, 3785047 req, miss ratio 0.0057, byte miss ratio 0.0057
cdn1_allcolo.ns20294 S3FIFO-0.0250-1.9000 cache size      454, 3785047 req, miss ratio 0.0044, byte miss ratio 0.0044
cdn1_allcolo.ns20294 S3FIFO-0.0250-1.9000 cache size     1515, 3785047 req, miss ratio 0.0040, byte miss ratio 0.0040
cdn1_allcolo.ns20294 S3FIFO-0.0250-1.9000 cache size     3030, 3785047 req, miss ratio 0.0040, byte miss ratio 0.0040
