cdn1_colo28.ns1276 S3FIFO-0.9900-1.9000 cache size       13, 2071350 req, miss ratio 0.3100, byte miss ratio 0.3100
cdn1_colo28.ns1276 S3FIFO-0.9900-1.9000 cache size       39, 2071350 req, miss ratio 0.0229, byte miss ratio 0.0229
cdn1_colo28.ns1276 S3FIFO-0.9900-1.9000 cache size      131, 2071350 req, miss ratio 0.0097, byte miss ratio 0.0097
cdn1_colo28.ns1276 S3FIFO-0.9900-1.9000 cache size      395, 2071350 req, miss ratio 0.0075, byte miss ratio 0.0075
cdn1_colo28.ns1276 S3FIFO-0.9900-1.9000 cache size     1318, 2071350 req, miss ratio 0.0068, byte miss ratio 0.0068
cdn1_colo28.ns1276 S3FIFO-0.9900-1.9000 cache size     2636, 2071350 req, miss ratio 0.0066, byte miss ratio 0.0066
cdn1_colo28.ns1276 S3FIFO-0.9900-1.9000 cache size     5273, 2071350 req, miss ratio 0.0065, byte miss ratio 0.0065
cdn1_colo28.ns1276 S3FIFO-0.9900-1.9000 cache size    10547, 2071350 req, miss ratio 0.0064, byte miss ratio 0.0064
cdn1_colo28.ns1276 S3FIFO-0.0010-1.9000 cache size       13, 2071350 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns1276 S3FIFO-0.0010-1.9000 cache size       39, 2071350 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns1276 S3FIFO-0.0010-1.9000 cache size      131, 2071350 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns1276 S3FIFO-0.0010-1.9000 cache size      395, 2071350 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns1276 S3FIFO-0.0010-1.9000 cache size     1318, 2071350 req, miss ratio 0.0066, byte miss ratio 0.0066
cdn1_colo28.ns1276 S3FIFO-0.0010-1.9000 cache size     2636, 2071350 req, miss ratio 0.0065, byte miss ratio 0.0065
cdn1_colo28.ns1276 S3FIFO-0.0010-1.9000 cache size     5273, 2071350 req, miss ratio 0.0064, byte miss ratio 0.0064
cdn1_colo28.ns1276 S3FIFO-0.0010-1.9000 cache size    10547, 2071350 req, miss ratio 0.0064, byte miss ratio 0.0064
cdn1_colo28.ns1276 S3FIFO-0.6000-1.9000 cache size       13, 2071350 req, miss ratio 0.3237, byte miss ratio 0.3237
cdn1_colo28.ns1276 S3FIFO-0.6000-1.9000 cache size       39, 2071350 req, miss ratio 0.0162, byte miss ratio 0.0162
cdn1_colo28.ns1276 S3FIFO-0.6000-1.9000 cache size      131, 2071350 req, miss ratio 0.0077, byte miss ratio 0.0077
cdn1_colo28.ns1276 S3FIFO-0.6000-1.9000 cache size      395, 2071350 req, miss ratio 0.0067, byte miss ratio 0.0067
cdn1_colo28.ns1276 S3FIFO-0.6000-1.9000 cache size     1318, 2071350 req, miss ratio 0.0066, byte miss ratio 0.0066
cdn1_colo28.ns1276 S3FIFO-0.6000-1.9000 cache size     2636, 2071350 req, miss ratio 0.0065, byte miss ratio 0.0065
cdn1_colo28.ns1276 S3FIFO-0.6000-1.9000 cache size     5273, 2071350 req, miss ratio 0.0064, byte miss ratio 0.0064
cdn1_colo28.ns1276 S3FIFO-0.6000-1.9000 cache size    10547, 2071350 req, miss ratio 0.0064, byte miss ratio 0.0064
cdn1_colo28.ns1276 S3FIFO-0.6500-1.9000 cache size       13, 2071350 req, miss ratio 0.3222, byte miss ratio 0.3222
cdn1_colo28.ns1276 S3FIFO-0.6500-1.9000 cache size       39, 2071350 req, miss ratio 0.0173, byte miss ratio 0.0173
cdn1_colo28.ns1276 S3FIFO-0.6500-1.9000 cache size      131, 2071350 req, miss ratio 0.0078, byte miss ratio 0.0078
cdn1_colo28.ns1276 S3FIFO-0.6500-1.9000 cache size      395, 2071350 req, miss ratio 0.0067, byte miss ratio 0.0067
cdn1_colo28.ns1276 S3FIFO-0.6500-1.9000 cache size     1318, 2071350 req, miss ratio 0.0066, byte miss ratio 0.0066
cdn1_colo28.ns1276 S3FIFO-0.6500-1.9000 cache size     2636, 2071350 req, miss ratio 0.0065, byte miss ratio 0.0065
cdn1_colo28.ns1276 S3FIFO-0.6500-1.9000 cache size     5273, 2071350 req, miss ratio 0.0064, byte miss ratio 0.0064
cdn1_colo28.ns1276 S3FIFO-0.6500-1.9000 cache size    10547, 2071350 req, miss ratio 0.0064, byte miss ratio 0.0064
cdn1_colo28.ns1276 S3FIFO-0.2500-0.9000 cache size       13, 2071350 req, miss ratio 0.3241, byte miss ratio 0.3241
cdn1_colo28.ns1276 S3FIFO-0.2500-0.9000 cache size       39, 2071350 req, miss ratio 0.0107, byte miss ratio 0.0107
cdn1_colo28.ns1276 S3FIFO-0.2500-0.9000 cache size      131, 2071350 req, miss ratio 0.0071, byte miss ratio 0.0071
cdn1_colo28.ns1276 S3FIFO-0.2500-0.9000 cache size      395, 2071350 req, miss ratio 0.0066, byte miss ratio 0.0066
cdn1_colo28.ns1276 S3FIFO-0.2500-0.9000 cache size     1318, 2071350 req, miss ratio 0.0065, byte miss ratio 0.0065
cdn1_colo28.ns1276 S3FIFO-0.2500-0.9000 cache size     2636, 2071350 req, miss ratio 0.0065, byte miss ratio 0.0065
cdn1_colo28.ns1276 S3FIFO-0.2500-0.9000 cache size     5273, 2071350 req, miss ratio 0.0064, byte miss ratio 0.0064
cdn1_colo28.ns1276 S3FIFO-0.2500-0.9000 cache size    10547, 2071350 req, miss ratio 0.0064, byte miss ratio 0.0064
cdn1_colo28.ns1276 S3FIFO-0.9500-1.9000 cache size       13, 2071350 req, miss ratio 0.3100, byte miss ratio 0.3100
cdn1_colo28.ns1276 S3FIFO-0.9500-1.9000 cache size       39, 2071350 req, miss ratio 0.0226, byte miss ratio 0.0226
cdn1_colo28.ns1276 S3FIFO-0.9500-1.9000 cache size      131, 2071350 req, miss ratio 0.0094, byte miss ratio 0.0094
cdn1_colo28.ns1276 S3FIFO-0.9500-1.9000 cache size      395, 2071350 req, miss ratio 0.0073, byte miss ratio 0.0073
cdn1_colo28.ns1276 S3FIFO-0.9500-1.9000 cache size     1318, 2071350 req, miss ratio 0.0067, byte miss ratio 0.0067
cdn1_colo28.ns1276 S3FIFO-0.9500-1.9000 cache size     2636, 2071350 req, miss ratio 0.0065, byte miss ratio 0.0065
cdn1_colo28.ns1276 S3FIFO-0.9500-1.9000 cache size     5273, 2071350 req, miss ratio 0.0065, byte miss ratio 0.0065
cdn1_colo28.ns1276 S3FIFO-0.9500-1.9000 cache size    10547, 2071350 req, miss ratio 0.0064, byte miss ratio 0.0064
cdn1_colo28.ns1276 S3FIFO-0.2500-1.9000 cache size       13, 2071350 req, miss ratio 0.3241, byte miss ratio 0.3241
cdn1_colo28.ns1276 S3FIFO-0.2500-1.9000 cache size       39, 2071350 req, miss ratio 0.0107, byte miss ratio 0.0107
cdn1_colo28.ns1276 S3FIFO-0.2500-1.9000 cache size      131, 2071350 req, miss ratio 0.0071, byte miss ratio 0.0071
cdn1_colo28.ns1276 S3FIFO-0.2500-1.9000 cache size      395, 2071350 req, miss ratio 0.0066, byte miss ratio 0.0066
cdn1_colo28.ns1276 S3FIFO-0.2500-1.9000 cache size     1318, 2071350 req, miss ratio 0.0065, byte miss ratio 0.0065
cdn1_colo28.ns1276 S3FIFO-0.2500-1.9000 cache size     2636, 2071350 req, miss ratio 0.0065, byte miss ratio 0.0065
cdn1_colo28.ns1276 S3FIFO-0.2500-1.9000 cache size     5273, 2071350 req, miss ratio 0.0064, byte miss ratio 0.0064
cdn1_colo28.ns1276 S3FIFO-0.2500-1.9000 cache size    10547, 2071350 req, miss ratio 0.0064, byte miss ratio 0.0064
cdn1_colo28.ns1276 S3FIFO-0.0100-1.9000 cache size       13, 2071350 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns1276 S3FIFO-0.0100-1.9000 cache size       39, 2071350 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns1276 S3FIFO-0.0100-1.9000 cache size      131, 2071350 req, miss ratio 0.0069, byte miss ratio 0.0069
cdn1_colo28.ns1276 S3FIFO-0.0100-1.9000 cache size      395, 2071350 req, miss ratio 0.0066, byte miss ratio 0.0066
cdn1_colo28.ns1276 S3FIFO-0.0100-1.9000 cache size     1318, 2071350 req, miss ratio 0.0066, byte miss ratio 0.0066
cdn1_colo28.ns1276 S3FIFO-0.0100-1.9000 cache size     2636, 2071350 req, miss ratio 0.0065, byte miss ratio 0.0065
cdn1_colo28.ns1276 S3FIFO-0.0100-1.9000 cache size     5273, 2071350 req, miss ratio 0.0064, byte miss ratio 0.0064
cdn1_colo28.ns1276 S3FIFO-0.0100-1.9000 cache size    10547, 2071350 req, miss ratio 0.0064, byte miss ratio 0.0064
cdn1_colo28.ns1276 S3FIFO-0.5500-1.9000 cache size       13, 2071350 req, miss ratio 0.3237, byte miss ratio 0.3237
cdn1_colo28.ns1276 S3FIFO-0.5500-1.9000 cache size       39, 2071350 req, miss ratio 0.0152, byte miss ratio 0.0152
cdn1_colo28.ns1276 S3FIFO-0.5500-1.9000 cache size      131, 2071350 req, miss ratio 0.0076, byte miss ratio 0.0076
cdn1_colo28.ns1276 S3FIFO-0.5500-1.9000 cache size      395, 2071350 req, miss ratio 0.0067, byte miss ratio 0.0067
cdn1_colo28.ns1276 S3FIFO-0.5500-1.9000 cache size     1318, 2071350 req, miss ratio 0.0066, byte miss ratio 0.0066
cdn1_colo28.ns1276 S3FIFO-0.5500-1.9000 cache size     2636, 2071350 req, miss ratio 0.0065, byte miss ratio 0.0065
cdn1_colo28.ns1276 S3FIFO-0.5500-1.9000 cache size     5273, 2071350 req, miss ratio 0.0064, byte miss ratio 0.0064
cdn1_colo28.ns1276 S3FIFO-0.5500-1.9000 cache size    10547, 2071350 req, miss ratio 0.0064, byte miss ratio 0.0064
cdn1_colo28.ns1276 S3FIFO-0.5000-1.9000 cache size       13, 2071350 req, miss ratio 0.3247, byte miss ratio 0.3247
cdn1_colo28.ns1276 S3FIFO-0.5000-1.9000 cache size       39, 2071350 req, miss ratio 0.0138, byte miss ratio 0.0138
cdn1_colo28.ns1276 S3FIFO-0.5000-1.9000 cache size      131, 2071350 req, miss ratio 0.0075, byte miss ratio 0.0075
cdn1_colo28.ns1276 S3FIFO-0.5000-1.9000 cache size      395, 2071350 req, miss ratio 0.0067, byte miss ratio 0.0067
cdn1_colo28.ns1276 S3FIFO-0.5000-1.9000 cache size     1318, 2071350 req, miss ratio 0.0066, byte miss ratio 0.0066
cdn1_colo28.ns1276 S3FIFO-0.5000-1.9000 cache size     2636, 2071350 req, miss ratio 0.0065, byte miss ratio 0.0065
cdn1_colo28.ns1276 S3FIFO-0.5000-1.9000 cache size     5273, 2071350 req, miss ratio 0.0064, byte miss ratio 0.0064
cdn1_colo28.ns1276 S3FIFO-0.5000-1.9000 cache size    10547, 2071350 req, miss ratio 0.0064, byte miss ratio 0.0064
cdn1_colo28.ns1276 S3FIFO-0.3500-0.9000 cache size       13, 2071350 req, miss ratio 0.3250, byte miss ratio 0.3250
