io_traces.ns686 S3FIFO-0.4000-1.9000 cache size      154, 2800000 req, miss ratio 0.4979, byte miss ratio 0.4979
io_traces.ns686 S3FIFO-0.4000-1.9000 cache size      464, 2800000 req, miss ratio 0.4716, byte miss ratio 0.4716
io_traces.ns686 S3FIFO-0.4000-1.9000 cache size     1548, 2800000 req, miss ratio 0.4493, byte miss ratio 0.4493
io_traces.ns686 S3FIFO-0.4000-1.9000 cache size     4645, 2800000 req, miss ratio 0.4415, byte miss ratio 0.4415
io_traces.ns686 S3FIFO-0.4000-1.9000 cache size    15486, 2800000 req, miss ratio 0.3394, byte miss ratio 0.3394
io_traces.ns686 S3FIFO-0.4000-1.9000 cache size    30972, 2800000 req, miss ratio 0.2127, byte miss ratio 0.2127
io_traces.ns686 S3FIFO-0.4000-1.9000 cache size    61944, 2800000 req, miss ratio 0.0792, byte miss ratio 0.0792
io_traces.ns686 S3FIFO-0.4000-1.9000 cache size   123889, 2800000 req, miss ratio 0.0555, byte miss ratio 0.0555
io_traces.ns686 S3FIFO-0.9500-0.9000 cache size      154, 2800000 req, miss ratio 0.6368, byte miss ratio 0.6368
io_traces.ns686 S3FIFO-0.9500-0.9000 cache size      464, 2800000 req, miss ratio 0.5398, byte miss ratio 0.5398
io_traces.ns686 S3FIFO-0.9500-0.9000 cache size     1548, 2800000 req, miss ratio 0.4875, byte miss ratio 0.4875
io_traces.ns686 S3FIFO-0.9500-0.9000 cache size     4645, 2800000 req, miss ratio 0.4537, byte miss ratio 0.4537
io_traces.ns686 S3FIFO-0.9500-0.9000 cache size    15486, 2800000 req, miss ratio 0.3450, byte miss ratio 0.3450
io_traces.ns686 S3FIFO-0.9500-0.9000 cache size    30972, 2800000 req, miss ratio 0.2332, byte miss ratio 0.2332
io_traces.ns686 S3FIFO-0.9500-0.9000 cache size    61944, 2800000 req, miss ratio 0.1137, byte miss ratio 0.1137
io_traces.ns686 S3FIFO-0.9500-0.9000 cache size   123889, 2800000 req, miss ratio 0.0668, byte miss ratio 0.0668
io_traces.ns686 S3FIFO-0.6500-1.9000 cache size      154, 2800000 req, miss ratio 0.5565, byte miss ratio 0.5565
io_traces.ns686 S3FIFO-0.6500-1.9000 cache size      464, 2800000 req, miss ratio 0.4786, byte miss ratio 0.4786
io_traces.ns686 S3FIFO-0.6500-1.9000 cache size     1548, 2800000 req, miss ratio 0.4530, byte miss ratio 0.4530
io_traces.ns686 S3FIFO-0.6500-1.9000 cache size     4645, 2800000 req, miss ratio 0.4471, byte miss ratio 0.4471
io_traces.ns686 S3FIFO-0.6500-1.9000 cache size    15486, 2800000 req, miss ratio 0.3720, byte miss ratio 0.3720
io_traces.ns686 S3FIFO-0.6500-1.9000 cache size    30972, 2800000 req, miss ratio 0.2243, byte miss ratio 0.2243
io_traces.ns686 S3FIFO-0.6500-1.9000 cache size    61944, 2800000 req, miss ratio 0.0962, byte miss ratio 0.0962
io_traces.ns686 S3FIFO-0.6500-1.9000 cache size   123889, 2800000 req, miss ratio 0.0575, byte miss ratio 0.0575
io_traces.ns686 S3FIFO-0.5000-0.9000 cache size      154, 2800000 req, miss ratio 0.5115, byte miss ratio 0.5115
io_traces.ns686 S3FIFO-0.5000-0.9000 cache size      464, 2800000 req, miss ratio 0.4733, byte miss ratio 0.4733
io_traces.ns686 S3FIFO-0.5000-0.9000 cache size     1548, 2800000 req, miss ratio 0.4521, byte miss ratio 0.4521
io_traces.ns686 S3FIFO-0.5000-0.9000 cache size     4645, 2800000 req, miss ratio 0.4308, byte miss ratio 0.4308
io_traces.ns686 S3FIFO-0.5000-0.9000 cache size    15486, 2800000 req, miss ratio 0.3411, byte miss ratio 0.3411
io_traces.ns686 S3FIFO-0.5000-0.9000 cache size    30972, 2800000 req, miss ratio 0.2145, byte miss ratio 0.2145
io_traces.ns686 S3FIFO-0.5000-0.9000 cache size    61944, 2800000 req, miss ratio 0.0861, byte miss ratio 0.0861
io_traces.ns686 S3FIFO-0.5000-0.9000 cache size   123889, 2800000 req, miss ratio 0.0557, byte miss ratio 0.0557
io_traces.ns686 S3FIFO-0.8500-1.9000 cache size      154, 2800000 req, miss ratio 0.6028, byte miss ratio 0.6028
io_traces.ns686 S3FIFO-0.8500-1.9000 cache size      464, 2800000 req, miss ratio 0.5076, byte miss ratio 0.5076
io_traces.ns686 S3FIFO-0.8500-1.9000 cache size     1548, 2800000 req, miss ratio 0.4707, byte miss ratio 0.4707
io_traces.ns686 S3FIFO-0.8500-1.9000 cache size     4645, 2800000 req, miss ratio 0.4497, byte miss ratio 0.4497
io_traces.ns686 S3FIFO-0.8500-1.9000 cache size    15486, 2800000 req, miss ratio 0.3486, byte miss ratio 0.3486
io_traces.ns686 S3FIFO-0.8500-1.9000 cache size    30972, 2800000 req, miss ratio 0.2335, byte miss ratio 0.2335
io_traces.ns686 S3FIFO-0.8500-1.9000 cache size    61944, 2800000 req, miss ratio 0.1085, byte miss ratio 0.1085
io_traces.ns686 S3FIFO-0.8500-1.9000 cache size   123889, 2800000 req, miss ratio 0.0628, byte miss ratio 0.0628
io_traces.ns686 S3FIFO-0.1000-0.9000 cache size      154, 2800000 req, miss ratio 0.5025, byte miss ratio 0.5025
io_traces.ns686 S3FIFO-0.1000-0.9000 cache size      464, 2800000 req, miss ratio 0.4719, byte miss ratio 0.4719
io_traces.ns686 S3FIFO-0.1000-0.9000 cache size     1548, 2800000 req, miss ratio 0.4514, byte miss ratio 0.4514
io_traces.ns686 S3FIFO-0.1000-0.9000 cache size     4645, 2800000 req, miss ratio 0.4265, byte miss ratio 0.4265
io_traces.ns686 S3FIFO-0.1000-0.9000 cache size    15486, 2800000 req, miss ratio 0.3291, byte miss ratio 0.3291
io_traces.ns686 S3FIFO-0.1000-0.9000 cache size    30972, 2800000 req, miss ratio 0.1972, byte miss ratio 0.1972
io_traces.ns686 S3FIFO-0.1000-0.9000 cache size    61944, 2800000 req, miss ratio 0.0733, byte miss ratio 0.0733
io_traces.ns686 S3FIFO-0.1000-0.9000 cache size   123889, 2800000 req, miss ratio 0.0555, byte miss ratio 0.0555
io_traces.ns686 S3FIFO-0.7000-1.9000 cache size      154, 2800000 req, miss ratio 0.5652, byte miss ratio 0.5652
io_traces.ns686 S3FIFO-0.7000-1.9000 cache size      464, 2800000 req, miss ratio 0.4801, byte miss ratio 0.4801
io_traces.ns686 S3FIFO-0.7000-1.9000 cache size     1548, 2800000 req, miss ratio 0.4538, byte miss ratio 0.4538
io_traces.ns686 S3FIFO-0.7000-1.9000 cache size     4645, 2800000 req, miss ratio 0.4469, byte miss ratio 0.4469
io_traces.ns686 S3FIFO-0.7000-1.9000 cache size    15486, 2800000 req, miss ratio 0.3727, byte miss ratio 0.3727
io_traces.ns686 S3FIFO-0.7000-1.9000 cache size    30972, 2800000 req, miss ratio 0.2250, byte miss ratio 0.2250
io_traces.ns686 S3FIFO-0.7000-1.9000 cache size    61944, 2800000 req, miss ratio 0.0995, byte miss ratio 0.0995
io_traces.ns686 S3FIFO-0.7000-1.9000 cache size   123889, 2800000 req, miss ratio 0.0582, byte miss ratio 0.0582
io_traces.ns686 S3FIFO-0.2000-0.9000 cache size      154, 2800000 req, miss ratio 0.4968, byte miss ratio 0.4968
io_traces.ns686 S3FIFO-0.2000-0.9000 cache size      464, 2800000 req, miss ratio 0.4718, byte miss ratio 0.4718
io_traces.ns686 S3FIFO-0.2000-0.9000 cache size     1548, 2800000 req, miss ratio 0.4480, byte miss ratio 0.4480
