tencentBlock.ns18565 S3FIFO-0.8000-0.9000 cache size      401, 2207192 req, miss ratio 0.5142, byte miss ratio 0.5142
tencentBlock.ns18565 S3FIFO-0.8000-0.9000 cache size     1204, 2207192 req, miss ratio 0.5048, byte miss ratio 0.5048
tencentBlock.ns18565 S3FIFO-0.8000-0.9000 cache size     4016, 2207192 req, miss ratio 0.5013, byte miss ratio 0.5013
tencentBlock.ns18565 S3FIFO-0.8000-0.9000 cache size    12048, 2207192 req, miss ratio 0.5010, byte miss ratio 0.5010
tencentBlock.ns18565 S3FIFO-0.8000-0.9000 cache size    40162, 2207192 req, miss ratio 0.4691, byte miss ratio 0.4691
tencentBlock.ns18565 S3FIFO-0.8000-0.9000 cache size    80325, 2207192 req, miss ratio 0.3960, byte miss ratio 0.3960
tencentBlock.ns18565 S3FIFO-0.8000-0.9000 cache size   160651, 2207192 req, miss ratio 0.2905, byte miss ratio 0.2905
tencentBlock.ns18565 S3FIFO-0.8000-0.9000 cache size   321303, 2207192 req, miss ratio 0.2006, byte miss ratio 0.2006
tencentBlock.ns18565 S3FIFO-0.4000-0.9000 cache size      401, 2207192 req, miss ratio 0.5065, byte miss ratio 0.5065
tencentBlock.ns18565 S3FIFO-0.4000-0.9000 cache size     1204, 2207192 req, miss ratio 0.5024, byte miss ratio 0.5024
tencentBlock.ns18565 S3FIFO-0.4000-0.9000 cache size     4016, 2207192 req, miss ratio 0.5012, byte miss ratio 0.5012
tencentBlock.ns18565 S3FIFO-0.4000-0.9000 cache size    12048, 2207192 req, miss ratio 0.5008, byte miss ratio 0.5008
tencentBlock.ns18565 S3FIFO-0.4000-0.9000 cache size    40162, 2207192 req, miss ratio 0.4591, byte miss ratio 0.4591
tencentBlock.ns18565 S3FIFO-0.4000-0.9000 cache size    80325, 2207192 req, miss ratio 0.3850, byte miss ratio 0.3850
tencentBlock.ns18565 S3FIFO-0.4000-0.9000 cache size   160651, 2207192 req, miss ratio 0.2579, byte miss ratio 0.2579
tencentBlock.ns18565 S3FIFO-0.4000-0.9000 cache size   321303, 2207192 req, miss ratio 0.1823, byte miss ratio 0.1823
tencentBlock.ns18565 S3FIFO-0.5500-0.9000 cache size      401, 2207192 req, miss ratio 0.5064, byte miss ratio 0.5064
