tencentBlock.ns3443 S3FIFO-0.3500-0.9000 cache size     2299, 53882141 req, miss ratio 0.7621, byte miss ratio 0.7621
tencentBlock.ns3443 S3FIFO-0.3500-0.9000 cache size     6899, 53882141 req, miss ratio 0.6561, byte miss ratio 0.6561
tencentBlock.ns3443 S3FIFO-0.3500-0.9000 cache size    22997, 53882141 req, miss ratio 0.5463, byte miss ratio 0.5463
tencentBlock.ns3443 S3FIFO-0.3500-0.9000 cache size    68993, 53882141 req, miss ratio 0.4391, byte miss ratio 0.4391
tencentBlock.ns3443 S3FIFO-0.3500-0.9000 cache size   229979, 53882141 req, miss ratio 0.2328, byte miss ratio 0.2328
tencentBlock.ns3443 S3FIFO-0.3500-0.9000 cache size   459959, 53882141 req, miss ratio 0.1392, byte miss ratio 0.1392
tencentBlock.ns3443 S3FIFO-0.3500-0.9000 cache size   919919, 53882141 req, miss ratio 0.0672, byte miss ratio 0.0672
tencentBlock.ns3443 S3FIFO-0.3500-0.9000 cache size  1839839, 53882141 req, miss ratio 0.0440, byte miss ratio 0.0440
tencentBlock.ns3443 S3FIFO-0.4500-1.9000 cache size     2299, 53882141 req, miss ratio 0.7596, byte miss ratio 0.7596
tencentBlock.ns3443 S3FIFO-0.4500-1.9000 cache size     6899, 53882141 req, miss ratio 0.6547, byte miss ratio 0.6547
tencentBlock.ns3443 S3FIFO-0.4500-1.9000 cache size    22997, 53882141 req, miss ratio 0.5526, byte miss ratio 0.5526
tencentBlock.ns3443 S3FIFO-0.4500-1.9000 cache size    68993, 53882141 req, miss ratio 0.4497, byte miss ratio 0.4497
tencentBlock.ns3443 S3FIFO-0.4500-1.9000 cache size   229979, 53882141 req, miss ratio 0.2353, byte miss ratio 0.2353
tencentBlock.ns3443 S3FIFO-0.4500-1.9000 cache size   459959, 53882141 req, miss ratio 0.1431, byte miss ratio 0.1431
tencentBlock.ns3443 S3FIFO-0.4500-1.9000 cache size   919919, 53882141 req, miss ratio 0.0699, byte miss ratio 0.0699
tencentBlock.ns3443 S3FIFO-0.4500-1.9000 cache size  1839839, 53882141 req, miss ratio 0.0441, byte miss ratio 0.0441
tencentBlock.ns3443 S3FIFO-0.6500-1.9000 cache size     2299, 53882141 req, miss ratio 0.7647, byte miss ratio 0.7647
tencentBlock.ns3443 S3FIFO-0.6500-1.9000 cache size     6899, 53882141 req, miss ratio 0.6610, byte miss ratio 0.6610
tencentBlock.ns3443 S3FIFO-0.6500-1.9000 cache size    22997, 53882141 req, miss ratio 0.5638, byte miss ratio 0.5638
tencentBlock.ns3443 S3FIFO-0.6500-1.9000 cache size    68993, 53882141 req, miss ratio 0.4566, byte miss ratio 0.4566
tencentBlock.ns3443 S3FIFO-0.6500-1.9000 cache size   229979, 53882141 req, miss ratio 0.2438, byte miss ratio 0.2438
tencentBlock.ns3443 S3FIFO-0.6500-1.9000 cache size   459959, 53882141 req, miss ratio 0.1522, byte miss ratio 0.1522
tencentBlock.ns3443 S3FIFO-0.6500-1.9000 cache size   919919, 53882141 req, miss ratio 0.0777, byte miss ratio 0.0777
tencentBlock.ns3443 S3FIFO-0.6500-1.9000 cache size  1839839, 53882141 req, miss ratio 0.0453, byte miss ratio 0.0453
tencentBlock.ns3443 S3FIFO-0.3000-1.9000 cache size     2299, 53882141 req, miss ratio 0.7604, byte miss ratio 0.7604
tencentBlock.ns3443 S3FIFO-0.3000-1.9000 cache size     6899, 53882141 req, miss ratio 0.6565, byte miss ratio 0.6565
tencentBlock.ns3443 S3FIFO-0.3000-1.9000 cache size    22997, 53882141 req, miss ratio 0.5477, byte miss ratio 0.5477
tencentBlock.ns3443 S3FIFO-0.3000-1.9000 cache size    68993, 53882141 req, miss ratio 0.4427, byte miss ratio 0.4427
tencentBlock.ns3443 S3FIFO-0.3000-1.9000 cache size   229979, 53882141 req, miss ratio 0.2323, byte miss ratio 0.2323
tencentBlock.ns3443 S3FIFO-0.3000-1.9000 cache size   459959, 53882141 req, miss ratio 0.1376, byte miss ratio 0.1376
tencentBlock.ns3443 S3FIFO-0.3000-1.9000 cache size   919919, 53882141 req, miss ratio 0.0669, byte miss ratio 0.0669
tencentBlock.ns3443 S3FIFO-0.3000-1.9000 cache size  1839839, 53882141 req, miss ratio 0.0440, byte miss ratio 0.0440
tencentBlock.ns3443 S3FIFO-0.7000-0.9000 cache size     2299, 53882141 req, miss ratio 0.7659, byte miss ratio 0.7659
tencentBlock.ns3443 S3FIFO-0.7000-0.9000 cache size     6899, 53882141 req, miss ratio 0.6627, byte miss ratio 0.6627
tencentBlock.ns3443 S3FIFO-0.7000-0.9000 cache size    22997, 53882141 req, miss ratio 0.5644, byte miss ratio 0.5644
tencentBlock.ns3443 S3FIFO-0.7000-0.9000 cache size    68993, 53882141 req, miss ratio 0.4587, byte miss ratio 0.4587
tencentBlock.ns3443 S3FIFO-0.7000-0.9000 cache size   229979, 53882141 req, miss ratio 0.2474, byte miss ratio 0.2474
tencentBlock.ns3443 S3FIFO-0.7000-0.9000 cache size   459959, 53882141 req, miss ratio 0.1548, byte miss ratio 0.1548
tencentBlock.ns3443 S3FIFO-0.7000-0.9000 cache size   919919, 53882141 req, miss ratio 0.0795, byte miss ratio 0.0795
tencentBlock.ns3443 S3FIFO-0.7000-0.9000 cache size  1839839, 53882141 req, miss ratio 0.0456, byte miss ratio 0.0456
tencentBlock.ns3443 S3FIFO-0.0050-1.9000 cache size     2299, 53882141 req, miss ratio 0.7755, byte miss ratio 0.7755
tencentBlock.ns3443 S3FIFO-0.0050-1.9000 cache size     6899, 53882141 req, miss ratio 0.7011, byte miss ratio 0.7011
tencentBlock.ns3443 S3FIFO-0.0050-1.9000 cache size    22997, 53882141 req, miss ratio 0.5956, byte miss ratio 0.5956
tencentBlock.ns3443 S3FIFO-0.0050-1.9000 cache size    68993, 53882141 req, miss ratio 0.4546, byte miss ratio 0.4546
tencentBlock.ns3443 S3FIFO-0.0050-1.9000 cache size   229979, 53882141 req, miss ratio 0.2398, byte miss ratio 0.2398
tencentBlock.ns3443 S3FIFO-0.0050-1.9000 cache size   459959, 53882141 req, miss ratio 0.1439, byte miss ratio 0.1439
tencentBlock.ns3443 S3FIFO-0.0050-1.9000 cache size   919919, 53882141 req, miss ratio 0.0659, byte miss ratio 0.0659
tencentBlock.ns3443 S3FIFO-0.0050-1.9000 cache size  1839839, 53882141 req, miss ratio 0.0445, byte miss ratio 0.0445
tencentBlock.ns3443 S3FIFO-0.1500-0.9000 cache size     2299, 53882141 req, miss ratio 0.7703, byte miss ratio 0.7703
tencentBlock.ns3443 S3FIFO-0.1500-0.9000 cache size     6899, 53882141 req, miss ratio 0.6709, byte miss ratio 0.6709
tencentBlock.ns3443 S3FIFO-0.1500-0.9000 cache size    22997, 53882141 req, miss ratio 0.5489, byte miss ratio 0.5489
tencentBlock.ns3443 S3FIFO-0.1500-0.9000 cache size    68993, 53882141 req, miss ratio 0.4282, byte miss ratio 0.4282
tencentBlock.ns3443 S3FIFO-0.1500-0.9000 cache size   229979, 53882141 req, miss ratio 0.2319, byte miss ratio 0.2319
tencentBlock.ns3443 S3FIFO-0.1500-0.9000 cache size   459959, 53882141 req, miss ratio 0.1380, byte miss ratio 0.1380
tencentBlock.ns3443 S3FIFO-0.1500-0.9000 cache size   919919, 53882141 req, miss ratio 0.0666, byte miss ratio 0.0666
tencentBlock.ns3443 S3FIFO-0.1500-0.9000 cache size  1839839, 53882141 req, miss ratio 0.0440, byte miss ratio 0.0440
tencentBlock.ns3443 S3FIFO-0.7500-0.9000 cache size     2299, 53882141 req, miss ratio 0.7688, byte miss ratio 0.7688
tencentBlock.ns3443 S3FIFO-0.7500-0.9000 cache size     6899, 53882141 req, miss ratio 0.6655, byte miss ratio 0.6655
tencentBlock.ns3443 S3FIFO-0.7500-0.9000 cache size    22997, 53882141 req, miss ratio 0.5684, byte miss ratio 0.5684
tencentBlock.ns3443 S3FIFO-0.7500-0.9000 cache size    68993, 53882141 req, miss ratio 0.4617, byte miss ratio 0.4617
tencentBlock.ns3443 S3FIFO-0.7500-0.9000 cache size   229979, 53882141 req, miss ratio 0.2508, byte miss ratio 0.2508
tencentBlock.ns3443 S3FIFO-0.7500-0.9000 cache size   459959, 53882141 req, miss ratio 0.1575, byte miss ratio 0.1575
tencentBlock.ns3443 S3FIFO-0.7500-0.9000 cache size   919919, 53882141 req, miss ratio 0.0815, byte miss ratio 0.0815
tencentBlock.ns3443 S3FIFO-0.7500-0.9000 cache size  1839839, 53882141 req, miss ratio 0.0460, byte miss ratio 0.0460
tencentBlock.ns3443 S3FIFO-0.9900-0.9000 cache size     2299, 53882141 req, miss ratio 0.7885, byte miss ratio 0.7885
tencentBlock.ns3443 S3FIFO-0.9900-0.9000 cache size     6899, 53882141 req, miss ratio 0.6884, byte miss ratio 0.6884
tencentBlock.ns3443 S3FIFO-0.9900-0.9000 cache size    22997, 53882141 req, miss ratio 0.5958, byte miss ratio 0.5958
tencentBlock.ns3443 S3FIFO-0.9900-0.9000 cache size    68993, 53882141 req, miss ratio 0.4797, byte miss ratio 0.4797
tencentBlock.ns3443 S3FIFO-0.9900-0.9000 cache size   229979, 53882141 req, miss ratio 0.2686, byte miss ratio 0.2686
tencentBlock.ns3443 S3FIFO-0.9900-0.9000 cache size   459959, 53882141 req, miss ratio 0.1720, byte miss ratio 0.1720
tencentBlock.ns3443 S3FIFO-0.9900-0.9000 cache size   919919, 53882141 req, miss ratio 0.0906, byte miss ratio 0.0906
tencentBlock.ns3443 S3FIFO-0.9900-0.9000 cache size  1839839, 53882141 req, miss ratio 0.0515, byte miss ratio 0.0515
tencentBlock.ns3443 S3FIFO-0.4000-0.9000 cache size     2299, 53882141 req, miss ratio 0.7612, byte miss ratio 0.7612
tencentBlock.ns3443 S3FIFO-0.4000-0.9000 cache size     6899, 53882141 req, miss ratio 0.6551, byte miss ratio 0.6551
tencentBlock.ns3443 S3FIFO-0.4000-0.9000 cache size    22997, 53882141 req, miss ratio 0.5477, byte miss ratio 0.5477
tencentBlock.ns3443 S3FIFO-0.4000-0.9000 cache size    68993, 53882141 req, miss ratio 0.4418, byte miss ratio 0.4418
tencentBlock.ns3443 S3FIFO-0.4000-0.9000 cache size   229979, 53882141 req, miss ratio 0.2340, byte miss ratio 0.2340
tencentBlock.ns3443 S3FIFO-0.4000-0.9000 cache size   459959, 53882141 req, miss ratio 0.1412, byte miss ratio 0.1412
tencentBlock.ns3443 S3FIFO-0.4000-0.9000 cache size   919919, 53882141 req, miss ratio 0.0683, byte miss ratio 0.0683
tencentBlock.ns3443 S3FIFO-0.4000-0.9000 cache size  1839839, 53882141 req, miss ratio 0.0440, byte miss ratio 0.0440
tencentBlock.ns3443 S3FIFO-0.0010-0.9000 cache size     2299, 53882141 req, miss ratio 0.7842, byte miss ratio 0.7842
tencentBlock.ns3443 S3FIFO-0.0010-0.9000 cache size     6899, 53882141 req, miss ratio 0.7067, byte miss ratio 0.7067
tencentBlock.ns3443 S3FIFO-0.0010-0.9000 cache size    22997, 53882141 req, miss ratio 0.6045, byte miss ratio 0.6045
tencentBlock.ns3443 S3FIFO-0.0010-0.9000 cache size    68993, 53882141 req, miss ratio 0.4674, byte miss ratio 0.4674
