cdn1_colo28.ns98 S3FIFO-0.2500-1.9000 cache size      187, 4628385 req, miss ratio 0.6609, byte miss ratio 0.6609
cdn1_colo28.ns98 S3FIFO-0.2500-1.9000 cache size      561, 4628385 req, miss ratio 0.5550, byte miss ratio 0.5550
cdn1_colo28.ns98 S3FIFO-0.2500-1.9000 cache size     1871, 4628385 req, miss ratio 0.4139, byte miss ratio 0.4139
cdn1_colo28.ns98 S3FIFO-0.2500-1.9000 cache size     5615, 4628385 req, miss ratio 0.2749, byte miss ratio 0.2749
cdn1_colo28.ns98 S3FIFO-0.2500-1.9000 cache size    18718, 4628385 req, miss ratio 0.1434, byte miss ratio 0.1434
cdn1_colo28.ns98 S3FIFO-0.2500-1.9000 cache size    37437, 4628385 req, miss ratio 0.0912, byte miss ratio 0.0912
cdn1_colo28.ns98 S3FIFO-0.2500-1.9000 cache size    74875, 4628385 req, miss ratio 0.0578, byte miss ratio 0.0578
cdn1_colo28.ns98 S3FIFO-0.2500-1.9000 cache size   149750, 4628385 req, miss ratio 0.0419, byte miss ratio 0.0419
cdn1_colo28.ns98 S3FIFO-0.0250-0.9000 cache size      187, 4628385 req, miss ratio 0.6586, byte miss ratio 0.6586
cdn1_colo28.ns98 S3FIFO-0.0250-0.9000 cache size      561, 4628385 req, miss ratio 0.5529, byte miss ratio 0.5529
cdn1_colo28.ns98 S3FIFO-0.0250-0.9000 cache size     1871, 4628385 req, miss ratio 0.4009, byte miss ratio 0.4009
cdn1_colo28.ns98 S3FIFO-0.0250-0.9000 cache size     5615, 4628385 req, miss ratio 0.2572, byte miss ratio 0.2572
cdn1_colo28.ns98 S3FIFO-0.0250-0.9000 cache size    18718, 4628385 req, miss ratio 0.1319, byte miss ratio 0.1319
cdn1_colo28.ns98 S3FIFO-0.0250-0.9000 cache size    37437, 4628385 req, miss ratio 0.0840, byte miss ratio 0.0840
cdn1_colo28.ns98 S3FIFO-0.0250-0.9000 cache size    74875, 4628385 req, miss ratio 0.0561, byte miss ratio 0.0561
cdn1_colo28.ns98 S3FIFO-0.0250-0.9000 cache size   149750, 4628385 req, miss ratio 0.0419, byte miss ratio 0.0419
cdn1_colo28.ns98 S3FIFO-0.9500-0.9000 cache size      187, 4628385 req, miss ratio 0.7442, byte miss ratio 0.7442
cdn1_colo28.ns98 S3FIFO-0.9500-0.9000 cache size      561, 4628385 req, miss ratio 0.6381, byte miss ratio 0.6381
cdn1_colo28.ns98 S3FIFO-0.9500-0.9000 cache size     1871, 4628385 req, miss ratio 0.5020, byte miss ratio 0.5020
cdn1_colo28.ns98 S3FIFO-0.9500-0.9000 cache size     5615, 4628385 req, miss ratio 0.3526, byte miss ratio 0.3526
cdn1_colo28.ns98 S3FIFO-0.9500-0.9000 cache size    18718, 4628385 req, miss ratio 0.1946, byte miss ratio 0.1946
cdn1_colo28.ns98 S3FIFO-0.9500-0.9000 cache size    37437, 4628385 req, miss ratio 0.1263, byte miss ratio 0.1263
cdn1_colo28.ns98 S3FIFO-0.9500-0.9000 cache size    74875, 4628385 req, miss ratio 0.0763, byte miss ratio 0.0763
cdn1_colo28.ns98 S3FIFO-0.9500-0.9000 cache size   149750, 4628385 req, miss ratio 0.0476, byte miss ratio 0.0476
cdn1_colo28.ns98 S3FIFO-0.1000-1.9000 cache size      187, 4628385 req, miss ratio 0.6578, byte miss ratio 0.6578
cdn1_colo28.ns98 S3FIFO-0.1000-1.9000 cache size      561, 4628385 req, miss ratio 0.5505, byte miss ratio 0.5505
cdn1_colo28.ns98 S3FIFO-0.1000-1.9000 cache size     1871, 4628385 req, miss ratio 0.4025, byte miss ratio 0.4025
cdn1_colo28.ns98 S3FIFO-0.1000-1.9000 cache size     5615, 4628385 req, miss ratio 0.2641, byte miss ratio 0.2641
cdn1_colo28.ns98 S3FIFO-0.1000-1.9000 cache size    18718, 4628385 req, miss ratio 0.1368, byte miss ratio 0.1368
cdn1_colo28.ns98 S3FIFO-0.1000-1.9000 cache size    37437, 4628385 req, miss ratio 0.0868, byte miss ratio 0.0868
cdn1_colo28.ns98 S3FIFO-0.1000-1.9000 cache size    74875, 4628385 req, miss ratio 0.0565, byte miss ratio 0.0565
cdn1_colo28.ns98 S3FIFO-0.1000-1.9000 cache size   149750, 4628385 req, miss ratio 0.0419, byte miss ratio 0.0419
cdn1_colo28.ns98 S3FIFO-0.6000-0.9000 cache size      187, 4628385 req, miss ratio 0.6784, byte miss ratio 0.6784
cdn1_colo28.ns98 S3FIFO-0.6000-0.9000 cache size      561, 4628385 req, miss ratio 0.5814, byte miss ratio 0.5814
cdn1_colo28.ns98 S3FIFO-0.6000-0.9000 cache size     1871, 4628385 req, miss ratio 0.4471, byte miss ratio 0.4471
cdn1_colo28.ns98 S3FIFO-0.6000-0.9000 cache size     5615, 4628385 req, miss ratio 0.3048, byte miss ratio 0.3048
cdn1_colo28.ns98 S3FIFO-0.6000-0.9000 cache size    18718, 4628385 req, miss ratio 0.1634, byte miss ratio 0.1634
cdn1_colo28.ns98 S3FIFO-0.6000-0.9000 cache size    37437, 4628385 req, miss ratio 0.1052, byte miss ratio 0.1052
cdn1_colo28.ns98 S3FIFO-0.6000-0.9000 cache size    74875, 4628385 req, miss ratio 0.0644, byte miss ratio 0.0644
cdn1_colo28.ns98 S3FIFO-0.6000-0.9000 cache size   149750, 4628385 req, miss ratio 0.0425, byte miss ratio 0.0425
cdn1_colo28.ns98 S3FIFO-0.9000-1.9000 cache size      187, 4628385 req, miss ratio 0.7354, byte miss ratio 0.7354
cdn1_colo28.ns98 S3FIFO-0.9000-1.9000 cache size      561, 4628385 req, miss ratio 0.6296, byte miss ratio 0.6296
cdn1_colo28.ns98 S3FIFO-0.9000-1.9000 cache size     1871, 4628385 req, miss ratio 0.4953, byte miss ratio 0.4953
cdn1_colo28.ns98 S3FIFO-0.9000-1.9000 cache size     5615, 4628385 req, miss ratio 0.3441, byte miss ratio 0.3441
cdn1_colo28.ns98 S3FIFO-0.9000-1.9000 cache size    18718, 4628385 req, miss ratio 0.1876, byte miss ratio 0.1876
cdn1_colo28.ns98 S3FIFO-0.9000-1.9000 cache size    37437, 4628385 req, miss ratio 0.1207, byte miss ratio 0.1207
cdn1_colo28.ns98 S3FIFO-0.9000-1.9000 cache size    74875, 4628385 req, miss ratio 0.0742, byte miss ratio 0.0742
cdn1_colo28.ns98 S3FIFO-0.9000-1.9000 cache size   149750, 4628385 req, miss ratio 0.0463, byte miss ratio 0.0463
cdn1_colo28.ns98 S3FIFO-0.4000-1.9000 cache size      187, 4628385 req, miss ratio 0.6676, byte miss ratio 0.6676
cdn1_colo28.ns98 S3FIFO-0.4000-1.9000 cache size      561, 4628385 req, miss ratio 0.5662, byte miss ratio 0.5662
cdn1_colo28.ns98 S3FIFO-0.4000-1.9000 cache size     1871, 4628385 req, miss ratio 0.4291, byte miss ratio 0.4291
cdn1_colo28.ns98 S3FIFO-0.4000-1.9000 cache size     5615, 4628385 req, miss ratio 0.2879, byte miss ratio 0.2879
cdn1_colo28.ns98 S3FIFO-0.4000-1.9000 cache size    18718, 4628385 req, miss ratio 0.1516, byte miss ratio 0.1516
cdn1_colo28.ns98 S3FIFO-0.4000-1.9000 cache size    37437, 4628385 req, miss ratio 0.0965, byte miss ratio 0.0965
cdn1_colo28.ns98 S3FIFO-0.4000-1.9000 cache size    74875, 4628385 req, miss ratio 0.0601, byte miss ratio 0.0601
cdn1_colo28.ns98 S3FIFO-0.4000-1.9000 cache size   149750, 4628385 req, miss ratio 0.0419, byte miss ratio 0.0419
cdn1_colo28.ns98 S3FIFO-0.9500-1.9000 cache size      187, 4628385 req, miss ratio 0.7466, byte miss ratio 0.7466
cdn1_colo28.ns98 S3FIFO-0.9500-1.9000 cache size      561, 4628385 req, miss ratio 0.6416, byte miss ratio 0.6416
cdn1_colo28.ns98 S3FIFO-0.9500-1.9000 cache size     1871, 4628385 req, miss ratio 0.5030, byte miss ratio 0.5030
cdn1_colo28.ns98 S3FIFO-0.9500-1.9000 cache size     5615, 4628385 req, miss ratio 0.3506, byte miss ratio 0.3506
cdn1_colo28.ns98 S3FIFO-0.9500-1.9000 cache size    18718, 4628385 req, miss ratio 0.1921, byte miss ratio 0.1921
cdn1_colo28.ns98 S3FIFO-0.9500-1.9000 cache size    37437, 4628385 req, miss ratio 0.1239, byte miss ratio 0.1239
cdn1_colo28.ns98 S3FIFO-0.9500-1.9000 cache size    74875, 4628385 req, miss ratio 0.0763, byte miss ratio 0.0763
cdn1_colo28.ns98 S3FIFO-0.9500-1.9000 cache size   149750, 4628385 req, miss ratio 0.0476, byte miss ratio 0.0476
cdn1_colo28.ns98 S3FIFO-0.8500-1.9000 cache size      187, 4628385 req, miss ratio 0.7220, byte miss ratio 0.7220
cdn1_colo28.ns98 S3FIFO-0.8500-1.9000 cache size      561, 4628385 req, miss ratio 0.6198, byte miss ratio 0.6198
cdn1_colo28.ns98 S3FIFO-0.8500-1.9000 cache size     1871, 4628385 req, miss ratio 0.4880, byte miss ratio 0.4880
cdn1_colo28.ns98 S3FIFO-0.8500-1.9000 cache size     5615, 4628385 req, miss ratio 0.3378, byte miss ratio 0.3378
cdn1_colo28.ns98 S3FIFO-0.8500-1.9000 cache size    18718, 4628385 req, miss ratio 0.1833, byte miss ratio 0.1833
cdn1_colo28.ns98 S3FIFO-0.8500-1.9000 cache size    37437, 4628385 req, miss ratio 0.1177, byte miss ratio 0.1177
cdn1_colo28.ns98 S3FIFO-0.8500-1.9000 cache size    74875, 4628385 req, miss ratio 0.0723, byte miss ratio 0.0723
cdn1_colo28.ns98 S3FIFO-0.8500-1.9000 cache size   149750, 4628385 req, miss ratio 0.0452, byte miss ratio 0.0452
cdn1_colo28.ns98 S3FIFO-0.0500-0.9000 cache size      187, 4628385 req, miss ratio 0.6578, byte miss ratio 0.6578
cdn1_colo28.ns98 S3FIFO-0.0500-0.9000 cache size      561, 4628385 req, miss ratio 0.5503, byte miss ratio 0.5503
cdn1_colo28.ns98 S3FIFO-0.0500-0.9000 cache size     1871, 4628385 req, miss ratio 0.3978, byte miss ratio 0.3978
cdn1_colo28.ns98 S3FIFO-0.0500-0.9000 cache size     5615, 4628385 req, miss ratio 0.2573, byte miss ratio 0.2573
cdn1_colo28.ns98 S3FIFO-0.0500-0.9000 cache size    18718, 4628385 req, miss ratio 0.1325, byte miss ratio 0.1325
cdn1_colo28.ns98 S3FIFO-0.0500-0.9000 cache size    37437, 4628385 req, miss ratio 0.0842, byte miss ratio 0.0842
cdn1_colo28.ns98 S3FIFO-0.0500-0.9000 cache size    74875, 4628385 req, miss ratio 0.0562, byte miss ratio 0.0562
cdn1_colo28.ns98 S3FIFO-0.0500-0.9000 cache size   149750, 4628385 req, miss ratio 0.0419, byte miss ratio 0.0419
cdn1_colo28.ns98 S3FIFO-0.5500-1.9000 cache size      187, 4628385 req, miss ratio 0.6770, byte miss ratio 0.6770
cdn1_colo28.ns98 S3FIFO-0.5500-1.9000 cache size      561, 4628385 req, miss ratio 0.5810, byte miss ratio 0.5810
cdn1_colo28.ns98 S3FIFO-0.5500-1.9000 cache size     1871, 4628385 req, miss ratio 0.4468, byte miss ratio 0.4468
cdn1_colo28.ns98 S3FIFO-0.5500-1.9000 cache size     5615, 4628385 req, miss ratio 0.3027, byte miss ratio 0.3027
cdn1_colo28.ns98 S3FIFO-0.5500-1.9000 cache size    18718, 4628385 req, miss ratio 0.1608, byte miss ratio 0.1608
cdn1_colo28.ns98 S3FIFO-0.5500-1.9000 cache size    37437, 4628385 req, miss ratio 0.1026, byte miss ratio 0.1026
cdn1_colo28.ns98 S3FIFO-0.5500-1.9000 cache size    74875, 4628385 req, miss ratio 0.0631, byte miss ratio 0.0631
cdn1_colo28.ns98 S3FIFO-0.5500-1.9000 cache size   149750, 4628385 req, miss ratio 0.0423, byte miss ratio 0.0423
cdn1_colo28.ns98 S3FIFO-0.9900-0.9000 cache size      187, 4628385 req, miss ratio 0.7535, byte miss ratio 0.7535
cdn1_colo28.ns98 S3FIFO-0.9900-0.9000 cache size      561, 4628385 req, miss ratio 0.6475, byte miss ratio 0.6475
cdn1_colo28.ns98 S3FIFO-0.9900-0.9000 cache size     1871, 4628385 req, miss ratio 0.5108, byte miss ratio 0.5108
cdn1_colo28.ns98 S3FIFO-0.9900-0.9000 cache size     5615, 4628385 req, miss ratio 0.3586, byte miss ratio 0.3586
cdn1_colo28.ns98 S3FIFO-0.9900-0.9000 cache size    18718, 4628385 req, miss ratio 0.1987, byte miss ratio 0.1987
cdn1_colo28.ns98 S3FIFO-0.9900-0.9000 cache size    37437, 4628385 req, miss ratio 0.1292, byte miss ratio 0.1292
cdn1_colo28.ns98 S3FIFO-0.9900-0.9000 cache size    74875, 4628385 req, miss ratio 0.0782, byte miss ratio 0.0782
