tencentBlock.ns20246 S3FIFO-0.2500-1.9000 cache size       11, 12450020 req, miss ratio 0.7306, byte miss ratio 0.7306
tencentBlock.ns20246 S3FIFO-0.2500-1.9000 cache size       23, 12450020 req, miss ratio 0.7241, byte miss ratio 0.7241
tencentBlock.ns20246 S3FIFO-0.2500-1.9000 cache size       46, 12450020 req, miss ratio 0.6941, byte miss ratio 0.6941
tencentBlock.ns20246 S3FIFO-0.2500-1.9000 cache size       93, 12450020 req, miss ratio 0.3655, byte miss ratio 0.3655
tencentBlock.ns20246 S3FIFO-0.6000-0.9000 cache size       11, 12450020 req, miss ratio 0.7306, byte miss ratio 0.7306
tencentBlock.ns20246 S3FIFO-0.6000-0.9000 cache size       23, 12450020 req, miss ratio 0.7306, byte miss ratio 0.7306
tencentBlock.ns20246 S3FIFO-0.6000-0.9000 cache size       46, 12450020 req, miss ratio 0.7115, byte miss ratio 0.7115
tencentBlock.ns20246 S3FIFO-0.6000-0.9000 cache size       93, 12450020 req, miss ratio 0.4712, byte miss ratio 0.4712
tencentBlock.ns20246 S3FIFO-0.0250-1.9000 cache size       11, 12450020 req, miss ratio 1.0000, byte miss ratio 1.0000
tencentBlock.ns20246 S3FIFO-0.0250-1.9000 cache size       23, 12450020 req, miss ratio 1.0000, byte miss ratio 1.0000
tencentBlock.ns20246 S3FIFO-0.0250-1.9000 cache size       46, 12450020 req, miss ratio 0.6549, byte miss ratio 0.6549
tencentBlock.ns20246 S3FIFO-0.0250-1.9000 cache size       93, 12450020 req, miss ratio 0.2909, byte miss ratio 0.2909
tencentBlock.ns20246 S3FIFO-0.4000-0.9000 cache size       11, 12450020 req, miss ratio 0.7306, byte miss ratio 0.7306
tencentBlock.ns20246 S3FIFO-0.4000-0.9000 cache size       23, 12450020 req, miss ratio 0.7222, byte miss ratio 0.7222
tencentBlock.ns20246 S3FIFO-0.4000-0.9000 cache size       46, 12450020 req, miss ratio 0.6139, byte miss ratio 0.6139
tencentBlock.ns20246 S3FIFO-0.4000-0.9000 cache size       93, 12450020 req, miss ratio 0.3947, byte miss ratio 0.3947
tencentBlock.ns20246 S3FIFO-0.5500-0.9000 cache size       11, 12450020 req, miss ratio 0.7306, byte miss ratio 0.7306
tencentBlock.ns20246 S3FIFO-0.5500-0.9000 cache size       23, 12450020 req, miss ratio 0.7279, byte miss ratio 0.7279
tencentBlock.ns20246 S3FIFO-0.5500-0.9000 cache size       46, 12450020 req, miss ratio 0.7049, byte miss ratio 0.7049
tencentBlock.ns20246 S3FIFO-0.5500-0.9000 cache size       93, 12450020 req, miss ratio 0.4411, byte miss ratio 0.4411
tencentBlock.ns20246 S3FIFO-0.0500-0.9000 cache size       11, 12450020 req, miss ratio 1.0000, byte miss ratio 1.0000
tencentBlock.ns20246 S3FIFO-0.0500-0.9000 cache size       23, 12450020 req, miss ratio 0.6969, byte miss ratio 0.6969
tencentBlock.ns20246 S3FIFO-0.0500-0.9000 cache size       46, 12450020 req, miss ratio 0.4566, byte miss ratio 0.4566
tencentBlock.ns20246 S3FIFO-0.0500-0.9000 cache size       93, 12450020 req, miss ratio 0.3052, byte miss ratio 0.3052
tencentBlock.ns20246 S3FIFO-0.0500-1.9000 cache size       11, 12450020 req, miss ratio 1.0000, byte miss ratio 1.0000
tencentBlock.ns20246 S3FIFO-0.0500-1.9000 cache size       23, 12450020 req, miss ratio 0.7134, byte miss ratio 0.7134
tencentBlock.ns20246 S3FIFO-0.0500-1.9000 cache size       46, 12450020 req, miss ratio 0.6619, byte miss ratio 0.6619
tencentBlock.ns20246 S3FIFO-0.0500-1.9000 cache size       93, 12450020 req, miss ratio 0.3052, byte miss ratio 0.3052
tencentBlock.ns20246 S3FIFO-0.1500-0.9000 cache size       11, 12450020 req, miss ratio 0.7306, byte miss ratio 0.7306
tencentBlock.ns20246 S3FIFO-0.1500-0.9000 cache size       23, 12450020 req, miss ratio 0.7112, byte miss ratio 0.7112
tencentBlock.ns20246 S3FIFO-0.1500-0.9000 cache size       46, 12450020 req, miss ratio 0.4816, byte miss ratio 0.4816
tencentBlock.ns20246 S3FIFO-0.1500-0.9000 cache size       93, 12450020 req, miss ratio 0.3706, byte miss ratio 0.3706
tencentBlock.ns20246 S3FIFO-0.2000-1.9000 cache size       11, 12450020 req, miss ratio 0.7306, byte miss ratio 0.7306
tencentBlock.ns20246 S3FIFO-0.2000-1.9000 cache size       23, 12450020 req, miss ratio 0.7209, byte miss ratio 0.7209
tencentBlock.ns20246 S3FIFO-0.2000-1.9000 cache size       46, 12450020 req, miss ratio 0.6911, byte miss ratio 0.6911
tencentBlock.ns20246 S3FIFO-0.2000-1.9000 cache size       93, 12450020 req, miss ratio 0.3755, byte miss ratio 0.3755
tencentBlock.ns20246 S3FIFO-0.5000-1.9000 cache size       11, 12450020 req, miss ratio 0.7306, byte miss ratio 0.7306
tencentBlock.ns20246 S3FIFO-0.5000-1.9000 cache size       23, 12450020 req, miss ratio 0.7291, byte miss ratio 0.7291
tencentBlock.ns20246 S3FIFO-0.5000-1.9000 cache size       46, 12450020 req, miss ratio 0.7303, byte miss ratio 0.7303
tencentBlock.ns20246 S3FIFO-0.5000-1.9000 cache size       93, 12450020 req, miss ratio 0.4227, byte miss ratio 0.4227
tencentBlock.ns20246 S3FIFO-0.4500-1.9000 cache size       11, 12450020 req, miss ratio 0.7306, byte miss ratio 0.7306
tencentBlock.ns20246 S3FIFO-0.4500-1.9000 cache size       23, 12450020 req, miss ratio 0.7287, byte miss ratio 0.7287
tencentBlock.ns20246 S3FIFO-0.4500-1.9000 cache size       46, 12450020 req, miss ratio 0.7212, byte miss ratio 0.7212
tencentBlock.ns20246 S3FIFO-0.4500-1.9000 cache size       93, 12450020 req, miss ratio 0.4015, byte miss ratio 0.4015
tencentBlock.ns20246 S3FIFO-0.7000-0.9000 cache size       11, 12450020 req, miss ratio 0.7306, byte miss ratio 0.7306
tencentBlock.ns20246 S3FIFO-0.7000-0.9000 cache size       23, 12450020 req, miss ratio 0.7306, byte miss ratio 0.7306
tencentBlock.ns20246 S3FIFO-0.7000-0.9000 cache size       46, 12450020 req, miss ratio 0.7261, byte miss ratio 0.7261
tencentBlock.ns20246 S3FIFO-0.7000-0.9000 cache size       93, 12450020 req, miss ratio 0.4748, byte miss ratio 0.4748
tencentBlock.ns20246 S3FIFO-0.4500-0.9000 cache size       11, 12450020 req, miss ratio 0.7306, byte miss ratio 0.7306
tencentBlock.ns20246 S3FIFO-0.4500-0.9000 cache size       23, 12450020 req, miss ratio 0.7222, byte miss ratio 0.7222
tencentBlock.ns20246 S3FIFO-0.4500-0.9000 cache size       46, 12450020 req, miss ratio 0.6626, byte miss ratio 0.6626
tencentBlock.ns20246 S3FIFO-0.4500-0.9000 cache size       93, 12450020 req, miss ratio 0.4015, byte miss ratio 0.4015
tencentBlock.ns20246 S3FIFO-0.3000-1.9000 cache size       11, 12450020 req, miss ratio 0.7306, byte miss ratio 0.7306
tencentBlock.ns20246 S3FIFO-0.3000-1.9000 cache size       23, 12450020 req, miss ratio 0.7252, byte miss ratio 0.7252
tencentBlock.ns20246 S3FIFO-0.3000-1.9000 cache size       46, 12450020 req, miss ratio 0.6938, byte miss ratio 0.6938
tencentBlock.ns20246 S3FIFO-0.3000-1.9000 cache size       93, 12450020 req, miss ratio 0.3787, byte miss ratio 0.3787
tencentBlock.ns20246 S3FIFO-0.7500-0.9000 cache size       11, 12450020 req, miss ratio 0.7306, byte miss ratio 0.7306
tencentBlock.ns20246 S3FIFO-0.7500-0.9000 cache size       23, 12450020 req, miss ratio 0.7306, byte miss ratio 0.7306
tencentBlock.ns20246 S3FIFO-0.7500-0.9000 cache size       46, 12450020 req, miss ratio 0.7264, byte miss ratio 0.7264
tencentBlock.ns20246 S3FIFO-0.7500-0.9000 cache size       93, 12450020 req, miss ratio 0.4629, byte miss ratio 0.4629
tencentBlock.ns20246 S3FIFO-0.6500-1.9000 cache size       11, 12450020 req, miss ratio 0.7306, byte miss ratio 0.7306
tencentBlock.ns20246 S3FIFO-0.6500-1.9000 cache size       23, 12450020 req, miss ratio 0.7306, byte miss ratio 0.7306
tencentBlock.ns20246 S3FIFO-0.6500-1.9000 cache size       46, 12450020 req, miss ratio 0.7119, byte miss ratio 0.7119
tencentBlock.ns20246 S3FIFO-0.6500-1.9000 cache size       93, 12450020 req, miss ratio 0.4802, byte miss ratio 0.4802
tencentBlock.ns20246 S3FIFO-0.9500-1.9000 cache size       11, 12450020 req, miss ratio 0.7306, byte miss ratio 0.7306
tencentBlock.ns20246 S3FIFO-0.9500-1.9000 cache size       23, 12450020 req, miss ratio 0.7306, byte miss ratio 0.7306
tencentBlock.ns20246 S3FIFO-0.9500-1.9000 cache size       46, 12450020 req, miss ratio 0.6571, byte miss ratio 0.6571
tencentBlock.ns20246 S3FIFO-0.9500-1.9000 cache size       93, 12450020 req, miss ratio 0.4345, byte miss ratio 0.4345
tencentBlock.ns20246 S3FIFO-0.0010-1.9000 cache size       11, 12450020 req, miss ratio 1.0000, byte miss ratio 1.0000
tencentBlock.ns20246 S3FIFO-0.0010-1.9000 cache size       23, 12450020 req, miss ratio 1.0000, byte miss ratio 1.0000
tencentBlock.ns20246 S3FIFO-0.0010-1.9000 cache size       46, 12450020 req, miss ratio 1.0000, byte miss ratio 1.0000
tencentBlock.ns20246 S3FIFO-0.0010-1.9000 cache size       93, 12450020 req, miss ratio 1.0000, byte miss ratio 1.0000
tencentBlock.ns20246 S3FIFO-0.2500-0.9000 cache size       11, 12450020 req, miss ratio 0.7306, byte miss ratio 0.7306
tencentBlock.ns20246 S3FIFO-0.2500-0.9000 cache size       23, 12450020 req, miss ratio 0.7177, byte miss ratio 0.7177
