cdn1_colo28.ns752 S3FIFO-0.5500-1.9000 cache size     1366, 1764438 req, miss ratio 0.8076, byte miss ratio 0.8076
cdn1_colo28.ns752 S3FIFO-0.5500-1.9000 cache size     4100, 1764438 req, miss ratio 0.7907, byte miss ratio 0.7907
cdn1_colo28.ns752 S3FIFO-0.5500-1.9000 cache size    13667, 1764438 req, miss ratio 0.7819, byte miss ratio 0.7819
cdn1_colo28.ns752 S3FIFO-0.5500-1.9000 cache size    41001, 1764438 req, miss ratio 0.7793, byte miss ratio 0.7793
cdn1_colo28.ns752 S3FIFO-0.5500-1.9000 cache size   136670, 1764438 req, miss ratio 0.7770, byte miss ratio 0.7770
cdn1_colo28.ns752 S3FIFO-0.5500-1.9000 cache size   273341, 1764438 req, miss ratio 0.7755, byte miss ratio 0.7755
cdn1_colo28.ns752 S3FIFO-0.5500-1.9000 cache size   546682, 1764438 req, miss ratio 0.7748, byte miss ratio 0.7748
cdn1_colo28.ns752 S3FIFO-0.5500-1.9000 cache size  1093364, 1764438 req, miss ratio 0.7746, byte miss ratio 0.7746
cdn1_colo28.ns752 S3FIFO-0.5000-1.9000 cache size     1366, 1764438 req, miss ratio 0.8069, byte miss ratio 0.8069
cdn1_colo28.ns752 S3FIFO-0.5000-1.9000 cache size     4100, 1764438 req, miss ratio 0.7900, byte miss ratio 0.7900
cdn1_colo28.ns752 S3FIFO-0.5000-1.9000 cache size    13667, 1764438 req, miss ratio 0.7820, byte miss ratio 0.7820
cdn1_colo28.ns752 S3FIFO-0.5000-1.9000 cache size    41001, 1764438 req, miss ratio 0.7793, byte miss ratio 0.7793
cdn1_colo28.ns752 S3FIFO-0.5000-1.9000 cache size   136670, 1764438 req, miss ratio 0.7770, byte miss ratio 0.7770
cdn1_colo28.ns752 S3FIFO-0.5000-1.9000 cache size   273341, 1764438 req, miss ratio 0.7755, byte miss ratio 0.7755
cdn1_colo28.ns752 S3FIFO-0.5000-1.9000 cache size   546682, 1764438 req, miss ratio 0.7748, byte miss ratio 0.7748
cdn1_colo28.ns752 S3FIFO-0.5000-1.9000 cache size  1093364, 1764438 req, miss ratio 0.7746, byte miss ratio 0.7746
cdn1_colo28.ns752 S3FIFO-0.7500-0.9000 cache size     1366, 1764438 req, miss ratio 0.8138, byte miss ratio 0.8138
cdn1_colo28.ns752 S3FIFO-0.7500-0.9000 cache size     4100, 1764438 req, miss ratio 0.7969, byte miss ratio 0.7969
cdn1_colo28.ns752 S3FIFO-0.7500-0.9000 cache size    13667, 1764438 req, miss ratio 0.7827, byte miss ratio 0.7827
cdn1_colo28.ns752 S3FIFO-0.7500-0.9000 cache size    41001, 1764438 req, miss ratio 0.7795, byte miss ratio 0.7795
cdn1_colo28.ns752 S3FIFO-0.7500-0.9000 cache size   136670, 1764438 req, miss ratio 0.7771, byte miss ratio 0.7771
cdn1_colo28.ns752 S3FIFO-0.7500-0.9000 cache size   273341, 1764438 req, miss ratio 0.7755, byte miss ratio 0.7755
cdn1_colo28.ns752 S3FIFO-0.7500-0.9000 cache size   546682, 1764438 req, miss ratio 0.7748, byte miss ratio 0.7748
cdn1_colo28.ns752 S3FIFO-0.7500-0.9000 cache size  1093364, 1764438 req, miss ratio 0.7746, byte miss ratio 0.7746
cdn1_colo28.ns752 S3FIFO-0.9000-0.9000 cache size     1366, 1764438 req, miss ratio 0.8310, byte miss ratio 0.8310
cdn1_colo28.ns752 S3FIFO-0.9000-0.9000 cache size     4100, 1764438 req, miss ratio 0.8054, byte miss ratio 0.8054
cdn1_colo28.ns752 S3FIFO-0.9000-0.9000 cache size    13667, 1764438 req, miss ratio 0.7886, byte miss ratio 0.7886
cdn1_colo28.ns752 S3FIFO-0.9000-0.9000 cache size    41001, 1764438 req, miss ratio 0.7799, byte miss ratio 0.7799
cdn1_colo28.ns752 S3FIFO-0.9000-0.9000 cache size   136670, 1764438 req, miss ratio 0.7771, byte miss ratio 0.7771
cdn1_colo28.ns752 S3FIFO-0.9000-0.9000 cache size   273341, 1764438 req, miss ratio 0.7755, byte miss ratio 0.7755
cdn1_colo28.ns752 S3FIFO-0.9000-0.9000 cache size   546682, 1764438 req, miss ratio 0.7748, byte miss ratio 0.7748
cdn1_colo28.ns752 S3FIFO-0.9000-0.9000 cache size  1093364, 1764438 req, miss ratio 0.7746, byte miss ratio 0.7746
cdn1_colo28.ns752 S3FIFO-0.2000-1.9000 cache size     1366, 1764438 req, miss ratio 0.8011, byte miss ratio 0.8011
cdn1_colo28.ns752 S3FIFO-0.2000-1.9000 cache size     4100, 1764438 req, miss ratio 0.7878, byte miss ratio 0.7878
cdn1_colo28.ns752 S3FIFO-0.2000-1.9000 cache size    13667, 1764438 req, miss ratio 0.7821, byte miss ratio 0.7821
cdn1_colo28.ns752 S3FIFO-0.2000-1.9000 cache size    41001, 1764438 req, miss ratio 0.7793, byte miss ratio 0.7793
cdn1_colo28.ns752 S3FIFO-0.2000-1.9000 cache size   136670, 1764438 req, miss ratio 0.7770, byte miss ratio 0.7770
cdn1_colo28.ns752 S3FIFO-0.2000-1.9000 cache size   273341, 1764438 req, miss ratio 0.7755, byte miss ratio 0.7755
cdn1_colo28.ns752 S3FIFO-0.2000-1.9000 cache size   546682, 1764438 req, miss ratio 0.7748, byte miss ratio 0.7748
cdn1_colo28.ns752 S3FIFO-0.2000-1.9000 cache size  1093364, 1764438 req, miss ratio 0.7746, byte miss ratio 0.7746
cdn1_colo28.ns752 S3FIFO-0.7000-0.9000 cache size     1366, 1764438 req, miss ratio 0.8117, byte miss ratio 0.8117
cdn1_colo28.ns752 S3FIFO-0.7000-0.9000 cache size     4100, 1764438 req, miss ratio 0.7946, byte miss ratio 0.7946
cdn1_colo28.ns752 S3FIFO-0.7000-0.9000 cache size    13667, 1764438 req, miss ratio 0.7824, byte miss ratio 0.7824
cdn1_colo28.ns752 S3FIFO-0.7000-0.9000 cache size    41001, 1764438 req, miss ratio 0.7795, byte miss ratio 0.7795
cdn1_colo28.ns752 S3FIFO-0.7000-0.9000 cache size   136670, 1764438 req, miss ratio 0.7771, byte miss ratio 0.7771
cdn1_colo28.ns752 S3FIFO-0.7000-0.9000 cache size   273341, 1764438 req, miss ratio 0.7755, byte miss ratio 0.7755
cdn1_colo28.ns752 S3FIFO-0.7000-0.9000 cache size   546682, 1764438 req, miss ratio 0.7748, byte miss ratio 0.7748
cdn1_colo28.ns752 S3FIFO-0.7000-0.9000 cache size  1093364, 1764438 req, miss ratio 0.7746, byte miss ratio 0.7746
cdn1_colo28.ns752 S3FIFO-0.8500-0.9000 cache size     1366, 1764438 req, miss ratio 0.8222, byte miss ratio 0.8222
cdn1_colo28.ns752 S3FIFO-0.8500-0.9000 cache size     4100, 1764438 req, miss ratio 0.8016, byte miss ratio 0.8016
