io_traces.ns213 S3FIFO-0.9000-1.9000 cache size     8757, 14200000 req, miss ratio 0.8300, byte miss ratio 0.8300
io_traces.ns213 S3FIFO-0.9000-1.9000 cache size    26272, 14200000 req, miss ratio 0.8272, byte miss ratio 0.8272
io_traces.ns213 S3FIFO-0.9000-1.9000 cache size    87575, 14200000 req, miss ratio 0.8090, byte miss ratio 0.8090
io_traces.ns213 S3FIFO-0.9000-1.9000 cache size   262726, 14200000 req, miss ratio 0.7741, byte miss ratio 0.7741
io_traces.ns213 S3FIFO-0.9000-1.9000 cache size   875755, 14200000 req, miss ratio 0.7362, byte miss ratio 0.7362
io_traces.ns213 S3FIFO-0.9000-1.9000 cache size  1751511, 14200000 req, miss ratio 0.7111, byte miss ratio 0.7111
io_traces.ns213 S3FIFO-0.9000-1.9000 cache size  3503023, 14200000 req, miss ratio 0.6648, byte miss ratio 0.6648
io_traces.ns213 S3FIFO-0.9000-1.9000 cache size  7006046, 14200000 req, miss ratio 0.6227, byte miss ratio 0.6227
io_traces.ns213 S3FIFO-0.5500-0.9000 cache size     8757, 14200000 req, miss ratio 0.8297, byte miss ratio 0.8297
io_traces.ns213 S3FIFO-0.5500-0.9000 cache size    26272, 14200000 req, miss ratio 0.8256, byte miss ratio 0.8256
io_traces.ns213 S3FIFO-0.5500-0.9000 cache size    87575, 14200000 req, miss ratio 0.7837, byte miss ratio 0.7837
io_traces.ns213 S3FIFO-0.5500-0.9000 cache size   262726, 14200000 req, miss ratio 0.7332, byte miss ratio 0.7332
io_traces.ns213 S3FIFO-0.5500-0.9000 cache size   875755, 14200000 req, miss ratio 0.7207, byte miss ratio 0.7207
io_traces.ns213 S3FIFO-0.5500-0.9000 cache size  1751511, 14200000 req, miss ratio 0.7056, byte miss ratio 0.7056
io_traces.ns213 S3FIFO-0.5500-0.9000 cache size  3503023, 14200000 req, miss ratio 0.6597, byte miss ratio 0.6597
io_traces.ns213 S3FIFO-0.5500-0.9000 cache size  7006046, 14200000 req, miss ratio 0.6223, byte miss ratio 0.6223
io_traces.ns213 S3FIFO-0.5000-0.9000 cache size     8757, 14200000 req, miss ratio 0.8297, byte miss ratio 0.8297
io_traces.ns213 S3FIFO-0.5000-0.9000 cache size    26272, 14200000 req, miss ratio 0.8254, byte miss ratio 0.8254
io_traces.ns213 S3FIFO-0.5000-0.9000 cache size    87575, 14200000 req, miss ratio 0.7806, byte miss ratio 0.7806
io_traces.ns213 S3FIFO-0.5000-0.9000 cache size   262726, 14200000 req, miss ratio 0.7330, byte miss ratio 0.7330
io_traces.ns213 S3FIFO-0.5000-0.9000 cache size   875755, 14200000 req, miss ratio 0.7205, byte miss ratio 0.7205
io_traces.ns213 S3FIFO-0.5000-0.9000 cache size  1751511, 14200000 req, miss ratio 0.7046, byte miss ratio 0.7046
io_traces.ns213 S3FIFO-0.5000-0.9000 cache size  3503023, 14200000 req, miss ratio 0.6591, byte miss ratio 0.6591
io_traces.ns213 S3FIFO-0.5000-0.9000 cache size  7006046, 14200000 req, miss ratio 0.6223, byte miss ratio 0.6223
io_traces.ns213 S3FIFO-0.2000-1.9000 cache size     8757, 14200000 req, miss ratio 0.8276, byte miss ratio 0.8276
io_traces.ns213 S3FIFO-0.2000-1.9000 cache size    26272, 14200000 req, miss ratio 0.8174, byte miss ratio 0.8174
io_traces.ns213 S3FIFO-0.2000-1.9000 cache size    87575, 14200000 req, miss ratio 0.7496, byte miss ratio 0.7496
io_traces.ns213 S3FIFO-0.2000-1.9000 cache size   262726, 14200000 req, miss ratio 0.7326, byte miss ratio 0.7326
io_traces.ns213 S3FIFO-0.2000-1.9000 cache size   875755, 14200000 req, miss ratio 0.7100, byte miss ratio 0.7100
io_traces.ns213 S3FIFO-0.2000-1.9000 cache size  1751511, 14200000 req, miss ratio 0.6993, byte miss ratio 0.6993
io_traces.ns213 S3FIFO-0.2000-1.9000 cache size  3503023, 14200000 req, miss ratio 0.6593, byte miss ratio 0.6593
io_traces.ns213 S3FIFO-0.2000-1.9000 cache size  7006046, 14200000 req, miss ratio 0.6223, byte miss ratio 0.6223
io_traces.ns213 S3FIFO-0.2500-0.9000 cache size     8757, 14200000 req, miss ratio 0.8297, byte miss ratio 0.8297
io_traces.ns213 S3FIFO-0.2500-0.9000 cache size    26272, 14200000 req, miss ratio 0.8245, byte miss ratio 0.8245
io_traces.ns213 S3FIFO-0.2500-0.9000 cache size    87575, 14200000 req, miss ratio 0.7583, byte miss ratio 0.7583
io_traces.ns213 S3FIFO-0.2500-0.9000 cache size   262726, 14200000 req, miss ratio 0.7328, byte miss ratio 0.7328
io_traces.ns213 S3FIFO-0.2500-0.9000 cache size   875755, 14200000 req, miss ratio 0.7169, byte miss ratio 0.7169
io_traces.ns213 S3FIFO-0.2500-0.9000 cache size  1751511, 14200000 req, miss ratio 0.7004, byte miss ratio 0.7004
io_traces.ns213 S3FIFO-0.2500-0.9000 cache size  3503023, 14200000 req, miss ratio 0.6592, byte miss ratio 0.6592
io_traces.ns213 S3FIFO-0.2500-0.9000 cache size  7006046, 14200000 req, miss ratio 0.6223, byte miss ratio 0.6223
io_traces.ns213 S3FIFO-0.1000-1.9000 cache size     8757, 14200000 req, miss ratio 0.8277, byte miss ratio 0.8277
io_traces.ns213 S3FIFO-0.1000-1.9000 cache size    26272, 14200000 req, miss ratio 0.8160, byte miss ratio 0.8160
io_traces.ns213 S3FIFO-0.1000-1.9000 cache size    87575, 14200000 req, miss ratio 0.7438, byte miss ratio 0.7438
io_traces.ns213 S3FIFO-0.1000-1.9000 cache size   262726, 14200000 req, miss ratio 0.7324, byte miss ratio 0.7324
io_traces.ns213 S3FIFO-0.1000-1.9000 cache size   875755, 14200000 req, miss ratio 0.7080, byte miss ratio 0.7080
io_traces.ns213 S3FIFO-0.1000-1.9000 cache size  1751511, 14200000 req, miss ratio 0.6982, byte miss ratio 0.6982
io_traces.ns213 S3FIFO-0.1000-1.9000 cache size  3503023, 14200000 req, miss ratio 0.6593, byte miss ratio 0.6593
io_traces.ns213 S3FIFO-0.1000-1.9000 cache size  7006046, 14200000 req, miss ratio 0.6223, byte miss ratio 0.6223
io_traces.ns213 S3FIFO-0.3000-0.9000 cache size     8757, 14200000 req, miss ratio 0.8296, byte miss ratio 0.8296
io_traces.ns213 S3FIFO-0.3000-0.9000 cache size    26272, 14200000 req, miss ratio 0.8248, byte miss ratio 0.8248
io_traces.ns213 S3FIFO-0.3000-0.9000 cache size    87575, 14200000 req, miss ratio 0.7626, byte miss ratio 0.7626
io_traces.ns213 S3FIFO-0.3000-0.9000 cache size   262726, 14200000 req, miss ratio 0.7329, byte miss ratio 0.7329
io_traces.ns213 S3FIFO-0.3000-0.9000 cache size   875755, 14200000 req, miss ratio 0.7174, byte miss ratio 0.7174
io_traces.ns213 S3FIFO-0.3000-0.9000 cache size  1751511, 14200000 req, miss ratio 0.7012, byte miss ratio 0.7012
io_traces.ns213 S3FIFO-0.3000-0.9000 cache size  3503023, 14200000 req, miss ratio 0.6592, byte miss ratio 0.6592
io_traces.ns213 S3FIFO-0.3000-0.9000 cache size  7006046, 14200000 req, miss ratio 0.6223, byte miss ratio 0.6223
io_traces.ns213 S3FIFO-0.0500-0.9000 cache size     8757, 14200000 req, miss ratio 0.8302, byte miss ratio 0.8302
io_traces.ns213 S3FIFO-0.0500-0.9000 cache size    26272, 14200000 req, miss ratio 0.8237, byte miss ratio 0.8237
io_traces.ns213 S3FIFO-0.0500-0.9000 cache size    87575, 14200000 req, miss ratio 0.7463, byte miss ratio 0.7463
io_traces.ns213 S3FIFO-0.0500-0.9000 cache size   262726, 14200000 req, miss ratio 0.7325, byte miss ratio 0.7325
io_traces.ns213 S3FIFO-0.0500-0.9000 cache size   875755, 14200000 req, miss ratio 0.7156, byte miss ratio 0.7156
io_traces.ns213 S3FIFO-0.0500-0.9000 cache size  1751511, 14200000 req, miss ratio 0.6991, byte miss ratio 0.6991
io_traces.ns213 S3FIFO-0.0500-0.9000 cache size  3503023, 14200000 req, miss ratio 0.6592, byte miss ratio 0.6592
io_traces.ns213 S3FIFO-0.0500-0.9000 cache size  7006046, 14200000 req, miss ratio 0.6223, byte miss ratio 0.6223
io_traces.ns213 S3FIFO-0.5000-1.9000 cache size     8757, 14200000 req, miss ratio 0.8297, byte miss ratio 0.8297
io_traces.ns213 S3FIFO-0.5000-1.9000 cache size    26272, 14200000 req, miss ratio 0.8223, byte miss ratio 0.8223
io_traces.ns213 S3FIFO-0.5000-1.9000 cache size    87575, 14200000 req, miss ratio 0.7774, byte miss ratio 0.7774
io_traces.ns213 S3FIFO-0.5000-1.9000 cache size   262726, 14200000 req, miss ratio 0.7328, byte miss ratio 0.7328
io_traces.ns213 S3FIFO-0.5000-1.9000 cache size   875755, 14200000 req, miss ratio 0.7192, byte miss ratio 0.7192
io_traces.ns213 S3FIFO-0.5000-1.9000 cache size  1751511, 14200000 req, miss ratio 0.7045, byte miss ratio 0.7045
io_traces.ns213 S3FIFO-0.5000-1.9000 cache size  3503023, 14200000 req, miss ratio 0.6592, byte miss ratio 0.6592
io_traces.ns213 S3FIFO-0.5000-1.9000 cache size  7006046, 14200000 req, miss ratio 0.6223, byte miss ratio 0.6223
io_traces.ns213 S3FIFO-0.3000-1.9000 cache size     8757, 14200000 req, miss ratio 0.8278, byte miss ratio 0.8278
io_traces.ns213 S3FIFO-0.3000-1.9000 cache size    26272, 14200000 req, miss ratio 0.8196, byte miss ratio 0.8196
io_traces.ns213 S3FIFO-0.3000-1.9000 cache size    87575, 14200000 req, miss ratio 0.7581, byte miss ratio 0.7581
io_traces.ns213 S3FIFO-0.3000-1.9000 cache size   262726, 14200000 req, miss ratio 0.7326, byte miss ratio 0.7326
io_traces.ns213 S3FIFO-0.3000-1.9000 cache size   875755, 14200000 req, miss ratio 0.7118, byte miss ratio 0.7118
io_traces.ns213 S3FIFO-0.3000-1.9000 cache size  1751511, 14200000 req, miss ratio 0.7003, byte miss ratio 0.7003
io_traces.ns213 S3FIFO-0.3000-1.9000 cache size  3503023, 14200000 req, miss ratio 0.6593, byte miss ratio 0.6593
io_traces.ns213 S3FIFO-0.3000-1.9000 cache size  7006046, 14200000 req, miss ratio 0.6223, byte miss ratio 0.6223
io_traces.ns213 S3FIFO-0.0100-0.9000 cache size     8757, 14200000 req, miss ratio 0.8320, byte miss ratio 0.8320
io_traces.ns213 S3FIFO-0.0100-0.9000 cache size    26272, 14200000 req, miss ratio 0.8245, byte miss ratio 0.8245
io_traces.ns213 S3FIFO-0.0100-0.9000 cache size    87575, 14200000 req, miss ratio 0.7453, byte miss ratio 0.7453
io_traces.ns213 S3FIFO-0.0100-0.9000 cache size   262726, 14200000 req, miss ratio 0.7324, byte miss ratio 0.7324
io_traces.ns213 S3FIFO-0.0100-0.9000 cache size   875755, 14200000 req, miss ratio 0.7153, byte miss ratio 0.7153
io_traces.ns213 S3FIFO-0.0100-0.9000 cache size  1751511, 14200000 req, miss ratio 0.6990, byte miss ratio 0.6990
io_traces.ns213 S3FIFO-0.0100-0.9000 cache size  3503023, 14200000 req, miss ratio 0.6592, byte miss ratio 0.6592
io_traces.ns213 S3FIFO-0.0100-0.9000 cache size  7006046, 14200000 req, miss ratio 0.6223, byte miss ratio 0.6223
io_traces.ns213 S3FIFO-0.6500-1.9000 cache size     8757, 14200000 req, miss ratio 0.8297, byte miss ratio 0.8297
io_traces.ns213 S3FIFO-0.6500-1.9000 cache size    26272, 14200000 req, miss ratio 0.8239, byte miss ratio 0.8239
io_traces.ns213 S3FIFO-0.6500-1.9000 cache size    87575, 14200000 req, miss ratio 0.7910, byte miss ratio 0.7910
io_traces.ns213 S3FIFO-0.6500-1.9000 cache size   262726, 14200000 req, miss ratio 0.7344, byte miss ratio 0.7344
io_traces.ns213 S3FIFO-0.6500-1.9000 cache size   875755, 14200000 req, miss ratio 0.7246, byte miss ratio 0.7246
io_traces.ns213 S3FIFO-0.6500-1.9000 cache size  1751511, 14200000 req, miss ratio 0.7110, byte miss ratio 0.7110
io_traces.ns213 S3FIFO-0.6500-1.9000 cache size  3503023, 14200000 req, miss ratio 0.6610, byte miss ratio 0.6610
io_traces.ns213 S3FIFO-0.6500-1.9000 cache size  7006046, 14200000 req, miss ratio 0.6223, byte miss ratio 0.6223
io_traces.ns213 S3FIFO-0.8000-1.9000 cache size     8757, 14200000 req, miss ratio 0.8298, byte miss ratio 0.8298
io_traces.ns213 S3FIFO-0.8000-1.9000 cache size    26272, 14200000 req, miss ratio 0.8267, byte miss ratio 0.8267
io_traces.ns213 S3FIFO-0.8000-1.9000 cache size    87575, 14200000 req, miss ratio 0.8032, byte miss ratio 0.8032
io_traces.ns213 S3FIFO-0.8000-1.9000 cache size   262726, 14200000 req, miss ratio 0.7537, byte miss ratio 0.7537
io_traces.ns213 S3FIFO-0.8000-1.9000 cache size   875755, 14200000 req, miss ratio 0.7309, byte miss ratio 0.7309
io_traces.ns213 S3FIFO-0.8000-1.9000 cache size  1751511, 14200000 req, miss ratio 0.7148, byte miss ratio 0.7148
io_traces.ns213 S3FIFO-0.8000-1.9000 cache size  3503023, 14200000 req, miss ratio 0.6618, byte miss ratio 0.6618
io_traces.ns213 S3FIFO-0.8000-1.9000 cache size  7006046, 14200000 req, miss ratio 0.6223, byte miss ratio 0.6223
