expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-0.1000 cache size    69436, 296493967 req, miss ratio 0.1692, byte miss ratio 0.1692
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-0.1000 cache size   208308, 296493967 req, miss ratio 0.0493, byte miss ratio 0.0493
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-0.1000 cache size   694361, 296493967 req, miss ratio 0.0333, byte miss ratio 0.0333
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-0.1000 cache size  1388723, 296493967 req, miss ratio 0.0284, byte miss ratio 0.0284
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-0.1000 cache size  2777447, 296493967 req, miss ratio 0.0251, byte miss ratio 0.0251
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-0.1000 cache size  5554894, 296493967 req, miss ratio 0.0236, byte miss ratio 0.0236
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-1.8000 cache size     6943, 296493967 req, miss ratio 0.3065, byte miss ratio 0.3065
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-1.8000 cache size    20830, 296493967 req, miss ratio 0.2489, byte miss ratio 0.2489
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-1.8000 cache size    69436, 296493967 req, miss ratio 0.1398, byte miss ratio 0.1398
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-1.8000 cache size   208308, 296493967 req, miss ratio 0.0457, byte miss ratio 0.0457
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-1.8000 cache size   694361, 296493967 req, miss ratio 0.0322, byte miss ratio 0.0322
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-1.8000 cache size  1388723, 296493967 req, miss ratio 0.0278, byte miss ratio 0.0278
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-1.8000 cache size  2777447, 296493967 req, miss ratio 0.0251, byte miss ratio 0.0251
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-1.8000 cache size  5554894, 296493967 req, miss ratio 0.0236, byte miss ratio 0.0236
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0010-0.5000 cache size     6943, 296493967 req, miss ratio 0.3264, byte miss ratio 0.3264
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0010-0.5000 cache size    20830, 296493967 req, miss ratio 0.2412, byte miss ratio 0.2412
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0010-0.5000 cache size    69436, 296493967 req, miss ratio 0.1362, byte miss ratio 0.1362
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0010-0.5000 cache size   208308, 296493967 req, miss ratio 0.0466, byte miss ratio 0.0466
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0010-0.5000 cache size   694361, 296493967 req, miss ratio 0.0326, byte miss ratio 0.0326
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0010-0.5000 cache size  1388723, 296493967 req, miss ratio 0.0280, byte miss ratio 0.0280
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0010-0.5000 cache size  2777447, 296493967 req, miss ratio 0.0253, byte miss ratio 0.0253
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0010-0.5000 cache size  5554894, 296493967 req, miss ratio 0.0236, byte miss ratio 0.0236
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-1.0000 cache size     6943, 296493967 req, miss ratio 0.3480, byte miss ratio 0.3480
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-1.0000 cache size    20830, 296493967 req, miss ratio 0.2827, byte miss ratio 0.2827
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-1.0000 cache size    69436, 296493967 req, miss ratio 0.1656, byte miss ratio 0.1656
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-1.0000 cache size   208308, 296493967 req, miss ratio 0.0562, byte miss ratio 0.0562
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-1.0000 cache size   694361, 296493967 req, miss ratio 0.0347, byte miss ratio 0.0347
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-1.0000 cache size  1388723, 296493967 req, miss ratio 0.0292, byte miss ratio 0.0292
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-1.0000 cache size  2777447, 296493967 req, miss ratio 0.0255, byte miss ratio 0.0255
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-1.0000 cache size  5554894, 296493967 req, miss ratio 0.0237, byte miss ratio 0.0237
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2500-0.9000 cache size     6943, 296493967 req, miss ratio 0.3121, byte miss ratio 0.3121
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2500-0.9000 cache size    20830, 296493967 req, miss ratio 0.2466, byte miss ratio 0.2466
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2500-0.9000 cache size    69436, 296493967 req, miss ratio 0.1629, byte miss ratio 0.1629
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2500-0.9000 cache size   208308, 296493967 req, miss ratio 0.0471, byte miss ratio 0.0471
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2500-0.9000 cache size   694361, 296493967 req, miss ratio 0.0326, byte miss ratio 0.0326
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2500-0.9000 cache size  1388723, 296493967 req, miss ratio 0.0279, byte miss ratio 0.0279
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2500-0.9000 cache size  2777447, 296493967 req, miss ratio 0.0251, byte miss ratio 0.0251
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2500-0.9000 cache size  5554894, 296493967 req, miss ratio 0.0236, byte miss ratio 0.0236
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-1.3000 cache size     6943, 296493967 req, miss ratio 0.3065, byte miss ratio 0.3065
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-1.3000 cache size    20830, 296493967 req, miss ratio 0.2378, byte miss ratio 0.2378
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-1.3000 cache size    69436, 296493967 req, miss ratio 0.1460, byte miss ratio 0.1460
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-1.3000 cache size   208308, 296493967 req, miss ratio 0.0460, byte miss ratio 0.0460
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-1.3000 cache size   694361, 296493967 req, miss ratio 0.0323, byte miss ratio 0.0323
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-1.3000 cache size  1388723, 296493967 req, miss ratio 0.0277, byte miss ratio 0.0277
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-1.3000 cache size  2777447, 296493967 req, miss ratio 0.0251, byte miss ratio 0.0251
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-1.3000 cache size  5554894, 296493967 req, miss ratio 0.0236, byte miss ratio 0.0236
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-1.3000 cache size     6943, 296493967 req, miss ratio 0.3051, byte miss ratio 0.3051
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-1.3000 cache size    20830, 296493967 req, miss ratio 0.2358, byte miss ratio 0.2358
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-1.3000 cache size    69436, 296493967 req, miss ratio 0.1396, byte miss ratio 0.1396
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-1.3000 cache size   208308, 296493967 req, miss ratio 0.0457, byte miss ratio 0.0457
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-1.3000 cache size   694361, 296493967 req, miss ratio 0.0322, byte miss ratio 0.0322
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-1.3000 cache size  1388723, 296493967 req, miss ratio 0.0278, byte miss ratio 0.0278
