cdn1_colo28.ns13 S3FIFO-0.0050-0.9000 cache size       12, 1761516 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns13 S3FIFO-0.0050-0.9000 cache size       42, 1761516 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns13 S3FIFO-0.0050-0.9000 cache size       84, 1761516 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns13 S3FIFO-0.0050-0.9000 cache size      168, 1761516 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns13 S3FIFO-0.0050-0.9000 cache size      337, 1761516 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn1_colo28.ns13 S3FIFO-0.0010-1.9000 cache size       12, 1761516 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns13 S3FIFO-0.0010-1.9000 cache size       42, 1761516 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns13 S3FIFO-0.0010-1.9000 cache size       84, 1761516 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns13 S3FIFO-0.0010-1.9000 cache size      168, 1761516 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns13 S3FIFO-0.0010-1.9000 cache size      337, 1761516 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns13 S3FIFO-0.3500-0.9000 cache size       12, 1761516 req, miss ratio 0.3995, byte miss ratio 0.3995
cdn1_colo28.ns13 S3FIFO-0.3500-0.9000 cache size       42, 1761516 req, miss ratio 0.0795, byte miss ratio 0.0795
cdn1_colo28.ns13 S3FIFO-0.3500-0.9000 cache size       84, 1761516 req, miss ratio 0.0232, byte miss ratio 0.0232
cdn1_colo28.ns13 S3FIFO-0.3500-0.9000 cache size      168, 1761516 req, miss ratio 0.0024, byte miss ratio 0.0024
cdn1_colo28.ns13 S3FIFO-0.3500-0.9000 cache size      337, 1761516 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn1_colo28.ns13 S3FIFO-0.8000-0.9000 cache size       12, 1761516 req, miss ratio 0.4854, byte miss ratio 0.4854
cdn1_colo28.ns13 S3FIFO-0.8000-0.9000 cache size       42, 1761516 req, miss ratio 0.1056, byte miss ratio 0.1056
cdn1_colo28.ns13 S3FIFO-0.8000-0.9000 cache size       84, 1761516 req, miss ratio 0.0320, byte miss ratio 0.0320
cdn1_colo28.ns13 S3FIFO-0.8000-0.9000 cache size      168, 1761516 req, miss ratio 0.0037, byte miss ratio 0.0037
cdn1_colo28.ns13 S3FIFO-0.8000-0.9000 cache size      337, 1761516 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn1_colo28.ns13 S3FIFO-0.7000-0.9000 cache size       12, 1761516 req, miss ratio 0.4767, byte miss ratio 0.4767
