cdn1_colo28.ns289 S3FIFO-0.6500-1.9000 cache size        7, 1430389 req, miss ratio 0.0797, byte miss ratio 0.0797
cdn1_colo28.ns289 S3FIFO-0.6500-1.9000 cache size       23, 1430389 req, miss ratio 0.0093, byte miss ratio 0.0093
cdn1_colo28.ns289 S3FIFO-0.6500-1.9000 cache size       77, 1430389 req, miss ratio 0.0015, byte miss ratio 0.0015
cdn1_colo28.ns289 S3FIFO-0.6500-1.9000 cache size      155, 1430389 req, miss ratio 0.0009, byte miss ratio 0.0009
cdn1_colo28.ns289 S3FIFO-0.6500-1.9000 cache size      310, 1430389 req, miss ratio 0.0006, byte miss ratio 0.0006
cdn1_colo28.ns289 S3FIFO-0.6500-1.9000 cache size      621, 1430389 req, miss ratio 0.0005, byte miss ratio 0.0005
cdn1_colo28.ns289 S3FIFO-0.5000-0.9000 cache size        7, 1430389 req, miss ratio 0.0733, byte miss ratio 0.0733
cdn1_colo28.ns289 S3FIFO-0.5000-0.9000 cache size       23, 1430389 req, miss ratio 0.0084, byte miss ratio 0.0084
cdn1_colo28.ns289 S3FIFO-0.5000-0.9000 cache size       77, 1430389 req, miss ratio 0.0014, byte miss ratio 0.0014
cdn1_colo28.ns289 S3FIFO-0.5000-0.9000 cache size      155, 1430389 req, miss ratio 0.0009, byte miss ratio 0.0009
cdn1_colo28.ns289 S3FIFO-0.5000-0.9000 cache size      310, 1430389 req, miss ratio 0.0006, byte miss ratio 0.0006
cdn1_colo28.ns289 S3FIFO-0.5000-0.9000 cache size      621, 1430389 req, miss ratio 0.0006, byte miss ratio 0.0006
cdn1_colo28.ns289 S3FIFO-0.9500-1.9000 cache size        7, 1430389 req, miss ratio 0.0906, byte miss ratio 0.0906
cdn1_colo28.ns289 S3FIFO-0.9500-1.9000 cache size       23, 1430389 req, miss ratio 0.0117, byte miss ratio 0.0117
cdn1_colo28.ns289 S3FIFO-0.9500-1.9000 cache size       77, 1430389 req, miss ratio 0.0019, byte miss ratio 0.0019
cdn1_colo28.ns289 S3FIFO-0.9500-1.9000 cache size      155, 1430389 req, miss ratio 0.0010, byte miss ratio 0.0010
cdn1_colo28.ns289 S3FIFO-0.9500-1.9000 cache size      310, 1430389 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_colo28.ns289 S3FIFO-0.9500-1.9000 cache size      621, 1430389 req, miss ratio 0.0006, byte miss ratio 0.0006
cdn1_colo28.ns289 S3FIFO-0.1000-0.9000 cache size        7, 1430389 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns289 S3FIFO-0.1000-0.9000 cache size       23, 1430389 req, miss ratio 0.0061, byte miss ratio 0.0061
cdn1_colo28.ns289 S3FIFO-0.1000-0.9000 cache size       77, 1430389 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn1_colo28.ns289 S3FIFO-0.1000-0.9000 cache size      155, 1430389 req, miss ratio 0.0009, byte miss ratio 0.0009
