cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.6500-0.9000 cache size     5365, 16902775 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.8500-0.9000 cache size        6, 16902775 req, miss ratio 0.0296, byte miss ratio 0.0296
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.8500-0.9000 cache size       20, 16902775 req, miss ratio 0.0114, byte miss ratio 0.0114
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.8500-0.9000 cache size       67, 16902775 req, miss ratio 0.0033, byte miss ratio 0.0033
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.8500-0.9000 cache size      201, 16902775 req, miss ratio 0.0017, byte miss ratio 0.0017
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.8500-0.9000 cache size      670, 16902775 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.8500-0.9000 cache size     1341, 16902775 req, miss ratio 0.0005, byte miss ratio 0.0005
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.8500-0.9000 cache size     2682, 16902775 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.8500-0.9000 cache size     5365, 16902775 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.0100-1.9000 cache size        6, 16902775 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.0100-1.9000 cache size       20, 16902775 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.0100-1.9000 cache size       67, 16902775 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.0100-1.9000 cache size      201, 16902775 req, miss ratio 0.0022, byte miss ratio 0.0022
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.0100-1.9000 cache size      670, 16902775 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.0100-1.9000 cache size     1341, 16902775 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.0100-1.9000 cache size     2682, 16902775 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.0100-1.9000 cache size     5365, 16902775 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.7000-0.9000 cache size        6, 16902775 req, miss ratio 0.0285, byte miss ratio 0.0285
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.7000-0.9000 cache size       20, 16902775 req, miss ratio 0.0109, byte miss ratio 0.0109
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.7000-0.9000 cache size       67, 16902775 req, miss ratio 0.0032, byte miss ratio 0.0032
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.7000-0.9000 cache size      201, 16902775 req, miss ratio 0.0017, byte miss ratio 0.0017
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.7000-0.9000 cache size      670, 16902775 req, miss ratio 0.0006, byte miss ratio 0.0006
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.7000-0.9000 cache size     1341, 16902775 req, miss ratio 0.0005, byte miss ratio 0.0005
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.7000-0.9000 cache size     2682, 16902775 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.7000-0.9000 cache size     5365, 16902775 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.9900-1.9000 cache size        6, 16902775 req, miss ratio 0.0297, byte miss ratio 0.0297
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.9900-1.9000 cache size       20, 16902775 req, miss ratio 0.0118, byte miss ratio 0.0118
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.9900-1.9000 cache size       67, 16902775 req, miss ratio 0.0035, byte miss ratio 0.0035
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.9900-1.9000 cache size      201, 16902775 req, miss ratio 0.0018, byte miss ratio 0.0018
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.9900-1.9000 cache size      670, 16902775 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.9900-1.9000 cache size     1341, 16902775 req, miss ratio 0.0005, byte miss ratio 0.0005
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.9900-1.9000 cache size     2682, 16902775 req, miss ratio 0.0005, byte miss ratio 0.0005
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.9900-1.9000 cache size     5365, 16902775 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.5000-0.9000 cache size        6, 16902775 req, miss ratio 0.0270, byte miss ratio 0.0270
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.5000-0.9000 cache size       20, 16902775 req, miss ratio 0.0107, byte miss ratio 0.0107
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.5000-0.9000 cache size       67, 16902775 req, miss ratio 0.0032, byte miss ratio 0.0032
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.5000-0.9000 cache size      201, 16902775 req, miss ratio 0.0016, byte miss ratio 0.0016
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.5000-0.9000 cache size      670, 16902775 req, miss ratio 0.0005, byte miss ratio 0.0005
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.5000-0.9000 cache size     1341, 16902775 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.5000-0.9000 cache size     2682, 16902775 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.5000-0.9000 cache size     5365, 16902775 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.0250-0.9000 cache size        6, 16902775 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.0250-0.9000 cache size       20, 16902775 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.0250-0.9000 cache size       67, 16902775 req, miss ratio 0.0045, byte miss ratio 0.0045
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.0250-0.9000 cache size      201, 16902775 req, miss ratio 0.0020, byte miss ratio 0.0020
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.0250-0.9000 cache size      670, 16902775 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.0250-0.9000 cache size     1341, 16902775 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.0250-0.9000 cache size     2682, 16902775 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.0250-0.9000 cache size     5365, 16902775 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.1000-1.9000 cache size        6, 16902775 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.1000-1.9000 cache size       20, 16902775 req, miss ratio 0.0112, byte miss ratio 0.0112
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.1000-1.9000 cache size       67, 16902775 req, miss ratio 0.0037, byte miss ratio 0.0037
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.1000-1.9000 cache size      201, 16902775 req, miss ratio 0.0017, byte miss ratio 0.0017
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.1000-1.9000 cache size      670, 16902775 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.1000-1.9000 cache size     1341, 16902775 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.1000-1.9000 cache size     2682, 16902775 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.1000-1.9000 cache size     5365, 16902775 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.0500-1.9000 cache size        6, 16902775 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.0500-1.9000 cache size       20, 16902775 req, miss ratio 0.0114, byte miss ratio 0.0114
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.0500-1.9000 cache size       67, 16902775 req, miss ratio 0.0040, byte miss ratio 0.0040
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.0500-1.9000 cache size      201, 16902775 req, miss ratio 0.0018, byte miss ratio 0.0018
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.0500-1.9000 cache size      670, 16902775 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.0500-1.9000 cache size     1341, 16902775 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.0500-1.9000 cache size     2682, 16902775 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.0500-1.9000 cache size     5365, 16902775 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.0050-1.9000 cache size        6, 16902775 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.0050-1.9000 cache size       20, 16902775 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.0050-1.9000 cache size       67, 16902775 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.0050-1.9000 cache size      201, 16902775 req, miss ratio 0.0024, byte miss ratio 0.0024
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.0050-1.9000 cache size      670, 16902775 req, miss ratio 0.0005, byte miss ratio 0.0005
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.0050-1.9000 cache size     1341, 16902775 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.0050-1.9000 cache size     2682, 16902775 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.0050-1.9000 cache size     5365, 16902775 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.6000-1.9000 cache size        6, 16902775 req, miss ratio 0.0275, byte miss ratio 0.0275
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.6000-1.9000 cache size       20, 16902775 req, miss ratio 0.0109, byte miss ratio 0.0109
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.6000-1.9000 cache size       67, 16902775 req, miss ratio 0.0032, byte miss ratio 0.0032
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.6000-1.9000 cache size      201, 16902775 req, miss ratio 0.0016, byte miss ratio 0.0016
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.6000-1.9000 cache size      670, 16902775 req, miss ratio 0.0006, byte miss ratio 0.0006
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.6000-1.9000 cache size     1341, 16902775 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.6000-1.9000 cache size     2682, 16902775 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.6000-1.9000 cache size     5365, 16902775 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.2000-1.9000 cache size        6, 16902775 req, miss ratio 0.0260, byte miss ratio 0.0260
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.2000-1.9000 cache size       20, 16902775 req, miss ratio 0.0109, byte miss ratio 0.0109
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.2000-1.9000 cache size       67, 16902775 req, miss ratio 0.0033, byte miss ratio 0.0033
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.2000-1.9000 cache size      201, 16902775 req, miss ratio 0.0016, byte miss ratio 0.0016
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.2000-1.9000 cache size      670, 16902775 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.2000-1.9000 cache size     1341, 16902775 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.2000-1.9000 cache size     2682, 16902775 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.2000-1.9000 cache size     5365, 16902775 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.3000-0.9000 cache size        6, 16902775 req, miss ratio 0.0254, byte miss ratio 0.0254
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.3000-0.9000 cache size       20, 16902775 req, miss ratio 0.0108, byte miss ratio 0.0108
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.3000-0.9000 cache size       67, 16902775 req, miss ratio 0.0032, byte miss ratio 0.0032
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.3000-0.9000 cache size      201, 16902775 req, miss ratio 0.0015, byte miss ratio 0.0015
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.3000-0.9000 cache size      670, 16902775 req, miss ratio 0.0005, byte miss ratio 0.0005
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.3000-0.9000 cache size     1341, 16902775 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.3000-0.9000 cache size     2682, 16902775 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn2_nyc.ns8.oracleGeneral.bin.zst S3FIFO-0.3000-0.9000 cache size     5365, 16902775 req, miss ratio 0.0004, byte miss ratio 0.0004
