cdn1_colo28.ns309 S3FIFO-0.0100-1.9000 cache size      141, 45076397 req, miss ratio 0.1849, byte miss ratio 0.1849
cdn1_colo28.ns309 S3FIFO-0.0100-1.9000 cache size      425, 45076397 req, miss ratio 0.1097, byte miss ratio 0.1097
cdn1_colo28.ns309 S3FIFO-0.0100-1.9000 cache size     1419, 45076397 req, miss ratio 0.0539, byte miss ratio 0.0539
cdn1_colo28.ns309 S3FIFO-0.0100-1.9000 cache size     4258, 45076397 req, miss ratio 0.0283, byte miss ratio 0.0283
cdn1_colo28.ns309 S3FIFO-0.0100-1.9000 cache size    14195, 45076397 req, miss ratio 0.0158, byte miss ratio 0.0158
cdn1_colo28.ns309 S3FIFO-0.0100-1.9000 cache size    28390, 45076397 req, miss ratio 0.0097, byte miss ratio 0.0097
cdn1_colo28.ns309 S3FIFO-0.0100-1.9000 cache size    56780, 45076397 req, miss ratio 0.0047, byte miss ratio 0.0047
cdn1_colo28.ns309 S3FIFO-0.0100-1.9000 cache size   113560, 45076397 req, miss ratio 0.0032, byte miss ratio 0.0032
cdn1_colo28.ns309 S3FIFO-0.9500-1.9000 cache size      141, 45076397 req, miss ratio 0.2604, byte miss ratio 0.2604
cdn1_colo28.ns309 S3FIFO-0.9500-1.9000 cache size      425, 45076397 req, miss ratio 0.1569, byte miss ratio 0.1569
cdn1_colo28.ns309 S3FIFO-0.9500-1.9000 cache size     1419, 45076397 req, miss ratio 0.0778, byte miss ratio 0.0778
cdn1_colo28.ns309 S3FIFO-0.9500-1.9000 cache size     4258, 45076397 req, miss ratio 0.0362, byte miss ratio 0.0362
cdn1_colo28.ns309 S3FIFO-0.9500-1.9000 cache size    14195, 45076397 req, miss ratio 0.0163, byte miss ratio 0.0163
cdn1_colo28.ns309 S3FIFO-0.9500-1.9000 cache size    28390, 45076397 req, miss ratio 0.0116, byte miss ratio 0.0116
cdn1_colo28.ns309 S3FIFO-0.9500-1.9000 cache size    56780, 45076397 req, miss ratio 0.0067, byte miss ratio 0.0067
cdn1_colo28.ns309 S3FIFO-0.9500-1.9000 cache size   113560, 45076397 req, miss ratio 0.0039, byte miss ratio 0.0039
cdn1_colo28.ns309 S3FIFO-0.0500-1.9000 cache size      141, 45076397 req, miss ratio 0.1873, byte miss ratio 0.1873
cdn1_colo28.ns309 S3FIFO-0.0500-1.9000 cache size      425, 45076397 req, miss ratio 0.1101, byte miss ratio 0.1101
cdn1_colo28.ns309 S3FIFO-0.0500-1.9000 cache size     1419, 45076397 req, miss ratio 0.0541, byte miss ratio 0.0541
cdn1_colo28.ns309 S3FIFO-0.0500-1.9000 cache size     4258, 45076397 req, miss ratio 0.0276, byte miss ratio 0.0276
cdn1_colo28.ns309 S3FIFO-0.0500-1.9000 cache size    14195, 45076397 req, miss ratio 0.0147, byte miss ratio 0.0147
cdn1_colo28.ns309 S3FIFO-0.0500-1.9000 cache size    28390, 45076397 req, miss ratio 0.0090, byte miss ratio 0.0090
cdn1_colo28.ns309 S3FIFO-0.0500-1.9000 cache size    56780, 45076397 req, miss ratio 0.0047, byte miss ratio 0.0047
cdn1_colo28.ns309 S3FIFO-0.0500-1.9000 cache size   113560, 45076397 req, miss ratio 0.0032, byte miss ratio 0.0032
cdn1_colo28.ns309 S3FIFO-0.1000-1.9000 cache size      141, 45076397 req, miss ratio 0.1889, byte miss ratio 0.1889
cdn1_colo28.ns309 S3FIFO-0.1000-1.9000 cache size      425, 45076397 req, miss ratio 0.1118, byte miss ratio 0.1118
cdn1_colo28.ns309 S3FIFO-0.1000-1.9000 cache size     1419, 45076397 req, miss ratio 0.0547, byte miss ratio 0.0547
cdn1_colo28.ns309 S3FIFO-0.1000-1.9000 cache size     4258, 45076397 req, miss ratio 0.0272, byte miss ratio 0.0272
cdn1_colo28.ns309 S3FIFO-0.1000-1.9000 cache size    14195, 45076397 req, miss ratio 0.0141, byte miss ratio 0.0141
cdn1_colo28.ns309 S3FIFO-0.1000-1.9000 cache size    28390, 45076397 req, miss ratio 0.0089, byte miss ratio 0.0089
cdn1_colo28.ns309 S3FIFO-0.1000-1.9000 cache size    56780, 45076397 req, miss ratio 0.0048, byte miss ratio 0.0048
cdn1_colo28.ns309 S3FIFO-0.1000-1.9000 cache size   113560, 45076397 req, miss ratio 0.0032, byte miss ratio 0.0032
cdn1_colo28.ns309 S3FIFO-0.0010-1.9000 cache size      141, 45076397 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns309 S3FIFO-0.0010-1.9000 cache size      425, 45076397 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns309 S3FIFO-0.0010-1.9000 cache size     1419, 45076397 req, miss ratio 0.0542, byte miss ratio 0.0542
