tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-0.8000 cache size    20240, 468248714 req, miss ratio 0.3291, byte miss ratio 0.3291
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-0.8000 cache size    67469, 468248714 req, miss ratio 0.2115, byte miss ratio 0.2115
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-0.8000 cache size   202409, 468248714 req, miss ratio 0.1324, byte miss ratio 0.1324
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-0.8000 cache size   674698, 468248714 req, miss ratio 0.0740, byte miss ratio 0.0740
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-0.8000 cache size  1349396, 468248714 req, miss ratio 0.0468, byte miss ratio 0.0468
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-0.8000 cache size  2698792, 468248714 req, miss ratio 0.0250, byte miss ratio 0.0250
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-0.8000 cache size  5397585, 468248714 req, miss ratio 0.0149, byte miss ratio 0.0149
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-0.5000 cache size     6746, 468248714 req, miss ratio 0.4544, byte miss ratio 0.4544
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-0.5000 cache size    20240, 468248714 req, miss ratio 0.3297, byte miss ratio 0.3297
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-0.5000 cache size    67469, 468248714 req, miss ratio 0.2166, byte miss ratio 0.2166
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-0.5000 cache size   202409, 468248714 req, miss ratio 0.1384, byte miss ratio 0.1384
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-0.5000 cache size   674698, 468248714 req, miss ratio 0.0798, byte miss ratio 0.0798
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-0.5000 cache size  1349396, 468248714 req, miss ratio 0.0549, byte miss ratio 0.0549
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-0.5000 cache size  2698792, 468248714 req, miss ratio 0.0309, byte miss ratio 0.0309
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-0.5000 cache size  5397585, 468248714 req, miss ratio 0.0154, byte miss ratio 0.0154
tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-0.7000 cache size     6746, 468248714 req, miss ratio 0.4424, byte miss ratio 0.4424
