io_traces.ns209 S3FIFO-0.7000-0.9000 cache size     1480, 3800000 req, miss ratio 0.8650, byte miss ratio 0.8650
io_traces.ns209 S3FIFO-0.7000-0.9000 cache size     4442, 3800000 req, miss ratio 0.8629, byte miss ratio 0.8629
io_traces.ns209 S3FIFO-0.7000-0.9000 cache size    14807, 3800000 req, miss ratio 0.8429, byte miss ratio 0.8429
io_traces.ns209 S3FIFO-0.7000-0.9000 cache size    44423, 3800000 req, miss ratio 0.7595, byte miss ratio 0.7595
io_traces.ns209 S3FIFO-0.7000-0.9000 cache size   148079, 3800000 req, miss ratio 0.5530, byte miss ratio 0.5530
io_traces.ns209 S3FIFO-0.7000-0.9000 cache size   296158, 3800000 req, miss ratio 0.5285, byte miss ratio 0.5285
io_traces.ns209 S3FIFO-0.7000-0.9000 cache size   592316, 3800000 req, miss ratio 0.4482, byte miss ratio 0.4482
io_traces.ns209 S3FIFO-0.7000-0.9000 cache size  1184632, 3800000 req, miss ratio 0.3912, byte miss ratio 0.3912
io_traces.ns209 S3FIFO-0.3500-0.9000 cache size     1480, 3800000 req, miss ratio 0.8642, byte miss ratio 0.8642
io_traces.ns209 S3FIFO-0.3500-0.9000 cache size     4442, 3800000 req, miss ratio 0.8573, byte miss ratio 0.8573
io_traces.ns209 S3FIFO-0.3500-0.9000 cache size    14807, 3800000 req, miss ratio 0.8311, byte miss ratio 0.8311
io_traces.ns209 S3FIFO-0.3500-0.9000 cache size    44423, 3800000 req, miss ratio 0.6911, byte miss ratio 0.6911
io_traces.ns209 S3FIFO-0.3500-0.9000 cache size   148079, 3800000 req, miss ratio 0.5251, byte miss ratio 0.5251
io_traces.ns209 S3FIFO-0.3500-0.9000 cache size   296158, 3800000 req, miss ratio 0.4721, byte miss ratio 0.4721
io_traces.ns209 S3FIFO-0.3500-0.9000 cache size   592316, 3800000 req, miss ratio 0.4241, byte miss ratio 0.4241
io_traces.ns209 S3FIFO-0.3500-0.9000 cache size  1184632, 3800000 req, miss ratio 0.3912, byte miss ratio 0.3912
io_traces.ns209 S3FIFO-0.4000-0.9000 cache size     1480, 3800000 req, miss ratio 0.8642, byte miss ratio 0.8642
io_traces.ns209 S3FIFO-0.4000-0.9000 cache size     4442, 3800000 req, miss ratio 0.8570, byte miss ratio 0.8570
io_traces.ns209 S3FIFO-0.4000-0.9000 cache size    14807, 3800000 req, miss ratio 0.8317, byte miss ratio 0.8317
