w04.oracleGeneral.bin.zst S3FIFO-0.1500-0.9000 cache size  1875338, 77764582 req, miss ratio 0.4124, byte miss ratio 0.4124
w04.oracleGeneral.bin.zst S3FIFO-0.1500-0.9000 cache size  3750676, 77764582 req, miss ratio 0.3878, byte miss ratio 0.3878
w04.oracleGeneral.bin.zst S3FIFO-0.1500-0.9000 cache size  7501352, 77764582 req, miss ratio 0.2910, byte miss ratio 0.2910
w04.oracleGeneral.bin.zst S3FIFO-0.1500-0.9000 cache size 15002704, 77764582 req, miss ratio 0.2427, byte miss ratio 0.2427
w04.oracleGeneral.bin.zst S3FIFO-0.9000-0.9000 cache size    18753, 77764582 req, miss ratio 0.5860, byte miss ratio 0.5860
w04.oracleGeneral.bin.zst S3FIFO-0.9000-0.9000 cache size    56260, 77764582 req, miss ratio 0.5358, byte miss ratio 0.5358
w04.oracleGeneral.bin.zst S3FIFO-0.9000-0.9000 cache size   187533, 77764582 req, miss ratio 0.4903, byte miss ratio 0.4903
w04.oracleGeneral.bin.zst S3FIFO-0.9000-0.9000 cache size   562601, 77764582 req, miss ratio 0.4569, byte miss ratio 0.4569
w04.oracleGeneral.bin.zst S3FIFO-0.9000-0.9000 cache size  1875338, 77764582 req, miss ratio 0.4156, byte miss ratio 0.4156
w04.oracleGeneral.bin.zst S3FIFO-0.9000-0.9000 cache size  3750676, 77764582 req, miss ratio 0.4067, byte miss ratio 0.4067
w04.oracleGeneral.bin.zst S3FIFO-0.9000-0.9000 cache size  7501352, 77764582 req, miss ratio 0.3229, byte miss ratio 0.3229
w04.oracleGeneral.bin.zst S3FIFO-0.9000-0.9000 cache size 15002704, 77764582 req, miss ratio 0.2572, byte miss ratio 0.2572
w04.oracleGeneral.bin.zst S3FIFO-0.0050-1.9000 cache size    18753, 77764582 req, miss ratio 0.6122, byte miss ratio 0.6122
w04.oracleGeneral.bin.zst S3FIFO-0.0050-1.9000 cache size    56260, 77764582 req, miss ratio 0.5508, byte miss ratio 0.5508
w04.oracleGeneral.bin.zst S3FIFO-0.0050-1.9000 cache size   187533, 77764582 req, miss ratio 0.4926, byte miss ratio 0.4926
w04.oracleGeneral.bin.zst S3FIFO-0.0050-1.9000 cache size   562601, 77764582 req, miss ratio 0.4410, byte miss ratio 0.4410
w04.oracleGeneral.bin.zst S3FIFO-0.0050-1.9000 cache size  1875338, 77764582 req, miss ratio 0.4152, byte miss ratio 0.4152
w04.oracleGeneral.bin.zst S3FIFO-0.0050-1.9000 cache size  3750676, 77764582 req, miss ratio 0.3580, byte miss ratio 0.3580
w04.oracleGeneral.bin.zst S3FIFO-0.0050-1.9000 cache size  7501352, 77764582 req, miss ratio 0.2919, byte miss ratio 0.2919
w04.oracleGeneral.bin.zst S3FIFO-0.0050-1.9000 cache size 15002704, 77764582 req, miss ratio 0.2427, byte miss ratio 0.2427
w04.oracleGeneral.bin.zst S3FIFO-0.6000-0.9000 cache size    18753, 77764582 req, miss ratio 0.5725, byte miss ratio 0.5725
w04.oracleGeneral.bin.zst S3FIFO-0.6000-0.9000 cache size    56260, 77764582 req, miss ratio 0.5167, byte miss ratio 0.5167
w04.oracleGeneral.bin.zst S3FIFO-0.6000-0.9000 cache size   187533, 77764582 req, miss ratio 0.4754, byte miss ratio 0.4754
w04.oracleGeneral.bin.zst S3FIFO-0.6000-0.9000 cache size   562601, 77764582 req, miss ratio 0.4414, byte miss ratio 0.4414
w04.oracleGeneral.bin.zst S3FIFO-0.6000-0.9000 cache size  1875338, 77764582 req, miss ratio 0.4102, byte miss ratio 0.4102
w04.oracleGeneral.bin.zst S3FIFO-0.6000-0.9000 cache size  3750676, 77764582 req, miss ratio 0.3794, byte miss ratio 0.3794
w04.oracleGeneral.bin.zst S3FIFO-0.6000-0.9000 cache size  7501352, 77764582 req, miss ratio 0.3403, byte miss ratio 0.3403
w04.oracleGeneral.bin.zst S3FIFO-0.6000-0.9000 cache size 15002704, 77764582 req, miss ratio 0.2558, byte miss ratio 0.2558
w04.oracleGeneral.bin.zst S3FIFO-0.0100-0.9000 cache size    18753, 77764582 req, miss ratio 0.6120, byte miss ratio 0.6120
w04.oracleGeneral.bin.zst S3FIFO-0.0100-0.9000 cache size    56260, 77764582 req, miss ratio 0.5474, byte miss ratio 0.5474
w04.oracleGeneral.bin.zst S3FIFO-0.0100-0.9000 cache size   187533, 77764582 req, miss ratio 0.4800, byte miss ratio 0.4800
w04.oracleGeneral.bin.zst S3FIFO-0.0100-0.9000 cache size   562601, 77764582 req, miss ratio 0.4399, byte miss ratio 0.4399
w04.oracleGeneral.bin.zst S3FIFO-0.0100-0.9000 cache size  1875338, 77764582 req, miss ratio 0.4139, byte miss ratio 0.4139
w04.oracleGeneral.bin.zst S3FIFO-0.0100-0.9000 cache size  3750676, 77764582 req, miss ratio 0.3870, byte miss ratio 0.3870
w04.oracleGeneral.bin.zst S3FIFO-0.0100-0.9000 cache size  7501352, 77764582 req, miss ratio 0.2917, byte miss ratio 0.2917
w04.oracleGeneral.bin.zst S3FIFO-0.0100-0.9000 cache size 15002704, 77764582 req, miss ratio 0.2427, byte miss ratio 0.2427
w04.oracleGeneral.bin.zst S3FIFO-0.5000-1.9000 cache size    18753, 77764582 req, miss ratio 0.5683, byte miss ratio 0.5683
w04.oracleGeneral.bin.zst S3FIFO-0.5000-1.9000 cache size    56260, 77764582 req, miss ratio 0.5122, byte miss ratio 0.5122
w04.oracleGeneral.bin.zst S3FIFO-0.5000-1.9000 cache size   187533, 77764582 req, miss ratio 0.4732, byte miss ratio 0.4732
w04.oracleGeneral.bin.zst S3FIFO-0.5000-1.9000 cache size   562601, 77764582 req, miss ratio 0.4380, byte miss ratio 0.4380
w04.oracleGeneral.bin.zst S3FIFO-0.5000-1.9000 cache size  1875338, 77764582 req, miss ratio 0.4115, byte miss ratio 0.4115
w04.oracleGeneral.bin.zst S3FIFO-0.5000-1.9000 cache size  3750676, 77764582 req, miss ratio 0.3888, byte miss ratio 0.3888
w04.oracleGeneral.bin.zst S3FIFO-0.5000-1.9000 cache size  7501352, 77764582 req, miss ratio 0.3173, byte miss ratio 0.3173
