cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.1500-1.9000 cache size  1659859, 210458880 req, miss ratio 0.0895, byte miss ratio 0.0895
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.1500-1.9000 cache size  3319718, 210458880 req, miss ratio 0.0846, byte miss ratio 0.0846
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.1500-1.9000 cache size  6639437, 210458880 req, miss ratio 0.0816, byte miss ratio 0.0816
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.1500-1.9000 cache size 13278874, 210458880 req, miss ratio 0.0791, byte miss ratio 0.0791
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size    16598, 210458880 req, miss ratio 0.2115, byte miss ratio 0.2115
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size    49795, 210458880 req, miss ratio 0.1644, byte miss ratio 0.1644
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size   165985, 210458880 req, miss ratio 0.1318, byte miss ratio 0.1318
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size   497957, 210458880 req, miss ratio 0.1078, byte miss ratio 0.1078
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size  1659859, 210458880 req, miss ratio 0.0912, byte miss ratio 0.0912
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size  3319718, 210458880 req, miss ratio 0.0860, byte miss ratio 0.0860
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size  6639437, 210458880 req, miss ratio 0.0819, byte miss ratio 0.0819
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size 13278874, 210458880 req, miss ratio 0.0791, byte miss ratio 0.0791
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.9500-0.9000 cache size    16598, 210458880 req, miss ratio 0.2432, byte miss ratio 0.2432
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.9500-0.9000 cache size    49795, 210458880 req, miss ratio 0.1954, byte miss ratio 0.1954
