cdn1_colo28.ns1158 S3FIFO-0.9000-0.9000 cache size       13, 4972800 req, miss ratio 0.5755, byte miss ratio 0.5755
cdn1_colo28.ns1158 S3FIFO-0.9000-0.9000 cache size       40, 4972800 req, miss ratio 0.4905, byte miss ratio 0.4905
cdn1_colo28.ns1158 S3FIFO-0.9000-0.9000 cache size      134, 4972800 req, miss ratio 0.3293, byte miss ratio 0.3293
cdn1_colo28.ns1158 S3FIFO-0.9000-0.9000 cache size      402, 4972800 req, miss ratio 0.2071, byte miss ratio 0.2071
cdn1_colo28.ns1158 S3FIFO-0.9000-0.9000 cache size     1340, 4972800 req, miss ratio 0.0951, byte miss ratio 0.0951
cdn1_colo28.ns1158 S3FIFO-0.9000-0.9000 cache size     2681, 4972800 req, miss ratio 0.0398, byte miss ratio 0.0398
cdn1_colo28.ns1158 S3FIFO-0.9000-0.9000 cache size     5362, 4972800 req, miss ratio 0.0111, byte miss ratio 0.0111
cdn1_colo28.ns1158 S3FIFO-0.9000-0.9000 cache size    10724, 4972800 req, miss ratio 0.0036, byte miss ratio 0.0036
cdn1_colo28.ns1158 S3FIFO-0.6500-1.9000 cache size       13, 4972800 req, miss ratio 0.5589, byte miss ratio 0.5589
cdn1_colo28.ns1158 S3FIFO-0.6500-1.9000 cache size       40, 4972800 req, miss ratio 0.4676, byte miss ratio 0.4676
cdn1_colo28.ns1158 S3FIFO-0.6500-1.9000 cache size      134, 4972800 req, miss ratio 0.2932, byte miss ratio 0.2932
cdn1_colo28.ns1158 S3FIFO-0.6500-1.9000 cache size      402, 4972800 req, miss ratio 0.1847, byte miss ratio 0.1847
cdn1_colo28.ns1158 S3FIFO-0.6500-1.9000 cache size     1340, 4972800 req, miss ratio 0.0852, byte miss ratio 0.0852
cdn1_colo28.ns1158 S3FIFO-0.6500-1.9000 cache size     2681, 4972800 req, miss ratio 0.0339, byte miss ratio 0.0339
