cdn1_allcolo.ns92 S3FIFO-0.2000-1.9000 cache size        7, 43120205 req, miss ratio 0.0814, byte miss ratio 0.0814
cdn1_allcolo.ns92 S3FIFO-0.2000-1.9000 cache size       21, 43120205 req, miss ratio 0.0344, byte miss ratio 0.0344
cdn1_allcolo.ns92 S3FIFO-0.2000-1.9000 cache size       71, 43120205 req, miss ratio 0.0137, byte miss ratio 0.0137
cdn1_allcolo.ns92 S3FIFO-0.2000-1.9000 cache size      213, 43120205 req, miss ratio 0.0052, byte miss ratio 0.0052
cdn1_allcolo.ns92 S3FIFO-0.2000-1.9000 cache size      711, 43120205 req, miss ratio 0.0015, byte miss ratio 0.0015
cdn1_allcolo.ns92 S3FIFO-0.2000-1.9000 cache size     1422, 43120205 req, miss ratio 0.0006, byte miss ratio 0.0006
cdn1_allcolo.ns92 S3FIFO-0.2000-1.9000 cache size     2844, 43120205 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn1_allcolo.ns92 S3FIFO-0.2000-1.9000 cache size     5688, 43120205 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn1_allcolo.ns92 S3FIFO-0.0500-0.9000 cache size        7, 43120205 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns92 S3FIFO-0.0500-0.9000 cache size       21, 43120205 req, miss ratio 0.0320, byte miss ratio 0.0320
cdn1_allcolo.ns92 S3FIFO-0.0500-0.9000 cache size       71, 43120205 req, miss ratio 0.0123, byte miss ratio 0.0123
cdn1_allcolo.ns92 S3FIFO-0.0500-0.9000 cache size      213, 43120205 req, miss ratio 0.0048, byte miss ratio 0.0048
cdn1_allcolo.ns92 S3FIFO-0.0500-0.9000 cache size      711, 43120205 req, miss ratio 0.0014, byte miss ratio 0.0014
cdn1_allcolo.ns92 S3FIFO-0.0500-0.9000 cache size     1422, 43120205 req, miss ratio 0.0006, byte miss ratio 0.0006
cdn1_allcolo.ns92 S3FIFO-0.0500-0.9000 cache size     2844, 43120205 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn1_allcolo.ns92 S3FIFO-0.0500-0.9000 cache size     5688, 43120205 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn1_allcolo.ns92 S3FIFO-0.4500-1.9000 cache size        7, 43120205 req, miss ratio 0.0965, byte miss ratio 0.0965
cdn1_allcolo.ns92 S3FIFO-0.4500-1.9000 cache size       21, 43120205 req, miss ratio 0.0381, byte miss ratio 0.0381
cdn1_allcolo.ns92 S3FIFO-0.4500-1.9000 cache size       71, 43120205 req, miss ratio 0.0156, byte miss ratio 0.0156
cdn1_allcolo.ns92 S3FIFO-0.4500-1.9000 cache size      213, 43120205 req, miss ratio 0.0059, byte miss ratio 0.0059
cdn1_allcolo.ns92 S3FIFO-0.4500-1.9000 cache size      711, 43120205 req, miss ratio 0.0017, byte miss ratio 0.0017
cdn1_allcolo.ns92 S3FIFO-0.4500-1.9000 cache size     1422, 43120205 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns92 S3FIFO-0.4500-1.9000 cache size     2844, 43120205 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn1_allcolo.ns92 S3FIFO-0.4500-1.9000 cache size     5688, 43120205 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn1_allcolo.ns92 S3FIFO-0.6500-1.9000 cache size        7, 43120205 req, miss ratio 0.1030, byte miss ratio 0.1030
cdn1_allcolo.ns92 S3FIFO-0.6500-1.9000 cache size       21, 43120205 req, miss ratio 0.0430, byte miss ratio 0.0430
cdn1_allcolo.ns92 S3FIFO-0.6500-1.9000 cache size       71, 43120205 req, miss ratio 0.0175, byte miss ratio 0.0175
cdn1_allcolo.ns92 S3FIFO-0.6500-1.9000 cache size      213, 43120205 req, miss ratio 0.0065, byte miss ratio 0.0065
cdn1_allcolo.ns92 S3FIFO-0.6500-1.9000 cache size      711, 43120205 req, miss ratio 0.0019, byte miss ratio 0.0019
cdn1_allcolo.ns92 S3FIFO-0.6500-1.9000 cache size     1422, 43120205 req, miss ratio 0.0008, byte miss ratio 0.0008
cdn1_allcolo.ns92 S3FIFO-0.6500-1.9000 cache size     2844, 43120205 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn1_allcolo.ns92 S3FIFO-0.6500-1.9000 cache size     5688, 43120205 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn1_allcolo.ns92 S3FIFO-0.2500-0.9000 cache size        7, 43120205 req, miss ratio 0.0786, byte miss ratio 0.0786
cdn1_allcolo.ns92 S3FIFO-0.2500-0.9000 cache size       21, 43120205 req, miss ratio 0.0343, byte miss ratio 0.0343
cdn1_allcolo.ns92 S3FIFO-0.2500-0.9000 cache size       71, 43120205 req, miss ratio 0.0137, byte miss ratio 0.0137
cdn1_allcolo.ns92 S3FIFO-0.2500-0.9000 cache size      213, 43120205 req, miss ratio 0.0053, byte miss ratio 0.0053
cdn1_allcolo.ns92 S3FIFO-0.2500-0.9000 cache size      711, 43120205 req, miss ratio 0.0015, byte miss ratio 0.0015
cdn1_allcolo.ns92 S3FIFO-0.2500-0.9000 cache size     1422, 43120205 req, miss ratio 0.0006, byte miss ratio 0.0006
cdn1_allcolo.ns92 S3FIFO-0.2500-0.9000 cache size     2844, 43120205 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn1_allcolo.ns92 S3FIFO-0.2500-0.9000 cache size     5688, 43120205 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn1_allcolo.ns92 S3FIFO-0.0250-0.9000 cache size        7, 43120205 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns92 S3FIFO-0.0250-0.9000 cache size       21, 43120205 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns92 S3FIFO-0.0250-0.9000 cache size       71, 43120205 req, miss ratio 0.0122, byte miss ratio 0.0122
cdn1_allcolo.ns92 S3FIFO-0.0250-0.9000 cache size      213, 43120205 req, miss ratio 0.0048, byte miss ratio 0.0048
cdn1_allcolo.ns92 S3FIFO-0.0250-0.9000 cache size      711, 43120205 req, miss ratio 0.0014, byte miss ratio 0.0014
cdn1_allcolo.ns92 S3FIFO-0.0250-0.9000 cache size     1422, 43120205 req, miss ratio 0.0006, byte miss ratio 0.0006
cdn1_allcolo.ns92 S3FIFO-0.0250-0.9000 cache size     2844, 43120205 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn1_allcolo.ns92 S3FIFO-0.0250-0.9000 cache size     5688, 43120205 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn1_allcolo.ns92 S3FIFO-0.9500-0.9000 cache size        7, 43120205 req, miss ratio 0.1187, byte miss ratio 0.1187
cdn1_allcolo.ns92 S3FIFO-0.9500-0.9000 cache size       21, 43120205 req, miss ratio 0.0521, byte miss ratio 0.0521
cdn1_allcolo.ns92 S3FIFO-0.9500-0.9000 cache size       71, 43120205 req, miss ratio 0.0211, byte miss ratio 0.0211
cdn1_allcolo.ns92 S3FIFO-0.9500-0.9000 cache size      213, 43120205 req, miss ratio 0.0080, byte miss ratio 0.0080
cdn1_allcolo.ns92 S3FIFO-0.9500-0.9000 cache size      711, 43120205 req, miss ratio 0.0024, byte miss ratio 0.0024
cdn1_allcolo.ns92 S3FIFO-0.9500-0.9000 cache size     1422, 43120205 req, miss ratio 0.0010, byte miss ratio 0.0010
cdn1_allcolo.ns92 S3FIFO-0.9500-0.9000 cache size     2844, 43120205 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn1_allcolo.ns92 S3FIFO-0.9500-0.9000 cache size     5688, 43120205 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn1_allcolo.ns92 S3FIFO-0.6000-0.9000 cache size        7, 43120205 req, miss ratio 0.1019, byte miss ratio 0.1019
cdn1_allcolo.ns92 S3FIFO-0.6000-0.9000 cache size       21, 43120205 req, miss ratio 0.0414, byte miss ratio 0.0414
cdn1_allcolo.ns92 S3FIFO-0.6000-0.9000 cache size       71, 43120205 req, miss ratio 0.0170, byte miss ratio 0.0170
cdn1_allcolo.ns92 S3FIFO-0.6000-0.9000 cache size      213, 43120205 req, miss ratio 0.0064, byte miss ratio 0.0064
cdn1_allcolo.ns92 S3FIFO-0.6000-0.9000 cache size      711, 43120205 req, miss ratio 0.0019, byte miss ratio 0.0019
cdn1_allcolo.ns92 S3FIFO-0.6000-0.9000 cache size     1422, 43120205 req, miss ratio 0.0008, byte miss ratio 0.0008
cdn1_allcolo.ns92 S3FIFO-0.6000-0.9000 cache size     2844, 43120205 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn1_allcolo.ns92 S3FIFO-0.6000-0.9000 cache size     5688, 43120205 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn1_allcolo.ns92 S3FIFO-0.7000-0.9000 cache size        7, 43120205 req, miss ratio 0.1019, byte miss ratio 0.1019
cdn1_allcolo.ns92 S3FIFO-0.7000-0.9000 cache size       21, 43120205 req, miss ratio 0.0443, byte miss ratio 0.0443
cdn1_allcolo.ns92 S3FIFO-0.7000-0.9000 cache size       71, 43120205 req, miss ratio 0.0180, byte miss ratio 0.0180
cdn1_allcolo.ns92 S3FIFO-0.7000-0.9000 cache size      213, 43120205 req, miss ratio 0.0068, byte miss ratio 0.0068
cdn1_allcolo.ns92 S3FIFO-0.7000-0.9000 cache size      711, 43120205 req, miss ratio 0.0020, byte miss ratio 0.0020
cdn1_allcolo.ns92 S3FIFO-0.7000-0.9000 cache size     1422, 43120205 req, miss ratio 0.0009, byte miss ratio 0.0009
cdn1_allcolo.ns92 S3FIFO-0.7000-0.9000 cache size     2844, 43120205 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn1_allcolo.ns92 S3FIFO-0.7000-0.9000 cache size     5688, 43120205 req, miss ratio 0.0002, byte miss ratio 0.0002
