cluster51.oracleGeneral.sample10.zst S3FIFO-0.3500-0.9000 cache size    15048, 612199280 req, miss ratio 0.0218, byte miss ratio 0.0218
cluster51.oracleGeneral.sample10.zst S3FIFO-0.3500-0.9000 cache size    50160, 612199280 req, miss ratio 0.0040, byte miss ratio 0.0040
cluster51.oracleGeneral.sample10.zst S3FIFO-0.3500-0.9000 cache size   100320, 612199280 req, miss ratio 0.0015, byte miss ratio 0.0015
cluster51.oracleGeneral.sample10.zst S3FIFO-0.3500-0.9000 cache size   200640, 612199280 req, miss ratio 0.0009, byte miss ratio 0.0009
cluster51.oracleGeneral.sample10.zst S3FIFO-0.3500-0.9000 cache size   401280, 612199280 req, miss ratio 0.0008, byte miss ratio 0.0008
cluster51.oracleGeneral.sample10.zst S3FIFO-0.4500-1.9000 cache size      501, 612199280 req, miss ratio 0.2780, byte miss ratio 0.2780
cluster51.oracleGeneral.sample10.zst S3FIFO-0.4500-1.9000 cache size     1504, 612199280 req, miss ratio 0.1701, byte miss ratio 0.1701
cluster51.oracleGeneral.sample10.zst S3FIFO-0.4500-1.9000 cache size     5016, 612199280 req, miss ratio 0.0771, byte miss ratio 0.0771
cluster51.oracleGeneral.sample10.zst S3FIFO-0.4500-1.9000 cache size    15048, 612199280 req, miss ratio 0.0229, byte miss ratio 0.0229
cluster51.oracleGeneral.sample10.zst S3FIFO-0.4500-1.9000 cache size    50160, 612199280 req, miss ratio 0.0042, byte miss ratio 0.0042
cluster51.oracleGeneral.sample10.zst S3FIFO-0.4500-1.9000 cache size   100320, 612199280 req, miss ratio 0.0016, byte miss ratio 0.0016
cluster51.oracleGeneral.sample10.zst S3FIFO-0.4500-1.9000 cache size   200640, 612199280 req, miss ratio 0.0009, byte miss ratio 0.0009
cluster51.oracleGeneral.sample10.zst S3FIFO-0.4500-1.9000 cache size   401280, 612199280 req, miss ratio 0.0008, byte miss ratio 0.0008
cluster51.oracleGeneral.sample10.zst S3FIFO-0.2500-1.9000 cache size      501, 612199280 req, miss ratio 0.2644, byte miss ratio 0.2644
cluster51.oracleGeneral.sample10.zst S3FIFO-0.2500-1.9000 cache size     1504, 612199280 req, miss ratio 0.1602, byte miss ratio 0.1602
cluster51.oracleGeneral.sample10.zst S3FIFO-0.2500-1.9000 cache size     5016, 612199280 req, miss ratio 0.0721, byte miss ratio 0.0721
cluster51.oracleGeneral.sample10.zst S3FIFO-0.2500-1.9000 cache size    15048, 612199280 req, miss ratio 0.0209, byte miss ratio 0.0209
cluster51.oracleGeneral.sample10.zst S3FIFO-0.2500-1.9000 cache size    50160, 612199280 req, miss ratio 0.0038, byte miss ratio 0.0038
cluster51.oracleGeneral.sample10.zst S3FIFO-0.2500-1.9000 cache size   100320, 612199280 req, miss ratio 0.0014, byte miss ratio 0.0014
cluster51.oracleGeneral.sample10.zst S3FIFO-0.2500-1.9000 cache size   200640, 612199280 req, miss ratio 0.0009, byte miss ratio 0.0009
cluster51.oracleGeneral.sample10.zst S3FIFO-0.2500-1.9000 cache size   401280, 612199280 req, miss ratio 0.0008, byte miss ratio 0.0008
cluster51.oracleGeneral.sample10.zst S3FIFO-0.0250-0.9000 cache size      501, 612199280 req, miss ratio 0.2880, byte miss ratio 0.2880
cluster51.oracleGeneral.sample10.zst S3FIFO-0.0250-0.9000 cache size     1504, 612199280 req, miss ratio 0.1525, byte miss ratio 0.1525
cluster51.oracleGeneral.sample10.zst S3FIFO-0.0250-0.9000 cache size     5016, 612199280 req, miss ratio 0.0660, byte miss ratio 0.0660
cluster51.oracleGeneral.sample10.zst S3FIFO-0.0250-0.9000 cache size    15048, 612199280 req, miss ratio 0.0195, byte miss ratio 0.0195
cluster51.oracleGeneral.sample10.zst S3FIFO-0.0250-0.9000 cache size    50160, 612199280 req, miss ratio 0.0037, byte miss ratio 0.0037
cluster51.oracleGeneral.sample10.zst S3FIFO-0.0250-0.9000 cache size   100320, 612199280 req, miss ratio 0.0014, byte miss ratio 0.0014
