tencentBlock.ns18992 S3FIFO-0.9500-0.9000 cache size      553, 4841678 req, miss ratio 0.5946, byte miss ratio 0.5946
tencentBlock.ns18992 S3FIFO-0.9500-0.9000 cache size     1659, 4841678 req, miss ratio 0.4607, byte miss ratio 0.4607
tencentBlock.ns18992 S3FIFO-0.9500-0.9000 cache size     5530, 4841678 req, miss ratio 0.3461, byte miss ratio 0.3461
tencentBlock.ns18992 S3FIFO-0.9500-0.9000 cache size    16591, 4841678 req, miss ratio 0.2876, byte miss ratio 0.2876
tencentBlock.ns18992 S3FIFO-0.9500-0.9000 cache size    55305, 4841678 req, miss ratio 0.2170, byte miss ratio 0.2170
tencentBlock.ns18992 S3FIFO-0.9500-0.9000 cache size   110611, 4841678 req, miss ratio 0.1720, byte miss ratio 0.1720
tencentBlock.ns18992 S3FIFO-0.9500-0.9000 cache size   221223, 4841678 req, miss ratio 0.1415, byte miss ratio 0.1415
tencentBlock.ns18992 S3FIFO-0.9500-0.9000 cache size   442446, 4841678 req, miss ratio 0.1223, byte miss ratio 0.1223
tencentBlock.ns18992 S3FIFO-0.5500-1.9000 cache size      553, 4841678 req, miss ratio 0.5280, byte miss ratio 0.5280
tencentBlock.ns18992 S3FIFO-0.5500-1.9000 cache size     1659, 4841678 req, miss ratio 0.4009, byte miss ratio 0.4009
tencentBlock.ns18992 S3FIFO-0.5500-1.9000 cache size     5530, 4841678 req, miss ratio 0.3037, byte miss ratio 0.3037
tencentBlock.ns18992 S3FIFO-0.5500-1.9000 cache size    16591, 4841678 req, miss ratio 0.2769, byte miss ratio 0.2769
tencentBlock.ns18992 S3FIFO-0.5500-1.9000 cache size    55305, 4841678 req, miss ratio 0.2151, byte miss ratio 0.2151
tencentBlock.ns18992 S3FIFO-0.5500-1.9000 cache size   110611, 4841678 req, miss ratio 0.1725, byte miss ratio 0.1725
tencentBlock.ns18992 S3FIFO-0.5500-1.9000 cache size   221223, 4841678 req, miss ratio 0.1297, byte miss ratio 0.1297
tencentBlock.ns18992 S3FIFO-0.5500-1.9000 cache size   442446, 4841678 req, miss ratio 0.1167, byte miss ratio 0.1167
tencentBlock.ns18992 S3FIFO-0.5500-0.9000 cache size      553, 4841678 req, miss ratio 0.5265, byte miss ratio 0.5265
tencentBlock.ns18992 S3FIFO-0.5500-0.9000 cache size     1659, 4841678 req, miss ratio 0.3987, byte miss ratio 0.3987
