cdn1_colo28.ns2087 S3FIFO-0.3500-0.9000 cache size        7, 6761286 req, miss ratio 0.7733, byte miss ratio 0.7733
cdn1_colo28.ns2087 S3FIFO-0.3500-0.9000 cache size       23, 6761286 req, miss ratio 0.7137, byte miss ratio 0.7137
cdn1_colo28.ns2087 S3FIFO-0.3500-0.9000 cache size       79, 6761286 req, miss ratio 0.0044, byte miss ratio 0.0044
cdn1_colo28.ns2087 S3FIFO-0.3500-0.9000 cache size      237, 6761286 req, miss ratio 0.0033, byte miss ratio 0.0033
cdn1_colo28.ns2087 S3FIFO-0.3500-0.9000 cache size      792, 6761286 req, miss ratio 0.0025, byte miss ratio 0.0025
cdn1_colo28.ns2087 S3FIFO-0.3500-0.9000 cache size     1584, 6761286 req, miss ratio 0.0021, byte miss ratio 0.0021
cdn1_colo28.ns2087 S3FIFO-0.3500-0.9000 cache size     3169, 6761286 req, miss ratio 0.0015, byte miss ratio 0.0015
cdn1_colo28.ns2087 S3FIFO-0.3500-0.9000 cache size     6338, 6761286 req, miss ratio 0.0012, byte miss ratio 0.0012
cdn1_colo28.ns2087 S3FIFO-0.4500-1.9000 cache size        7, 6761286 req, miss ratio 0.7959, byte miss ratio 0.7959
cdn1_colo28.ns2087 S3FIFO-0.4500-1.9000 cache size       23, 6761286 req, miss ratio 0.7295, byte miss ratio 0.7295
cdn1_colo28.ns2087 S3FIFO-0.4500-1.9000 cache size       79, 6761286 req, miss ratio 0.0046, byte miss ratio 0.0046
cdn1_colo28.ns2087 S3FIFO-0.4500-1.9000 cache size      237, 6761286 req, miss ratio 0.0034, byte miss ratio 0.0034
cdn1_colo28.ns2087 S3FIFO-0.4500-1.9000 cache size      792, 6761286 req, miss ratio 0.0026, byte miss ratio 0.0026
cdn1_colo28.ns2087 S3FIFO-0.4500-1.9000 cache size     1584, 6761286 req, miss ratio 0.0021, byte miss ratio 0.0021
cdn1_colo28.ns2087 S3FIFO-0.4500-1.9000 cache size     3169, 6761286 req, miss ratio 0.0015, byte miss ratio 0.0015
cdn1_colo28.ns2087 S3FIFO-0.4500-1.9000 cache size     6338, 6761286 req, miss ratio 0.0012, byte miss ratio 0.0012
cdn1_colo28.ns2087 S3FIFO-0.7500-1.9000 cache size        7, 6761286 req, miss ratio 0.8249, byte miss ratio 0.8249
cdn1_colo28.ns2087 S3FIFO-0.7500-1.9000 cache size       23, 6761286 req, miss ratio 0.6901, byte miss ratio 0.6901
cdn1_colo28.ns2087 S3FIFO-0.7500-1.9000 cache size       79, 6761286 req, miss ratio 0.0066, byte miss ratio 0.0066
cdn1_colo28.ns2087 S3FIFO-0.7500-1.9000 cache size      237, 6761286 req, miss ratio 0.0037, byte miss ratio 0.0037
cdn1_colo28.ns2087 S3FIFO-0.7500-1.9000 cache size      792, 6761286 req, miss ratio 0.0028, byte miss ratio 0.0028
cdn1_colo28.ns2087 S3FIFO-0.7500-1.9000 cache size     1584, 6761286 req, miss ratio 0.0023, byte miss ratio 0.0023
cdn1_colo28.ns2087 S3FIFO-0.7500-1.9000 cache size     3169, 6761286 req, miss ratio 0.0016, byte miss ratio 0.0016
cdn1_colo28.ns2087 S3FIFO-0.7500-1.9000 cache size     6338, 6761286 req, miss ratio 0.0012, byte miss ratio 0.0012
cdn1_colo28.ns2087 S3FIFO-0.0100-0.9000 cache size        7, 6761286 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns2087 S3FIFO-0.0100-0.9000 cache size       23, 6761286 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns2087 S3FIFO-0.0100-0.9000 cache size       79, 6761286 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns2087 S3FIFO-0.0100-0.9000 cache size      237, 6761286 req, miss ratio 0.0031, byte miss ratio 0.0031
cdn1_colo28.ns2087 S3FIFO-0.0100-0.9000 cache size      792, 6761286 req, miss ratio 0.0024, byte miss ratio 0.0024
cdn1_colo28.ns2087 S3FIFO-0.0100-0.9000 cache size     1584, 6761286 req, miss ratio 0.0020, byte miss ratio 0.0020
cdn1_colo28.ns2087 S3FIFO-0.0100-0.9000 cache size     3169, 6761286 req, miss ratio 0.0015, byte miss ratio 0.0015
cdn1_colo28.ns2087 S3FIFO-0.0100-0.9000 cache size     6338, 6761286 req, miss ratio 0.0012, byte miss ratio 0.0012
cdn1_colo28.ns2087 S3FIFO-0.1500-0.9000 cache size        7, 6761286 req, miss ratio 0.7559, byte miss ratio 0.7559
cdn1_colo28.ns2087 S3FIFO-0.1500-0.9000 cache size       23, 6761286 req, miss ratio 0.6582, byte miss ratio 0.6582
cdn1_colo28.ns2087 S3FIFO-0.1500-0.9000 cache size       79, 6761286 req, miss ratio 0.0038, byte miss ratio 0.0038
cdn1_colo28.ns2087 S3FIFO-0.1500-0.9000 cache size      237, 6761286 req, miss ratio 0.0032, byte miss ratio 0.0032
cdn1_colo28.ns2087 S3FIFO-0.1500-0.9000 cache size      792, 6761286 req, miss ratio 0.0025, byte miss ratio 0.0025
cdn1_colo28.ns2087 S3FIFO-0.1500-0.9000 cache size     1584, 6761286 req, miss ratio 0.0020, byte miss ratio 0.0020
cdn1_colo28.ns2087 S3FIFO-0.1500-0.9000 cache size     3169, 6761286 req, miss ratio 0.0015, byte miss ratio 0.0015
cdn1_colo28.ns2087 S3FIFO-0.1500-0.9000 cache size     6338, 6761286 req, miss ratio 0.0012, byte miss ratio 0.0012
cdn1_colo28.ns2087 S3FIFO-0.7500-0.9000 cache size        7, 6761286 req, miss ratio 0.8224, byte miss ratio 0.8224
