io_traces.ns160 S3FIFO-0.1500-0.9000 cache size     2037, 18400000 req, miss ratio 0.3005, byte miss ratio 0.3005
io_traces.ns160 S3FIFO-0.1500-0.9000 cache size     6111, 18400000 req, miss ratio 0.2721, byte miss ratio 0.2721
io_traces.ns160 S3FIFO-0.1500-0.9000 cache size    20373, 18400000 req, miss ratio 0.2223, byte miss ratio 0.2223
io_traces.ns160 S3FIFO-0.1500-0.9000 cache size    61119, 18400000 req, miss ratio 0.1735, byte miss ratio 0.1735
io_traces.ns160 S3FIFO-0.1500-0.9000 cache size   203732, 18400000 req, miss ratio 0.1189, byte miss ratio 0.1189
io_traces.ns160 S3FIFO-0.1500-0.9000 cache size   407465, 18400000 req, miss ratio 0.1154, byte miss ratio 0.1154
io_traces.ns160 S3FIFO-0.1500-0.9000 cache size   814930, 18400000 req, miss ratio 0.1126, byte miss ratio 0.1126
io_traces.ns160 S3FIFO-0.1500-0.9000 cache size  1629861, 18400000 req, miss ratio 0.1109, byte miss ratio 0.1109
io_traces.ns160 S3FIFO-0.0100-0.9000 cache size     2037, 18400000 req, miss ratio 0.3268, byte miss ratio 0.3268
io_traces.ns160 S3FIFO-0.0100-0.9000 cache size     6111, 18400000 req, miss ratio 0.2920, byte miss ratio 0.2920
io_traces.ns160 S3FIFO-0.0100-0.9000 cache size    20373, 18400000 req, miss ratio 0.2332, byte miss ratio 0.2332
io_traces.ns160 S3FIFO-0.0100-0.9000 cache size    61119, 18400000 req, miss ratio 0.1988, byte miss ratio 0.1988
io_traces.ns160 S3FIFO-0.0100-0.9000 cache size   203732, 18400000 req, miss ratio 0.1460, byte miss ratio 0.1460
io_traces.ns160 S3FIFO-0.0100-0.9000 cache size   407465, 18400000 req, miss ratio 0.1325, byte miss ratio 0.1325
io_traces.ns160 S3FIFO-0.0100-0.9000 cache size   814930, 18400000 req, miss ratio 0.1184, byte miss ratio 0.1184
io_traces.ns160 S3FIFO-0.0100-0.9000 cache size  1629861, 18400000 req, miss ratio 0.1109, byte miss ratio 0.1109
io_traces.ns160 S3FIFO-0.3000-1.9000 cache size     2037, 18400000 req, miss ratio 0.2986, byte miss ratio 0.2986
io_traces.ns160 S3FIFO-0.3000-1.9000 cache size     6111, 18400000 req, miss ratio 0.2716, byte miss ratio 0.2716
io_traces.ns160 S3FIFO-0.3000-1.9000 cache size    20373, 18400000 req, miss ratio 0.2170, byte miss ratio 0.2170
io_traces.ns160 S3FIFO-0.3000-1.9000 cache size    61119, 18400000 req, miss ratio 0.1630, byte miss ratio 0.1630
io_traces.ns160 S3FIFO-0.3000-1.9000 cache size   203732, 18400000 req, miss ratio 0.1176, byte miss ratio 0.1176
io_traces.ns160 S3FIFO-0.3000-1.9000 cache size   407465, 18400000 req, miss ratio 0.1144, byte miss ratio 0.1144
io_traces.ns160 S3FIFO-0.3000-1.9000 cache size   814930, 18400000 req, miss ratio 0.1124, byte miss ratio 0.1124
io_traces.ns160 S3FIFO-0.3000-1.9000 cache size  1629861, 18400000 req, miss ratio 0.1109, byte miss ratio 0.1109
io_traces.ns160 S3FIFO-0.0500-0.9000 cache size     2037, 18400000 req, miss ratio 0.3068, byte miss ratio 0.3068
io_traces.ns160 S3FIFO-0.0500-0.9000 cache size     6111, 18400000 req, miss ratio 0.2757, byte miss ratio 0.2757
io_traces.ns160 S3FIFO-0.0500-0.9000 cache size    20373, 18400000 req, miss ratio 0.2277, byte miss ratio 0.2277
io_traces.ns160 S3FIFO-0.0500-0.9000 cache size    61119, 18400000 req, miss ratio 0.1890, byte miss ratio 0.1890
io_traces.ns160 S3FIFO-0.0500-0.9000 cache size   203732, 18400000 req, miss ratio 0.1269, byte miss ratio 0.1269
io_traces.ns160 S3FIFO-0.0500-0.9000 cache size   407465, 18400000 req, miss ratio 0.1178, byte miss ratio 0.1178
io_traces.ns160 S3FIFO-0.0500-0.9000 cache size   814930, 18400000 req, miss ratio 0.1132, byte miss ratio 0.1132
io_traces.ns160 S3FIFO-0.0500-0.9000 cache size  1629861, 18400000 req, miss ratio 0.1109, byte miss ratio 0.1109
io_traces.ns160 S3FIFO-0.9900-1.9000 cache size     2037, 18400000 req, miss ratio 0.4494, byte miss ratio 0.4494
io_traces.ns160 S3FIFO-0.9900-1.9000 cache size     6111, 18400000 req, miss ratio 0.3139, byte miss ratio 0.3139
io_traces.ns160 S3FIFO-0.9900-1.9000 cache size    20373, 18400000 req, miss ratio 0.2221, byte miss ratio 0.2221
io_traces.ns160 S3FIFO-0.9900-1.9000 cache size    61119, 18400000 req, miss ratio 0.1636, byte miss ratio 0.1636
io_traces.ns160 S3FIFO-0.9900-1.9000 cache size   203732, 18400000 req, miss ratio 0.1315, byte miss ratio 0.1315
io_traces.ns160 S3FIFO-0.9900-1.9000 cache size   407465, 18400000 req, miss ratio 0.1216, byte miss ratio 0.1216
io_traces.ns160 S3FIFO-0.9900-1.9000 cache size   814930, 18400000 req, miss ratio 0.1161, byte miss ratio 0.1161
io_traces.ns160 S3FIFO-0.9900-1.9000 cache size  1629861, 18400000 req, miss ratio 0.1130, byte miss ratio 0.1130
io_traces.ns160 S3FIFO-0.4000-1.9000 cache size     2037, 18400000 req, miss ratio 0.3034, byte miss ratio 0.3034
io_traces.ns160 S3FIFO-0.4000-1.9000 cache size     6111, 18400000 req, miss ratio 0.2722, byte miss ratio 0.2722
io_traces.ns160 S3FIFO-0.4000-1.9000 cache size    20373, 18400000 req, miss ratio 0.2157, byte miss ratio 0.2157
io_traces.ns160 S3FIFO-0.4000-1.9000 cache size    61119, 18400000 req, miss ratio 0.1615, byte miss ratio 0.1615
io_traces.ns160 S3FIFO-0.4000-1.9000 cache size   203732, 18400000 req, miss ratio 0.1170, byte miss ratio 0.1170
io_traces.ns160 S3FIFO-0.4000-1.9000 cache size   407465, 18400000 req, miss ratio 0.1142, byte miss ratio 0.1142
io_traces.ns160 S3FIFO-0.4000-1.9000 cache size   814930, 18400000 req, miss ratio 0.1122, byte miss ratio 0.1122
io_traces.ns160 S3FIFO-0.4000-1.9000 cache size  1629861, 18400000 req, miss ratio 0.1109, byte miss ratio 0.1109
io_traces.ns160 S3FIFO-0.4500-0.9000 cache size     2037, 18400000 req, miss ratio 0.3096, byte miss ratio 0.3096
io_traces.ns160 S3FIFO-0.4500-0.9000 cache size     6111, 18400000 req, miss ratio 0.2717, byte miss ratio 0.2717
io_traces.ns160 S3FIFO-0.4500-0.9000 cache size    20373, 18400000 req, miss ratio 0.2159, byte miss ratio 0.2159
