cdn1_colo28.ns2908 S3FIFO-0.1500-1.9000 cache size        7, 1401218 req, miss ratio 0.0582, byte miss ratio 0.0582
cdn1_colo28.ns2908 S3FIFO-0.1500-1.9000 cache size       24, 1401218 req, miss ratio 0.0010, byte miss ratio 0.0010
cdn1_colo28.ns2908 S3FIFO-0.1500-1.9000 cache size       48, 1401218 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn1_colo28.ns2908 S3FIFO-0.1500-1.9000 cache size       96, 1401218 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn1_colo28.ns2908 S3FIFO-0.1500-1.9000 cache size      193, 1401218 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn1_colo28.ns2908 S3FIFO-0.0010-0.9000 cache size        7, 1401218 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns2908 S3FIFO-0.0010-0.9000 cache size       24, 1401218 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns2908 S3FIFO-0.0010-0.9000 cache size       48, 1401218 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns2908 S3FIFO-0.0010-0.9000 cache size       96, 1401218 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns2908 S3FIFO-0.0010-0.9000 cache size      193, 1401218 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns2908 S3FIFO-0.8500-1.9000 cache size        7, 1401218 req, miss ratio 0.0851, byte miss ratio 0.0851
cdn1_colo28.ns2908 S3FIFO-0.8500-1.9000 cache size       24, 1401218 req, miss ratio 0.0023, byte miss ratio 0.0023
cdn1_colo28.ns2908 S3FIFO-0.8500-1.9000 cache size       48, 1401218 req, miss ratio 0.0006, byte miss ratio 0.0006
cdn1_colo28.ns2908 S3FIFO-0.8500-1.9000 cache size       96, 1401218 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn1_colo28.ns2908 S3FIFO-0.8500-1.9000 cache size      193, 1401218 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn1_colo28.ns2908 S3FIFO-0.4000-0.9000 cache size        7, 1401218 req, miss ratio 0.0625, byte miss ratio 0.0625
cdn1_colo28.ns2908 S3FIFO-0.4000-0.9000 cache size       24, 1401218 req, miss ratio 0.0014, byte miss ratio 0.0014
cdn1_colo28.ns2908 S3FIFO-0.4000-0.9000 cache size       48, 1401218 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn1_colo28.ns2908 S3FIFO-0.4000-0.9000 cache size       96, 1401218 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn1_colo28.ns2908 S3FIFO-0.4000-0.9000 cache size      193, 1401218 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn1_colo28.ns2908 S3FIFO-0.9500-0.9000 cache size        7, 1401218 req, miss ratio 0.0914, byte miss ratio 0.0914
cdn1_colo28.ns2908 S3FIFO-0.9500-0.9000 cache size       24, 1401218 req, miss ratio 0.0025, byte miss ratio 0.0025
cdn1_colo28.ns2908 S3FIFO-0.9500-0.9000 cache size       48, 1401218 req, miss ratio 0.0006, byte miss ratio 0.0006
cdn1_colo28.ns2908 S3FIFO-0.9500-0.9000 cache size       96, 1401218 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn1_colo28.ns2908 S3FIFO-0.9500-0.9000 cache size      193, 1401218 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn1_colo28.ns2908 S3FIFO-0.0500-1.9000 cache size        7, 1401218 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns2908 S3FIFO-0.0500-1.9000 cache size       24, 1401218 req, miss ratio 0.0009, byte miss ratio 0.0009
cdn1_colo28.ns2908 S3FIFO-0.0500-1.9000 cache size       48, 1401218 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn1_colo28.ns2908 S3FIFO-0.0500-1.9000 cache size       96, 1401218 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn1_colo28.ns2908 S3FIFO-0.0500-1.9000 cache size      193, 1401218 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn1_colo28.ns2908 S3FIFO-0.8000-0.9000 cache size        7, 1401218 req, miss ratio 0.0858, byte miss ratio 0.0858
cdn1_colo28.ns2908 S3FIFO-0.8000-0.9000 cache size       24, 1401218 req, miss ratio 0.0022, byte miss ratio 0.0022
cdn1_colo28.ns2908 S3FIFO-0.8000-0.9000 cache size       48, 1401218 req, miss ratio 0.0006, byte miss ratio 0.0006
cdn1_colo28.ns2908 S3FIFO-0.8000-0.9000 cache size       96, 1401218 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn1_colo28.ns2908 S3FIFO-0.8000-0.9000 cache size      193, 1401218 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn1_colo28.ns2908 S3FIFO-0.7500-1.9000 cache size        7, 1401218 req, miss ratio 0.0851, byte miss ratio 0.0851
cdn1_colo28.ns2908 S3FIFO-0.7500-1.9000 cache size       24, 1401218 req, miss ratio 0.0021, byte miss ratio 0.0021
cdn1_colo28.ns2908 S3FIFO-0.7500-1.9000 cache size       48, 1401218 req, miss ratio 0.0005, byte miss ratio 0.0005
cdn1_colo28.ns2908 S3FIFO-0.7500-1.9000 cache size       96, 1401218 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn1_colo28.ns2908 S3FIFO-0.7500-1.9000 cache size      193, 1401218 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn1_colo28.ns2908 S3FIFO-0.0050-1.9000 cache size        7, 1401218 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns2908 S3FIFO-0.0050-1.9000 cache size       24, 1401218 req, miss ratio 1.0000, byte miss ratio 1.0000
