tencentBlock.ns23871 S3FIFO-0.0500-1.9000 cache size       23, 12922284 req, miss ratio 0.6960, byte miss ratio 0.6960
tencentBlock.ns23871 S3FIFO-0.0500-1.9000 cache size       69, 12922284 req, miss ratio 0.4868, byte miss ratio 0.4868
tencentBlock.ns23871 S3FIFO-0.0500-1.9000 cache size      232, 12922284 req, miss ratio 0.0024, byte miss ratio 0.0024
tencentBlock.ns23871 S3FIFO-0.0500-1.9000 cache size      697, 12922284 req, miss ratio 0.0024, byte miss ratio 0.0024
tencentBlock.ns23871 S3FIFO-0.0500-1.9000 cache size     2324, 12922284 req, miss ratio 0.0023, byte miss ratio 0.0023
tencentBlock.ns23871 S3FIFO-0.0500-1.9000 cache size     4648, 12922284 req, miss ratio 0.0023, byte miss ratio 0.0023
tencentBlock.ns23871 S3FIFO-0.0500-1.9000 cache size     9296, 12922284 req, miss ratio 0.0023, byte miss ratio 0.0023
tencentBlock.ns23871 S3FIFO-0.0500-1.9000 cache size    18592, 12922284 req, miss ratio 0.0018, byte miss ratio 0.0018
tencentBlock.ns23871 S3FIFO-0.5500-1.9000 cache size       23, 12922284 req, miss ratio 0.7224, byte miss ratio 0.7224
tencentBlock.ns23871 S3FIFO-0.5500-1.9000 cache size       69, 12922284 req, miss ratio 0.6170, byte miss ratio 0.6170
tencentBlock.ns23871 S3FIFO-0.5500-1.9000 cache size      232, 12922284 req, miss ratio 0.0028, byte miss ratio 0.0028
tencentBlock.ns23871 S3FIFO-0.5500-1.9000 cache size      697, 12922284 req, miss ratio 0.0024, byte miss ratio 0.0024
tencentBlock.ns23871 S3FIFO-0.5500-1.9000 cache size     2324, 12922284 req, miss ratio 0.0023, byte miss ratio 0.0023
tencentBlock.ns23871 S3FIFO-0.5500-1.9000 cache size     4648, 12922284 req, miss ratio 0.0023, byte miss ratio 0.0023
tencentBlock.ns23871 S3FIFO-0.5500-1.9000 cache size     9296, 12922284 req, miss ratio 0.0023, byte miss ratio 0.0023
tencentBlock.ns23871 S3FIFO-0.5500-1.9000 cache size    18592, 12922284 req, miss ratio 0.0018, byte miss ratio 0.0018
tencentBlock.ns23871 S3FIFO-0.5500-0.9000 cache size       23, 12922284 req, miss ratio 0.7320, byte miss ratio 0.7320
tencentBlock.ns23871 S3FIFO-0.5500-0.9000 cache size       69, 12922284 req, miss ratio 0.6152, byte miss ratio 0.6152
tencentBlock.ns23871 S3FIFO-0.5500-0.9000 cache size      232, 12922284 req, miss ratio 0.0028, byte miss ratio 0.0028
tencentBlock.ns23871 S3FIFO-0.5500-0.9000 cache size      697, 12922284 req, miss ratio 0.0024, byte miss ratio 0.0024
tencentBlock.ns23871 S3FIFO-0.5500-0.9000 cache size     2324, 12922284 req, miss ratio 0.0023, byte miss ratio 0.0023
tencentBlock.ns23871 S3FIFO-0.5500-0.9000 cache size     4648, 12922284 req, miss ratio 0.0023, byte miss ratio 0.0023
tencentBlock.ns23871 S3FIFO-0.5500-0.9000 cache size     9296, 12922284 req, miss ratio 0.0023, byte miss ratio 0.0023
tencentBlock.ns23871 S3FIFO-0.5500-0.9000 cache size    18592, 12922284 req, miss ratio 0.0018, byte miss ratio 0.0018
tencentBlock.ns23871 S3FIFO-0.7000-1.9000 cache size       23, 12922284 req, miss ratio 0.7317, byte miss ratio 0.7317
tencentBlock.ns23871 S3FIFO-0.7000-1.9000 cache size       69, 12922284 req, miss ratio 0.5880, byte miss ratio 0.5880
tencentBlock.ns23871 S3FIFO-0.7000-1.9000 cache size      232, 12922284 req, miss ratio 0.0035, byte miss ratio 0.0035
tencentBlock.ns23871 S3FIFO-0.7000-1.9000 cache size      697, 12922284 req, miss ratio 0.0024, byte miss ratio 0.0024
tencentBlock.ns23871 S3FIFO-0.7000-1.9000 cache size     2324, 12922284 req, miss ratio 0.0023, byte miss ratio 0.0023
tencentBlock.ns23871 S3FIFO-0.7000-1.9000 cache size     4648, 12922284 req, miss ratio 0.0023, byte miss ratio 0.0023
tencentBlock.ns23871 S3FIFO-0.7000-1.9000 cache size     9296, 12922284 req, miss ratio 0.0023, byte miss ratio 0.0023
tencentBlock.ns23871 S3FIFO-0.7000-1.9000 cache size    18592, 12922284 req, miss ratio 0.0018, byte miss ratio 0.0018
tencentBlock.ns23871 S3FIFO-0.6500-1.9000 cache size       23, 12922284 req, miss ratio 0.7295, byte miss ratio 0.7295
tencentBlock.ns23871 S3FIFO-0.6500-1.9000 cache size       69, 12922284 req, miss ratio 0.5969, byte miss ratio 0.5969
tencentBlock.ns23871 S3FIFO-0.6500-1.9000 cache size      232, 12922284 req, miss ratio 0.0033, byte miss ratio 0.0033
tencentBlock.ns23871 S3FIFO-0.6500-1.9000 cache size      697, 12922284 req, miss ratio 0.0024, byte miss ratio 0.0024
tencentBlock.ns23871 S3FIFO-0.6500-1.9000 cache size     2324, 12922284 req, miss ratio 0.0023, byte miss ratio 0.0023
tencentBlock.ns23871 S3FIFO-0.6500-1.9000 cache size     4648, 12922284 req, miss ratio 0.0023, byte miss ratio 0.0023
