tencentBlock.ns3104 S3FIFO-0.0050-1.9000 cache size     2349, 57982358 req, miss ratio 0.7914, byte miss ratio 0.7914
tencentBlock.ns3104 S3FIFO-0.0050-1.9000 cache size     7048, 57982358 req, miss ratio 0.7190, byte miss ratio 0.7190
tencentBlock.ns3104 S3FIFO-0.0050-1.9000 cache size    23495, 57982358 req, miss ratio 0.6150, byte miss ratio 0.6150
tencentBlock.ns3104 S3FIFO-0.0050-1.9000 cache size    70485, 57982358 req, miss ratio 0.4735, byte miss ratio 0.4735
tencentBlock.ns3104 S3FIFO-0.0050-1.9000 cache size   234952, 57982358 req, miss ratio 0.2390, byte miss ratio 0.2390
tencentBlock.ns3104 S3FIFO-0.0050-1.9000 cache size   469905, 57982358 req, miss ratio 0.1416, byte miss ratio 0.1416
tencentBlock.ns3104 S3FIFO-0.0050-1.9000 cache size   939810, 57982358 req, miss ratio 0.0605, byte miss ratio 0.0605
tencentBlock.ns3104 S3FIFO-0.0050-1.9000 cache size  1879621, 57982358 req, miss ratio 0.0422, byte miss ratio 0.0422
tencentBlock.ns3104 S3FIFO-0.5500-0.9000 cache size     2349, 57982358 req, miss ratio 0.7787, byte miss ratio 0.7787
tencentBlock.ns3104 S3FIFO-0.5500-0.9000 cache size     7048, 57982358 req, miss ratio 0.6749, byte miss ratio 0.6749
tencentBlock.ns3104 S3FIFO-0.5500-0.9000 cache size    23495, 57982358 req, miss ratio 0.5745, byte miss ratio 0.5745
tencentBlock.ns3104 S3FIFO-0.5500-0.9000 cache size    70485, 57982358 req, miss ratio 0.4696, byte miss ratio 0.4696
tencentBlock.ns3104 S3FIFO-0.5500-0.9000 cache size   234952, 57982358 req, miss ratio 0.2362, byte miss ratio 0.2362
tencentBlock.ns3104 S3FIFO-0.5500-0.9000 cache size   469905, 57982358 req, miss ratio 0.1382, byte miss ratio 0.1382
tencentBlock.ns3104 S3FIFO-0.5500-0.9000 cache size   939810, 57982358 req, miss ratio 0.0678, byte miss ratio 0.0678
tencentBlock.ns3104 S3FIFO-0.5500-0.9000 cache size  1879621, 57982358 req, miss ratio 0.0425, byte miss ratio 0.0425
tencentBlock.ns3104 S3FIFO-0.1500-1.9000 cache size     2349, 57982358 req, miss ratio 0.7817, byte miss ratio 0.7817
tencentBlock.ns3104 S3FIFO-0.1500-1.9000 cache size     7048, 57982358 req, miss ratio 0.6873, byte miss ratio 0.6873
tencentBlock.ns3104 S3FIFO-0.1500-1.9000 cache size    23495, 57982358 req, miss ratio 0.5698, byte miss ratio 0.5698
tencentBlock.ns3104 S3FIFO-0.1500-1.9000 cache size    70485, 57982358 req, miss ratio 0.4552, byte miss ratio 0.4552
tencentBlock.ns3104 S3FIFO-0.1500-1.9000 cache size   234952, 57982358 req, miss ratio 0.2305, byte miss ratio 0.2305
tencentBlock.ns3104 S3FIFO-0.1500-1.9000 cache size   469905, 57982358 req, miss ratio 0.1323, byte miss ratio 0.1323
tencentBlock.ns3104 S3FIFO-0.1500-1.9000 cache size   939810, 57982358 req, miss ratio 0.0598, byte miss ratio 0.0598
tencentBlock.ns3104 S3FIFO-0.1500-1.9000 cache size  1879621, 57982358 req, miss ratio 0.0424, byte miss ratio 0.0424
tencentBlock.ns3104 S3FIFO-0.9500-1.9000 cache size     2349, 57982358 req, miss ratio 0.7997, byte miss ratio 0.7997
tencentBlock.ns3104 S3FIFO-0.9500-1.9000 cache size     7048, 57982358 req, miss ratio 0.7020, byte miss ratio 0.7020
tencentBlock.ns3104 S3FIFO-0.9500-1.9000 cache size    23495, 57982358 req, miss ratio 0.6107, byte miss ratio 0.6107
tencentBlock.ns3104 S3FIFO-0.9500-1.9000 cache size    70485, 57982358 req, miss ratio 0.4885, byte miss ratio 0.4885
tencentBlock.ns3104 S3FIFO-0.9500-1.9000 cache size   234952, 57982358 req, miss ratio 0.2616, byte miss ratio 0.2616
tencentBlock.ns3104 S3FIFO-0.9500-1.9000 cache size   469905, 57982358 req, miss ratio 0.1610, byte miss ratio 0.1610
tencentBlock.ns3104 S3FIFO-0.9500-1.9000 cache size   939810, 57982358 req, miss ratio 0.0832, byte miss ratio 0.0832
tencentBlock.ns3104 S3FIFO-0.9500-1.9000 cache size  1879621, 57982358 req, miss ratio 0.0473, byte miss ratio 0.0473
tencentBlock.ns3104 S3FIFO-0.0100-0.9000 cache size     2349, 57982358 req, miss ratio 0.7995, byte miss ratio 0.7995
tencentBlock.ns3104 S3FIFO-0.0100-0.9000 cache size     7048, 57982358 req, miss ratio 0.7213, byte miss ratio 0.7213
tencentBlock.ns3104 S3FIFO-0.0100-0.9000 cache size    23495, 57982358 req, miss ratio 0.6127, byte miss ratio 0.6127
tencentBlock.ns3104 S3FIFO-0.0100-0.9000 cache size    70485, 57982358 req, miss ratio 0.4650, byte miss ratio 0.4650
tencentBlock.ns3104 S3FIFO-0.0100-0.9000 cache size   234952, 57982358 req, miss ratio 0.2368, byte miss ratio 0.2368
tencentBlock.ns3104 S3FIFO-0.0100-0.9000 cache size   469905, 57982358 req, miss ratio 0.1410, byte miss ratio 0.1410
tencentBlock.ns3104 S3FIFO-0.0100-0.9000 cache size   939810, 57982358 req, miss ratio 0.0599, byte miss ratio 0.0599
tencentBlock.ns3104 S3FIFO-0.0100-0.9000 cache size  1879621, 57982358 req, miss ratio 0.0421, byte miss ratio 0.0421
tencentBlock.ns3104 S3FIFO-0.1000-0.9000 cache size     2349, 57982358 req, miss ratio 0.7909, byte miss ratio 0.7909
tencentBlock.ns3104 S3FIFO-0.1000-0.9000 cache size     7048, 57982358 req, miss ratio 0.6984, byte miss ratio 0.6984
tencentBlock.ns3104 S3FIFO-0.1000-0.9000 cache size    23495, 57982358 req, miss ratio 0.5758, byte miss ratio 0.5758
tencentBlock.ns3104 S3FIFO-0.1000-0.9000 cache size    70485, 57982358 req, miss ratio 0.4436, byte miss ratio 0.4436
tencentBlock.ns3104 S3FIFO-0.1000-0.9000 cache size   234952, 57982358 req, miss ratio 0.2324, byte miss ratio 0.2324
tencentBlock.ns3104 S3FIFO-0.1000-0.9000 cache size   469905, 57982358 req, miss ratio 0.1351, byte miss ratio 0.1351
tencentBlock.ns3104 S3FIFO-0.1000-0.9000 cache size   939810, 57982358 req, miss ratio 0.0596, byte miss ratio 0.0596
tencentBlock.ns3104 S3FIFO-0.1000-0.9000 cache size  1879621, 57982358 req, miss ratio 0.0421, byte miss ratio 0.0421
tencentBlock.ns3104 S3FIFO-0.3500-1.9000 cache size     2349, 57982358 req, miss ratio 0.7773, byte miss ratio 0.7773
tencentBlock.ns3104 S3FIFO-0.3500-1.9000 cache size     7048, 57982358 req, miss ratio 0.6741, byte miss ratio 0.6741
