cdn1_colo28.ns53 S3FIFO-0.7500-1.9000 cache size      304, 3924677 req, miss ratio 0.1178, byte miss ratio 0.1178
cdn1_colo28.ns53 S3FIFO-0.7500-1.9000 cache size      912, 3924677 req, miss ratio 0.1050, byte miss ratio 0.1050
cdn1_colo28.ns53 S3FIFO-0.7500-1.9000 cache size     3040, 3924677 req, miss ratio 0.0964, byte miss ratio 0.0964
cdn1_colo28.ns53 S3FIFO-0.7500-1.9000 cache size     9120, 3924677 req, miss ratio 0.0904, byte miss ratio 0.0904
cdn1_colo28.ns53 S3FIFO-0.7500-1.9000 cache size    30401, 3924677 req, miss ratio 0.0849, byte miss ratio 0.0849
cdn1_colo28.ns53 S3FIFO-0.7500-1.9000 cache size    60803, 3924677 req, miss ratio 0.0820, byte miss ratio 0.0820
cdn1_colo28.ns53 S3FIFO-0.7500-1.9000 cache size   121606, 3924677 req, miss ratio 0.0796, byte miss ratio 0.0796
cdn1_colo28.ns53 S3FIFO-0.7500-1.9000 cache size   243212, 3924677 req, miss ratio 0.0779, byte miss ratio 0.0779
cdn1_colo28.ns53 S3FIFO-0.8000-0.9000 cache size      304, 3924677 req, miss ratio 0.1188, byte miss ratio 0.1188
cdn1_colo28.ns53 S3FIFO-0.8000-0.9000 cache size      912, 3924677 req, miss ratio 0.1055, byte miss ratio 0.1055
cdn1_colo28.ns53 S3FIFO-0.8000-0.9000 cache size     3040, 3924677 req, miss ratio 0.0967, byte miss ratio 0.0967
cdn1_colo28.ns53 S3FIFO-0.8000-0.9000 cache size     9120, 3924677 req, miss ratio 0.0907, byte miss ratio 0.0907
cdn1_colo28.ns53 S3FIFO-0.8000-0.9000 cache size    30401, 3924677 req, miss ratio 0.0851, byte miss ratio 0.0851
cdn1_colo28.ns53 S3FIFO-0.8000-0.9000 cache size    60803, 3924677 req, miss ratio 0.0822, byte miss ratio 0.0822
cdn1_colo28.ns53 S3FIFO-0.8000-0.9000 cache size   121606, 3924677 req, miss ratio 0.0797, byte miss ratio 0.0797
cdn1_colo28.ns53 S3FIFO-0.8000-0.9000 cache size   243212, 3924677 req, miss ratio 0.0779, byte miss ratio 0.0779
cdn1_colo28.ns53 S3FIFO-0.5000-1.9000 cache size      304, 3924677 req, miss ratio 0.1142, byte miss ratio 0.1142
cdn1_colo28.ns53 S3FIFO-0.5000-1.9000 cache size      912, 3924677 req, miss ratio 0.1029, byte miss ratio 0.1029
cdn1_colo28.ns53 S3FIFO-0.5000-1.9000 cache size     3040, 3924677 req, miss ratio 0.0949, byte miss ratio 0.0949
cdn1_colo28.ns53 S3FIFO-0.5000-1.9000 cache size     9120, 3924677 req, miss ratio 0.0892, byte miss ratio 0.0892
cdn1_colo28.ns53 S3FIFO-0.5000-1.9000 cache size    30401, 3924677 req, miss ratio 0.0839, byte miss ratio 0.0839
cdn1_colo28.ns53 S3FIFO-0.5000-1.9000 cache size    60803, 3924677 req, miss ratio 0.0813, byte miss ratio 0.0813
cdn1_colo28.ns53 S3FIFO-0.5000-1.9000 cache size   121606, 3924677 req, miss ratio 0.0794, byte miss ratio 0.0794
cdn1_colo28.ns53 S3FIFO-0.5000-1.9000 cache size   243212, 3924677 req, miss ratio 0.0778, byte miss ratio 0.0778
cdn1_colo28.ns53 S3FIFO-0.5500-1.9000 cache size      304, 3924677 req, miss ratio 0.1148, byte miss ratio 0.1148
cdn1_colo28.ns53 S3FIFO-0.5500-1.9000 cache size      912, 3924677 req, miss ratio 0.1032, byte miss ratio 0.1032
cdn1_colo28.ns53 S3FIFO-0.5500-1.9000 cache size     3040, 3924677 req, miss ratio 0.0952, byte miss ratio 0.0952
cdn1_colo28.ns53 S3FIFO-0.5500-1.9000 cache size     9120, 3924677 req, miss ratio 0.0894, byte miss ratio 0.0894
