tencentBlock.ns15456 S3FIFO-0.8500-1.9000 cache size      140, 1120823 req, miss ratio 0.5852, byte miss ratio 0.5852
tencentBlock.ns15456 S3FIFO-0.8500-1.9000 cache size      421, 1120823 req, miss ratio 0.5515, byte miss ratio 0.5515
tencentBlock.ns15456 S3FIFO-0.8500-1.9000 cache size     1405, 1120823 req, miss ratio 0.5417, byte miss ratio 0.5417
tencentBlock.ns15456 S3FIFO-0.8500-1.9000 cache size     4215, 1120823 req, miss ratio 0.5373, byte miss ratio 0.5373
tencentBlock.ns15456 S3FIFO-0.8500-1.9000 cache size    14051, 1120823 req, miss ratio 0.5334, byte miss ratio 0.5334
tencentBlock.ns15456 S3FIFO-0.8500-1.9000 cache size    28102, 1120823 req, miss ratio 0.4771, byte miss ratio 0.4771
tencentBlock.ns15456 S3FIFO-0.8500-1.9000 cache size    56204, 1120823 req, miss ratio 0.3501, byte miss ratio 0.3501
tencentBlock.ns15456 S3FIFO-0.8500-1.9000 cache size   112409, 1120823 req, miss ratio 0.1735, byte miss ratio 0.1735
tencentBlock.ns15456 S3FIFO-0.7500-1.9000 cache size      140, 1120823 req, miss ratio 0.5620, byte miss ratio 0.5620
tencentBlock.ns15456 S3FIFO-0.7500-1.9000 cache size      421, 1120823 req, miss ratio 0.5485, byte miss ratio 0.5485
tencentBlock.ns15456 S3FIFO-0.7500-1.9000 cache size     1405, 1120823 req, miss ratio 0.5406, byte miss ratio 0.5406
tencentBlock.ns15456 S3FIFO-0.7500-1.9000 cache size     4215, 1120823 req, miss ratio 0.5362, byte miss ratio 0.5362
tencentBlock.ns15456 S3FIFO-0.7500-1.9000 cache size    14051, 1120823 req, miss ratio 0.5349, byte miss ratio 0.5349
tencentBlock.ns15456 S3FIFO-0.7500-1.9000 cache size    28102, 1120823 req, miss ratio 0.4816, byte miss ratio 0.4816
tencentBlock.ns15456 S3FIFO-0.7500-1.9000 cache size    56204, 1120823 req, miss ratio 0.3477, byte miss ratio 0.3477
tencentBlock.ns15456 S3FIFO-0.7500-1.9000 cache size   112409, 1120823 req, miss ratio 0.1716, byte miss ratio 0.1716
tencentBlock.ns15456 S3FIFO-0.3000-1.9000 cache size      140, 1120823 req, miss ratio 0.5552, byte miss ratio 0.5552
tencentBlock.ns15456 S3FIFO-0.3000-1.9000 cache size      421, 1120823 req, miss ratio 0.5427, byte miss ratio 0.5427
tencentBlock.ns15456 S3FIFO-0.3000-1.9000 cache size     1405, 1120823 req, miss ratio 0.5375, byte miss ratio 0.5375
tencentBlock.ns15456 S3FIFO-0.3000-1.9000 cache size     4215, 1120823 req, miss ratio 0.5351, byte miss ratio 0.5351
tencentBlock.ns15456 S3FIFO-0.3000-1.9000 cache size    14051, 1120823 req, miss ratio 0.4933, byte miss ratio 0.4933
tencentBlock.ns15456 S3FIFO-0.3000-1.9000 cache size    28102, 1120823 req, miss ratio 0.4741, byte miss ratio 0.4741
tencentBlock.ns15456 S3FIFO-0.3000-1.9000 cache size    56204, 1120823 req, miss ratio 0.3719, byte miss ratio 0.3719
tencentBlock.ns15456 S3FIFO-0.3000-1.9000 cache size   112409, 1120823 req, miss ratio 0.1535, byte miss ratio 0.1535
tencentBlock.ns15456 S3FIFO-0.7000-0.9000 cache size      140, 1120823 req, miss ratio 0.5603, byte miss ratio 0.5603
tencentBlock.ns15456 S3FIFO-0.7000-0.9000 cache size      421, 1120823 req, miss ratio 0.5475, byte miss ratio 0.5475
tencentBlock.ns15456 S3FIFO-0.7000-0.9000 cache size     1405, 1120823 req, miss ratio 0.5399, byte miss ratio 0.5399
tencentBlock.ns15456 S3FIFO-0.7000-0.9000 cache size     4215, 1120823 req, miss ratio 0.5361, byte miss ratio 0.5361
tencentBlock.ns15456 S3FIFO-0.7000-0.9000 cache size    14051, 1120823 req, miss ratio 0.5345, byte miss ratio 0.5345
tencentBlock.ns15456 S3FIFO-0.7000-0.9000 cache size    28102, 1120823 req, miss ratio 0.4811, byte miss ratio 0.4811
tencentBlock.ns15456 S3FIFO-0.7000-0.9000 cache size    56204, 1120823 req, miss ratio 0.3473, byte miss ratio 0.3473
tencentBlock.ns15456 S3FIFO-0.7000-0.9000 cache size   112409, 1120823 req, miss ratio 0.1716, byte miss ratio 0.1716
tencentBlock.ns15456 S3FIFO-0.1500-1.9000 cache size      140, 1120823 req, miss ratio 0.5559, byte miss ratio 0.5559
tencentBlock.ns15456 S3FIFO-0.1500-1.9000 cache size      421, 1120823 req, miss ratio 0.5425, byte miss ratio 0.5425
tencentBlock.ns15456 S3FIFO-0.1500-1.9000 cache size     1405, 1120823 req, miss ratio 0.5373, byte miss ratio 0.5373
tencentBlock.ns15456 S3FIFO-0.1500-1.9000 cache size     4215, 1120823 req, miss ratio 0.5350, byte miss ratio 0.5350
tencentBlock.ns15456 S3FIFO-0.1500-1.9000 cache size    14051, 1120823 req, miss ratio 0.4931, byte miss ratio 0.4931
tencentBlock.ns15456 S3FIFO-0.1500-1.9000 cache size    28102, 1120823 req, miss ratio 0.4665, byte miss ratio 0.4665
tencentBlock.ns15456 S3FIFO-0.1500-1.9000 cache size    56204, 1120823 req, miss ratio 0.3487, byte miss ratio 0.3487
tencentBlock.ns15456 S3FIFO-0.1500-1.9000 cache size   112409, 1120823 req, miss ratio 0.1481, byte miss ratio 0.1481
tencentBlock.ns15456 S3FIFO-0.3500-1.9000 cache size      140, 1120823 req, miss ratio 0.5533, byte miss ratio 0.5533
tencentBlock.ns15456 S3FIFO-0.3500-1.9000 cache size      421, 1120823 req, miss ratio 0.5428, byte miss ratio 0.5428
tencentBlock.ns15456 S3FIFO-0.3500-1.9000 cache size     1405, 1120823 req, miss ratio 0.5377, byte miss ratio 0.5377
tencentBlock.ns15456 S3FIFO-0.3500-1.9000 cache size     4215, 1120823 req, miss ratio 0.5352, byte miss ratio 0.5352
tencentBlock.ns15456 S3FIFO-0.3500-1.9000 cache size    14051, 1120823 req, miss ratio 0.5029, byte miss ratio 0.5029
tencentBlock.ns15456 S3FIFO-0.3500-1.9000 cache size    28102, 1120823 req, miss ratio 0.4740, byte miss ratio 0.4740
tencentBlock.ns15456 S3FIFO-0.3500-1.9000 cache size    56204, 1120823 req, miss ratio 0.3807, byte miss ratio 0.3807
tencentBlock.ns15456 S3FIFO-0.3500-1.9000 cache size   112409, 1120823 req, miss ratio 0.1545, byte miss ratio 0.1545
tencentBlock.ns15456 S3FIFO-0.4500-0.9000 cache size      140, 1120823 req, miss ratio 0.5547, byte miss ratio 0.5547
tencentBlock.ns15456 S3FIFO-0.4500-0.9000 cache size      421, 1120823 req, miss ratio 0.5435, byte miss ratio 0.5435
tencentBlock.ns15456 S3FIFO-0.4500-0.9000 cache size     1405, 1120823 req, miss ratio 0.5383, byte miss ratio 0.5383
tencentBlock.ns15456 S3FIFO-0.4500-0.9000 cache size     4215, 1120823 req, miss ratio 0.5354, byte miss ratio 0.5354
tencentBlock.ns15456 S3FIFO-0.4500-0.9000 cache size    14051, 1120823 req, miss ratio 0.5058, byte miss ratio 0.5058
tencentBlock.ns15456 S3FIFO-0.4500-0.9000 cache size    28102, 1120823 req, miss ratio 0.4793, byte miss ratio 0.4793
tencentBlock.ns15456 S3FIFO-0.4500-0.9000 cache size    56204, 1120823 req, miss ratio 0.3742, byte miss ratio 0.3742
tencentBlock.ns15456 S3FIFO-0.4500-0.9000 cache size   112409, 1120823 req, miss ratio 0.1549, byte miss ratio 0.1549
tencentBlock.ns15456 S3FIFO-0.6000-0.9000 cache size      140, 1120823 req, miss ratio 0.5578, byte miss ratio 0.5578
tencentBlock.ns15456 S3FIFO-0.6000-0.9000 cache size      421, 1120823 req, miss ratio 0.5452, byte miss ratio 0.5452
tencentBlock.ns15456 S3FIFO-0.6000-0.9000 cache size     1405, 1120823 req, miss ratio 0.5389, byte miss ratio 0.5389
tencentBlock.ns15456 S3FIFO-0.6000-0.9000 cache size     4215, 1120823 req, miss ratio 0.5358, byte miss ratio 0.5358
tencentBlock.ns15456 S3FIFO-0.6000-0.9000 cache size    14051, 1120823 req, miss ratio 0.5339, byte miss ratio 0.5339
tencentBlock.ns15456 S3FIFO-0.6000-0.9000 cache size    28102, 1120823 req, miss ratio 0.4787, byte miss ratio 0.4787
tencentBlock.ns15456 S3FIFO-0.6000-0.9000 cache size    56204, 1120823 req, miss ratio 0.3533, byte miss ratio 0.3533
tencentBlock.ns15456 S3FIFO-0.6000-0.9000 cache size   112409, 1120823 req, miss ratio 0.1609, byte miss ratio 0.1609
tencentBlock.ns15456 S3FIFO-0.0050-1.9000 cache size      140, 1120823 req, miss ratio 1.0000, byte miss ratio 1.0000
tencentBlock.ns15456 S3FIFO-0.0050-1.9000 cache size      421, 1120823 req, miss ratio 0.6214, byte miss ratio 0.6214
tencentBlock.ns15456 S3FIFO-0.0050-1.9000 cache size     1405, 1120823 req, miss ratio 0.5475, byte miss ratio 0.5475
tencentBlock.ns15456 S3FIFO-0.0050-1.9000 cache size     4215, 1120823 req, miss ratio 0.5392, byte miss ratio 0.5392
tencentBlock.ns15456 S3FIFO-0.0050-1.9000 cache size    14051, 1120823 req, miss ratio 0.4909, byte miss ratio 0.4909
tencentBlock.ns15456 S3FIFO-0.0050-1.9000 cache size    28102, 1120823 req, miss ratio 0.4546, byte miss ratio 0.4546
tencentBlock.ns15456 S3FIFO-0.0050-1.9000 cache size    56204, 1120823 req, miss ratio 0.3259, byte miss ratio 0.3259
tencentBlock.ns15456 S3FIFO-0.0050-1.9000 cache size   112409, 1120823 req, miss ratio 0.1462, byte miss ratio 0.1462
tencentBlock.ns15456 S3FIFO-0.8000-0.9000 cache size      140, 1120823 req, miss ratio 0.5680, byte miss ratio 0.5680
tencentBlock.ns15456 S3FIFO-0.8000-0.9000 cache size      421, 1120823 req, miss ratio 0.5496, byte miss ratio 0.5496
tencentBlock.ns15456 S3FIFO-0.8000-0.9000 cache size     1405, 1120823 req, miss ratio 0.5411, byte miss ratio 0.5411
tencentBlock.ns15456 S3FIFO-0.8000-0.9000 cache size     4215, 1120823 req, miss ratio 0.5366, byte miss ratio 0.5366
tencentBlock.ns15456 S3FIFO-0.8000-0.9000 cache size    14051, 1120823 req, miss ratio 0.5348, byte miss ratio 0.5348
tencentBlock.ns15456 S3FIFO-0.8000-0.9000 cache size    28102, 1120823 req, miss ratio 0.4791, byte miss ratio 0.4791
tencentBlock.ns15456 S3FIFO-0.8000-0.9000 cache size    56204, 1120823 req, miss ratio 0.3501, byte miss ratio 0.3501
