botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-0.9000 cache size 38412204, 958624046 req, miss ratio 0.2041, byte miss ratio 0.2041
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-0.9000 cache size 76824409, 958624046 req, miss ratio 0.2024, byte miss ratio 0.2024
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-0.9000 cache size 153648818, 958624046 req, miss ratio 0.2012, byte miss ratio 0.2012
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-1.9000 cache size   192061, 958624046 req, miss ratio 0.2663, byte miss ratio 0.2663
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-1.9000 cache size   576183, 958624046 req, miss ratio 0.2441, byte miss ratio 0.2441
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-1.9000 cache size  1920610, 958624046 req, miss ratio 0.2244, byte miss ratio 0.2244
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-1.9000 cache size  5761830, 958624046 req, miss ratio 0.2134, byte miss ratio 0.2134
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-1.9000 cache size 19206102, 958624046 req, miss ratio 0.2065, byte miss ratio 0.2065
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-1.9000 cache size 38412204, 958624046 req, miss ratio 0.2031, byte miss ratio 0.2031
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-1.9000 cache size 76824409, 958624046 req, miss ratio 0.2023, byte miss ratio 0.2023
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-1.9000 cache size 153648818, 958624046 req, miss ratio 0.2012, byte miss ratio 0.2012
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-1.9000 cache size   192061, 958624046 req, miss ratio 0.2780, byte miss ratio 0.2780
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-1.9000 cache size   576183, 958624046 req, miss ratio 0.2558, byte miss ratio 0.2558
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-1.9000 cache size  1920610, 958624046 req, miss ratio 0.2350, byte miss ratio 0.2350
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-1.9000 cache size  5761830, 958624046 req, miss ratio 0.2212, byte miss ratio 0.2212
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-1.9000 cache size 19206102, 958624046 req, miss ratio 0.2111, byte miss ratio 0.2111
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-1.9000 cache size 38412204, 958624046 req, miss ratio 0.2049, byte miss ratio 0.2049
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-1.9000 cache size 76824409, 958624046 req, miss ratio 0.2026, byte miss ratio 0.2026
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-1.9000 cache size 153648818, 958624046 req, miss ratio 0.2012, byte miss ratio 0.2012
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-1.9000 cache size   192061, 958624046 req, miss ratio 0.2862, byte miss ratio 0.2862
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-1.9000 cache size   576183, 958624046 req, miss ratio 0.2625, byte miss ratio 0.2625
botmaker_2_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-1.9000 cache size  1920610, 958624046 req, miss ratio 0.2412, byte miss ratio 0.2412
