cdn1_allcolo.ns1217 S3FIFO-0.5500-0.9000 cache size        8, 2148784 req, miss ratio 0.4360, byte miss ratio 0.4360
cdn1_allcolo.ns1217 S3FIFO-0.5500-0.9000 cache size       25, 2148784 req, miss ratio 0.2031, byte miss ratio 0.2031
cdn1_allcolo.ns1217 S3FIFO-0.5500-0.9000 cache size       83, 2148784 req, miss ratio 0.0869, byte miss ratio 0.0869
cdn1_allcolo.ns1217 S3FIFO-0.5500-0.9000 cache size      250, 2148784 req, miss ratio 0.0412, byte miss ratio 0.0412
cdn1_allcolo.ns1217 S3FIFO-0.5500-0.9000 cache size      833, 2148784 req, miss ratio 0.0180, byte miss ratio 0.0180
cdn1_allcolo.ns1217 S3FIFO-0.5500-0.9000 cache size     1667, 2148784 req, miss ratio 0.0107, byte miss ratio 0.0107
cdn1_allcolo.ns1217 S3FIFO-0.5500-0.9000 cache size     3335, 2148784 req, miss ratio 0.0062, byte miss ratio 0.0062
cdn1_allcolo.ns1217 S3FIFO-0.5500-0.9000 cache size     6670, 2148784 req, miss ratio 0.0041, byte miss ratio 0.0041
cdn1_allcolo.ns1217 S3FIFO-0.0010-1.9000 cache size        8, 2148784 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns1217 S3FIFO-0.0010-1.9000 cache size       25, 2148784 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns1217 S3FIFO-0.0010-1.9000 cache size       83, 2148784 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns1217 S3FIFO-0.0010-1.9000 cache size      250, 2148784 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns1217 S3FIFO-0.0010-1.9000 cache size      833, 2148784 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns1217 S3FIFO-0.0010-1.9000 cache size     1667, 2148784 req, miss ratio 0.0087, byte miss ratio 0.0087
cdn1_allcolo.ns1217 S3FIFO-0.0010-1.9000 cache size     3335, 2148784 req, miss ratio 0.0054, byte miss ratio 0.0054
cdn1_allcolo.ns1217 S3FIFO-0.0010-1.9000 cache size     6670, 2148784 req, miss ratio 0.0040, byte miss ratio 0.0040
cdn1_allcolo.ns1217 S3FIFO-0.2000-0.9000 cache size        8, 2148784 req, miss ratio 0.3630, byte miss ratio 0.3630
cdn1_allcolo.ns1217 S3FIFO-0.2000-0.9000 cache size       25, 2148784 req, miss ratio 0.1648, byte miss ratio 0.1648
cdn1_allcolo.ns1217 S3FIFO-0.2000-0.9000 cache size       83, 2148784 req, miss ratio 0.0698, byte miss ratio 0.0698
cdn1_allcolo.ns1217 S3FIFO-0.2000-0.9000 cache size      250, 2148784 req, miss ratio 0.0341, byte miss ratio 0.0341
cdn1_allcolo.ns1217 S3FIFO-0.2000-0.9000 cache size      833, 2148784 req, miss ratio 0.0149, byte miss ratio 0.0149
cdn1_allcolo.ns1217 S3FIFO-0.2000-0.9000 cache size     1667, 2148784 req, miss ratio 0.0091, byte miss ratio 0.0091
cdn1_allcolo.ns1217 S3FIFO-0.2000-0.9000 cache size     3335, 2148784 req, miss ratio 0.0055, byte miss ratio 0.0055
cdn1_allcolo.ns1217 S3FIFO-0.2000-0.9000 cache size     6670, 2148784 req, miss ratio 0.0040, byte miss ratio 0.0040
cdn1_allcolo.ns1217 S3FIFO-0.0250-1.9000 cache size        8, 2148784 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns1217 S3FIFO-0.0250-1.9000 cache size       25, 2148784 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns1217 S3FIFO-0.0250-1.9000 cache size       83, 2148784 req, miss ratio 0.0656, byte miss ratio 0.0656
cdn1_allcolo.ns1217 S3FIFO-0.0250-1.9000 cache size      250, 2148784 req, miss ratio 0.0324, byte miss ratio 0.0324
cdn1_allcolo.ns1217 S3FIFO-0.0250-1.9000 cache size      833, 2148784 req, miss ratio 0.0142, byte miss ratio 0.0142
cdn1_allcolo.ns1217 S3FIFO-0.0250-1.9000 cache size     1667, 2148784 req, miss ratio 0.0086, byte miss ratio 0.0086
cdn1_allcolo.ns1217 S3FIFO-0.0250-1.9000 cache size     3335, 2148784 req, miss ratio 0.0054, byte miss ratio 0.0054
cdn1_allcolo.ns1217 S3FIFO-0.0250-1.9000 cache size     6670, 2148784 req, miss ratio 0.0040, byte miss ratio 0.0040
cdn1_allcolo.ns1217 S3FIFO-0.3500-0.9000 cache size        8, 2148784 req, miss ratio 0.3861, byte miss ratio 0.3861
cdn1_allcolo.ns1217 S3FIFO-0.3500-0.9000 cache size       25, 2148784 req, miss ratio 0.1783, byte miss ratio 0.1783
