cdn1_colo28.ns271 S3FIFO-0.4500-1.9000 cache size      176, 1961461 req, miss ratio 0.1996, byte miss ratio 0.1996
cdn1_colo28.ns271 S3FIFO-0.4500-1.9000 cache size      530, 1961461 req, miss ratio 0.1518, byte miss ratio 0.1518
cdn1_colo28.ns271 S3FIFO-0.4500-1.9000 cache size     1766, 1961461 req, miss ratio 0.1419, byte miss ratio 0.1419
cdn1_colo28.ns271 S3FIFO-0.4500-1.9000 cache size     5300, 1961461 req, miss ratio 0.1357, byte miss ratio 0.1357
cdn1_colo28.ns271 S3FIFO-0.4500-1.9000 cache size    17667, 1961461 req, miss ratio 0.1121, byte miss ratio 0.1121
cdn1_colo28.ns271 S3FIFO-0.4500-1.9000 cache size    35335, 1961461 req, miss ratio 0.1024, byte miss ratio 0.1024
cdn1_colo28.ns271 S3FIFO-0.4500-1.9000 cache size    70671, 1961461 req, miss ratio 0.0964, byte miss ratio 0.0964
cdn1_colo28.ns271 S3FIFO-0.4500-1.9000 cache size   141343, 1961461 req, miss ratio 0.0907, byte miss ratio 0.0907
cdn1_colo28.ns271 S3FIFO-0.6500-0.9000 cache size      176, 1961461 req, miss ratio 0.2223, byte miss ratio 0.2223
cdn1_colo28.ns271 S3FIFO-0.6500-0.9000 cache size      530, 1961461 req, miss ratio 0.1574, byte miss ratio 0.1574
cdn1_colo28.ns271 S3FIFO-0.6500-0.9000 cache size     1766, 1961461 req, miss ratio 0.1432, byte miss ratio 0.1432
cdn1_colo28.ns271 S3FIFO-0.6500-0.9000 cache size     5300, 1961461 req, miss ratio 0.1366, byte miss ratio 0.1366
cdn1_colo28.ns271 S3FIFO-0.6500-0.9000 cache size    17667, 1961461 req, miss ratio 0.1163, byte miss ratio 0.1163
cdn1_colo28.ns271 S3FIFO-0.6500-0.9000 cache size    35335, 1961461 req, miss ratio 0.1034, byte miss ratio 0.1034
cdn1_colo28.ns271 S3FIFO-0.6500-0.9000 cache size    70671, 1961461 req, miss ratio 0.0969, byte miss ratio 0.0969
cdn1_colo28.ns271 S3FIFO-0.6500-0.9000 cache size   141343, 1961461 req, miss ratio 0.0909, byte miss ratio 0.0909
cdn1_colo28.ns271 S3FIFO-0.0100-1.9000 cache size      176, 1961461 req, miss ratio 0.1712, byte miss ratio 0.1712
cdn1_colo28.ns271 S3FIFO-0.0100-1.9000 cache size      530, 1961461 req, miss ratio 0.1474, byte miss ratio 0.1474
cdn1_colo28.ns271 S3FIFO-0.0100-1.9000 cache size     1766, 1961461 req, miss ratio 0.1404, byte miss ratio 0.1404
cdn1_colo28.ns271 S3FIFO-0.0100-1.9000 cache size     5300, 1961461 req, miss ratio 0.1344, byte miss ratio 0.1344
cdn1_colo28.ns271 S3FIFO-0.0100-1.9000 cache size    17667, 1961461 req, miss ratio 0.1094, byte miss ratio 0.1094
cdn1_colo28.ns271 S3FIFO-0.0100-1.9000 cache size    35335, 1961461 req, miss ratio 0.1016, byte miss ratio 0.1016
cdn1_colo28.ns271 S3FIFO-0.0100-1.9000 cache size    70671, 1961461 req, miss ratio 0.0958, byte miss ratio 0.0958
cdn1_colo28.ns271 S3FIFO-0.0100-1.9000 cache size   141343, 1961461 req, miss ratio 0.0906, byte miss ratio 0.0906
cdn1_colo28.ns271 S3FIFO-0.9000-0.9000 cache size      176, 1961461 req, miss ratio 0.2461, byte miss ratio 0.2461
cdn1_colo28.ns271 S3FIFO-0.9000-0.9000 cache size      530, 1961461 req, miss ratio 0.1761, byte miss ratio 0.1761
cdn1_colo28.ns271 S3FIFO-0.9000-0.9000 cache size     1766, 1961461 req, miss ratio 0.1481, byte miss ratio 0.1481
cdn1_colo28.ns271 S3FIFO-0.9000-0.9000 cache size     5300, 1961461 req, miss ratio 0.1384, byte miss ratio 0.1384
cdn1_colo28.ns271 S3FIFO-0.9000-0.9000 cache size    17667, 1961461 req, miss ratio 0.1196, byte miss ratio 0.1196
cdn1_colo28.ns271 S3FIFO-0.9000-0.9000 cache size    35335, 1961461 req, miss ratio 0.1078, byte miss ratio 0.1078
cdn1_colo28.ns271 S3FIFO-0.9000-0.9000 cache size    70671, 1961461 req, miss ratio 0.0986, byte miss ratio 0.0986
cdn1_colo28.ns271 S3FIFO-0.9000-0.9000 cache size   141343, 1961461 req, miss ratio 0.0911, byte miss ratio 0.0911
cdn1_colo28.ns271 S3FIFO-0.6000-0.9000 cache size      176, 1961461 req, miss ratio 0.2165, byte miss ratio 0.2165
cdn1_colo28.ns271 S3FIFO-0.6000-0.9000 cache size      530, 1961461 req, miss ratio 0.1555, byte miss ratio 0.1555
cdn1_colo28.ns271 S3FIFO-0.6000-0.9000 cache size     1766, 1961461 req, miss ratio 0.1428, byte miss ratio 0.1428
cdn1_colo28.ns271 S3FIFO-0.6000-0.9000 cache size     5300, 1961461 req, miss ratio 0.1363, byte miss ratio 0.1363
cdn1_colo28.ns271 S3FIFO-0.6000-0.9000 cache size    17667, 1961461 req, miss ratio 0.1152, byte miss ratio 0.1152
cdn1_colo28.ns271 S3FIFO-0.6000-0.9000 cache size    35335, 1961461 req, miss ratio 0.1031, byte miss ratio 0.1031
cdn1_colo28.ns271 S3FIFO-0.6000-0.9000 cache size    70671, 1961461 req, miss ratio 0.0967, byte miss ratio 0.0967
cdn1_colo28.ns271 S3FIFO-0.6000-0.9000 cache size   141343, 1961461 req, miss ratio 0.0908, byte miss ratio 0.0908
cdn1_colo28.ns271 S3FIFO-0.2000-1.9000 cache size      176, 1961461 req, miss ratio 0.1781, byte miss ratio 0.1781
cdn1_colo28.ns271 S3FIFO-0.2000-1.9000 cache size      530, 1961461 req, miss ratio 0.1487, byte miss ratio 0.1487
cdn1_colo28.ns271 S3FIFO-0.2000-1.9000 cache size     1766, 1961461 req, miss ratio 0.1409, byte miss ratio 0.1409
cdn1_colo28.ns271 S3FIFO-0.2000-1.9000 cache size     5300, 1961461 req, miss ratio 0.1348, byte miss ratio 0.1348
cdn1_colo28.ns271 S3FIFO-0.2000-1.9000 cache size    17667, 1961461 req, miss ratio 0.1098, byte miss ratio 0.1098
cdn1_colo28.ns271 S3FIFO-0.2000-1.9000 cache size    35335, 1961461 req, miss ratio 0.1017, byte miss ratio 0.1017
cdn1_colo28.ns271 S3FIFO-0.2000-1.9000 cache size    70671, 1961461 req, miss ratio 0.0958, byte miss ratio 0.0958
cdn1_colo28.ns271 S3FIFO-0.2000-1.9000 cache size   141343, 1961461 req, miss ratio 0.0906, byte miss ratio 0.0906
cdn1_colo28.ns271 S3FIFO-0.1500-1.9000 cache size      176, 1961461 req, miss ratio 0.1752, byte miss ratio 0.1752
cdn1_colo28.ns271 S3FIFO-0.1500-1.9000 cache size      530, 1961461 req, miss ratio 0.1483, byte miss ratio 0.1483
cdn1_colo28.ns271 S3FIFO-0.1500-1.9000 cache size     1766, 1961461 req, miss ratio 0.1407, byte miss ratio 0.1407
cdn1_colo28.ns271 S3FIFO-0.1500-1.9000 cache size     5300, 1961461 req, miss ratio 0.1347, byte miss ratio 0.1347
cdn1_colo28.ns271 S3FIFO-0.1500-1.9000 cache size    17667, 1961461 req, miss ratio 0.1097, byte miss ratio 0.1097
cdn1_colo28.ns271 S3FIFO-0.1500-1.9000 cache size    35335, 1961461 req, miss ratio 0.1017, byte miss ratio 0.1017
cdn1_colo28.ns271 S3FIFO-0.1500-1.9000 cache size    70671, 1961461 req, miss ratio 0.0958, byte miss ratio 0.0958
cdn1_colo28.ns271 S3FIFO-0.1500-1.9000 cache size   141343, 1961461 req, miss ratio 0.0906, byte miss ratio 0.0906
cdn1_colo28.ns271 S3FIFO-0.3500-0.9000 cache size      176, 1961461 req, miss ratio 0.1890, byte miss ratio 0.1890
cdn1_colo28.ns271 S3FIFO-0.3500-0.9000 cache size      530, 1961461 req, miss ratio 0.1503, byte miss ratio 0.1503
cdn1_colo28.ns271 S3FIFO-0.3500-0.9000 cache size     1766, 1961461 req, miss ratio 0.1414, byte miss ratio 0.1414
cdn1_colo28.ns271 S3FIFO-0.3500-0.9000 cache size     5300, 1961461 req, miss ratio 0.1353, byte miss ratio 0.1353
cdn1_colo28.ns271 S3FIFO-0.3500-0.9000 cache size    17667, 1961461 req, miss ratio 0.1108, byte miss ratio 0.1108
