prn_1.IQI.bin S3FIFO-0.2000-1.9000 cache size    65207, 11233411 req, miss ratio 0.5766, byte miss ratio 0.5766
prn_1.IQI.bin S3FIFO-0.2000-1.9000 cache size   217357, 11233411 req, miss ratio 0.3985, byte miss ratio 0.3985
prn_1.IQI.bin S3FIFO-0.2000-1.9000 cache size   434715, 11233411 req, miss ratio 0.2671, byte miss ratio 0.2671
prn_1.IQI.bin S3FIFO-0.2000-1.9000 cache size   869430, 11233411 req, miss ratio 0.2049, byte miss ratio 0.2049
prn_1.IQI.bin S3FIFO-0.2000-1.9000 cache size  1738860, 11233411 req, miss ratio 0.1994, byte miss ratio 0.1994
prn_1.IQI.bin S3FIFO-0.6500-0.9000 cache size     2173, 11233411 req, miss ratio 0.7885, byte miss ratio 0.7885
prn_1.IQI.bin S3FIFO-0.6500-0.9000 cache size     6520, 11233411 req, miss ratio 0.7499, byte miss ratio 0.7499
prn_1.IQI.bin S3FIFO-0.6500-0.9000 cache size    21735, 11233411 req, miss ratio 0.7030, byte miss ratio 0.7030
prn_1.IQI.bin S3FIFO-0.6500-0.9000 cache size    65207, 11233411 req, miss ratio 0.6270, byte miss ratio 0.6270
prn_1.IQI.bin S3FIFO-0.6500-0.9000 cache size   217357, 11233411 req, miss ratio 0.4191, byte miss ratio 0.4191
prn_1.IQI.bin S3FIFO-0.6500-0.9000 cache size   434715, 11233411 req, miss ratio 0.3197, byte miss ratio 0.3197
prn_1.IQI.bin S3FIFO-0.6500-0.9000 cache size   869430, 11233411 req, miss ratio 0.2269, byte miss ratio 0.2269
prn_1.IQI.bin S3FIFO-0.6500-0.9000 cache size  1738860, 11233411 req, miss ratio 0.1994, byte miss ratio 0.1994
prn_1.IQI.bin S3FIFO-0.9000-0.9000 cache size     2173, 11233411 req, miss ratio 0.7869, byte miss ratio 0.7869
prn_1.IQI.bin S3FIFO-0.9000-0.9000 cache size     6520, 11233411 req, miss ratio 0.7563, byte miss ratio 0.7563
prn_1.IQI.bin S3FIFO-0.9000-0.9000 cache size    21735, 11233411 req, miss ratio 0.7143, byte miss ratio 0.7143
prn_1.IQI.bin S3FIFO-0.9000-0.9000 cache size    65207, 11233411 req, miss ratio 0.6380, byte miss ratio 0.6380
prn_1.IQI.bin S3FIFO-0.9000-0.9000 cache size   217357, 11233411 req, miss ratio 0.4476, byte miss ratio 0.4476
prn_1.IQI.bin S3FIFO-0.9000-0.9000 cache size   434715, 11233411 req, miss ratio 0.3497, byte miss ratio 0.3497
prn_1.IQI.bin S3FIFO-0.9000-0.9000 cache size   869430, 11233411 req, miss ratio 0.2481, byte miss ratio 0.2481
prn_1.IQI.bin S3FIFO-0.9000-0.9000 cache size  1738860, 11233411 req, miss ratio 0.2246, byte miss ratio 0.2246
prn_1.IQI.bin S3FIFO-0.9000-1.9000 cache size     2173, 11233411 req, miss ratio 0.7868, byte miss ratio 0.7868
