cdn1_colo28.ns2038 S3FIFO-0.0010-0.9000 cache size       68, 2557445 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns2038 S3FIFO-0.0010-0.9000 cache size      204, 2557445 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns2038 S3FIFO-0.0010-0.9000 cache size      682, 2557445 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns2038 S3FIFO-0.0010-0.9000 cache size     2048, 2557445 req, miss ratio 0.3387, byte miss ratio 0.3387
cdn1_colo28.ns2038 S3FIFO-0.0010-0.9000 cache size     6829, 2557445 req, miss ratio 0.0813, byte miss ratio 0.0813
cdn1_colo28.ns2038 S3FIFO-0.0010-0.9000 cache size    13658, 2557445 req, miss ratio 0.0422, byte miss ratio 0.0422
cdn1_colo28.ns2038 S3FIFO-0.0010-0.9000 cache size    27316, 2557445 req, miss ratio 0.0321, byte miss ratio 0.0321
cdn1_colo28.ns2038 S3FIFO-0.0010-0.9000 cache size    54632, 2557445 req, miss ratio 0.0269, byte miss ratio 0.0269
cdn1_colo28.ns2038 S3FIFO-0.7500-1.9000 cache size       68, 2557445 req, miss ratio 0.4881, byte miss ratio 0.4881
cdn1_colo28.ns2038 S3FIFO-0.7500-1.9000 cache size      204, 2557445 req, miss ratio 0.4639, byte miss ratio 0.4639
cdn1_colo28.ns2038 S3FIFO-0.7500-1.9000 cache size      682, 2557445 req, miss ratio 0.4376, byte miss ratio 0.4376
cdn1_colo28.ns2038 S3FIFO-0.7500-1.9000 cache size     2048, 2557445 req, miss ratio 0.3431, byte miss ratio 0.3431
cdn1_colo28.ns2038 S3FIFO-0.7500-1.9000 cache size     6829, 2557445 req, miss ratio 0.1340, byte miss ratio 0.1340
cdn1_colo28.ns2038 S3FIFO-0.7500-1.9000 cache size    13658, 2557445 req, miss ratio 0.0579, byte miss ratio 0.0579
cdn1_colo28.ns2038 S3FIFO-0.7500-1.9000 cache size    27316, 2557445 req, miss ratio 0.0345, byte miss ratio 0.0345
cdn1_colo28.ns2038 S3FIFO-0.7500-1.9000 cache size    54632, 2557445 req, miss ratio 0.0270, byte miss ratio 0.0270
cdn1_colo28.ns2038 S3FIFO-0.0100-0.9000 cache size       68, 2557445 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns2038 S3FIFO-0.0100-0.9000 cache size      204, 2557445 req, miss ratio 0.4851, byte miss ratio 0.4851
cdn1_colo28.ns2038 S3FIFO-0.0100-0.9000 cache size      682, 2557445 req, miss ratio 0.4309, byte miss ratio 0.4309
cdn1_colo28.ns2038 S3FIFO-0.0100-0.9000 cache size     2048, 2557445 req, miss ratio 0.3225, byte miss ratio 0.3225
cdn1_colo28.ns2038 S3FIFO-0.0100-0.9000 cache size     6829, 2557445 req, miss ratio 0.0809, byte miss ratio 0.0809
cdn1_colo28.ns2038 S3FIFO-0.0100-0.9000 cache size    13658, 2557445 req, miss ratio 0.0414, byte miss ratio 0.0414
cdn1_colo28.ns2038 S3FIFO-0.0100-0.9000 cache size    27316, 2557445 req, miss ratio 0.0314, byte miss ratio 0.0314
cdn1_colo28.ns2038 S3FIFO-0.0100-0.9000 cache size    54632, 2557445 req, miss ratio 0.0269, byte miss ratio 0.0269
cdn1_colo28.ns2038 S3FIFO-0.3000-1.9000 cache size       68, 2557445 req, miss ratio 0.4785, byte miss ratio 0.4785
cdn1_colo28.ns2038 S3FIFO-0.3000-1.9000 cache size      204, 2557445 req, miss ratio 0.4567, byte miss ratio 0.4567
cdn1_colo28.ns2038 S3FIFO-0.3000-1.9000 cache size      682, 2557445 req, miss ratio 0.4306, byte miss ratio 0.4306
cdn1_colo28.ns2038 S3FIFO-0.3000-1.9000 cache size     2048, 2557445 req, miss ratio 0.3305, byte miss ratio 0.3305
cdn1_colo28.ns2038 S3FIFO-0.3000-1.9000 cache size     6829, 2557445 req, miss ratio 0.1022, byte miss ratio 0.1022
cdn1_colo28.ns2038 S3FIFO-0.3000-1.9000 cache size    13658, 2557445 req, miss ratio 0.0439, byte miss ratio 0.0439
