io_traces.ns1 S3FIFO-0.1000-1.9000 cache size     1641, 22400000 req, miss ratio 0.2499, byte miss ratio 0.2499
io_traces.ns1 S3FIFO-0.1000-1.9000 cache size     4924, 22400000 req, miss ratio 0.2181, byte miss ratio 0.2181
io_traces.ns1 S3FIFO-0.1000-1.9000 cache size    16413, 22400000 req, miss ratio 0.1657, byte miss ratio 0.1657
io_traces.ns1 S3FIFO-0.1000-1.9000 cache size    49241, 22400000 req, miss ratio 0.1305, byte miss ratio 0.1305
io_traces.ns1 S3FIFO-0.1000-1.9000 cache size   164139, 22400000 req, miss ratio 0.0816, byte miss ratio 0.0816
io_traces.ns1 S3FIFO-0.1000-1.9000 cache size   328279, 22400000 req, miss ratio 0.0791, byte miss ratio 0.0791
io_traces.ns1 S3FIFO-0.1000-1.9000 cache size   656558, 22400000 req, miss ratio 0.0776, byte miss ratio 0.0776
io_traces.ns1 S3FIFO-0.1000-1.9000 cache size  1313117, 22400000 req, miss ratio 0.0736, byte miss ratio 0.0736
io_traces.ns1 S3FIFO-0.0010-1.9000 cache size     1641, 22400000 req, miss ratio 0.2693, byte miss ratio 0.2693
io_traces.ns1 S3FIFO-0.0010-1.9000 cache size     4924, 22400000 req, miss ratio 0.2453, byte miss ratio 0.2453
io_traces.ns1 S3FIFO-0.0010-1.9000 cache size    16413, 22400000 req, miss ratio 0.1922, byte miss ratio 0.1922
io_traces.ns1 S3FIFO-0.0010-1.9000 cache size    49241, 22400000 req, miss ratio 0.1497, byte miss ratio 0.1497
io_traces.ns1 S3FIFO-0.0010-1.9000 cache size   164139, 22400000 req, miss ratio 0.1045, byte miss ratio 0.1045
io_traces.ns1 S3FIFO-0.0010-1.9000 cache size   328279, 22400000 req, miss ratio 0.0976, byte miss ratio 0.0976
io_traces.ns1 S3FIFO-0.0010-1.9000 cache size   656558, 22400000 req, miss ratio 0.0873, byte miss ratio 0.0873
io_traces.ns1 S3FIFO-0.0010-1.9000 cache size  1313117, 22400000 req, miss ratio 0.0736, byte miss ratio 0.0736
io_traces.ns1 S3FIFO-0.0250-1.9000 cache size     1641, 22400000 req, miss ratio 0.2565, byte miss ratio 0.2565
io_traces.ns1 S3FIFO-0.0250-1.9000 cache size     4924, 22400000 req, miss ratio 0.2233, byte miss ratio 0.2233
io_traces.ns1 S3FIFO-0.0250-1.9000 cache size    16413, 22400000 req, miss ratio 0.1698, byte miss ratio 0.1698
io_traces.ns1 S3FIFO-0.0250-1.9000 cache size    49241, 22400000 req, miss ratio 0.1394, byte miss ratio 0.1394
io_traces.ns1 S3FIFO-0.0250-1.9000 cache size   164139, 22400000 req, miss ratio 0.0902, byte miss ratio 0.0902
io_traces.ns1 S3FIFO-0.0250-1.9000 cache size   328279, 22400000 req, miss ratio 0.0824, byte miss ratio 0.0824
io_traces.ns1 S3FIFO-0.0250-1.9000 cache size   656558, 22400000 req, miss ratio 0.0781, byte miss ratio 0.0781
io_traces.ns1 S3FIFO-0.0250-1.9000 cache size  1313117, 22400000 req, miss ratio 0.0736, byte miss ratio 0.0736
io_traces.ns1 S3FIFO-0.6000-1.9000 cache size     1641, 22400000 req, miss ratio 0.3261, byte miss ratio 0.3261
io_traces.ns1 S3FIFO-0.6000-1.9000 cache size     4924, 22400000 req, miss ratio 0.2210, byte miss ratio 0.2210
io_traces.ns1 S3FIFO-0.6000-1.9000 cache size    16413, 22400000 req, miss ratio 0.1668, byte miss ratio 0.1668
io_traces.ns1 S3FIFO-0.6000-1.9000 cache size    49241, 22400000 req, miss ratio 0.1177, byte miss ratio 0.1177
