tencentBlock.ns3874 S3FIFO-0.3000-0.9000 cache size       59, 2067527 req, miss ratio 0.3472, byte miss ratio 0.3472
tencentBlock.ns3874 S3FIFO-0.3000-0.9000 cache size      179, 2067527 req, miss ratio 0.1979, byte miss ratio 0.1979
tencentBlock.ns3874 S3FIFO-0.3000-0.9000 cache size      598, 2067527 req, miss ratio 0.1207, byte miss ratio 0.1207
tencentBlock.ns3874 S3FIFO-0.3000-0.9000 cache size     1796, 2067527 req, miss ratio 0.0973, byte miss ratio 0.0973
tencentBlock.ns3874 S3FIFO-0.3000-0.9000 cache size     5987, 2067527 req, miss ratio 0.0786, byte miss ratio 0.0786
tencentBlock.ns3874 S3FIFO-0.3000-0.9000 cache size    11975, 2067527 req, miss ratio 0.0659, byte miss ratio 0.0659
tencentBlock.ns3874 S3FIFO-0.3000-0.9000 cache size    23950, 2067527 req, miss ratio 0.0456, byte miss ratio 0.0456
tencentBlock.ns3874 S3FIFO-0.3000-0.9000 cache size    47900, 2067527 req, miss ratio 0.0295, byte miss ratio 0.0295
tencentBlock.ns3874 S3FIFO-0.0500-1.9000 cache size       59, 2067527 req, miss ratio 0.3316, byte miss ratio 0.3316
tencentBlock.ns3874 S3FIFO-0.0500-1.9000 cache size      179, 2067527 req, miss ratio 0.1993, byte miss ratio 0.1993
tencentBlock.ns3874 S3FIFO-0.0500-1.9000 cache size      598, 2067527 req, miss ratio 0.1192, byte miss ratio 0.1192
tencentBlock.ns3874 S3FIFO-0.0500-1.9000 cache size     1796, 2067527 req, miss ratio 0.0978, byte miss ratio 0.0978
tencentBlock.ns3874 S3FIFO-0.0500-1.9000 cache size     5987, 2067527 req, miss ratio 0.0766, byte miss ratio 0.0766
tencentBlock.ns3874 S3FIFO-0.0500-1.9000 cache size    11975, 2067527 req, miss ratio 0.0645, byte miss ratio 0.0645
tencentBlock.ns3874 S3FIFO-0.0500-1.9000 cache size    23950, 2067527 req, miss ratio 0.0434, byte miss ratio 0.0434
tencentBlock.ns3874 S3FIFO-0.0500-1.9000 cache size    47900, 2067527 req, miss ratio 0.0293, byte miss ratio 0.0293
tencentBlock.ns3874 S3FIFO-0.4500-1.9000 cache size       59, 2067527 req, miss ratio 0.3820, byte miss ratio 0.3820
tencentBlock.ns3874 S3FIFO-0.4500-1.9000 cache size      179, 2067527 req, miss ratio 0.2091, byte miss ratio 0.2091
tencentBlock.ns3874 S3FIFO-0.4500-1.9000 cache size      598, 2067527 req, miss ratio 0.1249, byte miss ratio 0.1249
