cdn1_allcolo.ns4301 S3FIFO-0.0050-1.9000 cache size     1013, 4082189 req, miss ratio 0.6652, byte miss ratio 0.6652
cdn1_allcolo.ns4301 S3FIFO-0.0050-1.9000 cache size     3041, 4082189 req, miss ratio 0.5969, byte miss ratio 0.5969
cdn1_allcolo.ns4301 S3FIFO-0.0050-1.9000 cache size    10138, 4082189 req, miss ratio 0.5128, byte miss ratio 0.5128
cdn1_allcolo.ns4301 S3FIFO-0.0050-1.9000 cache size    30415, 4082189 req, miss ratio 0.4277, byte miss ratio 0.4277
cdn1_allcolo.ns4301 S3FIFO-0.0050-1.9000 cache size   101384, 4082189 req, miss ratio 0.3382, byte miss ratio 0.3382
cdn1_allcolo.ns4301 S3FIFO-0.0050-1.9000 cache size   202769, 4082189 req, miss ratio 0.2990, byte miss ratio 0.2990
cdn1_allcolo.ns4301 S3FIFO-0.0050-1.9000 cache size   405538, 4082189 req, miss ratio 0.2684, byte miss ratio 0.2684
cdn1_allcolo.ns4301 S3FIFO-0.0050-1.9000 cache size   811077, 4082189 req, miss ratio 0.2503, byte miss ratio 0.2503
cdn1_allcolo.ns4301 S3FIFO-0.3000-1.9000 cache size     1013, 4082189 req, miss ratio 0.5911, byte miss ratio 0.5911
cdn1_allcolo.ns4301 S3FIFO-0.3000-1.9000 cache size     3041, 4082189 req, miss ratio 0.5172, byte miss ratio 0.5172
cdn1_allcolo.ns4301 S3FIFO-0.3000-1.9000 cache size    10138, 4082189 req, miss ratio 0.4547, byte miss ratio 0.4547
cdn1_allcolo.ns4301 S3FIFO-0.3000-1.9000 cache size    30415, 4082189 req, miss ratio 0.4004, byte miss ratio 0.4004
cdn1_allcolo.ns4301 S3FIFO-0.3000-1.9000 cache size   101384, 4082189 req, miss ratio 0.3362, byte miss ratio 0.3362
cdn1_allcolo.ns4301 S3FIFO-0.3000-1.9000 cache size   202769, 4082189 req, miss ratio 0.2997, byte miss ratio 0.2997
cdn1_allcolo.ns4301 S3FIFO-0.3000-1.9000 cache size   405538, 4082189 req, miss ratio 0.2694, byte miss ratio 0.2694
cdn1_allcolo.ns4301 S3FIFO-0.3000-1.9000 cache size   811077, 4082189 req, miss ratio 0.2503, byte miss ratio 0.2503
cdn1_allcolo.ns4301 S3FIFO-0.1000-0.9000 cache size     1013, 4082189 req, miss ratio 0.6188, byte miss ratio 0.6188
cdn1_allcolo.ns4301 S3FIFO-0.1000-0.9000 cache size     3041, 4082189 req, miss ratio 0.5378, byte miss ratio 0.5378
cdn1_allcolo.ns4301 S3FIFO-0.1000-0.9000 cache size    10138, 4082189 req, miss ratio 0.4615, byte miss ratio 0.4615
cdn1_allcolo.ns4301 S3FIFO-0.1000-0.9000 cache size    30415, 4082189 req, miss ratio 0.3978, byte miss ratio 0.3978
cdn1_allcolo.ns4301 S3FIFO-0.1000-0.9000 cache size   101384, 4082189 req, miss ratio 0.3312, byte miss ratio 0.3312
cdn1_allcolo.ns4301 S3FIFO-0.1000-0.9000 cache size   202769, 4082189 req, miss ratio 0.2978, byte miss ratio 0.2978
cdn1_allcolo.ns4301 S3FIFO-0.1000-0.9000 cache size   405538, 4082189 req, miss ratio 0.2685, byte miss ratio 0.2685
cdn1_allcolo.ns4301 S3FIFO-0.1000-0.9000 cache size   811077, 4082189 req, miss ratio 0.2503, byte miss ratio 0.2503
cdn1_allcolo.ns4301 S3FIFO-0.5000-1.9000 cache size     1013, 4082189 req, miss ratio 0.5865, byte miss ratio 0.5865
cdn1_allcolo.ns4301 S3FIFO-0.5000-1.9000 cache size     3041, 4082189 req, miss ratio 0.5157, byte miss ratio 0.5157
cdn1_allcolo.ns4301 S3FIFO-0.5000-1.9000 cache size    10138, 4082189 req, miss ratio 0.4589, byte miss ratio 0.4589
cdn1_allcolo.ns4301 S3FIFO-0.5000-1.9000 cache size    30415, 4082189 req, miss ratio 0.4081, byte miss ratio 0.4081
cdn1_allcolo.ns4301 S3FIFO-0.5000-1.9000 cache size   101384, 4082189 req, miss ratio 0.3447, byte miss ratio 0.3447
cdn1_allcolo.ns4301 S3FIFO-0.5000-1.9000 cache size   202769, 4082189 req, miss ratio 0.3056, byte miss ratio 0.3056
cdn1_allcolo.ns4301 S3FIFO-0.5000-1.9000 cache size   405538, 4082189 req, miss ratio 0.2714, byte miss ratio 0.2714
cdn1_allcolo.ns4301 S3FIFO-0.5000-1.9000 cache size   811077, 4082189 req, miss ratio 0.2503, byte miss ratio 0.2503
cdn1_allcolo.ns4301 S3FIFO-0.1500-0.9000 cache size     1013, 4082189 req, miss ratio 0.6091, byte miss ratio 0.6091
cdn1_allcolo.ns4301 S3FIFO-0.1500-0.9000 cache size     3041, 4082189 req, miss ratio 0.5291, byte miss ratio 0.5291
cdn1_allcolo.ns4301 S3FIFO-0.1500-0.9000 cache size    10138, 4082189 req, miss ratio 0.4574, byte miss ratio 0.4574
cdn1_allcolo.ns4301 S3FIFO-0.1500-0.9000 cache size    30415, 4082189 req, miss ratio 0.3972, byte miss ratio 0.3972
cdn1_allcolo.ns4301 S3FIFO-0.1500-0.9000 cache size   101384, 4082189 req, miss ratio 0.3318, byte miss ratio 0.3318
cdn1_allcolo.ns4301 S3FIFO-0.1500-0.9000 cache size   202769, 4082189 req, miss ratio 0.2981, byte miss ratio 0.2981
cdn1_allcolo.ns4301 S3FIFO-0.1500-0.9000 cache size   405538, 4082189 req, miss ratio 0.2686, byte miss ratio 0.2686
cdn1_allcolo.ns4301 S3FIFO-0.1500-0.9000 cache size   811077, 4082189 req, miss ratio 0.2503, byte miss ratio 0.2503
cdn1_allcolo.ns4301 S3FIFO-0.3500-0.9000 cache size     1013, 4082189 req, miss ratio 0.5902, byte miss ratio 0.5902
