cdn1_allcolo.ns893 S3FIFO-0.7500-0.9000 cache size        5, 1018244 req, miss ratio 0.7901, byte miss ratio 0.7901
cdn1_allcolo.ns893 S3FIFO-0.7500-0.9000 cache size       18, 1018244 req, miss ratio 0.6477, byte miss ratio 0.6477
cdn1_allcolo.ns893 S3FIFO-0.7500-0.9000 cache size       54, 1018244 req, miss ratio 0.4394, byte miss ratio 0.4394
cdn1_allcolo.ns893 S3FIFO-0.7500-0.9000 cache size      182, 1018244 req, miss ratio 0.1372, byte miss ratio 0.1372
cdn1_allcolo.ns893 S3FIFO-0.7500-0.9000 cache size      364, 1018244 req, miss ratio 0.0395, byte miss ratio 0.0395
cdn1_allcolo.ns893 S3FIFO-0.7500-0.9000 cache size      728, 1018244 req, miss ratio 0.0074, byte miss ratio 0.0074
cdn1_allcolo.ns893 S3FIFO-0.7500-0.9000 cache size     1456, 1018244 req, miss ratio 0.0023, byte miss ratio 0.0023
cdn1_allcolo.ns893 S3FIFO-0.2500-0.9000 cache size        5, 1018244 req, miss ratio 0.7331, byte miss ratio 0.7331
cdn1_allcolo.ns893 S3FIFO-0.2500-0.9000 cache size       18, 1018244 req, miss ratio 0.5756, byte miss ratio 0.5756
cdn1_allcolo.ns893 S3FIFO-0.2500-0.9000 cache size       54, 1018244 req, miss ratio 0.3660, byte miss ratio 0.3660
cdn1_allcolo.ns893 S3FIFO-0.2500-0.9000 cache size      182, 1018244 req, miss ratio 0.1014, byte miss ratio 0.1014
cdn1_allcolo.ns893 S3FIFO-0.2500-0.9000 cache size      364, 1018244 req, miss ratio 0.0266, byte miss ratio 0.0266
cdn1_allcolo.ns893 S3FIFO-0.2500-0.9000 cache size      728, 1018244 req, miss ratio 0.0047, byte miss ratio 0.0047
cdn1_allcolo.ns893 S3FIFO-0.2500-0.9000 cache size     1456, 1018244 req, miss ratio 0.0019, byte miss ratio 0.0019
cdn1_allcolo.ns893 S3FIFO-0.1500-0.9000 cache size        5, 1018244 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns893 S3FIFO-0.1500-0.9000 cache size       18, 1018244 req, miss ratio 0.5629, byte miss ratio 0.5629
