tencentBlock.ns11345 S3FIFO-0.6000-0.9000 cache size      474, 4301528 req, miss ratio 0.5152, byte miss ratio 0.5152
tencentBlock.ns11345 S3FIFO-0.6000-0.9000 cache size     1424, 4301528 req, miss ratio 0.4159, byte miss ratio 0.4159
tencentBlock.ns11345 S3FIFO-0.6000-0.9000 cache size     4746, 4301528 req, miss ratio 0.3037, byte miss ratio 0.3037
tencentBlock.ns11345 S3FIFO-0.6000-0.9000 cache size    14240, 4301528 req, miss ratio 0.2822, byte miss ratio 0.2822
tencentBlock.ns11345 S3FIFO-0.6000-0.9000 cache size    47469, 4301528 req, miss ratio 0.2227, byte miss ratio 0.2227
tencentBlock.ns11345 S3FIFO-0.6000-0.9000 cache size    94938, 4301528 req, miss ratio 0.1786, byte miss ratio 0.1786
tencentBlock.ns11345 S3FIFO-0.6000-0.9000 cache size   189877, 4301528 req, miss ratio 0.1283, byte miss ratio 0.1283
tencentBlock.ns11345 S3FIFO-0.6000-0.9000 cache size   379755, 4301528 req, miss ratio 0.1117, byte miss ratio 0.1117
tencentBlock.ns11345 S3FIFO-0.7500-0.9000 cache size      474, 4301528 req, miss ratio 0.5352, byte miss ratio 0.5352
tencentBlock.ns11345 S3FIFO-0.7500-0.9000 cache size     1424, 4301528 req, miss ratio 0.4325, byte miss ratio 0.4325
tencentBlock.ns11345 S3FIFO-0.7500-0.9000 cache size     4746, 4301528 req, miss ratio 0.3163, byte miss ratio 0.3163
tencentBlock.ns11345 S3FIFO-0.7500-0.9000 cache size    14240, 4301528 req, miss ratio 0.2838, byte miss ratio 0.2838
tencentBlock.ns11345 S3FIFO-0.7500-0.9000 cache size    47469, 4301528 req, miss ratio 0.2242, byte miss ratio 0.2242
tencentBlock.ns11345 S3FIFO-0.7500-0.9000 cache size    94938, 4301528 req, miss ratio 0.1754, byte miss ratio 0.1754
tencentBlock.ns11345 S3FIFO-0.7500-0.9000 cache size   189877, 4301528 req, miss ratio 0.1341, byte miss ratio 0.1341
tencentBlock.ns11345 S3FIFO-0.7500-0.9000 cache size   379755, 4301528 req, miss ratio 0.1126, byte miss ratio 0.1126
tencentBlock.ns11345 S3FIFO-0.3500-0.9000 cache size      474, 4301528 req, miss ratio 0.5084, byte miss ratio 0.5084
tencentBlock.ns11345 S3FIFO-0.3500-0.9000 cache size     1424, 4301528 req, miss ratio 0.3830, byte miss ratio 0.3830
tencentBlock.ns11345 S3FIFO-0.3500-0.9000 cache size     4746, 4301528 req, miss ratio 0.3027, byte miss ratio 0.3027
tencentBlock.ns11345 S3FIFO-0.3500-0.9000 cache size    14240, 4301528 req, miss ratio 0.2714, byte miss ratio 0.2714
tencentBlock.ns11345 S3FIFO-0.3500-0.9000 cache size    47469, 4301528 req, miss ratio 0.2223, byte miss ratio 0.2223
tencentBlock.ns11345 S3FIFO-0.3500-0.9000 cache size    94938, 4301528 req, miss ratio 0.1755, byte miss ratio 0.1755
tencentBlock.ns11345 S3FIFO-0.3500-0.9000 cache size   189877, 4301528 req, miss ratio 0.1224, byte miss ratio 0.1224
tencentBlock.ns11345 S3FIFO-0.3500-0.9000 cache size   379755, 4301528 req, miss ratio 0.1114, byte miss ratio 0.1114
tencentBlock.ns11345 S3FIFO-0.0010-1.9000 cache size      474, 4301528 req, miss ratio 1.0000, byte miss ratio 1.0000
tencentBlock.ns11345 S3FIFO-0.0010-1.9000 cache size     1424, 4301528 req, miss ratio 0.4255, byte miss ratio 0.4255
tencentBlock.ns11345 S3FIFO-0.0010-1.9000 cache size     4746, 4301528 req, miss ratio 0.3547, byte miss ratio 0.3547
tencentBlock.ns11345 S3FIFO-0.0010-1.9000 cache size    14240, 4301528 req, miss ratio 0.2907, byte miss ratio 0.2907
tencentBlock.ns11345 S3FIFO-0.0010-1.9000 cache size    47469, 4301528 req, miss ratio 0.2339, byte miss ratio 0.2339
tencentBlock.ns11345 S3FIFO-0.0010-1.9000 cache size    94938, 4301528 req, miss ratio 0.1818, byte miss ratio 0.1818
tencentBlock.ns11345 S3FIFO-0.0010-1.9000 cache size   189877, 4301528 req, miss ratio 0.1340, byte miss ratio 0.1340
tencentBlock.ns11345 S3FIFO-0.0010-1.9000 cache size   379755, 4301528 req, miss ratio 0.1113, byte miss ratio 0.1113
tencentBlock.ns11345 S3FIFO-0.0100-0.9000 cache size      474, 4301528 req, miss ratio 0.5614, byte miss ratio 0.5614
tencentBlock.ns11345 S3FIFO-0.0100-0.9000 cache size     1424, 4301528 req, miss ratio 0.3811, byte miss ratio 0.3811
tencentBlock.ns11345 S3FIFO-0.0100-0.9000 cache size     4746, 4301528 req, miss ratio 0.3143, byte miss ratio 0.3143
tencentBlock.ns11345 S3FIFO-0.0100-0.9000 cache size    14240, 4301528 req, miss ratio 0.2741, byte miss ratio 0.2741
tencentBlock.ns11345 S3FIFO-0.0100-0.9000 cache size    47469, 4301528 req, miss ratio 0.2288, byte miss ratio 0.2288
tencentBlock.ns11345 S3FIFO-0.0100-0.9000 cache size    94938, 4301528 req, miss ratio 0.1758, byte miss ratio 0.1758
tencentBlock.ns11345 S3FIFO-0.0100-0.9000 cache size   189877, 4301528 req, miss ratio 0.1306, byte miss ratio 0.1306
tencentBlock.ns11345 S3FIFO-0.0100-0.9000 cache size   379755, 4301528 req, miss ratio 0.1113, byte miss ratio 0.1113
tencentBlock.ns11345 S3FIFO-0.6500-0.9000 cache size      474, 4301528 req, miss ratio 0.5203, byte miss ratio 0.5203
tencentBlock.ns11345 S3FIFO-0.6500-0.9000 cache size     1424, 4301528 req, miss ratio 0.4217, byte miss ratio 0.4217
tencentBlock.ns11345 S3FIFO-0.6500-0.9000 cache size     4746, 4301528 req, miss ratio 0.3047, byte miss ratio 0.3047
tencentBlock.ns11345 S3FIFO-0.6500-0.9000 cache size    14240, 4301528 req, miss ratio 0.2827, byte miss ratio 0.2827
tencentBlock.ns11345 S3FIFO-0.6500-0.9000 cache size    47469, 4301528 req, miss ratio 0.2229, byte miss ratio 0.2229
tencentBlock.ns11345 S3FIFO-0.6500-0.9000 cache size    94938, 4301528 req, miss ratio 0.1770, byte miss ratio 0.1770
tencentBlock.ns11345 S3FIFO-0.6500-0.9000 cache size   189877, 4301528 req, miss ratio 0.1300, byte miss ratio 0.1300
tencentBlock.ns11345 S3FIFO-0.6500-0.9000 cache size   379755, 4301528 req, miss ratio 0.1119, byte miss ratio 0.1119
tencentBlock.ns11345 S3FIFO-0.3500-1.9000 cache size      474, 4301528 req, miss ratio 0.5057, byte miss ratio 0.5057
tencentBlock.ns11345 S3FIFO-0.3500-1.9000 cache size     1424, 4301528 req, miss ratio 0.3844, byte miss ratio 0.3844
tencentBlock.ns11345 S3FIFO-0.3500-1.9000 cache size     4746, 4301528 req, miss ratio 0.3021, byte miss ratio 0.3021
tencentBlock.ns11345 S3FIFO-0.3500-1.9000 cache size    14240, 4301528 req, miss ratio 0.2758, byte miss ratio 0.2758
tencentBlock.ns11345 S3FIFO-0.3500-1.9000 cache size    47469, 4301528 req, miss ratio 0.2225, byte miss ratio 0.2225
tencentBlock.ns11345 S3FIFO-0.3500-1.9000 cache size    94938, 4301528 req, miss ratio 0.1755, byte miss ratio 0.1755
tencentBlock.ns11345 S3FIFO-0.3500-1.9000 cache size   189877, 4301528 req, miss ratio 0.1224, byte miss ratio 0.1224
tencentBlock.ns11345 S3FIFO-0.3500-1.9000 cache size   379755, 4301528 req, miss ratio 0.1114, byte miss ratio 0.1114
tencentBlock.ns11345 S3FIFO-0.0010-0.9000 cache size      474, 4301528 req, miss ratio 1.0000, byte miss ratio 1.0000
tencentBlock.ns11345 S3FIFO-0.0010-0.9000 cache size     1424, 4301528 req, miss ratio 0.4270, byte miss ratio 0.4270
tencentBlock.ns11345 S3FIFO-0.0010-0.9000 cache size     4746, 4301528 req, miss ratio 0.3566, byte miss ratio 0.3566
tencentBlock.ns11345 S3FIFO-0.0010-0.9000 cache size    14240, 4301528 req, miss ratio 0.2930, byte miss ratio 0.2930
tencentBlock.ns11345 S3FIFO-0.0010-0.9000 cache size    47469, 4301528 req, miss ratio 0.2339, byte miss ratio 0.2339
tencentBlock.ns11345 S3FIFO-0.0010-0.9000 cache size    94938, 4301528 req, miss ratio 0.1818, byte miss ratio 0.1818
tencentBlock.ns11345 S3FIFO-0.0010-0.9000 cache size   189877, 4301528 req, miss ratio 0.1340, byte miss ratio 0.1340
tencentBlock.ns11345 S3FIFO-0.0010-0.9000 cache size   379755, 4301528 req, miss ratio 0.1113, byte miss ratio 0.1113
tencentBlock.ns11345 S3FIFO-0.0050-0.9000 cache size      474, 4301528 req, miss ratio 0.5670, byte miss ratio 0.5670
tencentBlock.ns11345 S3FIFO-0.0050-0.9000 cache size     1424, 4301528 req, miss ratio 0.4011, byte miss ratio 0.4011
tencentBlock.ns11345 S3FIFO-0.0050-0.9000 cache size     4746, 4301528 req, miss ratio 0.3197, byte miss ratio 0.3197
tencentBlock.ns11345 S3FIFO-0.0050-0.9000 cache size    14240, 4301528 req, miss ratio 0.2762, byte miss ratio 0.2762
tencentBlock.ns11345 S3FIFO-0.0050-0.9000 cache size    47469, 4301528 req, miss ratio 0.2308, byte miss ratio 0.2308
tencentBlock.ns11345 S3FIFO-0.0050-0.9000 cache size    94938, 4301528 req, miss ratio 0.1769, byte miss ratio 0.1769
tencentBlock.ns11345 S3FIFO-0.0050-0.9000 cache size   189877, 4301528 req, miss ratio 0.1321, byte miss ratio 0.1321
tencentBlock.ns11345 S3FIFO-0.0050-0.9000 cache size   379755, 4301528 req, miss ratio 0.1113, byte miss ratio 0.1113
tencentBlock.ns11345 S3FIFO-0.8000-0.9000 cache size      474, 4301528 req, miss ratio 0.5458, byte miss ratio 0.5458
tencentBlock.ns11345 S3FIFO-0.8000-0.9000 cache size     1424, 4301528 req, miss ratio 0.4375, byte miss ratio 0.4375
tencentBlock.ns11345 S3FIFO-0.8000-0.9000 cache size     4746, 4301528 req, miss ratio 0.3258, byte miss ratio 0.3258
tencentBlock.ns11345 S3FIFO-0.8000-0.9000 cache size    14240, 4301528 req, miss ratio 0.2844, byte miss ratio 0.2844
tencentBlock.ns11345 S3FIFO-0.8000-0.9000 cache size    47469, 4301528 req, miss ratio 0.2260, byte miss ratio 0.2260
tencentBlock.ns11345 S3FIFO-0.8000-0.9000 cache size    94938, 4301528 req, miss ratio 0.1756, byte miss ratio 0.1756
tencentBlock.ns11345 S3FIFO-0.8000-0.9000 cache size   189877, 4301528 req, miss ratio 0.1354, byte miss ratio 0.1354
tencentBlock.ns11345 S3FIFO-0.8000-0.9000 cache size   379755, 4301528 req, miss ratio 0.1132, byte miss ratio 0.1132
tencentBlock.ns11345 S3FIFO-0.7000-0.9000 cache size      474, 4301528 req, miss ratio 0.5267, byte miss ratio 0.5267
tencentBlock.ns11345 S3FIFO-0.7000-0.9000 cache size     1424, 4301528 req, miss ratio 0.4272, byte miss ratio 0.4272
tencentBlock.ns11345 S3FIFO-0.7000-0.9000 cache size     4746, 4301528 req, miss ratio 0.3084, byte miss ratio 0.3084
tencentBlock.ns11345 S3FIFO-0.7000-0.9000 cache size    14240, 4301528 req, miss ratio 0.2833, byte miss ratio 0.2833
tencentBlock.ns11345 S3FIFO-0.7000-0.9000 cache size    47469, 4301528 req, miss ratio 0.2236, byte miss ratio 0.2236
tencentBlock.ns11345 S3FIFO-0.7000-0.9000 cache size    94938, 4301528 req, miss ratio 0.1756, byte miss ratio 0.1756
tencentBlock.ns11345 S3FIFO-0.7000-0.9000 cache size   189877, 4301528 req, miss ratio 0.1322, byte miss ratio 0.1322
tencentBlock.ns11345 S3FIFO-0.7000-0.9000 cache size   379755, 4301528 req, miss ratio 0.1122, byte miss ratio 0.1122
tencentBlock.ns11345 S3FIFO-0.5000-0.9000 cache size      474, 4301528 req, miss ratio 0.5103, byte miss ratio 0.5103
tencentBlock.ns11345 S3FIFO-0.5000-0.9000 cache size     1424, 4301528 req, miss ratio 0.4035, byte miss ratio 0.4035
tencentBlock.ns11345 S3FIFO-0.5000-0.9000 cache size     4746, 4301528 req, miss ratio 0.3030, byte miss ratio 0.3030
tencentBlock.ns11345 S3FIFO-0.5000-0.9000 cache size    14240, 4301528 req, miss ratio 0.2804, byte miss ratio 0.2804
tencentBlock.ns11345 S3FIFO-0.5000-0.9000 cache size    47469, 4301528 req, miss ratio 0.2221, byte miss ratio 0.2221
tencentBlock.ns11345 S3FIFO-0.5000-0.9000 cache size    94938, 4301528 req, miss ratio 0.1785, byte miss ratio 0.1785
