cdn1_colo28.ns1478 S3FIFO-0.7500-1.9000 cache size        7, 1431329 req, miss ratio 0.7380, byte miss ratio 0.7380
cdn1_colo28.ns1478 S3FIFO-0.7500-1.9000 cache size       23, 1431329 req, miss ratio 0.5718, byte miss ratio 0.5718
cdn1_colo28.ns1478 S3FIFO-0.7500-1.9000 cache size       77, 1431329 req, miss ratio 0.4042, byte miss ratio 0.4042
cdn1_colo28.ns1478 S3FIFO-0.7500-1.9000 cache size      232, 1431329 req, miss ratio 0.2705, byte miss ratio 0.2705
cdn1_colo28.ns1478 S3FIFO-0.7500-1.9000 cache size      776, 1431329 req, miss ratio 0.1260, byte miss ratio 0.1260
cdn1_colo28.ns1478 S3FIFO-0.7500-1.9000 cache size     1553, 1431329 req, miss ratio 0.0589, byte miss ratio 0.0589
cdn1_colo28.ns1478 S3FIFO-0.7500-1.9000 cache size     3106, 1431329 req, miss ratio 0.0215, byte miss ratio 0.0215
cdn1_colo28.ns1478 S3FIFO-0.7500-1.9000 cache size     6212, 1431329 req, miss ratio 0.0071, byte miss ratio 0.0071
cdn1_colo28.ns1478 S3FIFO-0.8000-0.9000 cache size        7, 1431329 req, miss ratio 0.7300, byte miss ratio 0.7300
cdn1_colo28.ns1478 S3FIFO-0.8000-0.9000 cache size       23, 1431329 req, miss ratio 0.5750, byte miss ratio 0.5750
cdn1_colo28.ns1478 S3FIFO-0.8000-0.9000 cache size       77, 1431329 req, miss ratio 0.4101, byte miss ratio 0.4101
cdn1_colo28.ns1478 S3FIFO-0.8000-0.9000 cache size      232, 1431329 req, miss ratio 0.2751, byte miss ratio 0.2751
cdn1_colo28.ns1478 S3FIFO-0.8000-0.9000 cache size      776, 1431329 req, miss ratio 0.1312, byte miss ratio 0.1312
cdn1_colo28.ns1478 S3FIFO-0.8000-0.9000 cache size     1553, 1431329 req, miss ratio 0.0616, byte miss ratio 0.0616
cdn1_colo28.ns1478 S3FIFO-0.8000-0.9000 cache size     3106, 1431329 req, miss ratio 0.0223, byte miss ratio 0.0223
cdn1_colo28.ns1478 S3FIFO-0.8000-0.9000 cache size     6212, 1431329 req, miss ratio 0.0073, byte miss ratio 0.0073
cdn1_colo28.ns1478 S3FIFO-0.1000-1.9000 cache size        7, 1431329 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns1478 S3FIFO-0.1000-1.9000 cache size       23, 1431329 req, miss ratio 0.4768, byte miss ratio 0.4768
cdn1_colo28.ns1478 S3FIFO-0.1000-1.9000 cache size       77, 1431329 req, miss ratio 0.3349, byte miss ratio 0.3349
cdn1_colo28.ns1478 S3FIFO-0.1000-1.9000 cache size      232, 1431329 req, miss ratio 0.2241, byte miss ratio 0.2241
cdn1_colo28.ns1478 S3FIFO-0.1000-1.9000 cache size      776, 1431329 req, miss ratio 0.1002, byte miss ratio 0.1002
cdn1_colo28.ns1478 S3FIFO-0.1000-1.9000 cache size     1553, 1431329 req, miss ratio 0.0419, byte miss ratio 0.0419
cdn1_colo28.ns1478 S3FIFO-0.1000-1.9000 cache size     3106, 1431329 req, miss ratio 0.0140, byte miss ratio 0.0140
cdn1_colo28.ns1478 S3FIFO-0.1000-1.9000 cache size     6212, 1431329 req, miss ratio 0.0058, byte miss ratio 0.0058
cdn1_colo28.ns1478 S3FIFO-0.4000-0.9000 cache size        7, 1431329 req, miss ratio 0.6651, byte miss ratio 0.6651
cdn1_colo28.ns1478 S3FIFO-0.4000-0.9000 cache size       23, 1431329 req, miss ratio 0.5056, byte miss ratio 0.5056
cdn1_colo28.ns1478 S3FIFO-0.4000-0.9000 cache size       77, 1431329 req, miss ratio 0.3513, byte miss ratio 0.3513
cdn1_colo28.ns1478 S3FIFO-0.4000-0.9000 cache size      232, 1431329 req, miss ratio 0.2386, byte miss ratio 0.2386
cdn1_colo28.ns1478 S3FIFO-0.4000-0.9000 cache size      776, 1431329 req, miss ratio 0.1104, byte miss ratio 0.1104
cdn1_colo28.ns1478 S3FIFO-0.4000-0.9000 cache size     1553, 1431329 req, miss ratio 0.0493, byte miss ratio 0.0493
cdn1_colo28.ns1478 S3FIFO-0.4000-0.9000 cache size     3106, 1431329 req, miss ratio 0.0170, byte miss ratio 0.0170
cdn1_colo28.ns1478 S3FIFO-0.4000-0.9000 cache size     6212, 1431329 req, miss ratio 0.0061, byte miss ratio 0.0061
cdn1_colo28.ns1478 S3FIFO-0.4500-1.9000 cache size        7, 1431329 req, miss ratio 0.6913, byte miss ratio 0.6913
cdn1_colo28.ns1478 S3FIFO-0.4500-1.9000 cache size       23, 1431329 req, miss ratio 0.5192, byte miss ratio 0.5192
cdn1_colo28.ns1478 S3FIFO-0.4500-1.9000 cache size       77, 1431329 req, miss ratio 0.3626, byte miss ratio 0.3626
cdn1_colo28.ns1478 S3FIFO-0.4500-1.9000 cache size      232, 1431329 req, miss ratio 0.2470, byte miss ratio 0.2470
cdn1_colo28.ns1478 S3FIFO-0.4500-1.9000 cache size      776, 1431329 req, miss ratio 0.1127, byte miss ratio 0.1127
cdn1_colo28.ns1478 S3FIFO-0.4500-1.9000 cache size     1553, 1431329 req, miss ratio 0.0503, byte miss ratio 0.0503
cdn1_colo28.ns1478 S3FIFO-0.4500-1.9000 cache size     3106, 1431329 req, miss ratio 0.0175, byte miss ratio 0.0175
cdn1_colo28.ns1478 S3FIFO-0.4500-1.9000 cache size     6212, 1431329 req, miss ratio 0.0062, byte miss ratio 0.0062
cdn1_colo28.ns1478 S3FIFO-0.9000-0.9000 cache size        7, 1431329 req, miss ratio 0.7594, byte miss ratio 0.7594
cdn1_colo28.ns1478 S3FIFO-0.9000-0.9000 cache size       23, 1431329 req, miss ratio 0.5952, byte miss ratio 0.5952
cdn1_colo28.ns1478 S3FIFO-0.9000-0.9000 cache size       77, 1431329 req, miss ratio 0.4304, byte miss ratio 0.4304
cdn1_colo28.ns1478 S3FIFO-0.9000-0.9000 cache size      232, 1431329 req, miss ratio 0.2876, byte miss ratio 0.2876
cdn1_colo28.ns1478 S3FIFO-0.9000-0.9000 cache size      776, 1431329 req, miss ratio 0.1371, byte miss ratio 0.1371
cdn1_colo28.ns1478 S3FIFO-0.9000-0.9000 cache size     1553, 1431329 req, miss ratio 0.0653, byte miss ratio 0.0653
cdn1_colo28.ns1478 S3FIFO-0.9000-0.9000 cache size     3106, 1431329 req, miss ratio 0.0240, byte miss ratio 0.0240
cdn1_colo28.ns1478 S3FIFO-0.9000-0.9000 cache size     6212, 1431329 req, miss ratio 0.0077, byte miss ratio 0.0077
cdn1_colo28.ns1478 S3FIFO-0.3000-0.9000 cache size        7, 1431329 req, miss ratio 0.6651, byte miss ratio 0.6651
cdn1_colo28.ns1478 S3FIFO-0.3000-0.9000 cache size       23, 1431329 req, miss ratio 0.4881, byte miss ratio 0.4881
cdn1_colo28.ns1478 S3FIFO-0.3000-0.9000 cache size       77, 1431329 req, miss ratio 0.3433, byte miss ratio 0.3433
cdn1_colo28.ns1478 S3FIFO-0.3000-0.9000 cache size      232, 1431329 req, miss ratio 0.2311, byte miss ratio 0.2311
cdn1_colo28.ns1478 S3FIFO-0.3000-0.9000 cache size      776, 1431329 req, miss ratio 0.1058, byte miss ratio 0.1058
cdn1_colo28.ns1478 S3FIFO-0.3000-0.9000 cache size     1553, 1431329 req, miss ratio 0.0464, byte miss ratio 0.0464
