tencentBlock.ns1933 S3FIFO-0.2000-1.9000 cache size     2385, 57097820 req, miss ratio 0.7747, byte miss ratio 0.7747
tencentBlock.ns1933 S3FIFO-0.2000-1.9000 cache size     7155, 57097820 req, miss ratio 0.6682, byte miss ratio 0.6682
tencentBlock.ns1933 S3FIFO-0.2000-1.9000 cache size    23851, 57097820 req, miss ratio 0.5446, byte miss ratio 0.5446
tencentBlock.ns1933 S3FIFO-0.2000-1.9000 cache size    71553, 57097820 req, miss ratio 0.4239, byte miss ratio 0.4239
tencentBlock.ns1933 S3FIFO-0.2000-1.9000 cache size   238510, 57097820 req, miss ratio 0.2115, byte miss ratio 0.2115
tencentBlock.ns1933 S3FIFO-0.2000-1.9000 cache size   477021, 57097820 req, miss ratio 0.1158, byte miss ratio 0.1158
tencentBlock.ns1933 S3FIFO-0.2000-1.9000 cache size   954042, 57097820 req, miss ratio 0.0549, byte miss ratio 0.0549
tencentBlock.ns1933 S3FIFO-0.2000-1.9000 cache size  1908085, 57097820 req, miss ratio 0.0427, byte miss ratio 0.0427
tencentBlock.ns1933 S3FIFO-0.0100-1.9000 cache size     2385, 57097820 req, miss ratio 0.7854, byte miss ratio 0.7854
tencentBlock.ns1933 S3FIFO-0.0100-1.9000 cache size     7155, 57097820 req, miss ratio 0.7044, byte miss ratio 0.7044
tencentBlock.ns1933 S3FIFO-0.0100-1.9000 cache size    23851, 57097820 req, miss ratio 0.5889, byte miss ratio 0.5889
tencentBlock.ns1933 S3FIFO-0.0100-1.9000 cache size    71553, 57097820 req, miss ratio 0.4377, byte miss ratio 0.4377
tencentBlock.ns1933 S3FIFO-0.0100-1.9000 cache size   238510, 57097820 req, miss ratio 0.2153, byte miss ratio 0.2153
tencentBlock.ns1933 S3FIFO-0.0100-1.9000 cache size   477021, 57097820 req, miss ratio 0.1204, byte miss ratio 0.1204
tencentBlock.ns1933 S3FIFO-0.0100-1.9000 cache size   954042, 57097820 req, miss ratio 0.0567, byte miss ratio 0.0567
tencentBlock.ns1933 S3FIFO-0.0100-1.9000 cache size  1908085, 57097820 req, miss ratio 0.0430, byte miss ratio 0.0430
tencentBlock.ns1933 S3FIFO-0.3500-1.9000 cache size     2385, 57097820 req, miss ratio 0.7725, byte miss ratio 0.7725
tencentBlock.ns1933 S3FIFO-0.3500-1.9000 cache size     7155, 57097820 req, miss ratio 0.6607, byte miss ratio 0.6607
tencentBlock.ns1933 S3FIFO-0.3500-1.9000 cache size    23851, 57097820 req, miss ratio 0.5438, byte miss ratio 0.5438
tencentBlock.ns1933 S3FIFO-0.3500-1.9000 cache size    71553, 57097820 req, miss ratio 0.4308, byte miss ratio 0.4308
tencentBlock.ns1933 S3FIFO-0.3500-1.9000 cache size   238510, 57097820 req, miss ratio 0.2137, byte miss ratio 0.2137
tencentBlock.ns1933 S3FIFO-0.3500-1.9000 cache size   477021, 57097820 req, miss ratio 0.1197, byte miss ratio 0.1197
tencentBlock.ns1933 S3FIFO-0.3500-1.9000 cache size   954042, 57097820 req, miss ratio 0.0577, byte miss ratio 0.0577
tencentBlock.ns1933 S3FIFO-0.3500-1.9000 cache size  1908085, 57097820 req, miss ratio 0.0427, byte miss ratio 0.0427
tencentBlock.ns1933 S3FIFO-0.9000-0.9000 cache size     2385, 57097820 req, miss ratio 0.7937, byte miss ratio 0.7937
tencentBlock.ns1933 S3FIFO-0.9000-0.9000 cache size     7155, 57097820 req, miss ratio 0.6828, byte miss ratio 0.6828
tencentBlock.ns1933 S3FIFO-0.9000-0.9000 cache size    23851, 57097820 req, miss ratio 0.5761, byte miss ratio 0.5761
tencentBlock.ns1933 S3FIFO-0.9000-0.9000 cache size    71553, 57097820 req, miss ratio 0.4553, byte miss ratio 0.4553
tencentBlock.ns1933 S3FIFO-0.9000-0.9000 cache size   238510, 57097820 req, miss ratio 0.2455, byte miss ratio 0.2455
tencentBlock.ns1933 S3FIFO-0.9000-0.9000 cache size   477021, 57097820 req, miss ratio 0.1496, byte miss ratio 0.1496
tencentBlock.ns1933 S3FIFO-0.9000-0.9000 cache size   954042, 57097820 req, miss ratio 0.0735, byte miss ratio 0.0735
tencentBlock.ns1933 S3FIFO-0.9000-0.9000 cache size  1908085, 57097820 req, miss ratio 0.0466, byte miss ratio 0.0466
tencentBlock.ns1933 S3FIFO-0.8000-1.9000 cache size     2385, 57097820 req, miss ratio 0.7877, byte miss ratio 0.7877
tencentBlock.ns1933 S3FIFO-0.8000-1.9000 cache size     7155, 57097820 req, miss ratio 0.6758, byte miss ratio 0.6758
tencentBlock.ns1933 S3FIFO-0.8000-1.9000 cache size    23851, 57097820 req, miss ratio 0.5686, byte miss ratio 0.5686
tencentBlock.ns1933 S3FIFO-0.8000-1.9000 cache size    71553, 57097820 req, miss ratio 0.4478, byte miss ratio 0.4478
tencentBlock.ns1933 S3FIFO-0.8000-1.9000 cache size   238510, 57097820 req, miss ratio 0.2386, byte miss ratio 0.2386
tencentBlock.ns1933 S3FIFO-0.8000-1.9000 cache size   477021, 57097820 req, miss ratio 0.1423, byte miss ratio 0.1423
tencentBlock.ns1933 S3FIFO-0.8000-1.9000 cache size   954042, 57097820 req, miss ratio 0.0700, byte miss ratio 0.0700
tencentBlock.ns1933 S3FIFO-0.8000-1.9000 cache size  1908085, 57097820 req, miss ratio 0.0444, byte miss ratio 0.0444
tencentBlock.ns1933 S3FIFO-0.9900-0.9000 cache size     2385, 57097820 req, miss ratio 0.7991, byte miss ratio 0.7991
tencentBlock.ns1933 S3FIFO-0.9900-0.9000 cache size     7155, 57097820 req, miss ratio 0.6925, byte miss ratio 0.6925
tencentBlock.ns1933 S3FIFO-0.9900-0.9000 cache size    23851, 57097820 req, miss ratio 0.5888, byte miss ratio 0.5888
tencentBlock.ns1933 S3FIFO-0.9900-0.9000 cache size    71553, 57097820 req, miss ratio 0.4666, byte miss ratio 0.4666
tencentBlock.ns1933 S3FIFO-0.9900-0.9000 cache size   238510, 57097820 req, miss ratio 0.2523, byte miss ratio 0.2523
tencentBlock.ns1933 S3FIFO-0.9900-0.9000 cache size   477021, 57097820 req, miss ratio 0.1547, byte miss ratio 0.1547
tencentBlock.ns1933 S3FIFO-0.9900-0.9000 cache size   954042, 57097820 req, miss ratio 0.0768, byte miss ratio 0.0768
tencentBlock.ns1933 S3FIFO-0.9900-0.9000 cache size  1908085, 57097820 req, miss ratio 0.0488, byte miss ratio 0.0488
tencentBlock.ns1933 S3FIFO-0.5000-0.9000 cache size     2385, 57097820 req, miss ratio 0.7738, byte miss ratio 0.7738
