cdn1_allcolo.ns3302 S3FIFO-0.5500-1.9000 cache size        7, 1008475 req, miss ratio 0.0357, byte miss ratio 0.0357
cdn1_allcolo.ns3302 S3FIFO-0.5500-1.9000 cache size       25, 1008475 req, miss ratio 0.0279, byte miss ratio 0.0279
cdn1_allcolo.ns3302 S3FIFO-0.5500-1.9000 cache size       77, 1008475 req, miss ratio 0.0205, byte miss ratio 0.0205
cdn1_allcolo.ns3302 S3FIFO-0.5500-1.9000 cache size      258, 1008475 req, miss ratio 0.0136, byte miss ratio 0.0136
cdn1_allcolo.ns3302 S3FIFO-0.5500-1.9000 cache size      517, 1008475 req, miss ratio 0.0090, byte miss ratio 0.0090
cdn1_allcolo.ns3302 S3FIFO-0.5500-1.9000 cache size     1035, 1008475 req, miss ratio 0.0045, byte miss ratio 0.0045
cdn1_allcolo.ns3302 S3FIFO-0.5500-1.9000 cache size     2071, 1008475 req, miss ratio 0.0027, byte miss ratio 0.0027
cdn1_allcolo.ns3302 S3FIFO-0.0100-0.9000 cache size        7, 1008475 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns3302 S3FIFO-0.0100-0.9000 cache size       25, 1008475 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns3302 S3FIFO-0.0100-0.9000 cache size       77, 1008475 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns3302 S3FIFO-0.0100-0.9000 cache size      258, 1008475 req, miss ratio 0.0114, byte miss ratio 0.0114
cdn1_allcolo.ns3302 S3FIFO-0.0100-0.9000 cache size      517, 1008475 req, miss ratio 0.0073, byte miss ratio 0.0073
cdn1_allcolo.ns3302 S3FIFO-0.0100-0.9000 cache size     1035, 1008475 req, miss ratio 0.0037, byte miss ratio 0.0037
cdn1_allcolo.ns3302 S3FIFO-0.0100-0.9000 cache size     2071, 1008475 req, miss ratio 0.0026, byte miss ratio 0.0026
cdn1_allcolo.ns3302 S3FIFO-0.9900-0.9000 cache size        7, 1008475 req, miss ratio 0.0424, byte miss ratio 0.0424
cdn1_allcolo.ns3302 S3FIFO-0.9900-0.9000 cache size       25, 1008475 req, miss ratio 0.0329, byte miss ratio 0.0329
cdn1_allcolo.ns3302 S3FIFO-0.9900-0.9000 cache size       77, 1008475 req, miss ratio 0.0246, byte miss ratio 0.0246
cdn1_allcolo.ns3302 S3FIFO-0.9900-0.9000 cache size      258, 1008475 req, miss ratio 0.0156, byte miss ratio 0.0156
cdn1_allcolo.ns3302 S3FIFO-0.9900-0.9000 cache size      517, 1008475 req, miss ratio 0.0103, byte miss ratio 0.0103
cdn1_allcolo.ns3302 S3FIFO-0.9900-0.9000 cache size     1035, 1008475 req, miss ratio 0.0057, byte miss ratio 0.0057
