tencentBlock.ns16497 S3FIFO-0.5000-1.9000 cache size      319, 2039283 req, miss ratio 0.5076, byte miss ratio 0.5076
tencentBlock.ns16497 S3FIFO-0.5000-1.9000 cache size      958, 2039283 req, miss ratio 0.5031, byte miss ratio 0.5031
tencentBlock.ns16497 S3FIFO-0.5000-1.9000 cache size     3195, 2039283 req, miss ratio 0.4997, byte miss ratio 0.4997
tencentBlock.ns16497 S3FIFO-0.5000-1.9000 cache size     9586, 2039283 req, miss ratio 0.4818, byte miss ratio 0.4818
tencentBlock.ns16497 S3FIFO-0.5000-1.9000 cache size    31955, 2039283 req, miss ratio 0.4582, byte miss ratio 0.4582
tencentBlock.ns16497 S3FIFO-0.5000-1.9000 cache size    63910, 2039283 req, miss ratio 0.4234, byte miss ratio 0.4234
tencentBlock.ns16497 S3FIFO-0.5000-1.9000 cache size   127820, 2039283 req, miss ratio 0.2409, byte miss ratio 0.2409
tencentBlock.ns16497 S3FIFO-0.5000-1.9000 cache size   255641, 2039283 req, miss ratio 0.1593, byte miss ratio 0.1593
tencentBlock.ns16497 S3FIFO-0.7000-1.9000 cache size      319, 2039283 req, miss ratio 0.5110, byte miss ratio 0.5110
tencentBlock.ns16497 S3FIFO-0.7000-1.9000 cache size      958, 2039283 req, miss ratio 0.5040, byte miss ratio 0.5040
tencentBlock.ns16497 S3FIFO-0.7000-1.9000 cache size     3195, 2039283 req, miss ratio 0.4990, byte miss ratio 0.4990
tencentBlock.ns16497 S3FIFO-0.7000-1.9000 cache size     9586, 2039283 req, miss ratio 0.4952, byte miss ratio 0.4952
tencentBlock.ns16497 S3FIFO-0.7000-1.9000 cache size    31955, 2039283 req, miss ratio 0.4614, byte miss ratio 0.4614
tencentBlock.ns16497 S3FIFO-0.7000-1.9000 cache size    63910, 2039283 req, miss ratio 0.4183, byte miss ratio 0.4183
tencentBlock.ns16497 S3FIFO-0.7000-1.9000 cache size   127820, 2039283 req, miss ratio 0.2569, byte miss ratio 0.2569
tencentBlock.ns16497 S3FIFO-0.7000-1.9000 cache size   255641, 2039283 req, miss ratio 0.1662, byte miss ratio 0.1662
tencentBlock.ns16497 S3FIFO-0.1500-1.9000 cache size      319, 2039283 req, miss ratio 0.5084, byte miss ratio 0.5084
tencentBlock.ns16497 S3FIFO-0.1500-1.9000 cache size      958, 2039283 req, miss ratio 0.5029, byte miss ratio 0.5029
tencentBlock.ns16497 S3FIFO-0.1500-1.9000 cache size     3195, 2039283 req, miss ratio 0.5002, byte miss ratio 0.5002
tencentBlock.ns16497 S3FIFO-0.1500-1.9000 cache size     9586, 2039283 req, miss ratio 0.4778, byte miss ratio 0.4778
tencentBlock.ns16497 S3FIFO-0.1500-1.9000 cache size    31955, 2039283 req, miss ratio 0.4530, byte miss ratio 0.4530
tencentBlock.ns16497 S3FIFO-0.1500-1.9000 cache size    63910, 2039283 req, miss ratio 0.3833, byte miss ratio 0.3833
tencentBlock.ns16497 S3FIFO-0.1500-1.9000 cache size   127820, 2039283 req, miss ratio 0.2027, byte miss ratio 0.2027
tencentBlock.ns16497 S3FIFO-0.1500-1.9000 cache size   255641, 2039283 req, miss ratio 0.1578, byte miss ratio 0.1578
tencentBlock.ns16497 S3FIFO-0.1500-0.9000 cache size      319, 2039283 req, miss ratio 0.5089, byte miss ratio 0.5089
