cdn1_allcolo.ns619 S3FIFO-0.9500-1.9000 cache size       49, 3418619 req, miss ratio 0.0569, byte miss ratio 0.0569
cdn1_allcolo.ns619 S3FIFO-0.9500-1.9000 cache size      149, 3418619 req, miss ratio 0.0320, byte miss ratio 0.0320
cdn1_allcolo.ns619 S3FIFO-0.9500-1.9000 cache size      499, 3418619 req, miss ratio 0.0235, byte miss ratio 0.0235
cdn1_allcolo.ns619 S3FIFO-0.9500-1.9000 cache size     1497, 3418619 req, miss ratio 0.0208, byte miss ratio 0.0208
cdn1_allcolo.ns619 S3FIFO-0.9500-1.9000 cache size     4992, 3418619 req, miss ratio 0.0196, byte miss ratio 0.0196
cdn1_allcolo.ns619 S3FIFO-0.9500-1.9000 cache size     9984, 3418619 req, miss ratio 0.0181, byte miss ratio 0.0181
cdn1_allcolo.ns619 S3FIFO-0.9500-1.9000 cache size    19969, 3418619 req, miss ratio 0.0163, byte miss ratio 0.0163
cdn1_allcolo.ns619 S3FIFO-0.9500-1.9000 cache size    39939, 3418619 req, miss ratio 0.0149, byte miss ratio 0.0149
cdn1_allcolo.ns619 S3FIFO-0.4000-0.9000 cache size       49, 3418619 req, miss ratio 0.0381, byte miss ratio 0.0381
cdn1_allcolo.ns619 S3FIFO-0.4000-0.9000 cache size      149, 3418619 req, miss ratio 0.0227, byte miss ratio 0.0227
cdn1_allcolo.ns619 S3FIFO-0.4000-0.9000 cache size      499, 3418619 req, miss ratio 0.0204, byte miss ratio 0.0204
cdn1_allcolo.ns619 S3FIFO-0.4000-0.9000 cache size     1497, 3418619 req, miss ratio 0.0196, byte miss ratio 0.0196
cdn1_allcolo.ns619 S3FIFO-0.4000-0.9000 cache size     4992, 3418619 req, miss ratio 0.0177, byte miss ratio 0.0177
cdn1_allcolo.ns619 S3FIFO-0.4000-0.9000 cache size     9984, 3418619 req, miss ratio 0.0162, byte miss ratio 0.0162
cdn1_allcolo.ns619 S3FIFO-0.4000-0.9000 cache size    19969, 3418619 req, miss ratio 0.0151, byte miss ratio 0.0151
cdn1_allcolo.ns619 S3FIFO-0.4000-0.9000 cache size    39939, 3418619 req, miss ratio 0.0146, byte miss ratio 0.0146
cdn1_allcolo.ns619 S3FIFO-0.3500-1.9000 cache size       49, 3418619 req, miss ratio 0.0372, byte miss ratio 0.0372
cdn1_allcolo.ns619 S3FIFO-0.3500-1.9000 cache size      149, 3418619 req, miss ratio 0.0224, byte miss ratio 0.0224
cdn1_allcolo.ns619 S3FIFO-0.3500-1.9000 cache size      499, 3418619 req, miss ratio 0.0204, byte miss ratio 0.0204
cdn1_allcolo.ns619 S3FIFO-0.3500-1.9000 cache size     1497, 3418619 req, miss ratio 0.0195, byte miss ratio 0.0195
cdn1_allcolo.ns619 S3FIFO-0.3500-1.9000 cache size     4992, 3418619 req, miss ratio 0.0176, byte miss ratio 0.0176
cdn1_allcolo.ns619 S3FIFO-0.3500-1.9000 cache size     9984, 3418619 req, miss ratio 0.0161, byte miss ratio 0.0161
cdn1_allcolo.ns619 S3FIFO-0.3500-1.9000 cache size    19969, 3418619 req, miss ratio 0.0151, byte miss ratio 0.0151
cdn1_allcolo.ns619 S3FIFO-0.3500-1.9000 cache size    39939, 3418619 req, miss ratio 0.0146, byte miss ratio 0.0146
cdn1_allcolo.ns619 S3FIFO-0.3000-0.9000 cache size       49, 3418619 req, miss ratio 0.0351, byte miss ratio 0.0351
cdn1_allcolo.ns619 S3FIFO-0.3000-0.9000 cache size      149, 3418619 req, miss ratio 0.0222, byte miss ratio 0.0222
