io_traces.ns454 S3FIFO-0.1500-1.9000 cache size      125, 1400000 req, miss ratio 0.7273, byte miss ratio 0.7273
io_traces.ns454 S3FIFO-0.1500-1.9000 cache size      376, 1400000 req, miss ratio 0.7085, byte miss ratio 0.7085
io_traces.ns454 S3FIFO-0.1500-1.9000 cache size     1256, 1400000 req, miss ratio 0.6504, byte miss ratio 0.6504
io_traces.ns454 S3FIFO-0.1500-1.9000 cache size     3769, 1400000 req, miss ratio 0.5472, byte miss ratio 0.5472
io_traces.ns454 S3FIFO-0.1500-1.9000 cache size    12566, 1400000 req, miss ratio 0.4973, byte miss ratio 0.4973
io_traces.ns454 S3FIFO-0.1500-1.9000 cache size    25132, 1400000 req, miss ratio 0.3442, byte miss ratio 0.3442
io_traces.ns454 S3FIFO-0.1500-1.9000 cache size    50265, 1400000 req, miss ratio 0.1112, byte miss ratio 0.1112
io_traces.ns454 S3FIFO-0.1500-1.9000 cache size   100530, 1400000 req, miss ratio 0.0899, byte miss ratio 0.0899
io_traces.ns454 S3FIFO-0.2000-0.9000 cache size      125, 1400000 req, miss ratio 0.7308, byte miss ratio 0.7308
io_traces.ns454 S3FIFO-0.2000-0.9000 cache size      376, 1400000 req, miss ratio 0.7115, byte miss ratio 0.7115
io_traces.ns454 S3FIFO-0.2000-0.9000 cache size     1256, 1400000 req, miss ratio 0.6530, byte miss ratio 0.6530
io_traces.ns454 S3FIFO-0.2000-0.9000 cache size     3769, 1400000 req, miss ratio 0.5556, byte miss ratio 0.5556
io_traces.ns454 S3FIFO-0.2000-0.9000 cache size    12566, 1400000 req, miss ratio 0.4472, byte miss ratio 0.4472
io_traces.ns454 S3FIFO-0.2000-0.9000 cache size    25132, 1400000 req, miss ratio 0.3562, byte miss ratio 0.3562
io_traces.ns454 S3FIFO-0.2000-0.9000 cache size    50265, 1400000 req, miss ratio 0.1186, byte miss ratio 0.1186
io_traces.ns454 S3FIFO-0.2000-0.9000 cache size   100530, 1400000 req, miss ratio 0.0899, byte miss ratio 0.0899
io_traces.ns454 S3FIFO-0.5000-0.9000 cache size      125, 1400000 req, miss ratio 0.7491, byte miss ratio 0.7491
io_traces.ns454 S3FIFO-0.5000-0.9000 cache size      376, 1400000 req, miss ratio 0.7106, byte miss ratio 0.7106
io_traces.ns454 S3FIFO-0.5000-0.9000 cache size     1256, 1400000 req, miss ratio 0.6750, byte miss ratio 0.6750
io_traces.ns454 S3FIFO-0.5000-0.9000 cache size     3769, 1400000 req, miss ratio 0.5944, byte miss ratio 0.5944
io_traces.ns454 S3FIFO-0.5000-0.9000 cache size    12566, 1400000 req, miss ratio 0.4769, byte miss ratio 0.4769
