tencentBlock.ns3122 S3FIFO-0.7500-0.9000 cache size       80, 1931922 req, miss ratio 0.4063, byte miss ratio 0.4063
tencentBlock.ns3122 S3FIFO-0.7500-0.9000 cache size      240, 1931922 req, miss ratio 0.2715, byte miss ratio 0.2715
tencentBlock.ns3122 S3FIFO-0.7500-0.9000 cache size      801, 1931922 req, miss ratio 0.2407, byte miss ratio 0.2407
tencentBlock.ns3122 S3FIFO-0.7500-0.9000 cache size     2404, 1931922 req, miss ratio 0.2287, byte miss ratio 0.2287
tencentBlock.ns3122 S3FIFO-0.7500-0.9000 cache size     8014, 1931922 req, miss ratio 0.1825, byte miss ratio 0.1825
tencentBlock.ns3122 S3FIFO-0.7500-0.9000 cache size    16028, 1931922 req, miss ratio 0.1745, byte miss ratio 0.1745
tencentBlock.ns3122 S3FIFO-0.7500-0.9000 cache size    32056, 1931922 req, miss ratio 0.1359, byte miss ratio 0.1359
tencentBlock.ns3122 S3FIFO-0.7500-0.9000 cache size    64112, 1931922 req, miss ratio 0.0615, byte miss ratio 0.0615
tencentBlock.ns3122 S3FIFO-0.0010-0.9000 cache size       80, 1931922 req, miss ratio 1.0000, byte miss ratio 1.0000
tencentBlock.ns3122 S3FIFO-0.0010-0.9000 cache size      240, 1931922 req, miss ratio 1.0000, byte miss ratio 1.0000
tencentBlock.ns3122 S3FIFO-0.0010-0.9000 cache size      801, 1931922 req, miss ratio 1.0000, byte miss ratio 1.0000
tencentBlock.ns3122 S3FIFO-0.0010-0.9000 cache size     2404, 1931922 req, miss ratio 0.2244, byte miss ratio 0.2244
tencentBlock.ns3122 S3FIFO-0.0010-0.9000 cache size     8014, 1931922 req, miss ratio 0.1860, byte miss ratio 0.1860
tencentBlock.ns3122 S3FIFO-0.0010-0.9000 cache size    16028, 1931922 req, miss ratio 0.1675, byte miss ratio 0.1675
tencentBlock.ns3122 S3FIFO-0.0010-0.9000 cache size    32056, 1931922 req, miss ratio 0.1214, byte miss ratio 0.1214
tencentBlock.ns3122 S3FIFO-0.0010-0.9000 cache size    64112, 1931922 req, miss ratio 0.0528, byte miss ratio 0.0528
tencentBlock.ns3122 S3FIFO-0.6000-0.9000 cache size       80, 1931922 req, miss ratio 0.3621, byte miss ratio 0.3621
tencentBlock.ns3122 S3FIFO-0.6000-0.9000 cache size      240, 1931922 req, miss ratio 0.2606, byte miss ratio 0.2606
tencentBlock.ns3122 S3FIFO-0.6000-0.9000 cache size      801, 1931922 req, miss ratio 0.2368, byte miss ratio 0.2368
tencentBlock.ns3122 S3FIFO-0.6000-0.9000 cache size     2404, 1931922 req, miss ratio 0.2175, byte miss ratio 0.2175
tencentBlock.ns3122 S3FIFO-0.6000-0.9000 cache size     8014, 1931922 req, miss ratio 0.1806, byte miss ratio 0.1806
tencentBlock.ns3122 S3FIFO-0.6000-0.9000 cache size    16028, 1931922 req, miss ratio 0.1720, byte miss ratio 0.1720
tencentBlock.ns3122 S3FIFO-0.6000-0.9000 cache size    32056, 1931922 req, miss ratio 0.1438, byte miss ratio 0.1438
tencentBlock.ns3122 S3FIFO-0.6000-0.9000 cache size    64112, 1931922 req, miss ratio 0.0606, byte miss ratio 0.0606
tencentBlock.ns3122 S3FIFO-0.2500-1.9000 cache size       80, 1931922 req, miss ratio 0.3134, byte miss ratio 0.3134
tencentBlock.ns3122 S3FIFO-0.2500-1.9000 cache size      240, 1931922 req, miss ratio 0.2489, byte miss ratio 0.2489
tencentBlock.ns3122 S3FIFO-0.2500-1.9000 cache size      801, 1931922 req, miss ratio 0.2324, byte miss ratio 0.2324
tencentBlock.ns3122 S3FIFO-0.2500-1.9000 cache size     2404, 1931922 req, miss ratio 0.1886, byte miss ratio 0.1886
tencentBlock.ns3122 S3FIFO-0.2500-1.9000 cache size     8014, 1931922 req, miss ratio 0.1791, byte miss ratio 0.1791
tencentBlock.ns3122 S3FIFO-0.2500-1.9000 cache size    16028, 1931922 req, miss ratio 0.1739, byte miss ratio 0.1739
tencentBlock.ns3122 S3FIFO-0.2500-1.9000 cache size    32056, 1931922 req, miss ratio 0.1519, byte miss ratio 0.1519
tencentBlock.ns3122 S3FIFO-0.2500-1.9000 cache size    64112, 1931922 req, miss ratio 0.0565, byte miss ratio 0.0565
tencentBlock.ns3122 S3FIFO-0.9500-0.9000 cache size       80, 1931922 req, miss ratio 0.4707, byte miss ratio 0.4707
tencentBlock.ns3122 S3FIFO-0.9500-0.9000 cache size      240, 1931922 req, miss ratio 0.3141, byte miss ratio 0.3141
tencentBlock.ns3122 S3FIFO-0.9500-0.9000 cache size      801, 1931922 req, miss ratio 0.2598, byte miss ratio 0.2598
tencentBlock.ns3122 S3FIFO-0.9500-0.9000 cache size     2404, 1931922 req, miss ratio 0.2396, byte miss ratio 0.2396
tencentBlock.ns3122 S3FIFO-0.9500-0.9000 cache size     8014, 1931922 req, miss ratio 0.1997, byte miss ratio 0.1997
tencentBlock.ns3122 S3FIFO-0.9500-0.9000 cache size    16028, 1931922 req, miss ratio 0.1838, byte miss ratio 0.1838
tencentBlock.ns3122 S3FIFO-0.9500-0.9000 cache size    32056, 1931922 req, miss ratio 0.1366, byte miss ratio 0.1366
tencentBlock.ns3122 S3FIFO-0.9500-0.9000 cache size    64112, 1931922 req, miss ratio 0.0628, byte miss ratio 0.0628
tencentBlock.ns3122 S3FIFO-0.4500-1.9000 cache size       80, 1931922 req, miss ratio 0.3361, byte miss ratio 0.3361
tencentBlock.ns3122 S3FIFO-0.4500-1.9000 cache size      240, 1931922 req, miss ratio 0.2569, byte miss ratio 0.2569
tencentBlock.ns3122 S3FIFO-0.4500-1.9000 cache size      801, 1931922 req, miss ratio 0.2334, byte miss ratio 0.2334
tencentBlock.ns3122 S3FIFO-0.4500-1.9000 cache size     2404, 1931922 req, miss ratio 0.2103, byte miss ratio 0.2103
tencentBlock.ns3122 S3FIFO-0.4500-1.9000 cache size     8014, 1931922 req, miss ratio 0.1789, byte miss ratio 0.1789
tencentBlock.ns3122 S3FIFO-0.4500-1.9000 cache size    16028, 1931922 req, miss ratio 0.1746, byte miss ratio 0.1746
tencentBlock.ns3122 S3FIFO-0.4500-1.9000 cache size    32056, 1931922 req, miss ratio 0.1633, byte miss ratio 0.1633
tencentBlock.ns3122 S3FIFO-0.4500-1.9000 cache size    64112, 1931922 req, miss ratio 0.0582, byte miss ratio 0.0582
tencentBlock.ns3122 S3FIFO-0.0100-1.9000 cache size       80, 1931922 req, miss ratio 1.0000, byte miss ratio 1.0000
tencentBlock.ns3122 S3FIFO-0.0100-1.9000 cache size      240, 1931922 req, miss ratio 0.2633, byte miss ratio 0.2633
tencentBlock.ns3122 S3FIFO-0.0100-1.9000 cache size      801, 1931922 req, miss ratio 0.2460, byte miss ratio 0.2460
tencentBlock.ns3122 S3FIFO-0.0100-1.9000 cache size     2404, 1931922 req, miss ratio 0.1892, byte miss ratio 0.1892
tencentBlock.ns3122 S3FIFO-0.0100-1.9000 cache size     8014, 1931922 req, miss ratio 0.1775, byte miss ratio 0.1775
tencentBlock.ns3122 S3FIFO-0.0100-1.9000 cache size    16028, 1931922 req, miss ratio 0.1739, byte miss ratio 0.1739
tencentBlock.ns3122 S3FIFO-0.0100-1.9000 cache size    32056, 1931922 req, miss ratio 0.1202, byte miss ratio 0.1202
tencentBlock.ns3122 S3FIFO-0.0100-1.9000 cache size    64112, 1931922 req, miss ratio 0.0525, byte miss ratio 0.0525
tencentBlock.ns3122 S3FIFO-0.6500-0.9000 cache size       80, 1931922 req, miss ratio 0.3768, byte miss ratio 0.3768
tencentBlock.ns3122 S3FIFO-0.6500-0.9000 cache size      240, 1931922 req, miss ratio 0.2630, byte miss ratio 0.2630
tencentBlock.ns3122 S3FIFO-0.6500-0.9000 cache size      801, 1931922 req, miss ratio 0.2376, byte miss ratio 0.2376
tencentBlock.ns3122 S3FIFO-0.6500-0.9000 cache size     2404, 1931922 req, miss ratio 0.2211, byte miss ratio 0.2211
tencentBlock.ns3122 S3FIFO-0.6500-0.9000 cache size     8014, 1931922 req, miss ratio 0.1811, byte miss ratio 0.1811
tencentBlock.ns3122 S3FIFO-0.6500-0.9000 cache size    16028, 1931922 req, miss ratio 0.1724, byte miss ratio 0.1724
tencentBlock.ns3122 S3FIFO-0.6500-0.9000 cache size    32056, 1931922 req, miss ratio 0.1397, byte miss ratio 0.1397
tencentBlock.ns3122 S3FIFO-0.6500-0.9000 cache size    64112, 1931922 req, miss ratio 0.0607, byte miss ratio 0.0607
tencentBlock.ns3122 S3FIFO-0.1000-0.9000 cache size       80, 1931922 req, miss ratio 0.3100, byte miss ratio 0.3100
tencentBlock.ns3122 S3FIFO-0.1000-0.9000 cache size      240, 1931922 req, miss ratio 0.2503, byte miss ratio 0.2503
tencentBlock.ns3122 S3FIFO-0.1000-0.9000 cache size      801, 1931922 req, miss ratio 0.2346, byte miss ratio 0.2346
tencentBlock.ns3122 S3FIFO-0.1000-0.9000 cache size     2404, 1931922 req, miss ratio 0.2100, byte miss ratio 0.2100
tencentBlock.ns3122 S3FIFO-0.1000-0.9000 cache size     8014, 1931922 req, miss ratio 0.1792, byte miss ratio 0.1792
