cdn1_allcolo.ns772 S3FIFO-0.3000-0.9000 cache size        9, 2205574 req, miss ratio 0.0480, byte miss ratio 0.0480
cdn1_allcolo.ns772 S3FIFO-0.3000-0.9000 cache size       29, 2205574 req, miss ratio 0.0058, byte miss ratio 0.0058
cdn1_allcolo.ns772 S3FIFO-0.3000-0.9000 cache size       99, 2205574 req, miss ratio 0.0016, byte miss ratio 0.0016
cdn1_allcolo.ns772 S3FIFO-0.3000-0.9000 cache size      199, 2205574 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns772 S3FIFO-0.3000-0.9000 cache size      399, 2205574 req, miss ratio 0.0005, byte miss ratio 0.0005
cdn1_allcolo.ns772 S3FIFO-0.3000-0.9000 cache size      798, 2205574 req, miss ratio 0.0005, byte miss ratio 0.0005
cdn1_allcolo.ns772 S3FIFO-0.8500-0.9000 cache size        9, 2205574 req, miss ratio 0.0712, byte miss ratio 0.0712
cdn1_allcolo.ns772 S3FIFO-0.8500-0.9000 cache size       29, 2205574 req, miss ratio 0.0087, byte miss ratio 0.0087
cdn1_allcolo.ns772 S3FIFO-0.8500-0.9000 cache size       99, 2205574 req, miss ratio 0.0021, byte miss ratio 0.0021
cdn1_allcolo.ns772 S3FIFO-0.8500-0.9000 cache size      199, 2205574 req, miss ratio 0.0010, byte miss ratio 0.0010
cdn1_allcolo.ns772 S3FIFO-0.8500-0.9000 cache size      399, 2205574 req, miss ratio 0.0006, byte miss ratio 0.0006
cdn1_allcolo.ns772 S3FIFO-0.8500-0.9000 cache size      798, 2205574 req, miss ratio 0.0005, byte miss ratio 0.0005
cdn1_allcolo.ns772 S3FIFO-0.7000-0.9000 cache size        9, 2205574 req, miss ratio 0.0671, byte miss ratio 0.0671
cdn1_allcolo.ns772 S3FIFO-0.7000-0.9000 cache size       29, 2205574 req, miss ratio 0.0077, byte miss ratio 0.0077
cdn1_allcolo.ns772 S3FIFO-0.7000-0.9000 cache size       99, 2205574 req, miss ratio 0.0020, byte miss ratio 0.0020
cdn1_allcolo.ns772 S3FIFO-0.7000-0.9000 cache size      199, 2205574 req, miss ratio 0.0009, byte miss ratio 0.0009
cdn1_allcolo.ns772 S3FIFO-0.7000-0.9000 cache size      399, 2205574 req, miss ratio 0.0006, byte miss ratio 0.0006
