cdn1_colo28.ns76 S3FIFO-0.0500-0.9000 cache size     1121, 10355237 req, miss ratio 0.1086, byte miss ratio 0.1086
cdn1_colo28.ns76 S3FIFO-0.0500-0.9000 cache size     3363, 10355237 req, miss ratio 0.1085, byte miss ratio 0.1085
cdn1_colo28.ns76 S3FIFO-0.0500-0.9000 cache size    11212, 10355237 req, miss ratio 0.1085, byte miss ratio 0.1085
cdn1_colo28.ns76 S3FIFO-0.0500-0.9000 cache size    33636, 10355237 req, miss ratio 0.1084, byte miss ratio 0.1084
cdn1_colo28.ns76 S3FIFO-0.0500-0.9000 cache size   112121, 10355237 req, miss ratio 0.1083, byte miss ratio 0.1083
cdn1_colo28.ns76 S3FIFO-0.0500-0.9000 cache size   224243, 10355237 req, miss ratio 0.1083, byte miss ratio 0.1083
cdn1_colo28.ns76 S3FIFO-0.0500-0.9000 cache size   448486, 10355237 req, miss ratio 0.1083, byte miss ratio 0.1083
cdn1_colo28.ns76 S3FIFO-0.0500-0.9000 cache size   896973, 10355237 req, miss ratio 0.1083, byte miss ratio 0.1083
cdn1_colo28.ns76 S3FIFO-0.6500-0.9000 cache size     1121, 10355237 req, miss ratio 0.1086, byte miss ratio 0.1086
cdn1_colo28.ns76 S3FIFO-0.6500-0.9000 cache size     3363, 10355237 req, miss ratio 0.1085, byte miss ratio 0.1085
cdn1_colo28.ns76 S3FIFO-0.6500-0.9000 cache size    11212, 10355237 req, miss ratio 0.1085, byte miss ratio 0.1085
cdn1_colo28.ns76 S3FIFO-0.6500-0.9000 cache size    33636, 10355237 req, miss ratio 0.1084, byte miss ratio 0.1084
cdn1_colo28.ns76 S3FIFO-0.6500-0.9000 cache size   112121, 10355237 req, miss ratio 0.1084, byte miss ratio 0.1084
cdn1_colo28.ns76 S3FIFO-0.6500-0.9000 cache size   224243, 10355237 req, miss ratio 0.1083, byte miss ratio 0.1083
cdn1_colo28.ns76 S3FIFO-0.6500-0.9000 cache size   448486, 10355237 req, miss ratio 0.1083, byte miss ratio 0.1083
cdn1_colo28.ns76 S3FIFO-0.6500-0.9000 cache size   896973, 10355237 req, miss ratio 0.1083, byte miss ratio 0.1083
cdn1_colo28.ns76 S3FIFO-0.5000-0.9000 cache size     1121, 10355237 req, miss ratio 0.1086, byte miss ratio 0.1086
cdn1_colo28.ns76 S3FIFO-0.5000-0.9000 cache size     3363, 10355237 req, miss ratio 0.1085, byte miss ratio 0.1085
cdn1_colo28.ns76 S3FIFO-0.5000-0.9000 cache size    11212, 10355237 req, miss ratio 0.1085, byte miss ratio 0.1085
cdn1_colo28.ns76 S3FIFO-0.5000-0.9000 cache size    33636, 10355237 req, miss ratio 0.1084, byte miss ratio 0.1084
cdn1_colo28.ns76 S3FIFO-0.5000-0.9000 cache size   112121, 10355237 req, miss ratio 0.1083, byte miss ratio 0.1083
cdn1_colo28.ns76 S3FIFO-0.5000-0.9000 cache size   224243, 10355237 req, miss ratio 0.1083, byte miss ratio 0.1083
cdn1_colo28.ns76 S3FIFO-0.5000-0.9000 cache size   448486, 10355237 req, miss ratio 0.1083, byte miss ratio 0.1083
cdn1_colo28.ns76 S3FIFO-0.5000-0.9000 cache size   896973, 10355237 req, miss ratio 0.1083, byte miss ratio 0.1083
cdn1_colo28.ns76 S3FIFO-0.0050-0.9000 cache size     1121, 10355237 req, miss ratio 0.1130, byte miss ratio 0.1130
cdn1_colo28.ns76 S3FIFO-0.0050-0.9000 cache size     3363, 10355237 req, miss ratio 0.1088, byte miss ratio 0.1088
cdn1_colo28.ns76 S3FIFO-0.0050-0.9000 cache size    11212, 10355237 req, miss ratio 0.1085, byte miss ratio 0.1085
cdn1_colo28.ns76 S3FIFO-0.0050-0.9000 cache size    33636, 10355237 req, miss ratio 0.1084, byte miss ratio 0.1084
cdn1_colo28.ns76 S3FIFO-0.0050-0.9000 cache size   112121, 10355237 req, miss ratio 0.1083, byte miss ratio 0.1083
cdn1_colo28.ns76 S3FIFO-0.0050-0.9000 cache size   224243, 10355237 req, miss ratio 0.1083, byte miss ratio 0.1083
cdn1_colo28.ns76 S3FIFO-0.0050-0.9000 cache size   448486, 10355237 req, miss ratio 0.1083, byte miss ratio 0.1083
cdn1_colo28.ns76 S3FIFO-0.0050-0.9000 cache size   896973, 10355237 req, miss ratio 0.1083, byte miss ratio 0.1083
cdn1_colo28.ns76 S3FIFO-0.9000-0.9000 cache size     1121, 10355237 req, miss ratio 0.1089, byte miss ratio 0.1089
cdn1_colo28.ns76 S3FIFO-0.9000-0.9000 cache size     3363, 10355237 req, miss ratio 0.1086, byte miss ratio 0.1086
cdn1_colo28.ns76 S3FIFO-0.9000-0.9000 cache size    11212, 10355237 req, miss ratio 0.1085, byte miss ratio 0.1085
cdn1_colo28.ns76 S3FIFO-0.9000-0.9000 cache size    33636, 10355237 req, miss ratio 0.1084, byte miss ratio 0.1084
cdn1_colo28.ns76 S3FIFO-0.9000-0.9000 cache size   112121, 10355237 req, miss ratio 0.1084, byte miss ratio 0.1084
cdn1_colo28.ns76 S3FIFO-0.9000-0.9000 cache size   224243, 10355237 req, miss ratio 0.1083, byte miss ratio 0.1083
