tencentBlock.ns16417 S3FIFO-0.0250-1.9000 cache size      201, 1600881 req, miss ratio 0.5062, byte miss ratio 0.5062
tencentBlock.ns16417 S3FIFO-0.0250-1.9000 cache size      605, 1600881 req, miss ratio 0.4701, byte miss ratio 0.4701
tencentBlock.ns16417 S3FIFO-0.0250-1.9000 cache size     2017, 1600881 req, miss ratio 0.3883, byte miss ratio 0.3883
tencentBlock.ns16417 S3FIFO-0.0250-1.9000 cache size     6051, 1600881 req, miss ratio 0.3770, byte miss ratio 0.3770
tencentBlock.ns16417 S3FIFO-0.0250-1.9000 cache size    20171, 1600881 req, miss ratio 0.3312, byte miss ratio 0.3312
tencentBlock.ns16417 S3FIFO-0.0250-1.9000 cache size    40343, 1600881 req, miss ratio 0.2843, byte miss ratio 0.2843
tencentBlock.ns16417 S3FIFO-0.0250-1.9000 cache size    80686, 1600881 req, miss ratio 0.1626, byte miss ratio 0.1626
tencentBlock.ns16417 S3FIFO-0.0250-1.9000 cache size   161372, 1600881 req, miss ratio 0.1265, byte miss ratio 0.1265
tencentBlock.ns16417 S3FIFO-0.4000-0.9000 cache size      201, 1600881 req, miss ratio 0.4801, byte miss ratio 0.4801
tencentBlock.ns16417 S3FIFO-0.4000-0.9000 cache size      605, 1600881 req, miss ratio 0.4636, byte miss ratio 0.4636
tencentBlock.ns16417 S3FIFO-0.4000-0.9000 cache size     2017, 1600881 req, miss ratio 0.4046, byte miss ratio 0.4046
tencentBlock.ns16417 S3FIFO-0.4000-0.9000 cache size     6051, 1600881 req, miss ratio 0.3798, byte miss ratio 0.3798
tencentBlock.ns16417 S3FIFO-0.4000-0.9000 cache size    20171, 1600881 req, miss ratio 0.3422, byte miss ratio 0.3422
tencentBlock.ns16417 S3FIFO-0.4000-0.9000 cache size    40343, 1600881 req, miss ratio 0.3007, byte miss ratio 0.3007
tencentBlock.ns16417 S3FIFO-0.4000-0.9000 cache size    80686, 1600881 req, miss ratio 0.1853, byte miss ratio 0.1853
tencentBlock.ns16417 S3FIFO-0.4000-0.9000 cache size   161372, 1600881 req, miss ratio 0.1265, byte miss ratio 0.1265
tencentBlock.ns16417 S3FIFO-0.6500-1.9000 cache size      201, 1600881 req, miss ratio 0.5067, byte miss ratio 0.5067
tencentBlock.ns16417 S3FIFO-0.6500-1.9000 cache size      605, 1600881 req, miss ratio 0.4670, byte miss ratio 0.4670
tencentBlock.ns16417 S3FIFO-0.6500-1.9000 cache size     2017, 1600881 req, miss ratio 0.4290, byte miss ratio 0.4290
tencentBlock.ns16417 S3FIFO-0.6500-1.9000 cache size     6051, 1600881 req, miss ratio 0.3814, byte miss ratio 0.3814
tencentBlock.ns16417 S3FIFO-0.6500-1.9000 cache size    20171, 1600881 req, miss ratio 0.3720, byte miss ratio 0.3720
tencentBlock.ns16417 S3FIFO-0.6500-1.9000 cache size    40343, 1600881 req, miss ratio 0.3087, byte miss ratio 0.3087
tencentBlock.ns16417 S3FIFO-0.6500-1.9000 cache size    80686, 1600881 req, miss ratio 0.2080, byte miss ratio 0.2080
tencentBlock.ns16417 S3FIFO-0.6500-1.9000 cache size   161372, 1600881 req, miss ratio 0.1331, byte miss ratio 0.1331
tencentBlock.ns16417 S3FIFO-0.3500-0.9000 cache size      201, 1600881 req, miss ratio 0.4812, byte miss ratio 0.4812
