cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.1000-0.9000 cache size    24282, 2252816 req, miss ratio 0.0138, byte miss ratio 0.0138
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.6500-0.9000 cache size       30, 2252816 req, miss ratio 0.0791, byte miss ratio 0.0791
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.6500-0.9000 cache size       91, 2252816 req, miss ratio 0.0670, byte miss ratio 0.0670
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.6500-0.9000 cache size      303, 2252816 req, miss ratio 0.0515, byte miss ratio 0.0515
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.6500-0.9000 cache size      910, 2252816 req, miss ratio 0.0395, byte miss ratio 0.0395
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.6500-0.9000 cache size     3035, 2252816 req, miss ratio 0.0321, byte miss ratio 0.0321
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.6500-0.9000 cache size     6070, 2252816 req, miss ratio 0.0252, byte miss ratio 0.0252
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.6500-0.9000 cache size    12141, 2252816 req, miss ratio 0.0192, byte miss ratio 0.0192
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.6500-0.9000 cache size    24282, 2252816 req, miss ratio 0.0142, byte miss ratio 0.0142
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.0050-0.9000 cache size       30, 2252816 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.0050-0.9000 cache size       91, 2252816 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.0050-0.9000 cache size      303, 2252816 req, miss ratio 0.0462, byte miss ratio 0.0462
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.0050-0.9000 cache size      910, 2252816 req, miss ratio 0.0383, byte miss ratio 0.0383
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.0050-0.9000 cache size     3035, 2252816 req, miss ratio 0.0284, byte miss ratio 0.0284
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.0050-0.9000 cache size     6070, 2252816 req, miss ratio 0.0229, byte miss ratio 0.0229
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.0050-0.9000 cache size    12141, 2252816 req, miss ratio 0.0178, byte miss ratio 0.0178
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.0050-0.9000 cache size    24282, 2252816 req, miss ratio 0.0138, byte miss ratio 0.0138
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.2000-1.9000 cache size       30, 2252816 req, miss ratio 0.0780, byte miss ratio 0.0780
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.2000-1.9000 cache size       91, 2252816 req, miss ratio 0.0652, byte miss ratio 0.0652
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.2000-1.9000 cache size      303, 2252816 req, miss ratio 0.0456, byte miss ratio 0.0456
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.2000-1.9000 cache size      910, 2252816 req, miss ratio 0.0384, byte miss ratio 0.0384
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.2000-1.9000 cache size     3035, 2252816 req, miss ratio 0.0293, byte miss ratio 0.0293
