cdn1_colo28.ns102 S3FIFO-0.0500-1.9000 cache size     2091, 4835874 req, miss ratio 0.7218, byte miss ratio 0.7218
cdn1_colo28.ns102 S3FIFO-0.0500-1.9000 cache size     6274, 4835874 req, miss ratio 0.6961, byte miss ratio 0.6961
cdn1_colo28.ns102 S3FIFO-0.0500-1.9000 cache size    20916, 4835874 req, miss ratio 0.6540, byte miss ratio 0.6540
cdn1_colo28.ns102 S3FIFO-0.0500-1.9000 cache size    62749, 4835874 req, miss ratio 0.6033, byte miss ratio 0.6033
cdn1_colo28.ns102 S3FIFO-0.0500-1.9000 cache size   209165, 4835874 req, miss ratio 0.5466, byte miss ratio 0.5466
cdn1_colo28.ns102 S3FIFO-0.0500-1.9000 cache size   418331, 4835874 req, miss ratio 0.5213, byte miss ratio 0.5213
cdn1_colo28.ns102 S3FIFO-0.0500-1.9000 cache size   836663, 4835874 req, miss ratio 0.4988, byte miss ratio 0.4988
cdn1_colo28.ns102 S3FIFO-0.0500-1.9000 cache size  1673326, 4835874 req, miss ratio 0.4359, byte miss ratio 0.4359
cdn1_colo28.ns102 S3FIFO-0.1500-1.9000 cache size     2091, 4835874 req, miss ratio 0.7217, byte miss ratio 0.7217
cdn1_colo28.ns102 S3FIFO-0.1500-1.9000 cache size     6274, 4835874 req, miss ratio 0.6971, byte miss ratio 0.6971
cdn1_colo28.ns102 S3FIFO-0.1500-1.9000 cache size    20916, 4835874 req, miss ratio 0.6562, byte miss ratio 0.6562
cdn1_colo28.ns102 S3FIFO-0.1500-1.9000 cache size    62749, 4835874 req, miss ratio 0.6058, byte miss ratio 0.6058
cdn1_colo28.ns102 S3FIFO-0.1500-1.9000 cache size   209165, 4835874 req, miss ratio 0.5477, byte miss ratio 0.5477
cdn1_colo28.ns102 S3FIFO-0.1500-1.9000 cache size   418331, 4835874 req, miss ratio 0.5213, byte miss ratio 0.5213
cdn1_colo28.ns102 S3FIFO-0.1500-1.9000 cache size   836663, 4835874 req, miss ratio 0.4988, byte miss ratio 0.4988
cdn1_colo28.ns102 S3FIFO-0.1500-1.9000 cache size  1673326, 4835874 req, miss ratio 0.4359, byte miss ratio 0.4359
