cdn1_allcolo.ns2150 S3FIFO-0.0250-1.9000 cache size       14, 1780007 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns2150 S3FIFO-0.0250-1.9000 cache size       42, 1780007 req, miss ratio 0.2342, byte miss ratio 0.2342
cdn1_allcolo.ns2150 S3FIFO-0.0250-1.9000 cache size      142, 1780007 req, miss ratio 0.1317, byte miss ratio 0.1317
cdn1_allcolo.ns2150 S3FIFO-0.0250-1.9000 cache size      427, 1780007 req, miss ratio 0.0653, byte miss ratio 0.0653
cdn1_allcolo.ns2150 S3FIFO-0.0250-1.9000 cache size     1425, 1780007 req, miss ratio 0.0267, byte miss ratio 0.0267
cdn1_allcolo.ns2150 S3FIFO-0.0250-1.9000 cache size     2851, 1780007 req, miss ratio 0.0163, byte miss ratio 0.0163
cdn1_allcolo.ns2150 S3FIFO-0.0250-1.9000 cache size     5703, 1780007 req, miss ratio 0.0109, byte miss ratio 0.0109
cdn1_allcolo.ns2150 S3FIFO-0.0250-1.9000 cache size    11406, 1780007 req, miss ratio 0.0086, byte miss ratio 0.0086
cdn1_allcolo.ns2150 S3FIFO-0.0500-0.9000 cache size       14, 1780007 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns2150 S3FIFO-0.0500-0.9000 cache size       42, 1780007 req, miss ratio 0.2335, byte miss ratio 0.2335
cdn1_allcolo.ns2150 S3FIFO-0.0500-0.9000 cache size      142, 1780007 req, miss ratio 0.1322, byte miss ratio 0.1322
cdn1_allcolo.ns2150 S3FIFO-0.0500-0.9000 cache size      427, 1780007 req, miss ratio 0.0657, byte miss ratio 0.0657
cdn1_allcolo.ns2150 S3FIFO-0.0500-0.9000 cache size     1425, 1780007 req, miss ratio 0.0268, byte miss ratio 0.0268
cdn1_allcolo.ns2150 S3FIFO-0.0500-0.9000 cache size     2851, 1780007 req, miss ratio 0.0164, byte miss ratio 0.0164
cdn1_allcolo.ns2150 S3FIFO-0.0500-0.9000 cache size     5703, 1780007 req, miss ratio 0.0109, byte miss ratio 0.0109
cdn1_allcolo.ns2150 S3FIFO-0.0500-0.9000 cache size    11406, 1780007 req, miss ratio 0.0086, byte miss ratio 0.0086
cdn1_allcolo.ns2150 S3FIFO-0.3500-1.9000 cache size       14, 1780007 req, miss ratio 0.3498, byte miss ratio 0.3498
cdn1_allcolo.ns2150 S3FIFO-0.3500-1.9000 cache size       42, 1780007 req, miss ratio 0.2456, byte miss ratio 0.2456
cdn1_allcolo.ns2150 S3FIFO-0.3500-1.9000 cache size      142, 1780007 req, miss ratio 0.1409, byte miss ratio 0.1409
cdn1_allcolo.ns2150 S3FIFO-0.3500-1.9000 cache size      427, 1780007 req, miss ratio 0.0721, byte miss ratio 0.0721
cdn1_allcolo.ns2150 S3FIFO-0.3500-1.9000 cache size     1425, 1780007 req, miss ratio 0.0294, byte miss ratio 0.0294
cdn1_allcolo.ns2150 S3FIFO-0.3500-1.9000 cache size     2851, 1780007 req, miss ratio 0.0179, byte miss ratio 0.0179
cdn1_allcolo.ns2150 S3FIFO-0.3500-1.9000 cache size     5703, 1780007 req, miss ratio 0.0113, byte miss ratio 0.0113
cdn1_allcolo.ns2150 S3FIFO-0.3500-1.9000 cache size    11406, 1780007 req, miss ratio 0.0086, byte miss ratio 0.0086
cdn1_allcolo.ns2150 S3FIFO-0.0250-0.9000 cache size       14, 1780007 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns2150 S3FIFO-0.0250-0.9000 cache size       42, 1780007 req, miss ratio 0.2342, byte miss ratio 0.2342
cdn1_allcolo.ns2150 S3FIFO-0.0250-0.9000 cache size      142, 1780007 req, miss ratio 0.1317, byte miss ratio 0.1317
cdn1_allcolo.ns2150 S3FIFO-0.0250-0.9000 cache size      427, 1780007 req, miss ratio 0.0653, byte miss ratio 0.0653
cdn1_allcolo.ns2150 S3FIFO-0.0250-0.9000 cache size     1425, 1780007 req, miss ratio 0.0267, byte miss ratio 0.0267
cdn1_allcolo.ns2150 S3FIFO-0.0250-0.9000 cache size     2851, 1780007 req, miss ratio 0.0163, byte miss ratio 0.0163
cdn1_allcolo.ns2150 S3FIFO-0.0250-0.9000 cache size     5703, 1780007 req, miss ratio 0.0109, byte miss ratio 0.0109
cdn1_allcolo.ns2150 S3FIFO-0.0250-0.9000 cache size    11406, 1780007 req, miss ratio 0.0086, byte miss ratio 0.0086
cdn1_allcolo.ns2150 S3FIFO-0.4500-1.9000 cache size       14, 1780007 req, miss ratio 0.3555, byte miss ratio 0.3555
cdn1_allcolo.ns2150 S3FIFO-0.4500-1.9000 cache size       42, 1780007 req, miss ratio 0.2509, byte miss ratio 0.2509
cdn1_allcolo.ns2150 S3FIFO-0.4500-1.9000 cache size      142, 1780007 req, miss ratio 0.1447, byte miss ratio 0.1447
cdn1_allcolo.ns2150 S3FIFO-0.4500-1.9000 cache size      427, 1780007 req, miss ratio 0.0748, byte miss ratio 0.0748
cdn1_allcolo.ns2150 S3FIFO-0.4500-1.9000 cache size     1425, 1780007 req, miss ratio 0.0305, byte miss ratio 0.0305
cdn1_allcolo.ns2150 S3FIFO-0.4500-1.9000 cache size     2851, 1780007 req, miss ratio 0.0185, byte miss ratio 0.0185
cdn1_allcolo.ns2150 S3FIFO-0.4500-1.9000 cache size     5703, 1780007 req, miss ratio 0.0116, byte miss ratio 0.0116
cdn1_allcolo.ns2150 S3FIFO-0.4500-1.9000 cache size    11406, 1780007 req, miss ratio 0.0086, byte miss ratio 0.0086
cdn1_allcolo.ns2150 S3FIFO-0.0050-0.9000 cache size       14, 1780007 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns2150 S3FIFO-0.0050-0.9000 cache size       42, 1780007 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns2150 S3FIFO-0.0050-0.9000 cache size      142, 1780007 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns2150 S3FIFO-0.0050-0.9000 cache size      427, 1780007 req, miss ratio 0.0653, byte miss ratio 0.0653
cdn1_allcolo.ns2150 S3FIFO-0.0050-0.9000 cache size     1425, 1780007 req, miss ratio 0.0265, byte miss ratio 0.0265
cdn1_allcolo.ns2150 S3FIFO-0.0050-0.9000 cache size     2851, 1780007 req, miss ratio 0.0162, byte miss ratio 0.0162
cdn1_allcolo.ns2150 S3FIFO-0.0050-0.9000 cache size     5703, 1780007 req, miss ratio 0.0108, byte miss ratio 0.0108
cdn1_allcolo.ns2150 S3FIFO-0.0050-0.9000 cache size    11406, 1780007 req, miss ratio 0.0086, byte miss ratio 0.0086
cdn1_allcolo.ns2150 S3FIFO-0.5500-0.9000 cache size       14, 1780007 req, miss ratio 0.3586, byte miss ratio 0.3586
cdn1_allcolo.ns2150 S3FIFO-0.5500-0.9000 cache size       42, 1780007 req, miss ratio 0.2581, byte miss ratio 0.2581
cdn1_allcolo.ns2150 S3FIFO-0.5500-0.9000 cache size      142, 1780007 req, miss ratio 0.1492, byte miss ratio 0.1492
cdn1_allcolo.ns2150 S3FIFO-0.5500-0.9000 cache size      427, 1780007 req, miss ratio 0.0778, byte miss ratio 0.0778
cdn1_allcolo.ns2150 S3FIFO-0.5500-0.9000 cache size     1425, 1780007 req, miss ratio 0.0319, byte miss ratio 0.0319
cdn1_allcolo.ns2150 S3FIFO-0.5500-0.9000 cache size     2851, 1780007 req, miss ratio 0.0192, byte miss ratio 0.0192
cdn1_allcolo.ns2150 S3FIFO-0.5500-0.9000 cache size     5703, 1780007 req, miss ratio 0.0119, byte miss ratio 0.0119
cdn1_allcolo.ns2150 S3FIFO-0.5500-0.9000 cache size    11406, 1780007 req, miss ratio 0.0086, byte miss ratio 0.0086
cdn1_allcolo.ns2150 S3FIFO-0.8000-1.9000 cache size       14, 1780007 req, miss ratio 0.3683, byte miss ratio 0.3683
cdn1_allcolo.ns2150 S3FIFO-0.8000-1.9000 cache size       42, 1780007 req, miss ratio 0.2734, byte miss ratio 0.2734
cdn1_allcolo.ns2150 S3FIFO-0.8000-1.9000 cache size      142, 1780007 req, miss ratio 0.1624, byte miss ratio 0.1624
cdn1_allcolo.ns2150 S3FIFO-0.8000-1.9000 cache size      427, 1780007 req, miss ratio 0.0865, byte miss ratio 0.0865
cdn1_allcolo.ns2150 S3FIFO-0.8000-1.9000 cache size     1425, 1780007 req, miss ratio 0.0362, byte miss ratio 0.0362
cdn1_allcolo.ns2150 S3FIFO-0.8000-1.9000 cache size     2851, 1780007 req, miss ratio 0.0216, byte miss ratio 0.0216
cdn1_allcolo.ns2150 S3FIFO-0.8000-1.9000 cache size     5703, 1780007 req, miss ratio 0.0131, byte miss ratio 0.0131
cdn1_allcolo.ns2150 S3FIFO-0.8000-1.9000 cache size    11406, 1780007 req, miss ratio 0.0087, byte miss ratio 0.0087
cdn1_allcolo.ns2150 S3FIFO-0.0010-1.9000 cache size       14, 1780007 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns2150 S3FIFO-0.0010-1.9000 cache size       42, 1780007 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns2150 S3FIFO-0.0010-1.9000 cache size      142, 1780007 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns2150 S3FIFO-0.0010-1.9000 cache size      427, 1780007 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns2150 S3FIFO-0.0010-1.9000 cache size     1425, 1780007 req, miss ratio 0.0267, byte miss ratio 0.0267
cdn1_allcolo.ns2150 S3FIFO-0.0010-1.9000 cache size     2851, 1780007 req, miss ratio 0.0162, byte miss ratio 0.0162
cdn1_allcolo.ns2150 S3FIFO-0.0010-1.9000 cache size     5703, 1780007 req, miss ratio 0.0108, byte miss ratio 0.0108
cdn1_allcolo.ns2150 S3FIFO-0.0010-1.9000 cache size    11406, 1780007 req, miss ratio 0.0086, byte miss ratio 0.0086
cdn1_allcolo.ns2150 S3FIFO-0.4000-0.9000 cache size       14, 1780007 req, miss ratio 0.3526, byte miss ratio 0.3526
cdn1_allcolo.ns2150 S3FIFO-0.4000-0.9000 cache size       42, 1780007 req, miss ratio 0.2482, byte miss ratio 0.2482
cdn1_allcolo.ns2150 S3FIFO-0.4000-0.9000 cache size      142, 1780007 req, miss ratio 0.1428, byte miss ratio 0.1428
cdn1_allcolo.ns2150 S3FIFO-0.4000-0.9000 cache size      427, 1780007 req, miss ratio 0.0734, byte miss ratio 0.0734
cdn1_allcolo.ns2150 S3FIFO-0.4000-0.9000 cache size     1425, 1780007 req, miss ratio 0.0300, byte miss ratio 0.0300
cdn1_allcolo.ns2150 S3FIFO-0.4000-0.9000 cache size     2851, 1780007 req, miss ratio 0.0182, byte miss ratio 0.0182
