cdn1_colo28.ns4396 S3FIFO-0.0500-0.9000 cache size        7, 1875613 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns4396 S3FIFO-0.0500-0.9000 cache size       21, 1875613 req, miss ratio 0.7775, byte miss ratio 0.7775
cdn1_colo28.ns4396 S3FIFO-0.0500-0.9000 cache size       72, 1875613 req, miss ratio 0.6553, byte miss ratio 0.6553
cdn1_colo28.ns4396 S3FIFO-0.0500-0.9000 cache size      216, 1875613 req, miss ratio 0.4603, byte miss ratio 0.4603
cdn1_colo28.ns4396 S3FIFO-0.0500-0.9000 cache size      721, 1875613 req, miss ratio 0.1287, byte miss ratio 0.1287
cdn1_colo28.ns4396 S3FIFO-0.0500-0.9000 cache size     1443, 1875613 req, miss ratio 0.0417, byte miss ratio 0.0417
cdn1_colo28.ns4396 S3FIFO-0.0500-0.9000 cache size     2887, 1875613 req, miss ratio 0.0123, byte miss ratio 0.0123
cdn1_colo28.ns4396 S3FIFO-0.0500-0.9000 cache size     5774, 1875613 req, miss ratio 0.0042, byte miss ratio 0.0042
cdn1_colo28.ns4396 S3FIFO-0.4000-0.9000 cache size        7, 1875613 req, miss ratio 0.9003, byte miss ratio 0.9003
cdn1_colo28.ns4396 S3FIFO-0.4000-0.9000 cache size       21, 1875613 req, miss ratio 0.8140, byte miss ratio 0.8140
cdn1_colo28.ns4396 S3FIFO-0.4000-0.9000 cache size       72, 1875613 req, miss ratio 0.6989, byte miss ratio 0.6989
cdn1_colo28.ns4396 S3FIFO-0.4000-0.9000 cache size      216, 1875613 req, miss ratio 0.5128, byte miss ratio 0.5128
cdn1_colo28.ns4396 S3FIFO-0.4000-0.9000 cache size      721, 1875613 req, miss ratio 0.1702, byte miss ratio 0.1702
cdn1_colo28.ns4396 S3FIFO-0.4000-0.9000 cache size     1443, 1875613 req, miss ratio 0.0530, byte miss ratio 0.0530
cdn1_colo28.ns4396 S3FIFO-0.4000-0.9000 cache size     2887, 1875613 req, miss ratio 0.0149, byte miss ratio 0.0149
cdn1_colo28.ns4396 S3FIFO-0.4000-0.9000 cache size     5774, 1875613 req, miss ratio 0.0045, byte miss ratio 0.0045
cdn1_colo28.ns4396 S3FIFO-0.0050-0.9000 cache size        7, 1875613 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns4396 S3FIFO-0.0050-0.9000 cache size       21, 1875613 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns4396 S3FIFO-0.0050-0.9000 cache size       72, 1875613 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns4396 S3FIFO-0.0050-0.9000 cache size      216, 1875613 req, miss ratio 0.4516, byte miss ratio 0.4516
cdn1_colo28.ns4396 S3FIFO-0.0050-0.9000 cache size      721, 1875613 req, miss ratio 0.1233, byte miss ratio 0.1233
cdn1_colo28.ns4396 S3FIFO-0.0050-0.9000 cache size     1443, 1875613 req, miss ratio 0.0406, byte miss ratio 0.0406
cdn1_colo28.ns4396 S3FIFO-0.0050-0.9000 cache size     2887, 1875613 req, miss ratio 0.0122, byte miss ratio 0.0122
cdn1_colo28.ns4396 S3FIFO-0.0050-0.9000 cache size     5774, 1875613 req, miss ratio 0.0042, byte miss ratio 0.0042
cdn1_colo28.ns4396 S3FIFO-0.0050-1.9000 cache size        7, 1875613 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns4396 S3FIFO-0.0050-1.9000 cache size       21, 1875613 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns4396 S3FIFO-0.0050-1.9000 cache size       72, 1875613 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns4396 S3FIFO-0.0050-1.9000 cache size      216, 1875613 req, miss ratio 0.4723, byte miss ratio 0.4723
cdn1_colo28.ns4396 S3FIFO-0.0050-1.9000 cache size      721, 1875613 req, miss ratio 0.1290, byte miss ratio 0.1290
cdn1_colo28.ns4396 S3FIFO-0.0050-1.9000 cache size     1443, 1875613 req, miss ratio 0.0415, byte miss ratio 0.0415
cdn1_colo28.ns4396 S3FIFO-0.0050-1.9000 cache size     2887, 1875613 req, miss ratio 0.0122, byte miss ratio 0.0122
cdn1_colo28.ns4396 S3FIFO-0.0050-1.9000 cache size     5774, 1875613 req, miss ratio 0.0042, byte miss ratio 0.0042
cdn1_colo28.ns4396 S3FIFO-0.7000-0.9000 cache size        7, 1875613 req, miss ratio 0.9241, byte miss ratio 0.9241
cdn1_colo28.ns4396 S3FIFO-0.7000-0.9000 cache size       21, 1875613 req, miss ratio 0.8594, byte miss ratio 0.8594
cdn1_colo28.ns4396 S3FIFO-0.7000-0.9000 cache size       72, 1875613 req, miss ratio 0.7414, byte miss ratio 0.7414
cdn1_colo28.ns4396 S3FIFO-0.7000-0.9000 cache size      216, 1875613 req, miss ratio 0.5534, byte miss ratio 0.5534
cdn1_colo28.ns4396 S3FIFO-0.7000-0.9000 cache size      721, 1875613 req, miss ratio 0.2034, byte miss ratio 0.2034
cdn1_colo28.ns4396 S3FIFO-0.7000-0.9000 cache size     1443, 1875613 req, miss ratio 0.0668, byte miss ratio 0.0668
cdn1_colo28.ns4396 S3FIFO-0.7000-0.9000 cache size     2887, 1875613 req, miss ratio 0.0183, byte miss ratio 0.0183
cdn1_colo28.ns4396 S3FIFO-0.7000-0.9000 cache size     5774, 1875613 req, miss ratio 0.0051, byte miss ratio 0.0051
cdn1_colo28.ns4396 S3FIFO-0.3500-1.9000 cache size        7, 1875613 req, miss ratio 0.9035, byte miss ratio 0.9035
cdn1_colo28.ns4396 S3FIFO-0.3500-1.9000 cache size       21, 1875613 req, miss ratio 0.8188, byte miss ratio 0.8188
cdn1_colo28.ns4396 S3FIFO-0.3500-1.9000 cache size       72, 1875613 req, miss ratio 0.7094, byte miss ratio 0.7094
cdn1_colo28.ns4396 S3FIFO-0.3500-1.9000 cache size      216, 1875613 req, miss ratio 0.5184, byte miss ratio 0.5184
cdn1_colo28.ns4396 S3FIFO-0.3500-1.9000 cache size      721, 1875613 req, miss ratio 0.1641, byte miss ratio 0.1641
cdn1_colo28.ns4396 S3FIFO-0.3500-1.9000 cache size     1443, 1875613 req, miss ratio 0.0509, byte miss ratio 0.0509
cdn1_colo28.ns4396 S3FIFO-0.3500-1.9000 cache size     2887, 1875613 req, miss ratio 0.0145, byte miss ratio 0.0145
cdn1_colo28.ns4396 S3FIFO-0.3500-1.9000 cache size     5774, 1875613 req, miss ratio 0.0044, byte miss ratio 0.0044
cdn1_colo28.ns4396 S3FIFO-0.3000-0.9000 cache size        7, 1875613 req, miss ratio 0.9003, byte miss ratio 0.9003
cdn1_colo28.ns4396 S3FIFO-0.3000-0.9000 cache size       21, 1875613 req, miss ratio 0.8022, byte miss ratio 0.8022
cdn1_colo28.ns4396 S3FIFO-0.3000-0.9000 cache size       72, 1875613 req, miss ratio 0.6869, byte miss ratio 0.6869
cdn1_colo28.ns4396 S3FIFO-0.3000-0.9000 cache size      216, 1875613 req, miss ratio 0.4985, byte miss ratio 0.4985
cdn1_colo28.ns4396 S3FIFO-0.3000-0.9000 cache size      721, 1875613 req, miss ratio 0.1586, byte miss ratio 0.1586
cdn1_colo28.ns4396 S3FIFO-0.3000-0.9000 cache size     1443, 1875613 req, miss ratio 0.0494, byte miss ratio 0.0494
cdn1_colo28.ns4396 S3FIFO-0.3000-0.9000 cache size     2887, 1875613 req, miss ratio 0.0140, byte miss ratio 0.0140
cdn1_colo28.ns4396 S3FIFO-0.3000-0.9000 cache size     5774, 1875613 req, miss ratio 0.0044, byte miss ratio 0.0044
cdn1_colo28.ns4396 S3FIFO-0.3000-1.9000 cache size        7, 1875613 req, miss ratio 0.9035, byte miss ratio 0.9035
cdn1_colo28.ns4396 S3FIFO-0.3000-1.9000 cache size       21, 1875613 req, miss ratio 0.8131, byte miss ratio 0.8131
cdn1_colo28.ns4396 S3FIFO-0.3000-1.9000 cache size       72, 1875613 req, miss ratio 0.7030, byte miss ratio 0.7030
cdn1_colo28.ns4396 S3FIFO-0.3000-1.9000 cache size      216, 1875613 req, miss ratio 0.5127, byte miss ratio 0.5127
cdn1_colo28.ns4396 S3FIFO-0.3000-1.9000 cache size      721, 1875613 req, miss ratio 0.1590, byte miss ratio 0.1590
cdn1_colo28.ns4396 S3FIFO-0.3000-1.9000 cache size     1443, 1875613 req, miss ratio 0.0492, byte miss ratio 0.0492
cdn1_colo28.ns4396 S3FIFO-0.3000-1.9000 cache size     2887, 1875613 req, miss ratio 0.0140, byte miss ratio 0.0140
cdn1_colo28.ns4396 S3FIFO-0.3000-1.9000 cache size     5774, 1875613 req, miss ratio 0.0044, byte miss ratio 0.0044
cdn1_colo28.ns4396 S3FIFO-0.4000-1.9000 cache size        7, 1875613 req, miss ratio 0.9035, byte miss ratio 0.9035
cdn1_colo28.ns4396 S3FIFO-0.4000-1.9000 cache size       21, 1875613 req, miss ratio 0.8251, byte miss ratio 0.8251
cdn1_colo28.ns4396 S3FIFO-0.4000-1.9000 cache size       72, 1875613 req, miss ratio 0.7143, byte miss ratio 0.7143
cdn1_colo28.ns4396 S3FIFO-0.4000-1.9000 cache size      216, 1875613 req, miss ratio 0.5239, byte miss ratio 0.5239
cdn1_colo28.ns4396 S3FIFO-0.4000-1.9000 cache size      721, 1875613 req, miss ratio 0.1692, byte miss ratio 0.1692
cdn1_colo28.ns4396 S3FIFO-0.4000-1.9000 cache size     1443, 1875613 req, miss ratio 0.0525, byte miss ratio 0.0525
cdn1_colo28.ns4396 S3FIFO-0.4000-1.9000 cache size     2887, 1875613 req, miss ratio 0.0149, byte miss ratio 0.0149
cdn1_colo28.ns4396 S3FIFO-0.4000-1.9000 cache size     5774, 1875613 req, miss ratio 0.0045, byte miss ratio 0.0045
cdn1_colo28.ns4396 S3FIFO-0.0010-0.9000 cache size        7, 1875613 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns4396 S3FIFO-0.0010-0.9000 cache size       21, 1875613 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns4396 S3FIFO-0.0010-0.9000 cache size       72, 1875613 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns4396 S3FIFO-0.0010-0.9000 cache size      216, 1875613 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns4396 S3FIFO-0.0010-0.9000 cache size      721, 1875613 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns4396 S3FIFO-0.0010-0.9000 cache size     1443, 1875613 req, miss ratio 0.0408, byte miss ratio 0.0408
cdn1_colo28.ns4396 S3FIFO-0.0010-0.9000 cache size     2887, 1875613 req, miss ratio 0.0123, byte miss ratio 0.0123
cdn1_colo28.ns4396 S3FIFO-0.0010-0.9000 cache size     5774, 1875613 req, miss ratio 0.0042, byte miss ratio 0.0042
cdn1_colo28.ns4396 S3FIFO-0.0010-1.9000 cache size        7, 1875613 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns4396 S3FIFO-0.0010-1.9000 cache size       21, 1875613 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns4396 S3FIFO-0.0010-1.9000 cache size       72, 1875613 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns4396 S3FIFO-0.0010-1.9000 cache size      216, 1875613 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns4396 S3FIFO-0.0010-1.9000 cache size      721, 1875613 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns4396 S3FIFO-0.0010-1.9000 cache size     1443, 1875613 req, miss ratio 0.0417, byte miss ratio 0.0417
cdn1_colo28.ns4396 S3FIFO-0.0010-1.9000 cache size     2887, 1875613 req, miss ratio 0.0123, byte miss ratio 0.0123
cdn1_colo28.ns4396 S3FIFO-0.0010-1.9000 cache size     5774, 1875613 req, miss ratio 0.0042, byte miss ratio 0.0042
cdn1_colo28.ns4396 S3FIFO-0.6000-1.9000 cache size        7, 1875613 req, miss ratio 0.9276, byte miss ratio 0.9276
cdn1_colo28.ns4396 S3FIFO-0.6000-1.9000 cache size       21, 1875613 req, miss ratio 0.8535, byte miss ratio 0.8535
cdn1_colo28.ns4396 S3FIFO-0.6000-1.9000 cache size       72, 1875613 req, miss ratio 0.7398, byte miss ratio 0.7398
cdn1_colo28.ns4396 S3FIFO-0.6000-1.9000 cache size      216, 1875613 req, miss ratio 0.5444, byte miss ratio 0.5444
cdn1_colo28.ns4396 S3FIFO-0.6000-1.9000 cache size      721, 1875613 req, miss ratio 0.1888, byte miss ratio 0.1888
cdn1_colo28.ns4396 S3FIFO-0.6000-1.9000 cache size     1443, 1875613 req, miss ratio 0.0606, byte miss ratio 0.0606
cdn1_colo28.ns4396 S3FIFO-0.6000-1.9000 cache size     2887, 1875613 req, miss ratio 0.0170, byte miss ratio 0.0170
cdn1_colo28.ns4396 S3FIFO-0.6000-1.9000 cache size     5774, 1875613 req, miss ratio 0.0049, byte miss ratio 0.0049
