cdn1_allcolo.ns3171 S3FIFO-0.8500-1.9000 cache size        9, 2312854 req, miss ratio 0.5464, byte miss ratio 0.5464
cdn1_allcolo.ns3171 S3FIFO-0.8500-1.9000 cache size       27, 2312854 req, miss ratio 0.3026, byte miss ratio 0.3026
cdn1_allcolo.ns3171 S3FIFO-0.8500-1.9000 cache size       92, 2312854 req, miss ratio 0.1420, byte miss ratio 0.1420
cdn1_allcolo.ns3171 S3FIFO-0.8500-1.9000 cache size      276, 2312854 req, miss ratio 0.0595, byte miss ratio 0.0595
cdn1_allcolo.ns3171 S3FIFO-0.8500-1.9000 cache size      921, 2312854 req, miss ratio 0.0181, byte miss ratio 0.0181
cdn1_allcolo.ns3171 S3FIFO-0.8500-1.9000 cache size     1843, 2312854 req, miss ratio 0.0099, byte miss ratio 0.0099
cdn1_allcolo.ns3171 S3FIFO-0.8500-1.9000 cache size     3686, 2312854 req, miss ratio 0.0061, byte miss ratio 0.0061
cdn1_allcolo.ns3171 S3FIFO-0.8500-1.9000 cache size     7373, 2312854 req, miss ratio 0.0043, byte miss ratio 0.0043
cdn1_allcolo.ns3171 S3FIFO-0.3000-1.9000 cache size        9, 2312854 req, miss ratio 0.4289, byte miss ratio 0.4289
cdn1_allcolo.ns3171 S3FIFO-0.3000-1.9000 cache size       27, 2312854 req, miss ratio 0.2286, byte miss ratio 0.2286
cdn1_allcolo.ns3171 S3FIFO-0.3000-1.9000 cache size       92, 2312854 req, miss ratio 0.1086, byte miss ratio 0.1086
cdn1_allcolo.ns3171 S3FIFO-0.3000-1.9000 cache size      276, 2312854 req, miss ratio 0.0443, byte miss ratio 0.0443
cdn1_allcolo.ns3171 S3FIFO-0.3000-1.9000 cache size      921, 2312854 req, miss ratio 0.0126, byte miss ratio 0.0126
cdn1_allcolo.ns3171 S3FIFO-0.3000-1.9000 cache size     1843, 2312854 req, miss ratio 0.0073, byte miss ratio 0.0073
cdn1_allcolo.ns3171 S3FIFO-0.3000-1.9000 cache size     3686, 2312854 req, miss ratio 0.0048, byte miss ratio 0.0048
cdn1_allcolo.ns3171 S3FIFO-0.3000-1.9000 cache size     7373, 2312854 req, miss ratio 0.0040, byte miss ratio 0.0040
cdn1_allcolo.ns3171 S3FIFO-0.5500-0.9000 cache size        9, 2312854 req, miss ratio 0.4625, byte miss ratio 0.4625
cdn1_allcolo.ns3171 S3FIFO-0.5500-0.9000 cache size       27, 2312854 req, miss ratio 0.2531, byte miss ratio 0.2531
cdn1_allcolo.ns3171 S3FIFO-0.5500-0.9000 cache size       92, 2312854 req, miss ratio 0.1221, byte miss ratio 0.1221
cdn1_allcolo.ns3171 S3FIFO-0.5500-0.9000 cache size      276, 2312854 req, miss ratio 0.0505, byte miss ratio 0.0505
cdn1_allcolo.ns3171 S3FIFO-0.5500-0.9000 cache size      921, 2312854 req, miss ratio 0.0147, byte miss ratio 0.0147
cdn1_allcolo.ns3171 S3FIFO-0.5500-0.9000 cache size     1843, 2312854 req, miss ratio 0.0083, byte miss ratio 0.0083
cdn1_allcolo.ns3171 S3FIFO-0.5500-0.9000 cache size     3686, 2312854 req, miss ratio 0.0052, byte miss ratio 0.0052
cdn1_allcolo.ns3171 S3FIFO-0.5500-0.9000 cache size     7373, 2312854 req, miss ratio 0.0040, byte miss ratio 0.0040
cdn1_allcolo.ns3171 S3FIFO-0.7500-0.9000 cache size        9, 2312854 req, miss ratio 0.5133, byte miss ratio 0.5133
cdn1_allcolo.ns3171 S3FIFO-0.7500-0.9000 cache size       27, 2312854 req, miss ratio 0.2914, byte miss ratio 0.2914
cdn1_allcolo.ns3171 S3FIFO-0.7500-0.9000 cache size       92, 2312854 req, miss ratio 0.1362, byte miss ratio 0.1362
cdn1_allcolo.ns3171 S3FIFO-0.7500-0.9000 cache size      276, 2312854 req, miss ratio 0.0571, byte miss ratio 0.0571
cdn1_allcolo.ns3171 S3FIFO-0.7500-0.9000 cache size      921, 2312854 req, miss ratio 0.0171, byte miss ratio 0.0171
cdn1_allcolo.ns3171 S3FIFO-0.7500-0.9000 cache size     1843, 2312854 req, miss ratio 0.0094, byte miss ratio 0.0094
cdn1_allcolo.ns3171 S3FIFO-0.7500-0.9000 cache size     3686, 2312854 req, miss ratio 0.0057, byte miss ratio 0.0057
cdn1_allcolo.ns3171 S3FIFO-0.7500-0.9000 cache size     7373, 2312854 req, miss ratio 0.0041, byte miss ratio 0.0041
cdn1_allcolo.ns3171 S3FIFO-0.6000-0.9000 cache size        9, 2312854 req, miss ratio 0.4863, byte miss ratio 0.4863
cdn1_allcolo.ns3171 S3FIFO-0.6000-0.9000 cache size       27, 2312854 req, miss ratio 0.2653, byte miss ratio 0.2653
cdn1_allcolo.ns3171 S3FIFO-0.6000-0.9000 cache size       92, 2312854 req, miss ratio 0.1258, byte miss ratio 0.1258
cdn1_allcolo.ns3171 S3FIFO-0.6000-0.9000 cache size      276, 2312854 req, miss ratio 0.0520, byte miss ratio 0.0520
cdn1_allcolo.ns3171 S3FIFO-0.6000-0.9000 cache size      921, 2312854 req, miss ratio 0.0153, byte miss ratio 0.0153
cdn1_allcolo.ns3171 S3FIFO-0.6000-0.9000 cache size     1843, 2312854 req, miss ratio 0.0086, byte miss ratio 0.0086
cdn1_allcolo.ns3171 S3FIFO-0.6000-0.9000 cache size     3686, 2312854 req, miss ratio 0.0053, byte miss ratio 0.0053
cdn1_allcolo.ns3171 S3FIFO-0.6000-0.9000 cache size     7373, 2312854 req, miss ratio 0.0040, byte miss ratio 0.0040
cdn1_allcolo.ns3171 S3FIFO-0.9900-0.9000 cache size        9, 2312854 req, miss ratio 0.5642, byte miss ratio 0.5642
cdn1_allcolo.ns3171 S3FIFO-0.9900-0.9000 cache size       27, 2312854 req, miss ratio 0.3310, byte miss ratio 0.3310
cdn1_allcolo.ns3171 S3FIFO-0.9900-0.9000 cache size       92, 2312854 req, miss ratio 0.1583, byte miss ratio 0.1583
cdn1_allcolo.ns3171 S3FIFO-0.9900-0.9000 cache size      276, 2312854 req, miss ratio 0.0664, byte miss ratio 0.0664
cdn1_allcolo.ns3171 S3FIFO-0.9900-0.9000 cache size      921, 2312854 req, miss ratio 0.0206, byte miss ratio 0.0206
cdn1_allcolo.ns3171 S3FIFO-0.9900-0.9000 cache size     1843, 2312854 req, miss ratio 0.0113, byte miss ratio 0.0113
cdn1_allcolo.ns3171 S3FIFO-0.9900-0.9000 cache size     3686, 2312854 req, miss ratio 0.0067, byte miss ratio 0.0067
