cdn1_colo28.ns1109 S3FIFO-0.1500-0.9000 cache size      230, 1009470 req, miss ratio 0.2284, byte miss ratio 0.2284
cdn1_colo28.ns1109 S3FIFO-0.1500-0.9000 cache size      691, 1009470 req, miss ratio 0.2284, byte miss ratio 0.2284
cdn1_colo28.ns1109 S3FIFO-0.1500-0.9000 cache size     2306, 1009470 req, miss ratio 0.2284, byte miss ratio 0.2284
cdn1_colo28.ns1109 S3FIFO-0.1500-0.9000 cache size     6918, 1009470 req, miss ratio 0.2284, byte miss ratio 0.2284
cdn1_colo28.ns1109 S3FIFO-0.1500-0.9000 cache size    23060, 1009470 req, miss ratio 0.2284, byte miss ratio 0.2284
cdn1_colo28.ns1109 S3FIFO-0.1500-0.9000 cache size    46120, 1009470 req, miss ratio 0.2284, byte miss ratio 0.2284
cdn1_colo28.ns1109 S3FIFO-0.1500-0.9000 cache size    92240, 1009470 req, miss ratio 0.2284, byte miss ratio 0.2284
cdn1_colo28.ns1109 S3FIFO-0.1500-0.9000 cache size   184480, 1009470 req, miss ratio 0.2284, byte miss ratio 0.2284
cdn1_colo28.ns1109 S3FIFO-0.7500-0.9000 cache size      230, 1009470 req, miss ratio 0.2286, byte miss ratio 0.2286
cdn1_colo28.ns1109 S3FIFO-0.7500-0.9000 cache size      691, 1009470 req, miss ratio 0.2284, byte miss ratio 0.2284
cdn1_colo28.ns1109 S3FIFO-0.7500-0.9000 cache size     2306, 1009470 req, miss ratio 0.2284, byte miss ratio 0.2284
cdn1_colo28.ns1109 S3FIFO-0.7500-0.9000 cache size     6918, 1009470 req, miss ratio 0.2284, byte miss ratio 0.2284
cdn1_colo28.ns1109 S3FIFO-0.7500-0.9000 cache size    23060, 1009470 req, miss ratio 0.2284, byte miss ratio 0.2284
cdn1_colo28.ns1109 S3FIFO-0.7500-0.9000 cache size    46120, 1009470 req, miss ratio 0.2284, byte miss ratio 0.2284
cdn1_colo28.ns1109 S3FIFO-0.7500-0.9000 cache size    92240, 1009470 req, miss ratio 0.2284, byte miss ratio 0.2284
cdn1_colo28.ns1109 S3FIFO-0.7500-0.9000 cache size   184480, 1009470 req, miss ratio 0.2284, byte miss ratio 0.2284
cdn1_colo28.ns1109 S3FIFO-0.0500-0.9000 cache size      230, 1009470 req, miss ratio 0.2284, byte miss ratio 0.2284
cdn1_colo28.ns1109 S3FIFO-0.0500-0.9000 cache size      691, 1009470 req, miss ratio 0.2284, byte miss ratio 0.2284
cdn1_colo28.ns1109 S3FIFO-0.0500-0.9000 cache size     2306, 1009470 req, miss ratio 0.2284, byte miss ratio 0.2284
cdn1_colo28.ns1109 S3FIFO-0.0500-0.9000 cache size     6918, 1009470 req, miss ratio 0.2284, byte miss ratio 0.2284
cdn1_colo28.ns1109 S3FIFO-0.0500-0.9000 cache size    23060, 1009470 req, miss ratio 0.2284, byte miss ratio 0.2284
cdn1_colo28.ns1109 S3FIFO-0.0500-0.9000 cache size    46120, 1009470 req, miss ratio 0.2284, byte miss ratio 0.2284
cdn1_colo28.ns1109 S3FIFO-0.0500-0.9000 cache size    92240, 1009470 req, miss ratio 0.2284, byte miss ratio 0.2284
cdn1_colo28.ns1109 S3FIFO-0.0500-0.9000 cache size   184480, 1009470 req, miss ratio 0.2284, byte miss ratio 0.2284
cdn1_colo28.ns1109 S3FIFO-0.4000-1.9000 cache size      230, 1009470 req, miss ratio 0.2284, byte miss ratio 0.2284
cdn1_colo28.ns1109 S3FIFO-0.4000-1.9000 cache size      691, 1009470 req, miss ratio 0.2284, byte miss ratio 0.2284
cdn1_colo28.ns1109 S3FIFO-0.4000-1.9000 cache size     2306, 1009470 req, miss ratio 0.2284, byte miss ratio 0.2284
cdn1_colo28.ns1109 S3FIFO-0.4000-1.9000 cache size     6918, 1009470 req, miss ratio 0.2284, byte miss ratio 0.2284
